@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.0715, 0.07515, 0.07515, 0.07008, 20214.33, 0.0746, 0.07051, 0.0746, 0.07049, 230.18, 0.06884, 0.06983, 0.06985, 0.06873, 159.52, 0.06815, 0.08123, 0.08995, 0.06386, 31250.23, 0.0819, 0.08405, 0.08842, 0.07739, 32993.71, 0.08736 
0.0746, 0.07051, 0.0746, 0.07049, 230.18, 0.06884, 0.06983, 0.06985, 0.06873, 159.52, 0.06815, 0.08123, 0.08995, 0.06386, 31250.23, 0.0819, 0.08405, 0.08842, 0.07739, 32993.71, 0.08637, 0.09378, 0.09699, 0.08275, 52954.2, 0.07996 
0.06884, 0.06983, 0.06985, 0.06873, 159.52, 0.06815, 0.08123, 0.08995, 0.06386, 31250.23, 0.0819, 0.08405, 0.08842, 0.07739, 32993.71, 0.08637, 0.09378, 0.09699, 0.08275, 52954.2, 0.09243, 0.09221, 0.09501, 0.09003, 15474.34, 0.07804 
0.06815, 0.08123, 0.08995, 0.06386, 31250.23, 0.0819, 0.08405, 0.08842, 0.07739, 32993.71, 0.08637, 0.09378, 0.09699, 0.08275, 52954.2, 0.09243, 0.09221, 0.09501, 0.09003, 15474.34, 0.09263, 0.08762, 0.09477, 0.08293, 10882.63, 0.08235 
0.0819, 0.08405, 0.08842, 0.07739, 32993.71, 0.08637, 0.09378, 0.09699, 0.08275, 52954.2, 0.09243, 0.09221, 0.09501, 0.09003, 15474.34, 0.09263, 0.08762, 0.09477, 0.08293, 10882.63, 0.08905, 0.08834, 0.09031, 0.08279, 13471.07, 0.08334 
0.08637, 0.09378, 0.09699, 0.08275, 52954.2, 0.09243, 0.09221, 0.09501, 0.09003, 15474.34, 0.09263, 0.08762, 0.09477, 0.08293, 10882.63, 0.08905, 0.08834, 0.09031, 0.08279, 13471.07, 0.08763, 0.09113, 0.0947, 0.08649, 16829.91, 0.0883 
0.09243, 0.09221, 0.09501, 0.09003, 15474.34, 0.09263, 0.08762, 0.09477, 0.08293, 10882.63, 0.08905, 0.08834, 0.09031, 0.08279, 13471.07, 0.08763, 0.09113, 0.0947, 0.08649, 16829.91, 0.09024, 0.08736, 0.09024, 0.08238, 7268.85, 0.08377 
0.09263, 0.08762, 0.09477, 0.08293, 10882.63, 0.08905, 0.08834, 0.09031, 0.08279, 13471.07, 0.08763, 0.09113, 0.0947, 0.08649, 16829.91, 0.09024, 0.08736, 0.09024, 0.08238, 7268.85, 0.07379, 0.07996, 0.08104, 0.06103, 9074.18, 0.08115 
0.08905, 0.08834, 0.09031, 0.08279, 13471.07, 0.08763, 0.09113, 0.0947, 0.08649, 16829.91, 0.09024, 0.08736, 0.09024, 0.08238, 7268.85, 0.07379, 0.07996, 0.08104, 0.06103, 9074.18, 0.08254, 0.07804, 0.08309, 0.07804, 31583.86, 0.07958 
0.08763, 0.09113, 0.0947, 0.08649, 16829.91, 0.09024, 0.08736, 0.09024, 0.08238, 7268.85, 0.07379, 0.07996, 0.08104, 0.06103, 9074.18, 0.08254, 0.07804, 0.08309, 0.07804, 31583.86, 0.07942, 0.08235, 0.08937, 0.07539, 9461.17, 0.08054 
0.09024, 0.08736, 0.09024, 0.08238, 7268.85, 0.07379, 0.07996, 0.08104, 0.06103, 9074.18, 0.08254, 0.07804, 0.08309, 0.07804, 31583.86, 0.07942, 0.08235, 0.08937, 0.07539, 9461.17, 0.08051, 0.08334, 0.08355, 0.07917, 35128.66, 0.07809 
