@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.03505, 0.03804, 0.03824, 0.03425, 128720.84, 0.03793, 0.04384, 0.04443, 0.03641, 341137.96, 0.04344, 0.04857, 0.05298, 0.04041, 433499.87, 0.04539, 0.03577, 0.04589, 0.03508, 343652.13, 0.03575, 0.03701, 0.03863, 0.03519, 148255.54, 0.04023 
0.03793, 0.04384, 0.04443, 0.03641, 341137.96, 0.04344, 0.04857, 0.05298, 0.04041, 433499.87, 0.04539, 0.03577, 0.04589, 0.03508, 343652.13, 0.03575, 0.03701, 0.03863, 0.03519, 148255.54, 0.0371, 0.03579, 0.03967, 0.03397, 174458.85, 0.0405 
0.04344, 0.04857, 0.05298, 0.04041, 433499.87, 0.04539, 0.03577, 0.04589, 0.03508, 343652.13, 0.03575, 0.03701, 0.03863, 0.03519, 148255.54, 0.0371, 0.03579, 0.03967, 0.03397, 174458.85, 0.03585, 0.03528, 0.03654, 0.03478, 119523.06, 0.04323 
0.04539, 0.03577, 0.04589, 0.03508, 343652.13, 0.03575, 0.03701, 0.03863, 0.03519, 148255.54, 0.0371, 0.03579, 0.03967, 0.03397, 174458.85, 0.03585, 0.03528, 0.03654, 0.03478, 119523.06, 0.0369, 0.03604, 0.03835, 0.03458, 143140.06, 0.04498 
0.03575, 0.03701, 0.03863, 0.03519, 148255.54, 0.0371, 0.03579, 0.03967, 0.03397, 174458.85, 0.03585, 0.03528, 0.03654, 0.03478, 119523.06, 0.0369, 0.03604, 0.03835, 0.03458, 143140.06, 0.03581, 0.03891, 0.04068, 0.03542, 174274.1, 0.04292 
0.0371, 0.03579, 0.03967, 0.03397, 174458.85, 0.03585, 0.03528, 0.03654, 0.03478, 119523.06, 0.0369, 0.03604, 0.03835, 0.03458, 143140.06, 0.03581, 0.03891, 0.04068, 0.03542, 174274.1, 0.03892, 0.0403, 0.04109, 0.03853, 171525.86, 0.04322 
0.03585, 0.03528, 0.03654, 0.03478, 119523.06, 0.0369, 0.03604, 0.03835, 0.03458, 143140.06, 0.03581, 0.03891, 0.04068, 0.03542, 174274.1, 0.03892, 0.0403, 0.04109, 0.03853, 171525.86, 0.03958, 0.04023, 0.04179, 0.03796, 211185.64, 0.04287 
0.0369, 0.03604, 0.03835, 0.03458, 143140.06, 0.03581, 0.03891, 0.04068, 0.03542, 174274.1, 0.03892, 0.0403, 0.04109, 0.03853, 171525.86, 0.03958, 0.04023, 0.04179, 0.03796, 211185.64, 0.04011, 0.0405, 0.04186, 0.03972, 131957.8, 0.04369 
0.03581, 0.03891, 0.04068, 0.03542, 174274.1, 0.03892, 0.0403, 0.04109, 0.03853, 171525.86, 0.03958, 0.04023, 0.04179, 0.03796, 211185.64, 0.04011, 0.0405, 0.04186, 0.03972, 131957.8, 0.04057, 0.04323, 0.04524, 0.03972, 274428.25, 0.04462 
0.03892, 0.0403, 0.04109, 0.03853, 171525.86, 0.03958, 0.04023, 0.04179, 0.03796, 211185.64, 0.04011, 0.0405, 0.04186, 0.03972, 131957.8, 0.04057, 0.04323, 0.04524, 0.03972, 274428.25, 0.04342, 0.04498, 0.04563, 0.04244, 193253.6, 0.04374 
0.03958, 0.04023, 0.04179, 0.03796, 211185.64, 0.04011, 0.0405, 0.04186, 0.03972, 131957.8, 0.04057, 0.04323, 0.04524, 0.03972, 274428.25, 0.04342, 0.04498, 0.04563, 0.04244, 193253.6, 0.0448, 0.04292, 0.04512, 0.04188, 232282.05, 0.04866 
0.04011, 0.0405, 0.04186, 0.03972, 131957.8, 0.04057, 0.04323, 0.04524, 0.03972, 274428.25, 0.04342, 0.04498, 0.04563, 0.04244, 193253.6, 0.0448, 0.04292, 0.04512, 0.04188, 232282.05, 0.04277, 0.04322, 0.04374, 0.0405, 194768.47, 0.05127 
0.04057, 0.04323, 0.04524, 0.03972, 274428.25, 0.04342, 0.04498, 0.04563, 0.04244, 193253.6, 0.0448, 0.04292, 0.04512, 0.04188, 232282.05, 0.04277, 0.04322, 0.04374, 0.0405, 194768.47, 0.04326, 0.04287, 0.04326, 0.04151, 114269.45, 0.05571 
0.04342, 0.04498, 0.04563, 0.04244, 193253.6, 0.0448, 0.04292, 0.04512, 0.04188, 232282.05, 0.04277, 0.04322, 0.04374, 0.0405, 194768.47, 0.04326, 0.04287, 0.04326, 0.04151, 114269.45, 0.04278, 0.04369, 0.04543, 0.04175, 242934.39, 0.0567 
0.0448, 0.04292, 0.04512, 0.04188, 232282.05, 0.04277, 0.04322, 0.04374, 0.0405, 194768.47, 0.04326, 0.04287, 0.04326, 0.04151, 114269.45, 0.04278, 0.04369, 0.04543, 0.04175, 242934.39, 0.04365, 0.04462, 0.04539, 0.04262, 154085.9, 0.06611 
0.04277, 0.04322, 0.04374, 0.0405, 194768.47, 0.04326, 0.04287, 0.04326, 0.04151, 114269.45, 0.04278, 0.04369, 0.04543, 0.04175, 242934.39, 0.04365, 0.04462, 0.04539, 0.04262, 154085.9, 0.04471, 0.04374, 0.04523, 0.04322, 142162.87, 0.06714 
0.04326, 0.04287, 0.04326, 0.04151, 114269.45, 0.04278, 0.04369, 0.04543, 0.04175, 242934.39, 0.04365, 0.04462, 0.04539, 0.04262, 154085.9, 0.04471, 0.04374, 0.04523, 0.04322, 142162.87, 0.04368, 0.04866, 0.05112, 0.04322, 347212.65, 0.06733 
0.04278, 0.04369, 0.04543, 0.04175, 242934.39, 0.04365, 0.04462, 0.04539, 0.04262, 154085.9, 0.04471, 0.04374, 0.04523, 0.04322, 142162.87, 0.04368, 0.04866, 0.05112, 0.04322, 347212.65, 0.04761, 0.05127, 0.05373, 0.04691, 533786.8, 0.05801 
0.04365, 0.04462, 0.04539, 0.04262, 154085.9, 0.04471, 0.04374, 0.04523, 0.04322, 142162.87, 0.04368, 0.04866, 0.05112, 0.04322, 347212.65, 0.04761, 0.05127, 0.05373, 0.04691, 533786.8, 0.05123, 0.05571, 0.05861, 0.05079, 432360.87, 0.05713 
0.04471, 0.04374, 0.04523, 0.04322, 142162.87, 0.04368, 0.04866, 0.05112, 0.04322, 347212.65, 0.04761, 0.05127, 0.05373, 0.04691, 533786.8, 0.05123, 0.05571, 0.05861, 0.05079, 432360.87, 0.05601, 0.0567, 0.05886, 0.05264, 362316.72, 0.05631 
0.04368, 0.04866, 0.05112, 0.04322, 347212.65, 0.04761, 0.05127, 0.05373, 0.04691, 533786.8, 0.05123, 0.05571, 0.05861, 0.05079, 432360.87, 0.05601, 0.0567, 0.05886, 0.05264, 362316.72, 0.05705, 0.06611, 0.06981, 0.05686, 693253.48, 0.05315 
0.04761, 0.05127, 0.05373, 0.04691, 533786.8, 0.05123, 0.05571, 0.05861, 0.05079, 432360.87, 0.05601, 0.0567, 0.05886, 0.05264, 362316.72, 0.05705, 0.06611, 0.06981, 0.05686, 693253.48, 0.06625, 0.06714, 0.06778, 0.06388, 427161.99, 0.0555 
0.05123, 0.05571, 0.05861, 0.05079, 432360.87, 0.05601, 0.0567, 0.05886, 0.05264, 362316.72, 0.05705, 0.06611, 0.06981, 0.05686, 693253.48, 0.06625, 0.06714, 0.06778, 0.06388, 427161.99, 0.06695, 0.06733, 0.06829, 0.06383, 278186.36, 0.05625 
0.05601, 0.0567, 0.05886, 0.05264, 362316.72, 0.05705, 0.06611, 0.06981, 0.05686, 693253.48, 0.06625, 0.06714, 0.06778, 0.06388, 427161.99, 0.06695, 0.06733, 0.06829, 0.06383, 278186.36, 0.06816, 0.05801, 0.0703, 0.05174, 646968.47, 0.05488 
0.05705, 0.06611, 0.06981, 0.05686, 693253.48, 0.06625, 0.06714, 0.06778, 0.06388, 427161.99, 0.06695, 0.06733, 0.06829, 0.06383, 278186.36, 0.06816, 0.05801, 0.0703, 0.05174, 646968.47, 0.05771, 0.05713, 0.0664, 0.05179, 418368.92, 0.05409 
0.06625, 0.06714, 0.06778, 0.06388, 427161.99, 0.06695, 0.06733, 0.06829, 0.06383, 278186.36, 0.06816, 0.05801, 0.0703, 0.05174, 646968.47, 0.05771, 0.05713, 0.0664, 0.05179, 418368.92, 0.05754, 0.05631, 0.06221, 0.05411, 280817.32, 0.05425 
0.06695, 0.06733, 0.06829, 0.06383, 278186.36, 0.06816, 0.05801, 0.0703, 0.05174, 646968.47, 0.05771, 0.05713, 0.0664, 0.05179, 418368.92, 0.05754, 0.05631, 0.06221, 0.05411, 280817.32, 0.05674, 0.05315, 0.0574, 0.05309, 174898.18, 0.06105 
