@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
11.15, 3.3, 11.15, 3.3, 8.65, 3.27, 3.27, 3.27, 3.27, 0, 3.25, 3.25, 3.25, 3.25, 0, 3.3, 3.3, 3.3, 3.3, 0, 3.32, 3.32, 3.32, 3.32, 0, 3.11 
3.27, 3.27, 3.27, 3.27, 0, 3.25, 3.25, 3.25, 3.25, 0, 3.3, 3.3, 3.3, 3.3, 0, 3.32, 3.32, 3.32, 3.32, 0, 3.3, 3.3, 3.3, 3.3, 0, 3.13 
3.25, 3.25, 3.25, 3.25, 0, 3.3, 3.3, 3.3, 3.3, 0, 3.32, 3.32, 3.32, 3.32, 0, 3.3, 3.3, 3.3, 3.3, 0, 3.31, 3.31, 3.31, 3.31, 0, 3.14 
3.3, 3.3, 3.3, 3.3, 0, 3.32, 3.32, 3.32, 3.32, 0, 3.3, 3.3, 3.3, 3.3, 0, 3.31, 3.31, 3.31, 3.31, 0, 3.33, 3.33, 3.33, 3.33, 0, 8.16 
3.32, 3.32, 3.32, 3.32, 0, 3.3, 3.3, 3.3, 3.3, 0, 3.31, 3.31, 3.31, 3.31, 0, 3.33, 3.33, 3.33, 3.33, 0, 3.32, 3.32, 3.32, 3.32, 0, 8.6 
3.3, 3.3, 3.3, 3.3, 0, 3.31, 3.31, 3.31, 3.31, 0, 3.33, 3.33, 3.33, 3.33, 0, 3.32, 3.32, 3.32, 3.32, 0, 3.3, 3.3, 3.3, 3.3, 0, 8.56 
3.31, 3.31, 3.31, 3.31, 0, 3.33, 3.33, 3.33, 3.33, 0, 3.32, 3.32, 3.32, 3.32, 0, 3.3, 3.3, 3.3, 3.3, 0, 3.11, 3.11, 3.11, 3.11, 0, 8.55 
3.33, 3.33, 3.33, 3.33, 0, 3.32, 3.32, 3.32, 3.32, 0, 3.3, 3.3, 3.3, 3.3, 0, 3.11, 3.11, 3.11, 3.11, 0, 3.13, 3.13, 3.13, 3.13, 0, 3.25 
3.32, 3.32, 3.32, 3.32, 0, 3.3, 3.3, 3.3, 3.3, 0, 3.11, 3.11, 3.11, 3.11, 0, 3.13, 3.13, 3.13, 3.13, 0, 3.14, 3.14, 3.14, 3.14, 0, 3.24 
3.3, 3.3, 3.3, 3.3, 0, 3.11, 3.11, 3.11, 3.11, 0, 3.13, 3.13, 3.13, 3.13, 0, 3.14, 3.14, 3.14, 3.14, 0, 3.15, 8.16, 8.16, 3.15, 27.83, 3.25 
