@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.228, 0.2266, 0.2412, 0.2236, 156288.56, 0.2162, 0.2058, 0.2208, 0.2025, 89399.47, 0.1998, 0.203, 0.2043, 0.198, 87701.8, 0.2038, 0.2031, 0.2081, 0.2007, 57650.14, 0.2058, 0.2072, 0.2157, 0.2032, 52036.6, 0.3172 
0.2162, 0.2058, 0.2208, 0.2025, 89399.47, 0.1998, 0.203, 0.2043, 0.198, 87701.8, 0.2038, 0.2031, 0.2081, 0.2007, 57650.14, 0.2058, 0.2072, 0.2157, 0.2032, 52036.6, 0.2315, 0.2337, 0.2529, 0.2284, 136542.72, 0.3146 
0.1998, 0.203, 0.2043, 0.198, 87701.8, 0.2038, 0.2031, 0.2081, 0.2007, 57650.14, 0.2058, 0.2072, 0.2157, 0.2032, 52036.6, 0.2315, 0.2337, 0.2529, 0.2284, 136542.72, 0.2509, 0.2755, 0.2888, 0.2508, 203168.02, 0.3084 
0.2038, 0.2031, 0.2081, 0.2007, 57650.14, 0.2058, 0.2072, 0.2157, 0.2032, 52036.6, 0.2315, 0.2337, 0.2529, 0.2284, 136542.72, 0.2509, 0.2755, 0.2888, 0.2508, 203168.02, 0.2706, 0.2968, 0.3036, 0.2569, 325852.27, 0.3251 
0.2058, 0.2072, 0.2157, 0.2032, 52036.6, 0.2315, 0.2337, 0.2529, 0.2284, 136542.72, 0.2509, 0.2755, 0.2888, 0.2508, 203168.02, 0.2706, 0.2968, 0.3036, 0.2569, 325852.27, 0.3434, 0.3406, 0.3914, 0.3169, 525761.3, 0.3088 
0.2315, 0.2337, 0.2529, 0.2284, 136542.72, 0.2509, 0.2755, 0.2888, 0.2508, 203168.02, 0.2706, 0.2968, 0.3036, 0.2569, 325852.27, 0.3434, 0.3406, 0.3914, 0.3169, 525761.3, 0.3201, 0.2977, 0.3331, 0.2946, 142148.23, 0.2743 
0.2509, 0.2755, 0.2888, 0.2508, 203168.02, 0.2706, 0.2968, 0.3036, 0.2569, 325852.27, 0.3434, 0.3406, 0.3914, 0.3169, 525761.3, 0.3201, 0.2977, 0.3331, 0.2946, 142148.23, 0.3219, 0.3172, 0.3257, 0.3092, 103013.11, 0.2982 
0.2706, 0.2968, 0.3036, 0.2569, 325852.27, 0.3434, 0.3406, 0.3914, 0.3169, 525761.3, 0.3201, 0.2977, 0.3331, 0.2946, 142148.23, 0.3219, 0.3172, 0.3257, 0.3092, 103013.11, 0.3526, 0.3146, 0.3528, 0.3004, 250448.19, 0.2962 
0.3434, 0.3406, 0.3914, 0.3169, 525761.3, 0.3201, 0.2977, 0.3331, 0.2946, 142148.23, 0.3219, 0.3172, 0.3257, 0.3092, 103013.11, 0.3526, 0.3146, 0.3528, 0.3004, 250448.19, 0.3368, 0.3084, 0.3396, 0.2854, 355046.77, 0.3026 
0.3201, 0.2977, 0.3331, 0.2946, 142148.23, 0.3219, 0.3172, 0.3257, 0.3092, 103013.11, 0.3526, 0.3146, 0.3528, 0.3004, 250448.19, 0.3368, 0.3084, 0.3396, 0.2854, 355046.77, 0.2867, 0.3251, 0.3258, 0.2837, 268302.56, 0.2906 
