@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.04524, 0.0435, 0.04573, 0.04123, 550777.88, 0.04125, 0.04032, 0.04161, 0.03976, 326806.03, 0.03947, 0.03763, 0.0396, 0.03727, 279911.17, 0.03759, 0.04015, 0.04109, 0.0373, 281613.63, 0.04043, 0.03874, 0.04102, 0.03848, 257865.2, 0.04895 
0.04125, 0.04032, 0.04161, 0.03976, 326806.03, 0.03947, 0.03763, 0.0396, 0.03727, 279911.17, 0.03759, 0.04015, 0.04109, 0.0373, 281613.63, 0.04043, 0.03874, 0.04102, 0.03848, 257865.2, 0.04222, 0.04272, 0.04481, 0.04095, 829741.88, 0.04985 
0.03947, 0.03763, 0.0396, 0.03727, 279911.17, 0.03759, 0.04015, 0.04109, 0.0373, 281613.63, 0.04043, 0.03874, 0.04102, 0.03848, 257865.2, 0.04222, 0.04272, 0.04481, 0.04095, 829741.88, 0.04474, 0.04366, 0.045, 0.04206, 634435.24, 0.05217 
0.03759, 0.04015, 0.04109, 0.0373, 281613.63, 0.04043, 0.03874, 0.04102, 0.03848, 257865.2, 0.04222, 0.04272, 0.04481, 0.04095, 829741.88, 0.04474, 0.04366, 0.045, 0.04206, 634435.24, 0.0439, 0.04312, 0.04402, 0.04133, 974152.57, 0.04513 
0.04043, 0.03874, 0.04102, 0.03848, 257865.2, 0.04222, 0.04272, 0.04481, 0.04095, 829741.88, 0.04474, 0.04366, 0.045, 0.04206, 634435.24, 0.0439, 0.04312, 0.04402, 0.04133, 974152.57, 0.04775, 0.04945, 0.05064, 0.04647, 1347950.53, 0.04615 
0.04222, 0.04272, 0.04481, 0.04095, 829741.88, 0.04474, 0.04366, 0.045, 0.04206, 634435.24, 0.0439, 0.04312, 0.04402, 0.04133, 974152.57, 0.04775, 0.04945, 0.05064, 0.04647, 1347950.53, 0.04659, 0.04632, 0.04987, 0.04566, 1045090.34, 0.04073 
0.04474, 0.04366, 0.045, 0.04206, 634435.24, 0.0439, 0.04312, 0.04402, 0.04133, 974152.57, 0.04775, 0.04945, 0.05064, 0.04647, 1347950.53, 0.04659, 0.04632, 0.04987, 0.04566, 1045090.34, 0.04806, 0.04895, 0.05154, 0.04806, 754026.34, 0.04678 
0.0439, 0.04312, 0.04402, 0.04133, 974152.57, 0.04775, 0.04945, 0.05064, 0.04647, 1347950.53, 0.04659, 0.04632, 0.04987, 0.04566, 1045090.34, 0.04806, 0.04895, 0.05154, 0.04806, 754026.34, 0.04849, 0.04985, 0.0507, 0.04809, 623758.87, 0.04389 
0.04775, 0.04945, 0.05064, 0.04647, 1347950.53, 0.04659, 0.04632, 0.04987, 0.04566, 1045090.34, 0.04806, 0.04895, 0.05154, 0.04806, 754026.34, 0.04849, 0.04985, 0.0507, 0.04809, 623758.87, 0.05078, 0.05217, 0.05478, 0.05025, 1266569.61, 0.04492 
0.04659, 0.04632, 0.04987, 0.04566, 1045090.34, 0.04806, 0.04895, 0.05154, 0.04806, 754026.34, 0.04849, 0.04985, 0.0507, 0.04809, 623758.87, 0.05078, 0.05217, 0.05478, 0.05025, 1266569.61, 0.04901, 0.04513, 0.04939, 0.04429, 587315.45, 0.04493 
