@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
1.201, 1.189, 1.207, 1.186, 1581799, 1.128, 1.124, 1.133, 1.117, 1342801, 1.101, 1.106, 1.112, 1.093, 1584671.27, 1.105, 1.109, 1.129, 1.097, 1910754.57, 1.117, 1.135, 1.148, 1.116, 1583438.15, 1.466 
1.128, 1.124, 1.133, 1.117, 1342801, 1.101, 1.106, 1.112, 1.093, 1584671.27, 1.105, 1.109, 1.129, 1.097, 1910754.57, 1.117, 1.135, 1.148, 1.116, 1583438.15, 1.238, 1.24, 1.262, 1.228, 1287305.19, 1.488 
1.101, 1.106, 1.112, 1.093, 1584671.27, 1.105, 1.109, 1.129, 1.097, 1910754.57, 1.117, 1.135, 1.148, 1.116, 1583438.15, 1.238, 1.24, 1.262, 1.228, 1287305.19, 1.298, 1.334, 1.339, 1.274, 1442491.91, 1.503 
1.105, 1.109, 1.129, 1.097, 1910754.57, 1.117, 1.135, 1.148, 1.116, 1583438.15, 1.238, 1.24, 1.262, 1.228, 1287305.19, 1.298, 1.334, 1.339, 1.274, 1442491.91, 1.341, 1.459, 1.564, 1.329, 5046860.31, 1.422 
1.117, 1.135, 1.148, 1.116, 1583438.15, 1.238, 1.24, 1.262, 1.228, 1287305.19, 1.298, 1.334, 1.339, 1.274, 1442491.91, 1.341, 1.459, 1.564, 1.329, 5046860.31, 1.615, 1.572, 1.636, 1.531, 3276199.32, 1.459 
1.238, 1.24, 1.262, 1.228, 1287305.19, 1.298, 1.334, 1.339, 1.274, 1442491.91, 1.341, 1.459, 1.564, 1.329, 5046860.31, 1.615, 1.572, 1.636, 1.531, 3276199.32, 1.482, 1.411, 1.535, 1.388, 1941985.73, 1.334 
1.298, 1.334, 1.339, 1.274, 1442491.91, 1.341, 1.459, 1.564, 1.329, 5046860.31, 1.615, 1.572, 1.636, 1.531, 3276199.32, 1.482, 1.411, 1.535, 1.388, 1941985.73, 1.464, 1.466, 1.483, 1.44, 1225615.95, 1.48 
1.341, 1.459, 1.564, 1.329, 5046860.31, 1.615, 1.572, 1.636, 1.531, 3276199.32, 1.482, 1.411, 1.535, 1.388, 1941985.73, 1.464, 1.466, 1.483, 1.44, 1225615.95, 1.452, 1.488, 1.539, 1.437, 1720079.25, 1.407 
1.615, 1.572, 1.636, 1.531, 3276199.32, 1.482, 1.411, 1.535, 1.388, 1941985.73, 1.464, 1.466, 1.483, 1.44, 1225615.95, 1.452, 1.488, 1.539, 1.437, 1720079.25, 1.516, 1.503, 1.564, 1.483, 2060804.78, 1.443 
1.482, 1.411, 1.535, 1.388, 1941985.73, 1.464, 1.466, 1.483, 1.44, 1225615.95, 1.452, 1.488, 1.539, 1.437, 1720079.25, 1.516, 1.503, 1.564, 1.483, 2060804.78, 1.412, 1.422, 1.445, 1.391, 1433205.77, 1.311 
1.464, 1.466, 1.483, 1.44, 1225615.95, 1.452, 1.488, 1.539, 1.437, 1720079.25, 1.516, 1.503, 1.564, 1.483, 2060804.78, 1.412, 1.422, 1.445, 1.391, 1433205.77, 1.428, 1.459, 1.466, 1.405, 1562020.31, 1.379 
1.452, 1.488, 1.539, 1.437, 1720079.25, 1.516, 1.503, 1.564, 1.483, 2060804.78, 1.412, 1.422, 1.445, 1.391, 1433205.77, 1.428, 1.459, 1.466, 1.405, 1562020.31, 1.383, 1.334, 1.46, 1.331, 1746907.08, 1.403 
1.516, 1.503, 1.564, 1.483, 2060804.78, 1.412, 1.422, 1.445, 1.391, 1433205.77, 1.428, 1.459, 1.466, 1.405, 1562020.31, 1.383, 1.334, 1.46, 1.331, 1746907.08, 1.445, 1.48, 1.503, 1.426, 1717668.85, 1.331 
1.412, 1.422, 1.445, 1.391, 1433205.77, 1.428, 1.459, 1.466, 1.405, 1562020.31, 1.383, 1.334, 1.46, 1.331, 1746907.08, 1.445, 1.48, 1.503, 1.426, 1717668.85, 1.424, 1.407, 1.494, 1.4, 1378645.56, 1.353 
1.428, 1.459, 1.466, 1.405, 1562020.31, 1.383, 1.334, 1.46, 1.331, 1746907.08, 1.445, 1.48, 1.503, 1.426, 1717668.85, 1.424, 1.407, 1.494, 1.4, 1378645.56, 1.444, 1.443, 1.485, 1.437, 1005047.38, 1.346 
1.383, 1.334, 1.46, 1.331, 1746907.08, 1.445, 1.48, 1.503, 1.426, 1717668.85, 1.424, 1.407, 1.494, 1.4, 1378645.56, 1.444, 1.443, 1.485, 1.437, 1005047.38, 1.388, 1.311, 1.393, 1.306, 1413127.59, 1.432 
1.445, 1.48, 1.503, 1.426, 1717668.85, 1.424, 1.407, 1.494, 1.4, 1378645.56, 1.444, 1.443, 1.485, 1.437, 1005047.38, 1.388, 1.311, 1.393, 1.306, 1413127.59, 1.357, 1.379, 1.391, 1.344, 966320.49, 1.371 
1.424, 1.407, 1.494, 1.4, 1378645.56, 1.444, 1.443, 1.485, 1.437, 1005047.38, 1.388, 1.311, 1.393, 1.306, 1413127.59, 1.357, 1.379, 1.391, 1.344, 966320.49, 1.407, 1.403, 1.415, 1.393, 871188.8, 1.377 
1.444, 1.443, 1.485, 1.437, 1005047.38, 1.388, 1.311, 1.393, 1.306, 1413127.59, 1.357, 1.379, 1.391, 1.344, 966320.49, 1.407, 1.403, 1.415, 1.393, 871188.8, 1.359, 1.331, 1.361, 1.321, 705252.83, 1.376 
1.388, 1.311, 1.393, 1.306, 1413127.59, 1.357, 1.379, 1.391, 1.344, 966320.49, 1.407, 1.403, 1.415, 1.393, 871188.8, 1.359, 1.331, 1.361, 1.321, 705252.83, 1.345, 1.353, 1.361, 1.33, 941678.41, 1.219 
1.357, 1.379, 1.391, 1.344, 966320.49, 1.407, 1.403, 1.415, 1.393, 871188.8, 1.359, 1.331, 1.361, 1.321, 705252.83, 1.345, 1.353, 1.361, 1.33, 941678.41, 1.347, 1.346, 1.353, 1.331, 1254505.84, 1.214 
1.407, 1.403, 1.415, 1.393, 871188.8, 1.359, 1.331, 1.361, 1.321, 705252.83, 1.345, 1.353, 1.361, 1.33, 941678.41, 1.347, 1.346, 1.353, 1.331, 1254505.84, 1.432, 1.432, 1.452, 1.423, 1007837.19, 1.243 
1.359, 1.331, 1.361, 1.321, 705252.83, 1.345, 1.353, 1.361, 1.33, 941678.41, 1.347, 1.346, 1.353, 1.331, 1254505.84, 1.432, 1.432, 1.452, 1.423, 1007837.19, 1.414, 1.371, 1.415, 1.371, 880177.32, 1.169 
1.345, 1.353, 1.361, 1.33, 941678.41, 1.347, 1.346, 1.353, 1.331, 1254505.84, 1.432, 1.432, 1.452, 1.423, 1007837.19, 1.414, 1.371, 1.415, 1.371, 880177.32, 1.368, 1.377, 1.378, 1.331, 1136836.38, 1.23 
1.347, 1.346, 1.353, 1.331, 1254505.84, 1.432, 1.432, 1.452, 1.423, 1007837.19, 1.414, 1.371, 1.415, 1.371, 880177.32, 1.368, 1.377, 1.378, 1.331, 1136836.38, 1.38, 1.376, 1.399, 1.365, 1179875.02, 1.188 
1.432, 1.432, 1.452, 1.423, 1007837.19, 1.414, 1.371, 1.415, 1.371, 880177.32, 1.368, 1.377, 1.378, 1.331, 1136836.38, 1.38, 1.376, 1.399, 1.365, 1179875.02, 1.247, 1.219, 1.257, 1.193, 1378440.6, 1.207 
1.414, 1.371, 1.415, 1.371, 880177.32, 1.368, 1.377, 1.378, 1.331, 1136836.38, 1.38, 1.376, 1.399, 1.365, 1179875.02, 1.247, 1.219, 1.257, 1.193, 1378440.6, 1.219, 1.214, 1.242, 1.212, 816993.48, 1.27 
1.368, 1.377, 1.378, 1.331, 1136836.38, 1.38, 1.376, 1.399, 1.365, 1179875.02, 1.247, 1.219, 1.257, 1.193, 1378440.6, 1.219, 1.214, 1.242, 1.212, 816993.48, 1.212, 1.243, 1.251, 1.205, 840410.76, 1.254 
1.38, 1.376, 1.399, 1.365, 1179875.02, 1.247, 1.219, 1.257, 1.193, 1378440.6, 1.219, 1.214, 1.242, 1.212, 816993.48, 1.212, 1.243, 1.251, 1.205, 840410.76, 1.205, 1.169, 1.21, 1.157, 957941.63, 1.285 
1.247, 1.219, 1.257, 1.193, 1378440.6, 1.219, 1.214, 1.242, 1.212, 816993.48, 1.212, 1.243, 1.251, 1.205, 840410.76, 1.205, 1.169, 1.21, 1.157, 957941.63, 1.22, 1.23, 1.238, 1.206, 876927.21, 1.223 
1.219, 1.214, 1.242, 1.212, 816993.48, 1.212, 1.243, 1.251, 1.205, 840410.76, 1.205, 1.169, 1.21, 1.157, 957941.63, 1.22, 1.23, 1.238, 1.206, 876927.21, 1.202, 1.188, 1.208, 1.184, 872237.56, 1.239 
1.212, 1.243, 1.251, 1.205, 840410.76, 1.205, 1.169, 1.21, 1.157, 957941.63, 1.22, 1.23, 1.238, 1.206, 876927.21, 1.202, 1.188, 1.208, 1.184, 872237.56, 1.196, 1.207, 1.217, 1.192, 858473.92, 1.25 
1.205, 1.169, 1.21, 1.157, 957941.63, 1.22, 1.23, 1.238, 1.206, 876927.21, 1.202, 1.188, 1.208, 1.184, 872237.56, 1.196, 1.207, 1.217, 1.192, 858473.92, 1.221, 1.27, 1.277, 1.221, 1082844.15, 1.242 
1.22, 1.23, 1.238, 1.206, 876927.21, 1.202, 1.188, 1.208, 1.184, 872237.56, 1.196, 1.207, 1.217, 1.192, 858473.92, 1.221, 1.27, 1.277, 1.221, 1082844.15, 1.257, 1.254, 1.264, 1.229, 931876.18, 1.268 
1.202, 1.188, 1.208, 1.184, 872237.56, 1.196, 1.207, 1.217, 1.192, 858473.92, 1.221, 1.27, 1.277, 1.221, 1082844.15, 1.257, 1.254, 1.264, 1.229, 931876.18, 1.282, 1.285, 1.291, 1.265, 1325554.14, 1.238 
1.196, 1.207, 1.217, 1.192, 858473.92, 1.221, 1.27, 1.277, 1.221, 1082844.15, 1.257, 1.254, 1.264, 1.229, 931876.18, 1.282, 1.285, 1.291, 1.265, 1325554.14, 1.229, 1.223, 1.236, 1.212, 1028695.29, 1.219 
1.221, 1.27, 1.277, 1.221, 1082844.15, 1.257, 1.254, 1.264, 1.229, 931876.18, 1.282, 1.285, 1.291, 1.265, 1325554.14, 1.229, 1.223, 1.236, 1.212, 1028695.29, 1.224, 1.239, 1.254, 1.22, 1187284.15, 1.187 
1.257, 1.254, 1.264, 1.229, 931876.18, 1.282, 1.285, 1.291, 1.265, 1325554.14, 1.229, 1.223, 1.236, 1.212, 1028695.29, 1.224, 1.239, 1.254, 1.22, 1187284.15, 1.25, 1.25, 1.265, 1.162, 1083937.52, 1.124 
1.282, 1.285, 1.291, 1.265, 1325554.14, 1.229, 1.223, 1.236, 1.212, 1028695.29, 1.224, 1.239, 1.254, 1.22, 1187284.15, 1.25, 1.25, 1.265, 1.162, 1083937.52, 1.24, 1.242, 1.255, 1.231, 836595.9, 1.096 
1.229, 1.223, 1.236, 1.212, 1028695.29, 1.224, 1.239, 1.254, 1.22, 1187284.15, 1.25, 1.25, 1.265, 1.162, 1083937.52, 1.24, 1.242, 1.255, 1.231, 836595.9, 1.251, 1.268, 1.312, 1.246, 1308503.83, 1.116 
1.224, 1.239, 1.254, 1.22, 1187284.15, 1.25, 1.25, 1.265, 1.162, 1083937.52, 1.24, 1.242, 1.255, 1.231, 836595.9, 1.251, 1.268, 1.312, 1.246, 1308503.83, 1.262, 1.238, 1.265, 1.231, 746326.64, 1.093 
1.25, 1.25, 1.265, 1.162, 1083937.52, 1.24, 1.242, 1.255, 1.231, 836595.9, 1.251, 1.268, 1.312, 1.246, 1308503.83, 1.262, 1.238, 1.265, 1.231, 746326.64, 1.243, 1.219, 1.244, 1.217, 463671.36, 1.085 
1.24, 1.242, 1.255, 1.231, 836595.9, 1.251, 1.268, 1.312, 1.246, 1308503.83, 1.262, 1.238, 1.265, 1.231, 746326.64, 1.243, 1.219, 1.244, 1.217, 463671.36, 1.209, 1.187, 1.217, 1.182, 851226.05, 1.116 
1.251, 1.268, 1.312, 1.246, 1308503.83, 1.262, 1.238, 1.265, 1.231, 746326.64, 1.243, 1.219, 1.244, 1.217, 463671.36, 1.209, 1.187, 1.217, 1.182, 851226.05, 1.15, 1.124, 1.154, 1.075, 1531141.26, 1.107 
1.262, 1.238, 1.265, 1.231, 746326.64, 1.243, 1.219, 1.244, 1.217, 463671.36, 1.209, 1.187, 1.217, 1.182, 851226.05, 1.15, 1.124, 1.154, 1.075, 1531141.26, 1.113, 1.096, 1.122, 1.082, 945501.36, 1.101 
1.243, 1.219, 1.244, 1.217, 463671.36, 1.209, 1.187, 1.217, 1.182, 851226.05, 1.15, 1.124, 1.154, 1.075, 1531141.26, 1.113, 1.096, 1.122, 1.082, 945501.36, 1.112, 1.116, 1.141, 1.105, 762089.81, 1.097 
1.209, 1.187, 1.217, 1.182, 851226.05, 1.15, 1.124, 1.154, 1.075, 1531141.26, 1.113, 1.096, 1.122, 1.082, 945501.36, 1.112, 1.116, 1.141, 1.105, 762089.81, 1.105, 1.093, 1.118, 1.08, 738899.19, 1.045 
1.15, 1.124, 1.154, 1.075, 1531141.26, 1.113, 1.096, 1.122, 1.082, 945501.36, 1.112, 1.116, 1.141, 1.105, 762089.81, 1.105, 1.093, 1.118, 1.08, 738899.19, 1.101, 1.085, 1.104, 1.08, 659761.93, 1.059 
