@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
61.54, 61.1, 63.03, 59.82, 22234678.08, 61.1, 60.28, 62.06, 59.32, 16058989.52, 60.28, 59.34, 61.51, 58.86, 14348240.61, 59.34, 57.36, 59.42, 56.53, 16982307.16, 57.36, 58.14, 59.11, 57.25, 12834825.56, 57.82 
61.1, 60.28, 62.06, 59.32, 16058989.52, 60.28, 59.34, 61.51, 58.86, 14348240.61, 59.34, 57.36, 59.42, 56.53, 16982307.16, 57.36, 58.14, 59.11, 57.25, 12834825.56, 58.14, 58.75, 59.62, 57.44, 11139571.86, 50.81 
60.28, 59.34, 61.51, 58.86, 14348240.61, 59.34, 57.36, 59.42, 56.53, 16982307.16, 57.36, 58.14, 59.11, 57.25, 12834825.56, 58.14, 58.75, 59.62, 57.44, 11139571.86, 58.75, 57.82, 58.9, 56.85, 9412964.14, 53.3 
59.34, 57.36, 59.42, 56.53, 16982307.16, 57.36, 58.14, 59.11, 57.25, 12834825.56, 58.14, 58.75, 59.62, 57.44, 11139571.86, 58.75, 57.82, 58.9, 56.85, 9412964.14, 57.82, 58.09, 58.42, 56.9, 8527372.33, 53.42 
57.36, 58.14, 59.11, 57.25, 12834825.56, 58.14, 58.75, 59.62, 57.44, 11139571.86, 58.75, 57.82, 58.9, 56.85, 9412964.14, 57.82, 58.09, 58.42, 56.9, 8527372.33, 58.09, 59.44, 59.98, 57.53, 14795858.33, 51.94 
58.14, 58.75, 59.62, 57.44, 11139571.86, 58.75, 57.82, 58.9, 56.85, 9412964.14, 57.82, 58.09, 58.42, 56.9, 8527372.33, 58.09, 59.44, 59.98, 57.53, 14795858.33, 59.44, 58.68, 59.6, 58.19, 7870889.01, 54.68 
58.75, 57.82, 58.9, 56.85, 9412964.14, 57.82, 58.09, 58.42, 56.9, 8527372.33, 58.09, 59.44, 59.98, 57.53, 14795858.33, 59.44, 58.68, 59.6, 58.19, 7870889.01, 58.68, 57.82, 58.7, 57.06, 10107784.82, 53.9 
57.82, 58.09, 58.42, 56.9, 8527372.33, 58.09, 59.44, 59.98, 57.53, 14795858.33, 59.44, 58.68, 59.6, 58.19, 7870889.01, 58.68, 57.82, 58.7, 57.06, 10107784.82, 57.82, 50.81, 57.85, 50.2, 33178540.45, 53.67 
58.09, 59.44, 59.98, 57.53, 14795858.33, 59.44, 58.68, 59.6, 58.19, 7870889.01, 58.68, 57.82, 58.7, 57.06, 10107784.82, 57.82, 50.81, 57.85, 50.2, 33178540.45, 50.81, 53.3, 53.68, 50.44, 15424191.18, 52.35 
59.44, 58.68, 59.6, 58.19, 7870889.01, 58.68, 57.82, 58.7, 57.06, 10107784.82, 57.82, 50.81, 57.85, 50.2, 33178540.45, 50.81, 53.3, 53.68, 50.44, 15424191.18, 53.3, 53.42, 54.3, 52.95, 8377524.16, 52.81 
58.68, 57.82, 58.7, 57.06, 10107784.82, 57.82, 50.81, 57.85, 50.2, 33178540.45, 50.81, 53.3, 53.68, 50.44, 15424191.18, 53.3, 53.42, 54.3, 52.95, 8377524.16, 53.42, 51.94, 53.77, 51.65, 9270241.16, 53.31 
57.82, 50.81, 57.85, 50.2, 33178540.45, 50.81, 53.3, 53.68, 50.44, 15424191.18, 53.3, 53.42, 54.3, 52.95, 8377524.16, 53.42, 51.94, 53.77, 51.65, 9270241.16, 51.94, 54.68, 58.55, 51.59, 38556427.38, 52.76 
50.81, 53.3, 53.68, 50.44, 15424191.18, 53.3, 53.42, 54.3, 52.95, 8377524.16, 53.42, 51.94, 53.77, 51.65, 9270241.16, 51.94, 54.68, 58.55, 51.59, 38556427.38, 54.68, 53.9, 55.49, 53.28, 11032317.54, 52.12 
53.3, 53.42, 54.3, 52.95, 8377524.16, 53.42, 51.94, 53.77, 51.65, 9270241.16, 51.94, 54.68, 58.55, 51.59, 38556427.38, 54.68, 53.9, 55.49, 53.28, 11032317.54, 53.9, 53.67, 53.93, 52.94, 9685583.74, 52.6 
53.42, 51.94, 53.77, 51.65, 9270241.16, 51.94, 54.68, 58.55, 51.59, 38556427.38, 54.68, 53.9, 55.49, 53.28, 11032317.54, 53.9, 53.67, 53.93, 52.94, 9685583.74, 53.67, 52.35, 54.26, 51.79, 8603917.57, 52.27 
51.94, 54.68, 58.55, 51.59, 38556427.38, 54.68, 53.9, 55.49, 53.28, 11032317.54, 53.9, 53.67, 53.93, 52.94, 9685583.74, 53.67, 52.35, 54.26, 51.79, 8603917.57, 52.35, 52.81, 53.62, 51.93, 7968796.5, 52.17 
54.68, 53.9, 55.49, 53.28, 11032317.54, 53.9, 53.67, 53.93, 52.94, 9685583.74, 53.67, 52.35, 54.26, 51.79, 8603917.57, 52.35, 52.81, 53.62, 51.93, 7968796.5, 52.81, 53.31, 53.45, 52.43, 4957710.17, 52.05 
53.9, 53.67, 53.93, 52.94, 9685583.74, 53.67, 52.35, 54.26, 51.79, 8603917.57, 52.35, 52.81, 53.62, 51.93, 7968796.5, 52.81, 53.31, 53.45, 52.43, 4957710.17, 53.31, 52.76, 53.76, 52.58, 5265483.32, 51.9 
53.67, 52.35, 54.26, 51.79, 8603917.57, 52.35, 52.81, 53.62, 51.93, 7968796.5, 52.81, 53.31, 53.45, 52.43, 4957710.17, 53.31, 52.76, 53.76, 52.58, 5265483.32, 52.76, 52.12, 53.08, 51.93, 6863650.51, 51.79 
52.35, 52.81, 53.62, 51.93, 7968796.5, 52.81, 53.31, 53.45, 52.43, 4957710.17, 53.31, 52.76, 53.76, 52.58, 5265483.32, 52.76, 52.12, 53.08, 51.93, 6863650.51, 52.12, 52.6, 53.1, 51.85, 7162957.13, 48.71 
52.81, 53.31, 53.45, 52.43, 4957710.17, 53.31, 52.76, 53.76, 52.58, 5265483.32, 52.76, 52.12, 53.08, 51.93, 6863650.51, 52.12, 52.6, 53.1, 51.85, 7162957.13, 52.6, 52.27, 53.08, 52, 5846770.19, 49.04 
53.31, 52.76, 53.76, 52.58, 5265483.32, 52.76, 52.12, 53.08, 51.93, 6863650.51, 52.12, 52.6, 53.1, 51.85, 7162957.13, 52.6, 52.27, 53.08, 52, 5846770.19, 52.27, 52.17, 53.02, 51.96, 4499207.08, 49.68 
52.76, 52.12, 53.08, 51.93, 6863650.51, 52.12, 52.6, 53.1, 51.85, 7162957.13, 52.6, 52.27, 53.08, 52, 5846770.19, 52.27, 52.17, 53.02, 51.96, 4499207.08, 52.17, 52.05, 52.87, 51.62, 7971072.54, 50.33 
52.12, 52.6, 53.1, 51.85, 7162957.13, 52.6, 52.27, 53.08, 52, 5846770.19, 52.27, 52.17, 53.02, 51.96, 4499207.08, 52.17, 52.05, 52.87, 51.62, 7971072.54, 52.05, 51.9, 52.29, 51.6, 4184309.48, 51.41 
52.6, 52.27, 53.08, 52, 5846770.19, 52.27, 52.17, 53.02, 51.96, 4499207.08, 52.17, 52.05, 52.87, 51.62, 7971072.54, 52.05, 51.9, 52.29, 51.6, 4184309.48, 51.9, 51.79, 52.12, 51.45, 4570047.95, 50.82 
52.27, 52.17, 53.02, 51.96, 4499207.08, 52.17, 52.05, 52.87, 51.62, 7971072.54, 52.05, 51.9, 52.29, 51.6, 4184309.48, 51.9, 51.79, 52.12, 51.45, 4570047.95, 51.79, 48.71, 51.9, 47.74, 15297627.44, 54.23 
52.17, 52.05, 52.87, 51.62, 7971072.54, 52.05, 51.9, 52.29, 51.6, 4184309.48, 51.9, 51.79, 52.12, 51.45, 4570047.95, 51.79, 48.71, 51.9, 47.74, 15297627.44, 48.71, 49.04, 49.42, 48.55, 7094527.04, 53.64 
52.05, 51.9, 52.29, 51.6, 4184309.48, 51.9, 51.79, 52.12, 51.45, 4570047.95, 51.79, 48.71, 51.9, 47.74, 15297627.44, 48.71, 49.04, 49.42, 48.55, 7094527.04, 49.04, 49.68, 50.44, 47.79, 8946708.77, 56.03 
51.9, 51.79, 52.12, 51.45, 4570047.95, 51.79, 48.71, 51.9, 47.74, 15297627.44, 48.71, 49.04, 49.42, 48.55, 7094527.04, 49.04, 49.68, 50.44, 47.79, 8946708.77, 49.67, 50.33, 50.56, 49.6, 5943413.17, 54.06 
51.79, 48.71, 51.9, 47.74, 15297627.44, 48.71, 49.04, 49.42, 48.55, 7094527.04, 49.04, 49.68, 50.44, 47.79, 8946708.77, 49.67, 50.33, 50.56, 49.6, 5943413.17, 50.33, 51.41, 51.89, 50.25, 8148048.8, 52.28 
48.71, 49.04, 49.42, 48.55, 7094527.04, 49.04, 49.68, 50.44, 47.79, 8946708.77, 49.67, 50.33, 50.56, 49.6, 5943413.17, 50.33, 51.41, 51.89, 50.25, 8148048.8, 51.41, 50.82, 51.46, 50.52, 4418994.57, 51.89 
49.04, 49.68, 50.44, 47.79, 8946708.77, 49.67, 50.33, 50.56, 49.6, 5943413.17, 50.33, 51.41, 51.89, 50.25, 8148048.8, 51.41, 50.82, 51.46, 50.52, 4418994.57, 50.82, 54.23, 56.07, 50.66, 16414380.4, 52.18 
