@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1396, 0.1412, 0.1416, 0.1387, 142264.45, 0.1339, 0.1296, 0.1376, 0.1286, 133562.07, 0.1269, 0.1268, 0.1284, 0.1261, 119386.67, 0.1267, 0.126, 0.1276, 0.1254, 82299.2, 0.1269, 0.1255, 0.128, 0.1236, 174511.43, 0.1497 
0.1339, 0.1296, 0.1376, 0.1286, 133562.07, 0.1269, 0.1268, 0.1284, 0.1261, 119386.67, 0.1267, 0.126, 0.1276, 0.1254, 82299.2, 0.1269, 0.1255, 0.128, 0.1236, 174511.43, 0.1368, 0.1371, 0.1371, 0.1321, 175896, 0.1527 
0.1269, 0.1268, 0.1284, 0.1261, 119386.67, 0.1267, 0.126, 0.1276, 0.1254, 82299.2, 0.1269, 0.1255, 0.128, 0.1236, 174511.43, 0.1368, 0.1371, 0.1371, 0.1321, 175896, 0.1436, 0.1387, 0.1438, 0.1354, 236349.67, 0.1609 
0.1267, 0.126, 0.1276, 0.1254, 82299.2, 0.1269, 0.1255, 0.128, 0.1236, 174511.43, 0.1368, 0.1371, 0.1371, 0.1321, 175896, 0.1436, 0.1387, 0.1438, 0.1354, 236349.67, 0.1395, 0.1416, 0.1425, 0.1389, 167821.65, 0.1401 
0.1269, 0.1255, 0.128, 0.1236, 174511.43, 0.1368, 0.1371, 0.1371, 0.1321, 175896, 0.1436, 0.1387, 0.1438, 0.1354, 236349.67, 0.1395, 0.1416, 0.1425, 0.1389, 167821.65, 0.1568, 0.1564, 0.1589, 0.1533, 349717.59, 0.1408 
0.1368, 0.1371, 0.1371, 0.1321, 175896, 0.1436, 0.1387, 0.1438, 0.1354, 236349.67, 0.1395, 0.1416, 0.1425, 0.1389, 167821.65, 0.1568, 0.1564, 0.1589, 0.1533, 349717.59, 0.1474, 0.1393, 0.1475, 0.1353, 289340.14, 0.1289 
0.1436, 0.1387, 0.1438, 0.1354, 236349.67, 0.1395, 0.1416, 0.1425, 0.1389, 167821.65, 0.1568, 0.1564, 0.1589, 0.1533, 349717.59, 0.1474, 0.1393, 0.1475, 0.1353, 289340.14, 0.1446, 0.1497, 0.1505, 0.144, 152953.84, 0.1393 
0.1395, 0.1416, 0.1425, 0.1389, 167821.65, 0.1568, 0.1564, 0.1589, 0.1533, 349717.59, 0.1474, 0.1393, 0.1475, 0.1353, 289340.14, 0.1446, 0.1497, 0.1505, 0.144, 152953.84, 0.1483, 0.1527, 0.1535, 0.1483, 252081.9, 0.1356 
0.1568, 0.1564, 0.1589, 0.1533, 349717.59, 0.1474, 0.1393, 0.1475, 0.1353, 289340.14, 0.1446, 0.1497, 0.1505, 0.144, 152953.84, 0.1483, 0.1527, 0.1535, 0.1483, 252081.9, 0.1555, 0.1609, 0.1627, 0.1547, 275013.22, 0.1364 
0.1474, 0.1393, 0.1475, 0.1353, 289340.14, 0.1446, 0.1497, 0.1505, 0.144, 152953.84, 0.1483, 0.1527, 0.1535, 0.1483, 252081.9, 0.1555, 0.1609, 0.1627, 0.1547, 275013.22, 0.1512, 0.1401, 0.1515, 0.1395, 218989.79, 0.1333 
0.1446, 0.1497, 0.1505, 0.144, 152953.84, 0.1483, 0.1527, 0.1535, 0.1483, 252081.9, 0.1555, 0.1609, 0.1627, 0.1547, 275013.22, 0.1512, 0.1401, 0.1515, 0.1395, 218989.79, 0.1406, 0.1408, 0.1427, 0.1398, 199505.46, 0.1411 
