@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.23, 0.2303, 0.2356, 0.212, 280797.62, 0.2224, 0.2265, 0.2339, 0.2131, 252558.15, 0.2227, 0.2256, 0.229, 0.2074, 260074.13, 0.2132, 0.2178, 0.2228, 0.2044, 259996.73, 0.2211, 0.2246, 0.2271, 0.2065, 245862.85, 0.2354 
0.2224, 0.2265, 0.2339, 0.2131, 252558.15, 0.2227, 0.2256, 0.229, 0.2074, 260074.13, 0.2132, 0.2178, 0.2228, 0.2044, 259996.73, 0.2211, 0.2246, 0.2271, 0.2065, 245862.85, 0.2329, 0.23, 0.2329, 0.2281, 328956.63, 0.212 
0.2227, 0.2256, 0.229, 0.2074, 260074.13, 0.2132, 0.2178, 0.2228, 0.2044, 259996.73, 0.2211, 0.2246, 0.2271, 0.2065, 245862.85, 0.2329, 0.23, 0.2329, 0.2281, 328956.63, 0.2266, 0.2356, 0.248, 0.2251, 311729.49, 0.2238 
0.2132, 0.2178, 0.2228, 0.2044, 259996.73, 0.2211, 0.2246, 0.2271, 0.2065, 245862.85, 0.2329, 0.23, 0.2329, 0.2281, 328956.63, 0.2266, 0.2356, 0.248, 0.2251, 311729.49, 0.2372, 0.2396, 0.2572, 0.2138, 308143.37, 0.213 
0.2211, 0.2246, 0.2271, 0.2065, 245862.85, 0.2329, 0.23, 0.2329, 0.2281, 328956.63, 0.2266, 0.2356, 0.248, 0.2251, 311729.49, 0.2372, 0.2396, 0.2572, 0.2138, 308143.37, 0.2449, 0.2319, 0.2605, 0.2147, 235221.53, 0.2127 
0.2329, 0.23, 0.2329, 0.2281, 328956.63, 0.2266, 0.2356, 0.248, 0.2251, 311729.49, 0.2372, 0.2396, 0.2572, 0.2138, 308143.37, 0.2449, 0.2319, 0.2605, 0.2147, 235221.53, 0.2352, 0.2364, 0.2562, 0.2207, 229697.15, 0.2222 
0.2266, 0.2356, 0.248, 0.2251, 311729.49, 0.2372, 0.2396, 0.2572, 0.2138, 308143.37, 0.2449, 0.2319, 0.2605, 0.2147, 235221.53, 0.2352, 0.2364, 0.2562, 0.2207, 229697.15, 0.2311, 0.2354, 0.2388, 0.2302, 133418.51, 0.2197 
0.2372, 0.2396, 0.2572, 0.2138, 308143.37, 0.2449, 0.2319, 0.2605, 0.2147, 235221.53, 0.2352, 0.2364, 0.2562, 0.2207, 229697.15, 0.2311, 0.2354, 0.2388, 0.2302, 133418.51, 0.198, 0.212, 0.2183, 0.1936, 267608.16, 0.2171 
0.2449, 0.2319, 0.2605, 0.2147, 235221.53, 0.2352, 0.2364, 0.2562, 0.2207, 229697.15, 0.2311, 0.2354, 0.2388, 0.2302, 133418.51, 0.198, 0.212, 0.2183, 0.1936, 267608.16, 0.2185, 0.2238, 0.2504, 0.2028, 217417.81, 0.2383 
0.2352, 0.2364, 0.2562, 0.2207, 229697.15, 0.2311, 0.2354, 0.2388, 0.2302, 133418.51, 0.198, 0.212, 0.2183, 0.1936, 267608.16, 0.2185, 0.2238, 0.2504, 0.2028, 217417.81, 0.2274, 0.213, 0.2465, 0.2038, 230193.02, 0.2288 
