@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.0541, 0.05427, 0.05465, 0.05173, 1500019.3, 0.05146, 0.04816, 0.05159, 0.04802, 1036941.65, 0.04714, 0.04329, 0.04818, 0.04277, 1165635.79, 0.04325, 0.04251, 0.04451, 0.04144, 890789.67, 0.04281, 0.04531, 0.04671, 0.04268, 937620.43, 0.05752 
0.05146, 0.04816, 0.05159, 0.04802, 1036941.65, 0.04714, 0.04329, 0.04818, 0.04277, 1165635.79, 0.04325, 0.04251, 0.04451, 0.04144, 890789.67, 0.04281, 0.04531, 0.04671, 0.04268, 937620.43, 0.04939, 0.04886, 0.05152, 0.0485, 1057076.11, 0.05699 
0.04714, 0.04329, 0.04818, 0.04277, 1165635.79, 0.04325, 0.04251, 0.04451, 0.04144, 890789.67, 0.04281, 0.04531, 0.04671, 0.04268, 937620.43, 0.04939, 0.04886, 0.05152, 0.0485, 1057076.11, 0.05117, 0.04946, 0.05139, 0.04827, 1321260.31, 0.05511 
0.04325, 0.04251, 0.04451, 0.04144, 890789.67, 0.04281, 0.04531, 0.04671, 0.04268, 937620.43, 0.04939, 0.04886, 0.05152, 0.0485, 1057076.11, 0.05117, 0.04946, 0.05139, 0.04827, 1321260.31, 0.04973, 0.04723, 0.05149, 0.04719, 1246794.22, 0.04997 
0.04281, 0.04531, 0.04671, 0.04268, 937620.43, 0.04939, 0.04886, 0.05152, 0.0485, 1057076.11, 0.05117, 0.04946, 0.05139, 0.04827, 1321260.31, 0.04973, 0.04723, 0.05149, 0.04719, 1246794.22, 0.0523, 0.05379, 0.05586, 0.05139, 1431109.09, 0.04965 
0.04939, 0.04886, 0.05152, 0.0485, 1057076.11, 0.05117, 0.04946, 0.05139, 0.04827, 1321260.31, 0.04973, 0.04723, 0.05149, 0.04719, 1246794.22, 0.0523, 0.05379, 0.05586, 0.05139, 1431109.09, 0.05068, 0.05462, 0.05657, 0.04963, 2257591.72, 0.04437 
0.05117, 0.04946, 0.05139, 0.04827, 1321260.31, 0.04973, 0.04723, 0.05149, 0.04719, 1246794.22, 0.0523, 0.05379, 0.05586, 0.05139, 1431109.09, 0.05068, 0.05462, 0.05657, 0.04963, 2257591.72, 0.05667, 0.05752, 0.05991, 0.0551, 1248827.63, 0.0516 
0.04973, 0.04723, 0.05149, 0.04719, 1246794.22, 0.0523, 0.05379, 0.05586, 0.05139, 1431109.09, 0.05068, 0.05462, 0.05657, 0.04963, 2257591.72, 0.05667, 0.05752, 0.05991, 0.0551, 1248827.63, 0.05699, 0.05699, 0.06027, 0.05659, 1335936.45, 0.04792 
0.0523, 0.05379, 0.05586, 0.05139, 1431109.09, 0.05068, 0.05462, 0.05657, 0.04963, 2257591.72, 0.05667, 0.05752, 0.05991, 0.0551, 1248827.63, 0.05699, 0.05699, 0.06027, 0.05659, 1335936.45, 0.05805, 0.05511, 0.06049, 0.05449, 1739347.79, 0.04812 
0.05068, 0.05462, 0.05657, 0.04963, 2257591.72, 0.05667, 0.05752, 0.05991, 0.0551, 1248827.63, 0.05699, 0.05699, 0.06027, 0.05659, 1335936.45, 0.05805, 0.05511, 0.06049, 0.05449, 1739347.79, 0.05177, 0.04997, 0.05181, 0.0497, 851397.41, 0.04444 
