@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
4.52, 4.46, 4.55, 4.41, 742076.56, 4.44, 4.47, 4.52, 4.41, 890807.57, 4.42, 4.54, 4.59, 4.4, 1200600.09, 4.52, 4.64, 4.81, 4.44, 1298671.04, 4.71, 4.59, 4.99, 4.56, 2661859.93, 4.74 
4.44, 4.47, 4.52, 4.41, 890807.57, 4.42, 4.54, 4.59, 4.4, 1200600.09, 4.52, 4.64, 4.81, 4.44, 1298671.04, 4.71, 4.59, 4.99, 4.56, 2661859.93, 4.62, 4.58, 4.66, 4.47, 1397340.83, 4.1 
4.42, 4.54, 4.59, 4.4, 1200600.09, 4.52, 4.64, 4.81, 4.44, 1298671.04, 4.71, 4.59, 4.99, 4.56, 2661859.93, 4.62, 4.58, 4.66, 4.47, 1397340.83, 4.55, 4.47, 4.56, 4.42, 506433.7, 4.12 
4.52, 4.64, 4.81, 4.44, 1298671.04, 4.71, 4.59, 4.99, 4.56, 2661859.93, 4.62, 4.58, 4.66, 4.47, 1397340.83, 4.55, 4.47, 4.56, 4.42, 506433.7, 4.48, 4.45, 4.5, 4.42, 595085.15, 4.26 
4.71, 4.59, 4.99, 4.56, 2661859.93, 4.62, 4.58, 4.66, 4.47, 1397340.83, 4.55, 4.47, 4.56, 4.42, 506433.7, 4.48, 4.45, 4.5, 4.42, 595085.15, 4.48, 4.61, 4.63, 4.46, 1068614.55, 4.17 
4.62, 4.58, 4.66, 4.47, 1397340.83, 4.55, 4.47, 4.56, 4.42, 506433.7, 4.48, 4.45, 4.5, 4.42, 595085.15, 4.48, 4.61, 4.63, 4.46, 1068614.55, 4.59, 4.67, 4.7, 4.48, 1247712.95, 4.28 
4.55, 4.47, 4.56, 4.42, 506433.7, 4.48, 4.45, 4.5, 4.42, 595085.15, 4.48, 4.61, 4.63, 4.46, 1068614.55, 4.59, 4.67, 4.7, 4.48, 1247712.95, 4.64, 4.74, 4.83, 4.58, 2243204.43, 4.3 
4.48, 4.45, 4.5, 4.42, 595085.15, 4.48, 4.61, 4.63, 4.46, 1068614.55, 4.59, 4.67, 4.7, 4.48, 1247712.95, 4.64, 4.74, 4.83, 4.58, 2243204.43, 4.46, 4.1, 4.48, 4.07, 1520689.1, 4.34 
4.48, 4.61, 4.63, 4.46, 1068614.55, 4.59, 4.67, 4.7, 4.48, 1247712.95, 4.64, 4.74, 4.83, 4.58, 2243204.43, 4.46, 4.1, 4.48, 4.07, 1520689.1, 4.13, 4.12, 4.25, 4.02, 839246.02, 4.56 
4.59, 4.67, 4.7, 4.48, 1247712.95, 4.64, 4.74, 4.83, 4.58, 2243204.43, 4.46, 4.1, 4.48, 4.07, 1520689.1, 4.13, 4.12, 4.25, 4.02, 839246.02, 4.13, 4.26, 4.29, 4.11, 408524.5, 4.4 
4.64, 4.74, 4.83, 4.58, 2243204.43, 4.46, 4.1, 4.48, 4.07, 1520689.1, 4.13, 4.12, 4.25, 4.02, 839246.02, 4.13, 4.26, 4.29, 4.11, 408524.5, 4.27, 4.17, 4.3, 4.12, 667268.26, 4.49 
4.46, 4.1, 4.48, 4.07, 1520689.1, 4.13, 4.12, 4.25, 4.02, 839246.02, 4.13, 4.26, 4.29, 4.11, 408524.5, 4.27, 4.17, 4.3, 4.12, 667268.26, 4.4, 4.28, 4.44, 4.09, 1123889.57, 4.55 
4.13, 4.12, 4.25, 4.02, 839246.02, 4.13, 4.26, 4.29, 4.11, 408524.5, 4.27, 4.17, 4.3, 4.12, 667268.26, 4.4, 4.28, 4.44, 4.09, 1123889.57, 4.26, 4.3, 4.31, 4.22, 525254.63, 5.38 
4.13, 4.26, 4.29, 4.11, 408524.5, 4.27, 4.17, 4.3, 4.12, 667268.26, 4.4, 4.28, 4.44, 4.09, 1123889.57, 4.26, 4.3, 4.31, 4.22, 525254.63, 4.3, 4.34, 4.44, 4.23, 601950.49, 4.95 
4.27, 4.17, 4.3, 4.12, 667268.26, 4.4, 4.28, 4.44, 4.09, 1123889.57, 4.26, 4.3, 4.31, 4.22, 525254.63, 4.3, 4.34, 4.44, 4.23, 601950.49, 4.29, 4.56, 4.78, 4.26, 3808128.14, 4.87 
4.4, 4.28, 4.44, 4.09, 1123889.57, 4.26, 4.3, 4.31, 4.22, 525254.63, 4.3, 4.34, 4.44, 4.23, 601950.49, 4.29, 4.56, 4.78, 4.26, 3808128.14, 4.54, 4.4, 4.56, 4.36, 1263131.14, 4.83 
4.26, 4.3, 4.31, 4.22, 525254.63, 4.3, 4.34, 4.44, 4.23, 601950.49, 4.29, 4.56, 4.78, 4.26, 3808128.14, 4.54, 4.4, 4.56, 4.36, 1263131.14, 4.42, 4.49, 4.53, 4.39, 644394.43, 4.8 
4.3, 4.34, 4.44, 4.23, 601950.49, 4.29, 4.56, 4.78, 4.26, 3808128.14, 4.54, 4.4, 4.56, 4.36, 1263131.14, 4.42, 4.49, 4.53, 4.39, 644394.43, 4.5, 4.55, 4.59, 4.43, 797673.6, 4.64 
4.29, 4.56, 4.78, 4.26, 3808128.14, 4.54, 4.4, 4.56, 4.36, 1263131.14, 4.42, 4.49, 4.53, 4.39, 644394.43, 4.5, 4.55, 4.59, 4.43, 797673.6, 4.53, 5.38, 5.98, 4.49, 18845433.28, 4.7 
4.54, 4.4, 4.56, 4.36, 1263131.14, 4.42, 4.49, 4.53, 4.39, 644394.43, 4.5, 4.55, 4.59, 4.43, 797673.6, 4.53, 5.38, 5.98, 4.49, 18845433.28, 5.37, 4.95, 5.82, 4.87, 8346262.42, 4.33 
4.42, 4.49, 4.53, 4.39, 644394.43, 4.5, 4.55, 4.59, 4.43, 797673.6, 4.53, 5.38, 5.98, 4.49, 18845433.28, 5.37, 4.95, 5.82, 4.87, 8346262.42, 4.95, 4.87, 4.99, 4.78, 3127175.29, 4.37 
4.5, 4.55, 4.59, 4.43, 797673.6, 4.53, 5.38, 5.98, 4.49, 18845433.28, 5.37, 4.95, 5.82, 4.87, 8346262.42, 4.95, 4.87, 4.99, 4.78, 3127175.29, 4.86, 4.83, 4.86, 4.66, 1705028.01, 4.36 
4.53, 5.38, 5.98, 4.49, 18845433.28, 5.37, 4.95, 5.82, 4.87, 8346262.42, 4.95, 4.87, 4.99, 4.78, 3127175.29, 4.86, 4.83, 4.86, 4.66, 1705028.01, 4.82, 4.8, 5.02, 4.78, 1972939.54, 4.45 
5.37, 4.95, 5.82, 4.87, 8346262.42, 4.95, 4.87, 4.99, 4.78, 3127175.29, 4.86, 4.83, 4.86, 4.66, 1705028.01, 4.82, 4.8, 5.02, 4.78, 1972939.54, 4.81, 4.64, 4.89, 4.55, 1621564.74, 4.39 
4.95, 4.87, 4.99, 4.78, 3127175.29, 4.86, 4.83, 4.86, 4.66, 1705028.01, 4.82, 4.8, 5.02, 4.78, 1972939.54, 4.81, 4.64, 4.89, 4.55, 1621564.74, 4.64, 4.7, 4.79, 4.58, 1603670.08, 4.52 
4.86, 4.83, 4.86, 4.66, 1705028.01, 4.82, 4.8, 5.02, 4.78, 1972939.54, 4.81, 4.64, 4.89, 4.55, 1621564.74, 4.64, 4.7, 4.79, 4.58, 1603670.08, 4.59, 4.33, 4.6, 4.3, 2164359.98, 4.45 
4.82, 4.8, 5.02, 4.78, 1972939.54, 4.81, 4.64, 4.89, 4.55, 1621564.74, 4.64, 4.7, 4.79, 4.58, 1603670.08, 4.59, 4.33, 4.6, 4.3, 2164359.98, 4.33, 4.37, 4.44, 4.3, 1863349.08, 4.4 
4.81, 4.64, 4.89, 4.55, 1621564.74, 4.64, 4.7, 4.79, 4.58, 1603670.08, 4.59, 4.33, 4.6, 4.3, 2164359.98, 4.33, 4.37, 4.44, 4.3, 1863349.08, 4.39, 4.36, 4.48, 4.23, 2364669.72, 4.37 
4.64, 4.7, 4.79, 4.58, 1603670.08, 4.59, 4.33, 4.6, 4.3, 2164359.98, 4.33, 4.37, 4.44, 4.3, 1863349.08, 4.39, 4.36, 4.48, 4.23, 2364669.72, 4.39, 4.45, 4.51, 4.31, 1763048.17, 4.44 
4.59, 4.33, 4.6, 4.3, 2164359.98, 4.33, 4.37, 4.44, 4.3, 1863349.08, 4.39, 4.36, 4.48, 4.23, 2364669.72, 4.39, 4.45, 4.51, 4.31, 1763048.17, 4.46, 4.39, 4.48, 4.36, 2085811.57, 4.32 
4.33, 4.37, 4.44, 4.3, 1863349.08, 4.39, 4.36, 4.48, 4.23, 2364669.72, 4.39, 4.45, 4.51, 4.31, 1763048.17, 4.46, 4.39, 4.48, 4.36, 2085811.57, 4.37, 4.52, 4.56, 4.37, 1428103.67, 4.27 
4.39, 4.36, 4.48, 4.23, 2364669.72, 4.39, 4.45, 4.51, 4.31, 1763048.17, 4.46, 4.39, 4.48, 4.36, 2085811.57, 4.37, 4.52, 4.56, 4.37, 1428103.67, 4.58, 4.45, 4.61, 4.43, 975943.07, 4.39 
4.39, 4.45, 4.51, 4.31, 1763048.17, 4.46, 4.39, 4.48, 4.36, 2085811.57, 4.37, 4.52, 4.56, 4.37, 1428103.67, 4.58, 4.45, 4.61, 4.43, 975943.07, 4.43, 4.4, 4.44, 4.32, 1492599.42, 4.26 
4.46, 4.39, 4.48, 4.36, 2085811.57, 4.37, 4.52, 4.56, 4.37, 1428103.67, 4.58, 4.45, 4.61, 4.43, 975943.07, 4.43, 4.4, 4.44, 4.32, 1492599.42, 4.43, 4.37, 4.44, 4.33, 3319312.51, 4.27 
4.37, 4.52, 4.56, 4.37, 1428103.67, 4.58, 4.45, 4.61, 4.43, 975943.07, 4.43, 4.4, 4.44, 4.32, 1492599.42, 4.43, 4.37, 4.44, 4.33, 3319312.51, 4.41, 4.44, 4.46, 4.36, 841698.88, 4.15 
4.58, 4.45, 4.61, 4.43, 975943.07, 4.43, 4.4, 4.44, 4.32, 1492599.42, 4.43, 4.37, 4.44, 4.33, 3319312.51, 4.41, 4.44, 4.46, 4.36, 841698.88, 4.39, 4.32, 4.4, 4.31, 639128.02, 3.55 
4.43, 4.4, 4.44, 4.32, 1492599.42, 4.43, 4.37, 4.44, 4.33, 3319312.51, 4.41, 4.44, 4.46, 4.36, 841698.88, 4.39, 4.32, 4.4, 4.31, 639128.02, 4.27, 4.27, 4.28, 4.22, 689066.34, 3.66 
4.43, 4.37, 4.44, 4.33, 3319312.51, 4.41, 4.44, 4.46, 4.36, 841698.88, 4.39, 4.32, 4.4, 4.31, 639128.02, 4.27, 4.27, 4.28, 4.22, 689066.34, 4.28, 4.39, 4.43, 4.27, 1462487.59, 3.78 
4.41, 4.44, 4.46, 4.36, 841698.88, 4.39, 4.32, 4.4, 4.31, 639128.02, 4.27, 4.27, 4.28, 4.22, 689066.34, 4.28, 4.39, 4.43, 4.27, 1462487.59, 4.39, 4.26, 4.4, 4.2, 848298.7, 3.62 
4.39, 4.32, 4.4, 4.31, 639128.02, 4.27, 4.27, 4.28, 4.22, 689066.34, 4.28, 4.39, 4.43, 4.27, 1462487.59, 4.39, 4.26, 4.4, 4.2, 848298.7, 4.22, 4.27, 4.43, 4.2, 1296045.39, 3.67 
4.27, 4.27, 4.28, 4.22, 689066.34, 4.28, 4.39, 4.43, 4.27, 1462487.59, 4.39, 4.26, 4.4, 4.2, 848298.7, 4.22, 4.27, 4.43, 4.2, 1296045.39, 4.25, 4.15, 4.25, 4.13, 794681.01, 2.94 
