@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.006887, 0.007196, 0.007806, 0.006887, 56094.36, 0.007139, 0.006861, 0.007139, 0.006861, 22825.92, 0.006794, 0.007066, 0.00874, 0.006605, 44825.75, 0.005833, 0.005429, 0.006703, 0.005429, 47051.45, 0.005734, 0.005946, 0.007212, 0.005613, 32506.15, 0.006666 
0.007139, 0.006861, 0.007139, 0.006861, 22825.92, 0.006794, 0.007066, 0.00874, 0.006605, 44825.75, 0.005833, 0.005429, 0.006703, 0.005429, 47051.45, 0.005734, 0.005946, 0.007212, 0.005613, 32506.15, 0.006051, 0.006127, 0.006414, 0.006007, 10033.85, 0.006593 
0.006794, 0.007066, 0.00874, 0.006605, 44825.75, 0.005833, 0.005429, 0.006703, 0.005429, 47051.45, 0.005734, 0.005946, 0.007212, 0.005613, 32506.15, 0.006051, 0.006127, 0.006414, 0.006007, 10033.85, 0.00599, 0.006265, 0.006626, 0.005955, 17810.18, 0.006454 
0.005833, 0.005429, 0.006703, 0.005429, 47051.45, 0.005734, 0.005946, 0.007212, 0.005613, 32506.15, 0.006051, 0.006127, 0.006414, 0.006007, 10033.85, 0.00599, 0.006265, 0.006626, 0.005955, 17810.18, 0.006931, 0.00652, 0.006931, 0.006164, 30728.01, 0.006551 
0.005734, 0.005946, 0.007212, 0.005613, 32506.15, 0.006051, 0.006127, 0.006414, 0.006007, 10033.85, 0.00599, 0.006265, 0.006626, 0.005955, 17810.18, 0.006931, 0.00652, 0.006931, 0.006164, 30728.01, 0.006502, 0.006708, 0.006937, 0.006418, 30662.02, 0.006662 
0.006051, 0.006127, 0.006414, 0.006007, 10033.85, 0.00599, 0.006265, 0.006626, 0.005955, 17810.18, 0.006931, 0.00652, 0.006931, 0.006164, 30728.01, 0.006502, 0.006708, 0.006937, 0.006418, 30662.02, 0.006625, 0.006575, 0.006901, 0.006436, 19075.17, 0.006793 
0.00599, 0.006265, 0.006626, 0.005955, 17810.18, 0.006931, 0.00652, 0.006931, 0.006164, 30728.01, 0.006502, 0.006708, 0.006937, 0.006418, 30662.02, 0.006625, 0.006575, 0.006901, 0.006436, 19075.17, 0.006413, 0.006666, 0.006666, 0.006245, 14750.25, 0.006838 
0.006931, 0.00652, 0.006931, 0.006164, 30728.01, 0.006502, 0.006708, 0.006937, 0.006418, 30662.02, 0.006625, 0.006575, 0.006901, 0.006436, 19075.17, 0.006413, 0.006666, 0.006666, 0.006245, 14750.25, 0.006678, 0.006593, 0.006678, 0.006433, 3805.56, 0.006745 
0.006502, 0.006708, 0.006937, 0.006418, 30662.02, 0.006625, 0.006575, 0.006901, 0.006436, 19075.17, 0.006413, 0.006666, 0.006666, 0.006245, 14750.25, 0.006678, 0.006593, 0.006678, 0.006433, 3805.56, 0.006665, 0.006454, 0.006688, 0.006321, 7302.86, 0.006585 
0.006625, 0.006575, 0.006901, 0.006436, 19075.17, 0.006413, 0.006666, 0.006666, 0.006245, 14750.25, 0.006678, 0.006593, 0.006678, 0.006433, 3805.56, 0.006665, 0.006454, 0.006688, 0.006321, 7302.86, 0.006444, 0.006551, 0.006772, 0.006385, 6117.72, 0.006453 
0.006413, 0.006666, 0.006666, 0.006245, 14750.25, 0.006678, 0.006593, 0.006678, 0.006433, 3805.56, 0.006665, 0.006454, 0.006688, 0.006321, 7302.86, 0.006444, 0.006551, 0.006772, 0.006385, 6117.72, 0.006513, 0.006662, 0.006707, 0.006513, 2076.81, 0.006419 
0.006678, 0.006593, 0.006678, 0.006433, 3805.56, 0.006665, 0.006454, 0.006688, 0.006321, 7302.86, 0.006444, 0.006551, 0.006772, 0.006385, 6117.72, 0.006513, 0.006662, 0.006707, 0.006513, 2076.81, 0.006665, 0.006793, 0.006916, 0.006657, 7916.82, 0.006115 
0.006665, 0.006454, 0.006688, 0.006321, 7302.86, 0.006444, 0.006551, 0.006772, 0.006385, 6117.72, 0.006513, 0.006662, 0.006707, 0.006513, 2076.81, 0.006665, 0.006793, 0.006916, 0.006657, 7916.82, 0.006767, 0.006838, 0.006838, 0.006696, 3150.22, 0.006213 
0.006444, 0.006551, 0.006772, 0.006385, 6117.72, 0.006513, 0.006662, 0.006707, 0.006513, 2076.81, 0.006665, 0.006793, 0.006916, 0.006657, 7916.82, 0.006767, 0.006838, 0.006838, 0.006696, 3150.22, 0.006781, 0.006745, 0.006812, 0.006594, 5741.99, 0.006311 
0.006513, 0.006662, 0.006707, 0.006513, 2076.81, 0.006665, 0.006793, 0.006916, 0.006657, 7916.82, 0.006767, 0.006838, 0.006838, 0.006696, 3150.22, 0.006781, 0.006745, 0.006812, 0.006594, 5741.99, 0.006817, 0.006585, 0.006817, 0.006463, 5238.74, 0.006294 
0.006665, 0.006793, 0.006916, 0.006657, 7916.82, 0.006767, 0.006838, 0.006838, 0.006696, 3150.22, 0.006781, 0.006745, 0.006812, 0.006594, 5741.99, 0.006817, 0.006585, 0.006817, 0.006463, 5238.74, 0.006566, 0.006453, 0.006566, 0.006432, 1658.67, 0.006421 
0.006767, 0.006838, 0.006838, 0.006696, 3150.22, 0.006781, 0.006745, 0.006812, 0.006594, 5741.99, 0.006817, 0.006585, 0.006817, 0.006463, 5238.74, 0.006566, 0.006453, 0.006566, 0.006432, 1658.67, 0.006482, 0.006419, 0.006525, 0.006315, 3699.28, 0.006058 
0.006781, 0.006745, 0.006812, 0.006594, 5741.99, 0.006817, 0.006585, 0.006817, 0.006463, 5238.74, 0.006566, 0.006453, 0.006566, 0.006432, 1658.67, 0.006482, 0.006419, 0.006525, 0.006315, 3699.28, 0.006166, 0.006115, 0.006457, 0.006023, 9584.43, 0.006081 
0.006817, 0.006585, 0.006817, 0.006463, 5238.74, 0.006566, 0.006453, 0.006566, 0.006432, 1658.67, 0.006482, 0.006419, 0.006525, 0.006315, 3699.28, 0.006166, 0.006115, 0.006457, 0.006023, 9584.43, 0.006131, 0.006213, 0.006258, 0.006131, 1413, 0.006037 
0.006566, 0.006453, 0.006566, 0.006432, 1658.67, 0.006482, 0.006419, 0.006525, 0.006315, 3699.28, 0.006166, 0.006115, 0.006457, 0.006023, 9584.43, 0.006131, 0.006213, 0.006258, 0.006131, 1413, 0.006266, 0.006311, 0.006648, 0.005937, 11554.91, 0.006257 
0.006482, 0.006419, 0.006525, 0.006315, 3699.28, 0.006166, 0.006115, 0.006457, 0.006023, 9584.43, 0.006131, 0.006213, 0.006258, 0.006131, 1413, 0.006266, 0.006311, 0.006648, 0.005937, 11554.91, 0.006339, 0.006294, 0.006343, 0.006006, 2359.06, 0.007645 
0.006166, 0.006115, 0.006457, 0.006023, 9584.43, 0.006131, 0.006213, 0.006258, 0.006131, 1413, 0.006266, 0.006311, 0.006648, 0.005937, 11554.91, 0.006339, 0.006294, 0.006343, 0.006006, 2359.06, 0.006366, 0.006421, 0.006421, 0.006161, 5251.99, 0.007114 
0.006131, 0.006213, 0.006258, 0.006131, 1413, 0.006266, 0.006311, 0.006648, 0.005937, 11554.91, 0.006339, 0.006294, 0.006343, 0.006006, 2359.06, 0.006366, 0.006421, 0.006421, 0.006161, 5251.99, 0.006371, 0.006058, 0.006521, 0.00599, 12593.72, 0.006736 
0.006266, 0.006311, 0.006648, 0.005937, 11554.91, 0.006339, 0.006294, 0.006343, 0.006006, 2359.06, 0.006366, 0.006421, 0.006421, 0.006161, 5251.99, 0.006371, 0.006058, 0.006521, 0.00599, 12593.72, 0.006417, 0.006081, 0.006417, 0.006045, 3054.95, 0.006656 
0.006339, 0.006294, 0.006343, 0.006006, 2359.06, 0.006366, 0.006421, 0.006421, 0.006161, 5251.99, 0.006371, 0.006058, 0.006521, 0.00599, 12593.72, 0.006417, 0.006081, 0.006417, 0.006045, 3054.95, 0.006035, 0.006037, 0.00622, 0.005914, 1192.42, 0.006641 
0.006366, 0.006421, 0.006421, 0.006161, 5251.99, 0.006371, 0.006058, 0.006521, 0.00599, 12593.72, 0.006417, 0.006081, 0.006417, 0.006045, 3054.95, 0.006035, 0.006037, 0.00622, 0.005914, 1192.42, 0.006321, 0.006257, 0.006716, 0.006152, 13108.89, 0.006674 
0.006371, 0.006058, 0.006521, 0.00599, 12593.72, 0.006417, 0.006081, 0.006417, 0.006045, 3054.95, 0.006035, 0.006037, 0.00622, 0.005914, 1192.42, 0.006321, 0.006257, 0.006716, 0.006152, 13108.89, 0.006213, 0.007645, 0.008334, 0.006213, 111559.16, 0.006539 
0.006417, 0.006081, 0.006417, 0.006045, 3054.95, 0.006035, 0.006037, 0.00622, 0.005914, 1192.42, 0.006321, 0.006257, 0.006716, 0.006152, 13108.89, 0.006213, 0.007645, 0.008334, 0.006213, 111559.16, 0.00741, 0.007114, 0.007875, 0.006907, 31939.41, 0.005774 
