@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.007847, 0.007781, 0.00798, 0.007648, 878051.51, 0.007759, 0.007494, 0.007759, 0.007428, 922504.25, 0.007437, 0.007634, 0.008095, 0.007108, 2575577.59, 0.007203, 0.006396, 0.007265, 0.006272, 2035093.14, 0.006438, 0.006376, 0.006626, 0.006063, 904858.17, 0.007397 
0.007759, 0.007494, 0.007759, 0.007428, 922504.25, 0.007437, 0.007634, 0.008095, 0.007108, 2575577.59, 0.007203, 0.006396, 0.007265, 0.006272, 2035093.14, 0.006438, 0.006376, 0.006626, 0.006063, 904858.17, 0.006393, 0.006706, 0.006769, 0.00633, 605860.53, 0.00731 
0.007437, 0.007634, 0.008095, 0.007108, 2575577.59, 0.007203, 0.006396, 0.007265, 0.006272, 2035093.14, 0.006438, 0.006376, 0.006626, 0.006063, 904858.17, 0.006393, 0.006706, 0.006769, 0.00633, 605860.53, 0.006717, 0.006654, 0.007219, 0.006592, 1508828.05, 0.007594 
0.007203, 0.006396, 0.007265, 0.006272, 2035093.14, 0.006438, 0.006376, 0.006626, 0.006063, 904858.17, 0.006393, 0.006706, 0.006769, 0.00633, 605860.53, 0.006717, 0.006654, 0.007219, 0.006592, 1508828.05, 0.007009, 0.007009, 0.007274, 0.006414, 1683107.89, 0.007551 
0.006438, 0.006376, 0.006626, 0.006063, 904858.17, 0.006393, 0.006706, 0.006769, 0.00633, 605860.53, 0.006717, 0.006654, 0.007219, 0.006592, 1508828.05, 0.007009, 0.007009, 0.007274, 0.006414, 1683107.89, 0.006978, 0.007176, 0.007307, 0.006781, 1076980.03, 0.007715 
0.006393, 0.006706, 0.006769, 0.00633, 605860.53, 0.006717, 0.006654, 0.007219, 0.006592, 1508828.05, 0.007009, 0.007009, 0.007274, 0.006414, 1683107.89, 0.006978, 0.007176, 0.007307, 0.006781, 1076980.03, 0.007166, 0.007232, 0.007495, 0.007035, 1708892.33, 0.01003 
0.006717, 0.006654, 0.007219, 0.006592, 1508828.05, 0.007009, 0.007009, 0.007274, 0.006414, 1683107.89, 0.006978, 0.007176, 0.007307, 0.006781, 1076980.03, 0.007166, 0.007232, 0.007495, 0.007035, 1708892.33, 0.007073, 0.007397, 0.007657, 0.006943, 2962042.29, 0.009779 
0.007009, 0.007009, 0.007274, 0.006414, 1683107.89, 0.006978, 0.007176, 0.007307, 0.006781, 1076980.03, 0.007166, 0.007232, 0.007495, 0.007035, 1708892.33, 0.007073, 0.007397, 0.007657, 0.006943, 2962042.29, 0.00731, 0.00731, 0.007504, 0.007116, 1420332.49, 0.009113 
0.006978, 0.007176, 0.007307, 0.006781, 1076980.03, 0.007166, 0.007232, 0.007495, 0.007035, 1708892.33, 0.007073, 0.007397, 0.007657, 0.006943, 2962042.29, 0.00731, 0.00731, 0.007504, 0.007116, 1420332.49, 0.007334, 0.007594, 0.007659, 0.007269, 740881.34, 0.009105 
0.007166, 0.007232, 0.007495, 0.007035, 1708892.33, 0.007073, 0.007397, 0.007657, 0.006943, 2962042.29, 0.00731, 0.00731, 0.007504, 0.007116, 1420332.49, 0.007334, 0.007594, 0.007659, 0.007269, 740881.34, 0.007617, 0.007551, 0.008333, 0.007551, 2329743.17, 0.008929 
