@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
6.624e-05, 6.624e-05, 6.624e-05, 6.624e-05, 0, 6.595e-05, 6.595e-05, 6.595e-05, 6.595e-05, 0, 6.525e-05, 6.525e-05, 6.525e-05, 6.525e-05, 0, 6.492e-05, 6.492e-05, 6.492e-05, 6.492e-05, 0, 6.58e-05, 6.58e-05, 6.58e-05, 6.58e-05, 0, 6.581e-05 
6.595e-05, 6.595e-05, 6.595e-05, 6.595e-05, 0, 6.525e-05, 6.525e-05, 6.525e-05, 6.525e-05, 0, 6.492e-05, 6.492e-05, 6.492e-05, 6.492e-05, 0, 6.58e-05, 6.58e-05, 6.58e-05, 6.58e-05, 0, 6.633e-05, 6.633e-05, 6.633e-05, 6.633e-05, 0, 6.209e-05 
6.525e-05, 6.525e-05, 6.525e-05, 6.525e-05, 0, 6.492e-05, 6.492e-05, 6.492e-05, 6.492e-05, 0, 6.58e-05, 6.58e-05, 6.58e-05, 6.58e-05, 0, 6.633e-05, 6.633e-05, 6.633e-05, 6.633e-05, 0, 6.59e-05, 6.59e-05, 6.59e-05, 6.59e-05, 0, 6.251e-05 
6.492e-05, 6.492e-05, 6.492e-05, 6.492e-05, 0, 6.58e-05, 6.58e-05, 6.58e-05, 6.58e-05, 0, 6.633e-05, 6.633e-05, 6.633e-05, 6.633e-05, 0, 6.59e-05, 6.59e-05, 6.59e-05, 6.59e-05, 0, 6.601e-05, 6.601e-05, 6.601e-05, 6.601e-05, 0, 6.267e-05 
6.58e-05, 6.58e-05, 6.58e-05, 6.58e-05, 0, 6.633e-05, 6.633e-05, 6.633e-05, 6.633e-05, 0, 6.59e-05, 6.59e-05, 6.59e-05, 6.59e-05, 0, 6.601e-05, 6.601e-05, 6.601e-05, 6.601e-05, 0, 6.65e-05, 6.65e-05, 6.65e-05, 6.65e-05, 0, 6.278e-05 
6.633e-05, 6.633e-05, 6.633e-05, 6.633e-05, 0, 6.59e-05, 6.59e-05, 6.59e-05, 6.59e-05, 0, 6.601e-05, 6.601e-05, 6.601e-05, 6.601e-05, 0, 6.65e-05, 6.65e-05, 6.65e-05, 6.65e-05, 0, 6.632e-05, 6.632e-05, 6.632e-05, 6.632e-05, 0, 6.612e-05 
6.59e-05, 6.59e-05, 6.59e-05, 6.59e-05, 0, 6.601e-05, 6.601e-05, 6.601e-05, 6.601e-05, 0, 6.65e-05, 6.65e-05, 6.65e-05, 6.65e-05, 0, 6.632e-05, 6.632e-05, 6.632e-05, 6.632e-05, 0, 6.581e-05, 6.581e-05, 6.581e-05, 6.581e-05, 0, 6.583e-05 
6.601e-05, 6.601e-05, 6.601e-05, 6.601e-05, 0, 6.65e-05, 6.65e-05, 6.65e-05, 6.65e-05, 0, 6.632e-05, 6.632e-05, 6.632e-05, 6.632e-05, 0, 6.581e-05, 6.581e-05, 6.581e-05, 6.581e-05, 0, 6.209e-05, 6.209e-05, 6.209e-05, 6.209e-05, 0, 6.575e-05 
6.65e-05, 6.65e-05, 6.65e-05, 6.65e-05, 0, 6.632e-05, 6.632e-05, 6.632e-05, 6.632e-05, 0, 6.581e-05, 6.581e-05, 6.581e-05, 6.581e-05, 0, 6.209e-05, 6.209e-05, 6.209e-05, 6.209e-05, 0, 6.251e-05, 6.251e-05, 6.251e-05, 6.251e-05, 0, 6.489e-05 
6.632e-05, 6.632e-05, 6.632e-05, 6.632e-05, 0, 6.581e-05, 6.581e-05, 6.581e-05, 6.581e-05, 0, 6.209e-05, 6.209e-05, 6.209e-05, 6.209e-05, 0, 6.251e-05, 6.251e-05, 6.251e-05, 6.251e-05, 0, 6.267e-05, 6.267e-05, 6.267e-05, 6.267e-05, 0, 6.469e-05 
6.581e-05, 6.581e-05, 6.581e-05, 6.581e-05, 0, 6.209e-05, 6.209e-05, 6.209e-05, 6.209e-05, 0, 6.251e-05, 6.251e-05, 6.251e-05, 6.251e-05, 0, 6.267e-05, 6.267e-05, 6.267e-05, 6.267e-05, 0, 6.278e-05, 6.278e-05, 6.278e-05, 6.278e-05, 0, 6.491e-05 
6.209e-05, 6.209e-05, 6.209e-05, 6.209e-05, 0, 6.251e-05, 6.251e-05, 6.251e-05, 6.251e-05, 0, 6.267e-05, 6.267e-05, 6.267e-05, 6.267e-05, 0, 6.278e-05, 6.278e-05, 6.278e-05, 6.278e-05, 0, 6.612e-05, 6.612e-05, 6.612e-05, 6.612e-05, 0, 6.51e-05 
6.251e-05, 6.251e-05, 6.251e-05, 6.251e-05, 0, 6.267e-05, 6.267e-05, 6.267e-05, 6.267e-05, 0, 6.278e-05, 6.278e-05, 6.278e-05, 6.278e-05, 0, 6.612e-05, 6.612e-05, 6.612e-05, 6.612e-05, 0, 6.583e-05, 6.583e-05, 6.583e-05, 6.583e-05, 0, 6.483e-05 
6.267e-05, 6.267e-05, 6.267e-05, 6.267e-05, 0, 6.278e-05, 6.278e-05, 6.278e-05, 6.278e-05, 0, 6.612e-05, 6.612e-05, 6.612e-05, 6.612e-05, 0, 6.583e-05, 6.583e-05, 6.583e-05, 6.583e-05, 0, 6.575e-05, 6.575e-05, 6.575e-05, 6.575e-05, 0, 6.47e-05 
6.278e-05, 6.278e-05, 6.278e-05, 6.278e-05, 0, 6.612e-05, 6.612e-05, 6.612e-05, 6.612e-05, 0, 6.583e-05, 6.583e-05, 6.583e-05, 6.583e-05, 0, 6.575e-05, 6.575e-05, 6.575e-05, 6.575e-05, 0, 6.489e-05, 6.489e-05, 6.489e-05, 6.489e-05, 0, 6.476e-05 
6.612e-05, 6.612e-05, 6.612e-05, 6.612e-05, 0, 6.583e-05, 6.583e-05, 6.583e-05, 6.583e-05, 0, 6.575e-05, 6.575e-05, 6.575e-05, 6.575e-05, 0, 6.489e-05, 6.489e-05, 6.489e-05, 6.489e-05, 0, 6.469e-05, 6.469e-05, 6.469e-05, 6.469e-05, 0, 6.463e-05 
6.583e-05, 6.583e-05, 6.583e-05, 6.583e-05, 0, 6.575e-05, 6.575e-05, 6.575e-05, 6.575e-05, 0, 6.489e-05, 6.489e-05, 6.489e-05, 6.489e-05, 0, 6.469e-05, 6.469e-05, 6.469e-05, 6.469e-05, 0, 6.491e-05, 6.491e-05, 6.491e-05, 6.491e-05, 0, 6.457e-05 
6.575e-05, 6.575e-05, 6.575e-05, 6.575e-05, 0, 6.489e-05, 6.489e-05, 6.489e-05, 6.489e-05, 0, 6.469e-05, 6.469e-05, 6.469e-05, 6.469e-05, 0, 6.491e-05, 6.491e-05, 6.491e-05, 6.491e-05, 0, 6.51e-05, 6.51e-05, 6.51e-05, 6.51e-05, 0, 6.47e-05 
6.489e-05, 6.489e-05, 6.489e-05, 6.489e-05, 0, 6.469e-05, 6.469e-05, 6.469e-05, 6.469e-05, 0, 6.491e-05, 6.491e-05, 6.491e-05, 6.491e-05, 0, 6.51e-05, 6.51e-05, 6.51e-05, 6.51e-05, 0, 6.483e-05, 6.483e-05, 6.483e-05, 6.483e-05, 0, 6.471e-05 
6.469e-05, 6.469e-05, 6.469e-05, 6.469e-05, 0, 6.491e-05, 6.491e-05, 6.491e-05, 6.491e-05, 0, 6.51e-05, 6.51e-05, 6.51e-05, 6.51e-05, 0, 6.483e-05, 6.483e-05, 6.483e-05, 6.483e-05, 0, 6.47e-05, 6.47e-05, 6.47e-05, 6.47e-05, 0, 6.314e-05 
6.491e-05, 6.491e-05, 6.491e-05, 6.491e-05, 0, 6.51e-05, 6.51e-05, 6.51e-05, 6.51e-05, 0, 6.483e-05, 6.483e-05, 6.483e-05, 6.483e-05, 0, 6.47e-05, 6.47e-05, 6.47e-05, 6.47e-05, 0, 6.476e-05, 6.476e-05, 6.476e-05, 6.476e-05, 0, 6.309e-05 
6.51e-05, 6.51e-05, 6.51e-05, 6.51e-05, 0, 6.483e-05, 6.483e-05, 6.483e-05, 6.483e-05, 0, 6.47e-05, 6.47e-05, 6.47e-05, 6.47e-05, 0, 6.476e-05, 6.476e-05, 6.476e-05, 6.476e-05, 0, 6.463e-05, 6.463e-05, 6.463e-05, 6.463e-05, 0, 6.343e-05 
6.483e-05, 6.483e-05, 6.483e-05, 6.483e-05, 0, 6.47e-05, 6.47e-05, 6.47e-05, 6.47e-05, 0, 6.476e-05, 6.476e-05, 6.476e-05, 6.476e-05, 0, 6.463e-05, 6.463e-05, 6.463e-05, 6.463e-05, 0, 6.457e-05, 6.457e-05, 6.457e-05, 6.457e-05, 0, 6.381e-05 
6.47e-05, 6.47e-05, 6.47e-05, 6.47e-05, 0, 6.476e-05, 6.476e-05, 6.476e-05, 6.476e-05, 0, 6.463e-05, 6.463e-05, 6.463e-05, 6.463e-05, 0, 6.457e-05, 6.457e-05, 6.457e-05, 6.457e-05, 0, 6.47e-05, 6.47e-05, 6.47e-05, 6.47e-05, 0, 6.395e-05 
6.476e-05, 6.476e-05, 6.476e-05, 6.476e-05, 0, 6.463e-05, 6.463e-05, 6.463e-05, 6.463e-05, 0, 6.457e-05, 6.457e-05, 6.457e-05, 6.457e-05, 0, 6.47e-05, 6.47e-05, 6.47e-05, 6.47e-05, 0, 6.471e-05, 6.471e-05, 6.471e-05, 6.471e-05, 0, 6.376e-05 
6.463e-05, 6.463e-05, 6.463e-05, 6.463e-05, 0, 6.457e-05, 6.457e-05, 6.457e-05, 6.457e-05, 0, 6.47e-05, 6.47e-05, 6.47e-05, 6.47e-05, 0, 6.471e-05, 6.471e-05, 6.471e-05, 6.471e-05, 0, 6.314e-05, 6.314e-05, 6.314e-05, 6.314e-05, 0, 6.467e-05 
6.457e-05, 6.457e-05, 6.457e-05, 6.457e-05, 0, 6.47e-05, 6.47e-05, 6.47e-05, 6.47e-05, 0, 6.471e-05, 6.471e-05, 6.471e-05, 6.471e-05, 0, 6.314e-05, 6.314e-05, 6.314e-05, 6.314e-05, 0, 6.309e-05, 6.309e-05, 6.309e-05, 6.309e-05, 0, 6.434e-05 
6.47e-05, 6.47e-05, 6.47e-05, 6.47e-05, 0, 6.471e-05, 6.471e-05, 6.471e-05, 6.471e-05, 0, 6.314e-05, 6.314e-05, 6.314e-05, 6.314e-05, 0, 6.309e-05, 6.309e-05, 6.309e-05, 6.309e-05, 0, 6.343e-05, 6.343e-05, 6.343e-05, 6.343e-05, 0, 6.48e-05 
6.471e-05, 6.471e-05, 6.471e-05, 6.471e-05, 0, 6.314e-05, 6.314e-05, 6.314e-05, 6.314e-05, 0, 6.309e-05, 6.309e-05, 6.309e-05, 6.309e-05, 0, 6.343e-05, 6.343e-05, 6.343e-05, 6.343e-05, 0, 6.381e-05, 6.381e-05, 6.381e-05, 6.381e-05, 0, 6.53e-05 
6.314e-05, 6.314e-05, 6.314e-05, 6.314e-05, 0, 6.309e-05, 6.309e-05, 6.309e-05, 6.309e-05, 0, 6.343e-05, 6.343e-05, 6.343e-05, 6.343e-05, 0, 6.381e-05, 6.381e-05, 6.381e-05, 6.381e-05, 0, 6.395e-05, 6.395e-05, 6.395e-05, 6.395e-05, 0, 6.446e-05 
6.309e-05, 6.309e-05, 6.309e-05, 6.309e-05, 0, 6.343e-05, 6.343e-05, 6.343e-05, 6.343e-05, 0, 6.381e-05, 6.381e-05, 6.381e-05, 6.381e-05, 0, 6.395e-05, 6.395e-05, 6.395e-05, 6.395e-05, 0, 6.376e-05, 6.376e-05, 6.376e-05, 6.376e-05, 0, 6.378e-05 
6.343e-05, 6.343e-05, 6.343e-05, 6.343e-05, 0, 6.381e-05, 6.381e-05, 6.381e-05, 6.381e-05, 0, 6.395e-05, 6.395e-05, 6.395e-05, 6.395e-05, 0, 6.376e-05, 6.376e-05, 6.376e-05, 6.376e-05, 0, 6.467e-05, 6.467e-05, 6.467e-05, 6.467e-05, 0, 6.396e-05 
6.381e-05, 6.381e-05, 6.381e-05, 6.381e-05, 0, 6.395e-05, 6.395e-05, 6.395e-05, 6.395e-05, 0, 6.376e-05, 6.376e-05, 6.376e-05, 6.376e-05, 0, 6.467e-05, 6.467e-05, 6.467e-05, 6.467e-05, 0, 6.434e-05, 6.434e-05, 6.434e-05, 6.434e-05, 0, 6.408e-05 
6.395e-05, 6.395e-05, 6.395e-05, 6.395e-05, 0, 6.376e-05, 6.376e-05, 6.376e-05, 6.376e-05, 0, 6.467e-05, 6.467e-05, 6.467e-05, 6.467e-05, 0, 6.434e-05, 6.434e-05, 6.434e-05, 6.434e-05, 0, 6.48e-05, 6.48e-05, 6.48e-05, 6.48e-05, 0, 6.375e-05 
6.376e-05, 6.376e-05, 6.376e-05, 6.376e-05, 0, 6.467e-05, 6.467e-05, 6.467e-05, 6.467e-05, 0, 6.434e-05, 6.434e-05, 6.434e-05, 6.434e-05, 0, 6.48e-05, 6.48e-05, 6.48e-05, 6.48e-05, 0, 6.53e-05, 6.53e-05, 6.53e-05, 6.53e-05, 0, 6.339e-05 
6.467e-05, 6.467e-05, 6.467e-05, 6.467e-05, 0, 6.434e-05, 6.434e-05, 6.434e-05, 6.434e-05, 0, 6.48e-05, 6.48e-05, 6.48e-05, 6.48e-05, 0, 6.53e-05, 6.53e-05, 6.53e-05, 6.53e-05, 0, 6.446e-05, 6.446e-05, 6.446e-05, 6.446e-05, 0, 5.741e-05 
6.434e-05, 6.434e-05, 6.434e-05, 6.434e-05, 0, 6.48e-05, 6.48e-05, 6.48e-05, 6.48e-05, 0, 6.53e-05, 6.53e-05, 6.53e-05, 6.53e-05, 0, 6.446e-05, 6.446e-05, 6.446e-05, 6.446e-05, 0, 6.378e-05, 6.378e-05, 6.378e-05, 6.378e-05, 0, 5.648e-05 
6.48e-05, 6.48e-05, 6.48e-05, 6.48e-05, 0, 6.53e-05, 6.53e-05, 6.53e-05, 6.53e-05, 0, 6.446e-05, 6.446e-05, 6.446e-05, 6.446e-05, 0, 6.378e-05, 6.378e-05, 6.378e-05, 6.378e-05, 0, 6.396e-05, 6.396e-05, 6.396e-05, 6.396e-05, 0, 5.586e-05 
6.53e-05, 6.53e-05, 6.53e-05, 6.53e-05, 0, 6.446e-05, 6.446e-05, 6.446e-05, 6.446e-05, 0, 6.378e-05, 6.378e-05, 6.378e-05, 6.378e-05, 0, 6.396e-05, 6.396e-05, 6.396e-05, 6.396e-05, 0, 6.408e-05, 6.408e-05, 6.408e-05, 6.408e-05, 0, 5.569e-05 
6.446e-05, 6.446e-05, 6.446e-05, 6.446e-05, 0, 6.378e-05, 6.378e-05, 6.378e-05, 6.378e-05, 0, 6.396e-05, 6.396e-05, 6.396e-05, 6.396e-05, 0, 6.408e-05, 6.408e-05, 6.408e-05, 6.408e-05, 0, 6.375e-05, 6.375e-05, 6.375e-05, 6.375e-05, 0, 5.615e-05 
6.378e-05, 6.378e-05, 6.378e-05, 6.378e-05, 0, 6.396e-05, 6.396e-05, 6.396e-05, 6.396e-05, 0, 6.408e-05, 6.408e-05, 6.408e-05, 6.408e-05, 0, 6.375e-05, 6.375e-05, 6.375e-05, 6.375e-05, 0, 6.339e-05, 6.339e-05, 6.339e-05, 6.339e-05, 0, 4.81e-05 
6.396e-05, 6.396e-05, 6.396e-05, 6.396e-05, 0, 6.408e-05, 6.408e-05, 6.408e-05, 6.408e-05, 0, 6.375e-05, 6.375e-05, 6.375e-05, 6.375e-05, 0, 6.339e-05, 6.339e-05, 6.339e-05, 6.339e-05, 0, 5.741e-05, 5.741e-05, 5.741e-05, 5.741e-05, 0, 4.442e-05 
