@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.562, 0.5867, 0.6058, 0.562, 14.81, 0.5851, 0.5965, 0.6069, 0.5788, 17.88, 0.5919, 0.5676, 0.5919, 0.5668, 5.9, 0.5356, 0.4869, 0.5356, 0.4869, 22.85, 0.4901, 0.4825, 0.4969, 0.4764, 11.67, 0.4865 
0.5851, 0.5965, 0.6069, 0.5788, 17.88, 0.5919, 0.5676, 0.5919, 0.5668, 5.9, 0.5356, 0.4869, 0.5356, 0.4869, 22.85, 0.4901, 0.4825, 0.4969, 0.4764, 11.67, 0.4838, 0.4891, 0.4956, 0.4731, 6.95, 0.4736 
0.5919, 0.5676, 0.5919, 0.5668, 5.9, 0.5356, 0.4869, 0.5356, 0.4869, 22.85, 0.4901, 0.4825, 0.4969, 0.4764, 11.67, 0.4838, 0.4891, 0.4956, 0.4731, 6.95, 0.4899, 0.4811, 0.4909, 0.4708, 9.13, 0.4754 
0.5356, 0.4869, 0.5356, 0.4869, 22.85, 0.4901, 0.4825, 0.4969, 0.4764, 11.67, 0.4838, 0.4891, 0.4956, 0.4731, 6.95, 0.4899, 0.4811, 0.4909, 0.4708, 9.13, 0.5067, 0.4861, 0.5067, 0.4786, 23.7, 0.4768 
0.4901, 0.4825, 0.4969, 0.4764, 11.67, 0.4838, 0.4891, 0.4956, 0.4731, 6.95, 0.4899, 0.4811, 0.4909, 0.4708, 9.13, 0.5067, 0.4861, 0.5067, 0.4786, 23.7, 0.484, 0.4855, 0.497, 0.4806, 17.17, 0.4749 
0.4838, 0.4891, 0.4956, 0.4731, 6.95, 0.4899, 0.4811, 0.4909, 0.4708, 9.13, 0.5067, 0.4861, 0.5067, 0.4786, 23.7, 0.484, 0.4855, 0.497, 0.4806, 17.17, 0.4849, 0.5087, 0.5087, 0.4816, 20.12, 0.4739 
0.4899, 0.4811, 0.4909, 0.4708, 9.13, 0.5067, 0.4861, 0.5067, 0.4786, 23.7, 0.484, 0.4855, 0.497, 0.4806, 17.17, 0.4849, 0.5087, 0.5087, 0.4816, 20.12, 0.502, 0.4865, 0.5048, 0.4712, 28.03, 0.4744 
0.5067, 0.4861, 0.5067, 0.4786, 23.7, 0.484, 0.4855, 0.497, 0.4806, 17.17, 0.4849, 0.5087, 0.5087, 0.4816, 20.12, 0.502, 0.4865, 0.5048, 0.4712, 28.03, 0.485, 0.4736, 0.4905, 0.4689, 11.9, 0.4734 
0.484, 0.4855, 0.497, 0.4806, 17.17, 0.4849, 0.5087, 0.5087, 0.4816, 20.12, 0.502, 0.4865, 0.5048, 0.4712, 28.03, 0.485, 0.4736, 0.4905, 0.4689, 11.9, 0.4751, 0.4754, 0.4754, 0.4744, 3.27, 0.473 
0.4849, 0.5087, 0.5087, 0.4816, 20.12, 0.502, 0.4865, 0.5048, 0.4712, 28.03, 0.485, 0.4736, 0.4905, 0.4689, 11.9, 0.4751, 0.4754, 0.4754, 0.4744, 3.27, 0.4768, 0.4768, 0.4768, 0.4768, 0, 0.4729 
