@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.296, 0.2918, 0.2992, 0.29, 1133290.48, 0.2911, 0.2912, 0.2924, 0.2796, 2559891.52, 0.2882, 0.2848, 0.2893, 0.2762, 1976898.85, 0.2842, 0.284, 0.2872, 0.2771, 3521665.48, 0.2879, 0.2869, 0.2925, 0.284, 4199654.91, 0.2748 
0.2911, 0.2912, 0.2924, 0.2796, 2559891.52, 0.2882, 0.2848, 0.2893, 0.2762, 1976898.85, 0.2842, 0.284, 0.2872, 0.2771, 3521665.48, 0.2879, 0.2869, 0.2925, 0.284, 4199654.91, 0.2895, 0.2862, 0.2905, 0.282, 1127409.54, 0.2329 
0.2882, 0.2848, 0.2893, 0.2762, 1976898.85, 0.2842, 0.284, 0.2872, 0.2771, 3521665.48, 0.2879, 0.2869, 0.2925, 0.284, 4199654.91, 0.2895, 0.2862, 0.2905, 0.282, 1127409.54, 0.2844, 0.2761, 0.2853, 0.273, 945356.82, 0.2365 
0.2842, 0.284, 0.2872, 0.2771, 3521665.48, 0.2879, 0.2869, 0.2925, 0.284, 4199654.91, 0.2895, 0.2862, 0.2905, 0.282, 1127409.54, 0.2844, 0.2761, 0.2853, 0.273, 945356.82, 0.2765, 0.2792, 0.2821, 0.2733, 2170443.16, 0.2403 
0.2879, 0.2869, 0.2925, 0.284, 4199654.91, 0.2895, 0.2862, 0.2905, 0.282, 1127409.54, 0.2844, 0.2761, 0.2853, 0.273, 945356.82, 0.2765, 0.2792, 0.2821, 0.2733, 2170443.16, 0.2813, 0.2854, 0.2866, 0.2768, 1581849.47, 0.2451 
0.2895, 0.2862, 0.2905, 0.282, 1127409.54, 0.2844, 0.2761, 0.2853, 0.273, 945356.82, 0.2765, 0.2792, 0.2821, 0.2733, 2170443.16, 0.2813, 0.2854, 0.2866, 0.2768, 1581849.47, 0.2846, 0.2769, 0.2857, 0.276, 526298.09, 0.255 
0.2844, 0.2761, 0.2853, 0.273, 945356.82, 0.2765, 0.2792, 0.2821, 0.2733, 2170443.16, 0.2813, 0.2854, 0.2866, 0.2768, 1581849.47, 0.2846, 0.2769, 0.2857, 0.276, 526298.09, 0.2748, 0.2748, 0.2791, 0.2717, 1096103.37, 0.2509 
0.2765, 0.2792, 0.2821, 0.2733, 2170443.16, 0.2813, 0.2854, 0.2866, 0.2768, 1581849.47, 0.2846, 0.2769, 0.2857, 0.276, 526298.09, 0.2748, 0.2748, 0.2791, 0.2717, 1096103.37, 0.259, 0.2329, 0.2614, 0.2317, 1357921.44, 0.2586 
0.2813, 0.2854, 0.2866, 0.2768, 1581849.47, 0.2846, 0.2769, 0.2857, 0.276, 526298.09, 0.2748, 0.2748, 0.2791, 0.2717, 1096103.37, 0.259, 0.2329, 0.2614, 0.2317, 1357921.44, 0.2343, 0.2365, 0.2439, 0.2298, 975835.54, 0.2502 
0.2846, 0.2769, 0.2857, 0.276, 526298.09, 0.2748, 0.2748, 0.2791, 0.2717, 1096103.37, 0.259, 0.2329, 0.2614, 0.2317, 1357921.44, 0.2343, 0.2365, 0.2439, 0.2298, 975835.54, 0.2363, 0.2403, 0.2424, 0.2347, 802259.77, 0.2556 
