@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
610.54, 780.72, 1317.38, 610.54, 1060654.96, 778.57, 747.4, 789.85, 716.23, 494375.2, 741.69, 687.72, 746.29, 620.4, 1304831.79, 648.89, 635.85, 657.58, 590.21, 664456.89, 640.71, 653.21, 668.22, 628.84, 123247.66, 661.2 
778.57, 747.4, 789.85, 716.23, 494375.2, 741.69, 687.72, 746.29, 620.4, 1304831.79, 648.89, 635.85, 657.58, 590.21, 664456.89, 640.71, 653.21, 668.22, 628.84, 123247.66, 654.3, 644.9, 672.48, 631.11, 28214.38, 680.57 
741.69, 687.72, 746.29, 620.4, 1304831.79, 648.89, 635.85, 657.58, 590.21, 664456.89, 640.71, 653.21, 668.22, 628.84, 123247.66, 654.3, 644.9, 672.48, 631.11, 28214.38, 646.61, 642.21, 664.81, 611.7, 45083.14, 672.42 
648.89, 635.85, 657.58, 590.21, 664456.89, 640.71, 653.21, 668.22, 628.84, 123247.66, 654.3, 644.9, 672.48, 631.11, 28214.38, 646.61, 642.21, 664.81, 611.7, 45083.14, 676.44, 681.73, 692.98, 630.29, 97657.82, 684.19 
640.71, 653.21, 668.22, 628.84, 123247.66, 654.3, 644.9, 672.48, 631.11, 28214.38, 646.61, 642.21, 664.81, 611.7, 45083.14, 676.44, 681.73, 692.98, 630.29, 97657.82, 680.03, 699.78, 703.73, 607.48, 648206.21, 678.79 
654.3, 644.9, 672.48, 631.11, 28214.38, 646.61, 642.21, 664.81, 611.7, 45083.14, 676.44, 681.73, 692.98, 630.29, 97657.82, 680.03, 699.78, 703.73, 607.48, 648206.21, 698.87, 646.74, 702.82, 618, 165416.69, 674.84 
646.61, 642.21, 664.81, 611.7, 45083.14, 676.44, 681.73, 692.98, 630.29, 97657.82, 680.03, 699.78, 703.73, 607.48, 648206.21, 698.87, 646.74, 702.82, 618, 165416.69, 638.62, 661.2, 676.77, 616.75, 295126.62, 675.47 
676.44, 681.73, 692.98, 630.29, 97657.82, 680.03, 699.78, 703.73, 607.48, 648206.21, 698.87, 646.74, 702.82, 618, 165416.69, 638.62, 661.2, 676.77, 616.75, 295126.62, 649.52, 680.57, 681.86, 626.1, 215611.38, 650.8 
680.03, 699.78, 703.73, 607.48, 648206.21, 698.87, 646.74, 702.82, 618, 165416.69, 638.62, 661.2, 676.77, 616.75, 295126.62, 649.52, 680.57, 681.86, 626.1, 215611.38, 682.81, 672.42, 684.11, 660.09, 72547.39, 629.13 
698.87, 646.74, 702.82, 618, 165416.69, 638.62, 661.2, 676.77, 616.75, 295126.62, 649.52, 680.57, 681.86, 626.1, 215611.38, 682.81, 672.42, 684.11, 660.09, 72547.39, 674.42, 684.19, 699.16, 667.26, 291813.88, 625.79 
