@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
1.82, 1.82, 1.82, 1.82, 0, 1.78, 1.78, 1.78, 1.78, 0, 1.74, 1.59, 1.74, 1.58, 171.67, 1.61, 1.62, 1.7, 1.58, 436.44, 1.66, 1.58, 1.66, 1.55, 533.01, 1.31 
1.78, 1.78, 1.78, 1.78, 0, 1.74, 1.59, 1.74, 1.58, 171.67, 1.61, 1.62, 1.7, 1.58, 436.44, 1.66, 1.58, 1.66, 1.55, 533.01, 1.56, 1.59, 1.61, 1.53, 2892.81, 1.29 
1.74, 1.59, 1.74, 1.58, 171.67, 1.61, 1.62, 1.7, 1.58, 436.44, 1.66, 1.58, 1.66, 1.55, 533.01, 1.56, 1.59, 1.61, 1.53, 2892.81, 1.6, 1.62, 1.62, 1.53, 1428.71, 1.22 
1.61, 1.62, 1.7, 1.58, 436.44, 1.66, 1.58, 1.66, 1.55, 533.01, 1.56, 1.59, 1.61, 1.53, 2892.81, 1.6, 1.62, 1.62, 1.53, 1428.71, 1.65, 1.58, 1.65, 1.52, 514502.08, 1.16 
1.66, 1.58, 1.66, 1.55, 533.01, 1.56, 1.59, 1.61, 1.53, 2892.81, 1.6, 1.62, 1.62, 1.53, 1428.71, 1.65, 1.58, 1.65, 1.52, 514502.08, 1.57, 1.54, 1.64, 1.54, 2851.33, 1.25 
1.56, 1.59, 1.61, 1.53, 2892.81, 1.6, 1.62, 1.62, 1.53, 1428.71, 1.65, 1.58, 1.65, 1.52, 514502.08, 1.57, 1.54, 1.64, 1.54, 2851.33, 1.53, 1.52, 1.6, 1.52, 68760.45, 1.24 
1.6, 1.62, 1.62, 1.53, 1428.71, 1.65, 1.58, 1.65, 1.52, 514502.08, 1.57, 1.54, 1.64, 1.54, 2851.33, 1.53, 1.52, 1.6, 1.52, 68760.45, 1.28, 1.31, 1.39, 1.28, 129031.61, 1.21 
1.65, 1.58, 1.65, 1.52, 514502.08, 1.57, 1.54, 1.64, 1.54, 2851.33, 1.53, 1.52, 1.6, 1.52, 68760.45, 1.28, 1.31, 1.39, 1.28, 129031.61, 1.35, 1.29, 1.35, 1.25, 62168.27, 1.15 
1.57, 1.54, 1.64, 1.54, 2851.33, 1.53, 1.52, 1.6, 1.52, 68760.45, 1.28, 1.31, 1.39, 1.28, 129031.61, 1.35, 1.29, 1.35, 1.25, 62168.27, 1.32, 1.22, 1.32, 1.21, 60966.74, 1.13 
1.53, 1.52, 1.6, 1.52, 68760.45, 1.28, 1.31, 1.39, 1.28, 129031.61, 1.35, 1.29, 1.35, 1.25, 62168.27, 1.32, 1.22, 1.32, 1.21, 60966.74, 1.2, 1.16, 1.2, 1.13, 58887.55, 1.19 
1.28, 1.31, 1.39, 1.28, 129031.61, 1.35, 1.29, 1.35, 1.25, 62168.27, 1.32, 1.22, 1.32, 1.21, 60966.74, 1.2, 1.16, 1.2, 1.13, 58887.55, 1.25, 1.25, 1.52, 1.25, 60518.41, 1.15 
