@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.4399, 0.4371, 0.4744, 0.4137, 746648.74, 0.4145, 0.4075, 0.4188, 0.387, 828235.27, 0.3989, 0.3705, 0.3989, 0.3523, 571352.24, 0.3701, 0.3578, 0.3701, 0.3536, 144355.84, 0.3604, 0.3679, 0.3841, 0.3581, 134604.98, 0.7273 
0.4145, 0.4075, 0.4188, 0.387, 828235.27, 0.3989, 0.3705, 0.3989, 0.3523, 571352.24, 0.3701, 0.3578, 0.3701, 0.3536, 144355.84, 0.3604, 0.3679, 0.3841, 0.3581, 134604.98, 0.4009, 0.4591, 0.4808, 0.3765, 445228.89, 0.7041 
0.3989, 0.3705, 0.3989, 0.3523, 571352.24, 0.3701, 0.3578, 0.3701, 0.3536, 144355.84, 0.3604, 0.3679, 0.3841, 0.3581, 134604.98, 0.4009, 0.4591, 0.4808, 0.3765, 445228.89, 0.4808, 0.6324, 0.6324, 0.4652, 641929.63, 0.7388 
0.3701, 0.3578, 0.3701, 0.3536, 144355.84, 0.3604, 0.3679, 0.3841, 0.3581, 134604.98, 0.4009, 0.4591, 0.4808, 0.3765, 445228.89, 0.4808, 0.6324, 0.6324, 0.4652, 641929.63, 0.636, 0.7559, 0.8587, 0.6292, 1882728.6, 0.6715 
0.3604, 0.3679, 0.3841, 0.3581, 134604.98, 0.4009, 0.4591, 0.4808, 0.3765, 445228.89, 0.4808, 0.6324, 0.6324, 0.4652, 641929.63, 0.636, 0.7559, 0.8587, 0.6292, 1882728.6, 0.837, 0.7779, 0.8416, 0.7419, 772860.06, 0.6909 
0.4009, 0.4591, 0.4808, 0.3765, 445228.89, 0.4808, 0.6324, 0.6324, 0.4652, 641929.63, 0.636, 0.7559, 0.8587, 0.6292, 1882728.6, 0.837, 0.7779, 0.8416, 0.7419, 772860.06, 0.733, 0.6663, 0.7439, 0.6402, 431029.83, 0.6629 
0.4808, 0.6324, 0.6324, 0.4652, 641929.63, 0.636, 0.7559, 0.8587, 0.6292, 1882728.6, 0.837, 0.7779, 0.8416, 0.7419, 772860.06, 0.733, 0.6663, 0.7439, 0.6402, 431029.83, 0.6913, 0.7273, 0.8107, 0.6448, 405284.13, 0.6838 
0.636, 0.7559, 0.8587, 0.6292, 1882728.6, 0.837, 0.7779, 0.8416, 0.7419, 772860.06, 0.733, 0.6663, 0.7439, 0.6402, 431029.83, 0.6913, 0.7273, 0.8107, 0.6448, 405284.13, 0.7206, 0.7041, 0.7442, 0.6196, 357612.8, 0.6569 
0.837, 0.7779, 0.8416, 0.7419, 772860.06, 0.733, 0.6663, 0.7439, 0.6402, 431029.83, 0.6913, 0.7273, 0.8107, 0.6448, 405284.13, 0.7206, 0.7041, 0.7442, 0.6196, 357612.8, 0.7172, 0.7388, 0.789, 0.6854, 405895.97, 0.6581 
0.733, 0.6663, 0.7439, 0.6402, 431029.83, 0.6913, 0.7273, 0.8107, 0.6448, 405284.13, 0.7206, 0.7041, 0.7442, 0.6196, 357612.8, 0.7172, 0.7388, 0.789, 0.6854, 405895.97, 0.6941, 0.6715, 0.7317, 0.6419, 242249.37, 0.6311 
0.6913, 0.7273, 0.8107, 0.6448, 405284.13, 0.7206, 0.7041, 0.7442, 0.6196, 357612.8, 0.7172, 0.7388, 0.789, 0.6854, 405895.97, 0.6941, 0.6715, 0.7317, 0.6419, 242249.37, 0.6739, 0.6909, 0.7093, 0.382, 154382.45, 0.6433 
0.7206, 0.7041, 0.7442, 0.6196, 357612.8, 0.7172, 0.7388, 0.789, 0.6854, 405895.97, 0.6941, 0.6715, 0.7317, 0.6419, 242249.37, 0.6739, 0.6909, 0.7093, 0.382, 154382.45, 0.6545, 0.6629, 0.6902, 0.5936, 232871.86, 0.6599 
0.7172, 0.7388, 0.789, 0.6854, 405895.97, 0.6941, 0.6715, 0.7317, 0.6419, 242249.37, 0.6739, 0.6909, 0.7093, 0.382, 154382.45, 0.6545, 0.6629, 0.6902, 0.5936, 232871.86, 0.7177, 0.6838, 0.7256, 0.6838, 218552.04, 0.6291 
0.6941, 0.6715, 0.7317, 0.6419, 242249.37, 0.6739, 0.6909, 0.7093, 0.382, 154382.45, 0.6545, 0.6629, 0.6902, 0.5936, 232871.86, 0.7177, 0.6838, 0.7256, 0.6838, 218552.04, 0.6577, 0.6569, 0.669, 0.6364, 182167.61, 0.6233 
0.6739, 0.6909, 0.7093, 0.382, 154382.45, 0.6545, 0.6629, 0.6902, 0.5936, 232871.86, 0.7177, 0.6838, 0.7256, 0.6838, 218552.04, 0.6577, 0.6569, 0.669, 0.6364, 182167.61, 0.674, 0.6581, 0.692, 0.6518, 196676.41, 0.6277 
0.6545, 0.6629, 0.6902, 0.5936, 232871.86, 0.7177, 0.6838, 0.7256, 0.6838, 218552.04, 0.6577, 0.6569, 0.669, 0.6364, 182167.61, 0.674, 0.6581, 0.692, 0.6518, 196676.41, 0.6329, 0.6311, 0.6442, 0.3732, 241174.11, 0.6429 
0.7177, 0.6838, 0.7256, 0.6838, 218552.04, 0.6577, 0.6569, 0.669, 0.6364, 182167.61, 0.674, 0.6581, 0.692, 0.6518, 196676.41, 0.6329, 0.6311, 0.6442, 0.3732, 241174.11, 0.6534, 0.6433, 0.6616, 0.5587, 131406.94, 0.6347 
0.6577, 0.6569, 0.669, 0.6364, 182167.61, 0.674, 0.6581, 0.692, 0.6518, 196676.41, 0.6329, 0.6311, 0.6442, 0.3732, 241174.11, 0.6534, 0.6433, 0.6616, 0.5587, 131406.94, 0.6567, 0.6599, 0.6678, 0.6072, 151517.5, 0.6356 
0.674, 0.6581, 0.692, 0.6518, 196676.41, 0.6329, 0.6311, 0.6442, 0.3732, 241174.11, 0.6534, 0.6433, 0.6616, 0.5587, 131406.94, 0.6567, 0.6599, 0.6678, 0.6072, 151517.5, 0.6391, 0.6291, 0.644, 0.6233, 185961.23, 0.6587 
0.6329, 0.6311, 0.6442, 0.3732, 241174.11, 0.6534, 0.6433, 0.6616, 0.5587, 131406.94, 0.6567, 0.6599, 0.6678, 0.6072, 151517.5, 0.6391, 0.6291, 0.644, 0.6233, 185961.23, 0.6353, 0.6233, 0.6446, 0.6187, 130103.48, 0.5964 
0.6534, 0.6433, 0.6616, 0.5587, 131406.94, 0.6567, 0.6599, 0.6678, 0.6072, 151517.5, 0.6391, 0.6291, 0.644, 0.6233, 185961.23, 0.6353, 0.6233, 0.6446, 0.6187, 130103.48, 0.6203, 0.6277, 0.6477, 0.6203, 151671.23, 0.5827 
