@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.2447, 0.2426, 0.2504, 0.2394, 595122.69, 0.2301, 0.2285, 0.2327, 0.2228, 260427.05, 0.2237, 0.2145, 0.2258, 0.2136, 289166, 0.2143, 0.2201, 0.2205, 0.2093, 304733.7, 0.2217, 0.2184, 0.2242, 0.2149, 219990.36, 0.2696 
0.2301, 0.2285, 0.2327, 0.2228, 260427.05, 0.2237, 0.2145, 0.2258, 0.2136, 289166, 0.2143, 0.2201, 0.2205, 0.2093, 304733.7, 0.2217, 0.2184, 0.2242, 0.2149, 219990.36, 0.2381, 0.2434, 0.245, 0.2349, 627406.21, 0.2765 
0.2237, 0.2145, 0.2258, 0.2136, 289166, 0.2143, 0.2201, 0.2205, 0.2093, 304733.7, 0.2217, 0.2184, 0.2242, 0.2149, 219990.36, 0.2381, 0.2434, 0.245, 0.2349, 627406.21, 0.2549, 0.2506, 0.2608, 0.2478, 505687.29, 0.2731 
0.2143, 0.2201, 0.2205, 0.2093, 304733.7, 0.2217, 0.2184, 0.2242, 0.2149, 219990.36, 0.2381, 0.2434, 0.245, 0.2349, 627406.21, 0.2549, 0.2506, 0.2608, 0.2478, 505687.29, 0.252, 0.2476, 0.2579, 0.2426, 653658.84, 0.2443 
0.2217, 0.2184, 0.2242, 0.2149, 219990.36, 0.2381, 0.2434, 0.245, 0.2349, 627406.21, 0.2549, 0.2506, 0.2608, 0.2478, 505687.29, 0.252, 0.2476, 0.2579, 0.2426, 653658.84, 0.2742, 0.2685, 0.2777, 0.2622, 617334.25, 0.2575 
0.2381, 0.2434, 0.245, 0.2349, 627406.21, 0.2549, 0.2506, 0.2608, 0.2478, 505687.29, 0.252, 0.2476, 0.2579, 0.2426, 653658.84, 0.2742, 0.2685, 0.2777, 0.2622, 617334.25, 0.253, 0.2453, 0.2554, 0.2403, 998850.43, 0.2294 
0.2549, 0.2506, 0.2608, 0.2478, 505687.29, 0.252, 0.2476, 0.2579, 0.2426, 653658.84, 0.2742, 0.2685, 0.2777, 0.2622, 617334.25, 0.253, 0.2453, 0.2554, 0.2403, 998850.43, 0.2545, 0.2696, 0.2968, 0.2532, 1048798.94, 0.2676 
0.252, 0.2476, 0.2579, 0.2426, 653658.84, 0.2742, 0.2685, 0.2777, 0.2622, 617334.25, 0.253, 0.2453, 0.2554, 0.2403, 998850.43, 0.2545, 0.2696, 0.2968, 0.2532, 1048798.94, 0.2671, 0.2765, 0.2817, 0.2592, 1035506.53, 0.2479 
0.2742, 0.2685, 0.2777, 0.2622, 617334.25, 0.253, 0.2453, 0.2554, 0.2403, 998850.43, 0.2545, 0.2696, 0.2968, 0.2532, 1048798.94, 0.2671, 0.2765, 0.2817, 0.2592, 1035506.53, 0.2816, 0.2731, 0.2841, 0.2715, 633556.59, 0.2551 
0.253, 0.2453, 0.2554, 0.2403, 998850.43, 0.2545, 0.2696, 0.2968, 0.2532, 1048798.94, 0.2671, 0.2765, 0.2817, 0.2592, 1035506.53, 0.2816, 0.2731, 0.2841, 0.2715, 633556.59, 0.2566, 0.2443, 0.261, 0.2378, 327165.53, 0.2504 
