@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.005137, 0.005142, 0.005188, 0.004465, 192351.26, 0.004813, 0.004876, 0.005069, 0.004668, 358190.45, 0.004758, 0.004806, 0.004949, 0.004756, 279006, 0.004845, 0.004817, 0.004954, 0.004803, 230697.13, 0.00495, 0.004957, 0.005046, 0.004898, 274224.92, 0.004123 
0.004813, 0.004876, 0.005069, 0.004668, 358190.45, 0.004758, 0.004806, 0.004949, 0.004756, 279006, 0.004845, 0.004817, 0.004954, 0.004803, 230697.13, 0.00495, 0.004957, 0.005046, 0.004898, 274224.92, 0.004885, 0.004863, 0.005009, 0.004861, 300404.46, 0.004268 
0.004758, 0.004806, 0.004949, 0.004756, 279006, 0.004845, 0.004817, 0.004954, 0.004803, 230697.13, 0.00495, 0.004957, 0.005046, 0.004898, 274224.92, 0.004885, 0.004863, 0.005009, 0.004861, 300404.46, 0.004885, 0.004933, 0.005052, 0.004872, 326972.11, 0.004336 
0.004845, 0.004817, 0.004954, 0.004803, 230697.13, 0.00495, 0.004957, 0.005046, 0.004898, 274224.92, 0.004885, 0.004863, 0.005009, 0.004861, 300404.46, 0.004885, 0.004933, 0.005052, 0.004872, 326972.11, 0.005013, 0.00507, 0.005382, 0.004954, 346728.55, 0.004241 
0.00495, 0.004957, 0.005046, 0.004898, 274224.92, 0.004885, 0.004863, 0.005009, 0.004861, 300404.46, 0.004885, 0.004933, 0.005052, 0.004872, 326972.11, 0.005013, 0.00507, 0.005382, 0.004954, 346728.55, 0.00503, 0.004893, 0.005344, 0.004886, 268313.09, 0.004617 
0.004885, 0.004863, 0.005009, 0.004861, 300404.46, 0.004885, 0.004933, 0.005052, 0.004872, 326972.11, 0.005013, 0.00507, 0.005382, 0.004954, 346728.55, 0.00503, 0.004893, 0.005344, 0.004886, 268313.09, 0.004845, 0.004879, 0.004967, 0.004834, 276143.65, 0.004488 
0.004885, 0.004933, 0.005052, 0.004872, 326972.11, 0.005013, 0.00507, 0.005382, 0.004954, 346728.55, 0.00503, 0.004893, 0.005344, 0.004886, 268313.09, 0.004845, 0.004879, 0.004967, 0.004834, 276143.65, 0.004112, 0.004123, 0.004193, 0.004085, 252750.37, 0.004202 
0.005013, 0.00507, 0.005382, 0.004954, 346728.55, 0.00503, 0.004893, 0.005344, 0.004886, 268313.09, 0.004845, 0.004879, 0.004967, 0.004834, 276143.65, 0.004112, 0.004123, 0.004193, 0.004085, 252750.37, 0.004256, 0.004268, 0.004323, 0.004251, 249408.77, 0.004457 
0.00503, 0.004893, 0.005344, 0.004886, 268313.09, 0.004845, 0.004879, 0.004967, 0.004834, 276143.65, 0.004112, 0.004123, 0.004193, 0.004085, 252750.37, 0.004256, 0.004268, 0.004323, 0.004251, 249408.77, 0.004344, 0.004336, 0.004388, 0.004324, 228183.93, 0.004473 
0.004845, 0.004879, 0.004967, 0.004834, 276143.65, 0.004112, 0.004123, 0.004193, 0.004085, 252750.37, 0.004256, 0.004268, 0.004323, 0.004251, 249408.77, 0.004344, 0.004336, 0.004388, 0.004324, 228183.93, 0.004239, 0.004241, 0.0043, 0.004218, 205813.77, 0.004553 
0.004112, 0.004123, 0.004193, 0.004085, 252750.37, 0.004256, 0.004268, 0.004323, 0.004251, 249408.77, 0.004344, 0.004336, 0.004388, 0.004324, 228183.93, 0.004239, 0.004241, 0.0043, 0.004218, 205813.77, 0.004585, 0.004617, 0.004633, 0.004239, 285087.91, 0.004503 
0.004256, 0.004268, 0.004323, 0.004251, 249408.77, 0.004344, 0.004336, 0.004388, 0.004324, 228183.93, 0.004239, 0.004241, 0.0043, 0.004218, 205813.77, 0.004585, 0.004617, 0.004633, 0.004239, 285087.91, 0.004604, 0.004488, 0.004604, 0.00444, 257053.04, 0.004491 
0.004344, 0.004336, 0.004388, 0.004324, 228183.93, 0.004239, 0.004241, 0.0043, 0.004218, 205813.77, 0.004585, 0.004617, 0.004633, 0.004239, 285087.91, 0.004604, 0.004488, 0.004604, 0.00444, 257053.04, 0.004432, 0.004202, 0.004532, 0.004173, 316953.61, 0.004547 
0.004239, 0.004241, 0.0043, 0.004218, 205813.77, 0.004585, 0.004617, 0.004633, 0.004239, 285087.91, 0.004604, 0.004488, 0.004604, 0.00444, 257053.04, 0.004432, 0.004202, 0.004532, 0.004173, 316953.61, 0.004098, 0.004457, 0.004576, 0.00407, 220920.23, 0.004414 
0.004585, 0.004617, 0.004633, 0.004239, 285087.91, 0.004604, 0.004488, 0.004604, 0.00444, 257053.04, 0.004432, 0.004202, 0.004532, 0.004173, 316953.61, 0.004098, 0.004457, 0.004576, 0.00407, 220920.23, 0.004465, 0.004473, 0.004574, 0.004463, 259324.83, 0.004425 
0.004604, 0.004488, 0.004604, 0.00444, 257053.04, 0.004432, 0.004202, 0.004532, 0.004173, 316953.61, 0.004098, 0.004457, 0.004576, 0.00407, 220920.23, 0.004465, 0.004473, 0.004574, 0.004463, 259324.83, 0.004522, 0.004553, 0.004819, 0.004518, 308928.94, 0.004464 
0.004432, 0.004202, 0.004532, 0.004173, 316953.61, 0.004098, 0.004457, 0.004576, 0.00407, 220920.23, 0.004465, 0.004473, 0.004574, 0.004463, 259324.83, 0.004522, 0.004553, 0.004819, 0.004518, 308928.94, 0.004546, 0.004503, 0.004761, 0.004503, 290010.39, 0.00437 
0.004098, 0.004457, 0.004576, 0.00407, 220920.23, 0.004465, 0.004473, 0.004574, 0.004463, 259324.83, 0.004522, 0.004553, 0.004819, 0.004518, 308928.94, 0.004546, 0.004503, 0.004761, 0.004503, 290010.39, 0.004477, 0.004491, 0.004646, 0.004272, 276674.98, 0.004461 
0.004465, 0.004473, 0.004574, 0.004463, 259324.83, 0.004522, 0.004553, 0.004819, 0.004518, 308928.94, 0.004546, 0.004503, 0.004761, 0.004503, 290010.39, 0.004477, 0.004491, 0.004646, 0.004272, 276674.98, 0.004494, 0.004547, 0.004663, 0.004494, 292752.79, 0.004311 
0.004522, 0.004553, 0.004819, 0.004518, 308928.94, 0.004546, 0.004503, 0.004761, 0.004503, 290010.39, 0.004477, 0.004491, 0.004646, 0.004272, 276674.98, 0.004494, 0.004547, 0.004663, 0.004494, 292752.79, 0.004529, 0.004414, 0.004596, 0.004363, 254694.12, 0.00441 
0.004546, 0.004503, 0.004761, 0.004503, 290010.39, 0.004477, 0.004491, 0.004646, 0.004272, 276674.98, 0.004494, 0.004547, 0.004663, 0.004494, 292752.79, 0.004529, 0.004414, 0.004596, 0.004363, 254694.12, 0.004377, 0.004425, 0.004522, 0.004318, 301589.25, 0.004469 
0.004477, 0.004491, 0.004646, 0.004272, 276674.98, 0.004494, 0.004547, 0.004663, 0.004494, 292752.79, 0.004529, 0.004414, 0.004596, 0.004363, 254694.12, 0.004377, 0.004425, 0.004522, 0.004318, 301589.25, 0.004472, 0.004464, 0.004572, 0.004464, 263271.07, 0.004519 
0.004494, 0.004547, 0.004663, 0.004494, 292752.79, 0.004529, 0.004414, 0.004596, 0.004363, 254694.12, 0.004377, 0.004425, 0.004522, 0.004318, 301589.25, 0.004472, 0.004464, 0.004572, 0.004464, 263271.07, 0.004451, 0.00437, 0.004549, 0.00436, 220901.44, 0.004547 
0.004529, 0.004414, 0.004596, 0.004363, 254694.12, 0.004377, 0.004425, 0.004522, 0.004318, 301589.25, 0.004472, 0.004464, 0.004572, 0.004464, 263271.07, 0.004451, 0.00437, 0.004549, 0.00436, 220901.44, 0.00439, 0.004461, 0.00458, 0.00439, 263153.07, 0.005174 
0.004377, 0.004425, 0.004522, 0.004318, 301589.25, 0.004472, 0.004464, 0.004572, 0.004464, 263271.07, 0.004451, 0.00437, 0.004549, 0.00436, 220901.44, 0.00439, 0.004461, 0.00458, 0.00439, 263153.07, 0.004285, 0.004311, 0.004383, 0.004285, 235452.18, 0.006202 
0.004472, 0.004464, 0.004572, 0.004464, 263271.07, 0.004451, 0.00437, 0.004549, 0.00436, 220901.44, 0.00439, 0.004461, 0.00458, 0.00439, 263153.07, 0.004285, 0.004311, 0.004383, 0.004285, 235452.18, 0.004322, 0.00441, 0.00451, 0.004318, 314751.79, 0.005851 
0.004451, 0.00437, 0.004549, 0.00436, 220901.44, 0.00439, 0.004461, 0.00458, 0.00439, 263153.07, 0.004285, 0.004311, 0.004383, 0.004285, 235452.18, 0.004322, 0.00441, 0.00451, 0.004318, 314751.79, 0.004448, 0.004469, 0.004521, 0.004446, 282799.22, 0.006126 
0.00439, 0.004461, 0.00458, 0.00439, 263153.07, 0.004285, 0.004311, 0.004383, 0.004285, 235452.18, 0.004322, 0.00441, 0.00451, 0.004318, 314751.79, 0.004448, 0.004469, 0.004521, 0.004446, 282799.22, 0.004489, 0.004519, 0.004537, 0.004432, 273194.4, 0.006082 
