@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
2.19, 2.22, 2.25, 2.16, 2639398.32, 2.23, 2.18, 2.24, 2.16, 1658204.68, 2.16, 2.17, 2.2, 2.13, 2741662.2, 2.05, 1.78, 2.05, 1.73, 5991002.5, 1.8, 1.87, 1.91, 1.75, 2219897.98, 1.98 
2.23, 2.18, 2.24, 2.16, 1658204.68, 2.16, 2.17, 2.2, 2.13, 2741662.2, 2.05, 1.78, 2.05, 1.73, 5991002.5, 1.8, 1.87, 1.91, 1.75, 2219897.98, 1.87, 1.86, 1.9, 1.8, 1482679.01, 2 
2.16, 2.17, 2.2, 2.13, 2741662.2, 2.05, 1.78, 2.05, 1.73, 5991002.5, 1.8, 1.87, 1.91, 1.75, 2219897.98, 1.87, 1.86, 1.9, 1.8, 1482679.01, 1.86, 1.81, 1.87, 1.81, 1571031.73, 2.12 
2.05, 1.78, 2.05, 1.73, 5991002.5, 1.8, 1.87, 1.91, 1.75, 2219897.98, 1.87, 1.86, 1.9, 1.8, 1482679.01, 1.86, 1.81, 1.87, 1.81, 1571031.73, 1.92, 1.85, 1.95, 1.76, 4121071.23, 2.04 
1.8, 1.87, 1.91, 1.75, 2219897.98, 1.87, 1.86, 1.9, 1.8, 1482679.01, 1.86, 1.81, 1.87, 1.81, 1571031.73, 1.92, 1.85, 1.95, 1.76, 4121071.23, 1.84, 1.92, 2, 1.82, 4115613.41, 2.01 
1.87, 1.86, 1.9, 1.8, 1482679.01, 1.86, 1.81, 1.87, 1.81, 1571031.73, 1.92, 1.85, 1.95, 1.76, 4121071.23, 1.84, 1.92, 2, 1.82, 4115613.41, 1.92, 2.11, 2.16, 1.91, 9775816.46, 2 
1.86, 1.81, 1.87, 1.81, 1571031.73, 1.92, 1.85, 1.95, 1.76, 4121071.23, 1.84, 1.92, 2, 1.82, 4115613.41, 1.92, 2.11, 2.16, 1.91, 9775816.46, 2.08, 1.98, 2.17, 1.88, 6752818.47, 2.03 
1.92, 1.85, 1.95, 1.76, 4121071.23, 1.84, 1.92, 2, 1.82, 4115613.41, 1.92, 2.11, 2.16, 1.91, 9775816.46, 2.08, 1.98, 2.17, 1.88, 6752818.47, 1.98, 2, 2.07, 1.96, 2765501.44, 1.99 
1.84, 1.92, 2, 1.82, 4115613.41, 1.92, 2.11, 2.16, 1.91, 9775816.46, 2.08, 1.98, 2.17, 1.88, 6752818.47, 1.98, 2, 2.07, 1.96, 2765501.44, 2, 2.12, 2.13, 1.98, 3300865.1, 2.04 
1.92, 2.11, 2.16, 1.91, 9775816.46, 2.08, 1.98, 2.17, 1.88, 6752818.47, 1.98, 2, 2.07, 1.96, 2765501.44, 2, 2.12, 2.13, 1.98, 3300865.1, 2.12, 2.04, 2.17, 2.03, 2654649.74, 1.99 
2.08, 1.98, 2.17, 1.88, 6752818.47, 1.98, 2, 2.07, 1.96, 2765501.44, 2, 2.12, 2.13, 1.98, 3300865.1, 2.12, 2.04, 2.17, 2.03, 2654649.74, 2.03, 2.01, 2.06, 1.93, 3057171.83, 2.01 
1.98, 2, 2.07, 1.96, 2765501.44, 2, 2.12, 2.13, 1.98, 3300865.1, 2.12, 2.04, 2.17, 2.03, 2654649.74, 2.03, 2.01, 2.06, 1.93, 3057171.83, 2.01, 2, 2.09, 1.95, 3393130.52, 1.89 
2, 2.12, 2.13, 1.98, 3300865.1, 2.12, 2.04, 2.17, 2.03, 2654649.74, 2.03, 2.01, 2.06, 1.93, 3057171.83, 2.01, 2, 2.09, 1.95, 3393130.52, 2, 2.03, 2.07, 1.97, 2279372.37, 1.89 
2.12, 2.04, 2.17, 2.03, 2654649.74, 2.03, 2.01, 2.06, 1.93, 3057171.83, 2.01, 2, 2.09, 1.95, 3393130.52, 2, 2.03, 2.07, 1.97, 2279372.37, 2.03, 1.99, 2.03, 1.94, 1757272.78, 2.01 
2.03, 2.01, 2.06, 1.93, 3057171.83, 2.01, 2, 2.09, 1.95, 3393130.52, 2, 2.03, 2.07, 1.97, 2279372.37, 2.03, 1.99, 2.03, 1.94, 1757272.78, 1.98, 2.04, 2.08, 1.97, 2855437.31, 1.97 
