@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.5553, 0.5528, 0.5647, 0.5518, 390123.79, 0.5242, 0.5258, 0.5318, 0.5176, 360329, 0.5148, 0.4941, 0.5193, 0.4915, 348958.54, 0.4936, 0.4923, 0.4972, 0.4836, 337376.08, 0.4958, 0.5043, 0.5111, 0.4955, 344889.36, 0.6545 
0.5242, 0.5258, 0.5318, 0.5176, 360329, 0.5148, 0.4941, 0.5193, 0.4915, 348958.54, 0.4936, 0.4923, 0.4972, 0.4836, 337376.08, 0.4958, 0.5043, 0.5111, 0.4955, 344889.36, 0.5496, 0.5663, 0.5709, 0.539, 429950.13, 0.6765 
0.5148, 0.4941, 0.5193, 0.4915, 348958.54, 0.4936, 0.4923, 0.4972, 0.4836, 337376.08, 0.4958, 0.5043, 0.5111, 0.4955, 344889.36, 0.5496, 0.5663, 0.5709, 0.539, 429950.13, 0.593, 0.589, 0.5971, 0.56, 487205.89, 0.6931 
0.4936, 0.4923, 0.4972, 0.4836, 337376.08, 0.4958, 0.5043, 0.5111, 0.4955, 344889.36, 0.5496, 0.5663, 0.5709, 0.539, 429950.13, 0.593, 0.589, 0.5971, 0.56, 487205.89, 0.5922, 0.587, 0.6625, 0.584, 722076.44, 0.6151 
0.4958, 0.5043, 0.5111, 0.4955, 344889.36, 0.5496, 0.5663, 0.5709, 0.539, 429950.13, 0.593, 0.589, 0.5971, 0.56, 487205.89, 0.5922, 0.587, 0.6625, 0.584, 722076.44, 0.65, 0.6351, 0.6542, 0.619, 661487.88, 0.6131 
0.5496, 0.5663, 0.5709, 0.539, 429950.13, 0.593, 0.589, 0.5971, 0.56, 487205.89, 0.5922, 0.587, 0.6625, 0.584, 722076.44, 0.65, 0.6351, 0.6542, 0.619, 661487.88, 0.5985, 0.6433, 0.6651, 0.5872, 715426.49, 0.5713 
0.593, 0.589, 0.5971, 0.56, 487205.89, 0.5922, 0.587, 0.6625, 0.584, 722076.44, 0.65, 0.6351, 0.6542, 0.619, 661487.88, 0.5985, 0.6433, 0.6651, 0.5872, 715426.49, 0.6675, 0.6545, 0.6703, 0.6359, 634013.02, 0.6305 
0.5922, 0.587, 0.6625, 0.584, 722076.44, 0.65, 0.6351, 0.6542, 0.619, 661487.88, 0.5985, 0.6433, 0.6651, 0.5872, 715426.49, 0.6675, 0.6545, 0.6703, 0.6359, 634013.02, 0.6484, 0.6765, 0.6873, 0.6448, 662068.17, 0.6106 
0.65, 0.6351, 0.6542, 0.619, 661487.88, 0.5985, 0.6433, 0.6651, 0.5872, 715426.49, 0.6675, 0.6545, 0.6703, 0.6359, 634013.02, 0.6484, 0.6765, 0.6873, 0.6448, 662068.17, 0.689, 0.6931, 0.7237, 0.6882, 750222.4, 0.6285 
0.5985, 0.6433, 0.6651, 0.5872, 715426.49, 0.6675, 0.6545, 0.6703, 0.6359, 634013.02, 0.6484, 0.6765, 0.6873, 0.6448, 662068.17, 0.689, 0.6931, 0.7237, 0.6882, 750222.4, 0.6511, 0.6151, 0.6523, 0.5959, 719495.87, 0.5838 
