@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
5.87, 6.13, 6.57, 5.83, 3105910.46, 6.13, 5.8, 6.18, 5.68, 2484030.71, 5.8, 5.71, 5.92, 5.56, 1807166.64, 5.71, 5.73, 5.83, 5.5, 1121808.35, 5.73, 5.79, 6.2, 5.7, 2999649.92, 7.3 
6.13, 5.8, 6.18, 5.68, 2484030.71, 5.8, 5.71, 5.92, 5.56, 1807166.64, 5.71, 5.73, 5.83, 5.5, 1121808.35, 5.73, 5.79, 6.2, 5.7, 2999649.92, 5.79, 6.69, 6.93, 5.78, 3861568.33, 7.81 
5.8, 5.71, 5.92, 5.56, 1807166.64, 5.71, 5.73, 5.83, 5.5, 1121808.35, 5.73, 5.79, 6.2, 5.7, 2999649.92, 5.79, 6.69, 6.93, 5.78, 3861568.33, 6.69, 6.98, 7.02, 6.45, 2104311.03, 8.59 
5.71, 5.73, 5.83, 5.5, 1121808.35, 5.73, 5.79, 6.2, 5.7, 2999649.92, 5.79, 6.69, 6.93, 5.78, 3861568.33, 6.69, 6.98, 7.02, 6.45, 2104311.03, 6.98, 6.75, 7.5, 6.74, 4026300.03, 7.85 
5.73, 5.79, 6.2, 5.7, 2999649.92, 5.79, 6.69, 6.93, 5.78, 3861568.33, 6.69, 6.98, 7.02, 6.45, 2104311.03, 6.98, 6.75, 7.5, 6.74, 4026300.03, 6.75, 7.42, 7.64, 6.7, 4227000.15, 7.99 
5.79, 6.69, 6.93, 5.78, 3861568.33, 6.69, 6.98, 7.02, 6.45, 2104311.03, 6.98, 6.75, 7.5, 6.74, 4026300.03, 6.75, 7.42, 7.64, 6.7, 4227000.15, 7.42, 7.05, 7.69, 6.75, 3659418.75, 7.06 
6.69, 6.98, 7.02, 6.45, 2104311.03, 6.98, 6.75, 7.5, 6.74, 4026300.03, 6.75, 7.42, 7.64, 6.7, 4227000.15, 7.42, 7.05, 7.69, 6.75, 3659418.75, 7.05, 7.3, 7.35, 6.86, 1690816.35, 8.2 
6.98, 6.75, 7.5, 6.74, 4026300.03, 6.75, 7.42, 7.64, 6.7, 4227000.15, 7.42, 7.05, 7.69, 6.75, 3659418.75, 7.05, 7.3, 7.35, 6.86, 1690816.35, 7.3, 7.81, 8.33, 7.27, 5900994.86, 8.09 
6.75, 7.42, 7.64, 6.7, 4227000.15, 7.42, 7.05, 7.69, 6.75, 3659418.75, 7.05, 7.3, 7.35, 6.86, 1690816.35, 7.3, 7.81, 8.33, 7.27, 5900994.86, 7.81, 8.59, 9.36, 7.81, 7345247.53, 8.31 
7.42, 7.05, 7.69, 6.75, 3659418.75, 7.05, 7.3, 7.35, 6.86, 1690816.35, 7.3, 7.81, 8.33, 7.27, 5900994.86, 7.81, 8.59, 9.36, 7.81, 7345247.53, 8.59, 7.85, 8.62, 7.3, 2967780.33, 7.67 
