@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.07076, 0.06971, 0.07459, 0.06901, 18396.11, 0.0661, 0.0661, 0.06875, 0.06544, 37410.21, 0.06471, 0.06568, 0.06924, 0.05953, 92435.93, 0.06562, 0.06239, 0.06627, 0.06174, 26140.2, 0.06283, 0.06511, 0.06739, 0.06283, 18203.73, 0.07848 
0.0661, 0.0661, 0.06875, 0.06544, 37410.21, 0.06471, 0.06568, 0.06924, 0.05953, 92435.93, 0.06562, 0.06239, 0.06627, 0.06174, 26140.2, 0.06283, 0.06511, 0.06739, 0.06283, 18203.73, 0.07096, 0.07558, 0.0809, 0.07061, 34322.15, 0.08376 
0.06471, 0.06568, 0.06924, 0.05953, 92435.93, 0.06562, 0.06239, 0.06627, 0.06174, 26140.2, 0.06283, 0.06511, 0.06739, 0.06283, 18203.73, 0.07096, 0.07558, 0.0809, 0.07061, 34322.15, 0.07915, 0.07655, 0.08584, 0.07357, 49992.51, 0.08531 
0.06562, 0.06239, 0.06627, 0.06174, 26140.2, 0.06283, 0.06511, 0.06739, 0.06283, 18203.73, 0.07096, 0.07558, 0.0809, 0.07061, 34322.15, 0.07915, 0.07655, 0.08584, 0.07357, 49992.51, 0.07697, 0.07772, 0.07996, 0.07398, 42522.94, 0.08053 
0.06283, 0.06511, 0.06739, 0.06283, 18203.73, 0.07096, 0.07558, 0.0809, 0.07061, 34322.15, 0.07915, 0.07655, 0.08584, 0.07357, 49992.51, 0.07697, 0.07772, 0.07996, 0.07398, 42522.94, 0.08606, 0.08358, 0.09227, 0.0811, 77990.17, 0.08467 
0.07096, 0.07558, 0.0809, 0.07061, 34322.15, 0.07915, 0.07655, 0.08584, 0.07357, 49992.51, 0.07697, 0.07772, 0.07996, 0.07398, 42522.94, 0.08606, 0.08358, 0.09227, 0.0811, 77990.17, 0.07876, 0.0772, 0.08188, 0.07603, 39784.25, 0.07803 
0.07915, 0.07655, 0.08584, 0.07357, 49992.51, 0.07697, 0.07772, 0.07996, 0.07398, 42522.94, 0.08606, 0.08358, 0.09227, 0.0811, 77990.17, 0.07876, 0.0772, 0.08188, 0.07603, 39784.25, 0.0801, 0.07848, 0.08252, 0.07807, 31614.1, 0.08606 
0.07697, 0.07772, 0.07996, 0.07398, 42522.94, 0.08606, 0.08358, 0.09227, 0.0811, 77990.17, 0.07876, 0.0772, 0.08188, 0.07603, 39784.25, 0.0801, 0.07848, 0.08252, 0.07807, 31614.1, 0.07775, 0.08376, 0.08697, 0.07655, 107806.66, 0.08278 
0.08606, 0.08358, 0.09227, 0.0811, 77990.17, 0.07876, 0.0772, 0.08188, 0.07603, 39784.25, 0.0801, 0.07848, 0.08252, 0.07807, 31614.1, 0.07775, 0.08376, 0.08697, 0.07655, 107806.66, 0.08531, 0.08531, 0.09144, 0.07878, 56970.87, 0.0865 
0.07876, 0.0772, 0.08188, 0.07603, 39784.25, 0.0801, 0.07848, 0.08252, 0.07807, 31614.1, 0.07775, 0.08376, 0.08697, 0.07655, 107806.66, 0.08531, 0.08531, 0.09144, 0.07878, 56970.87, 0.08015, 0.08053, 0.08245, 0.079, 9901.97, 0.07982 
0.0801, 0.07848, 0.08252, 0.07807, 31614.1, 0.07775, 0.08376, 0.08697, 0.07655, 107806.66, 0.08531, 0.08531, 0.09144, 0.07878, 56970.87, 0.08015, 0.08053, 0.08245, 0.079, 9901.97, 0.08082, 0.08467, 0.08467, 0.07544, 49260.16, 0.07954 
0.07775, 0.08376, 0.08697, 0.07655, 107806.66, 0.08531, 0.08531, 0.09144, 0.07878, 56970.87, 0.08015, 0.08053, 0.08245, 0.079, 9901.97, 0.08082, 0.08467, 0.08467, 0.07544, 49260.16, 0.08021, 0.07803, 0.08131, 0.0773, 34623.47, 0.07803 
0.08531, 0.08531, 0.09144, 0.07878, 56970.87, 0.08015, 0.08053, 0.08245, 0.079, 9901.97, 0.08082, 0.08467, 0.08467, 0.07544, 49260.16, 0.08021, 0.07803, 0.08131, 0.0773, 34623.47, 0.08448, 0.08606, 0.08725, 0.07817, 79501.37, 0.07518 
0.08015, 0.08053, 0.08245, 0.079, 9901.97, 0.08082, 0.08467, 0.08467, 0.07544, 49260.16, 0.08021, 0.07803, 0.08131, 0.0773, 34623.47, 0.08448, 0.08606, 0.08725, 0.07817, 79501.37, 0.08278, 0.08278, 0.08467, 0.08164, 32375.26, 0.07942 
0.08082, 0.08467, 0.08467, 0.07544, 49260.16, 0.08021, 0.07803, 0.08131, 0.0773, 34623.47, 0.08448, 0.08606, 0.08725, 0.07817, 79501.37, 0.08278, 0.08278, 0.08467, 0.08164, 32375.26, 0.08494, 0.0865, 0.0865, 0.08299, 16255.94, 0.07634 
0.08021, 0.07803, 0.08131, 0.0773, 34623.47, 0.08448, 0.08606, 0.08725, 0.07817, 79501.37, 0.08278, 0.08278, 0.08467, 0.08164, 32375.26, 0.08494, 0.0865, 0.0865, 0.08299, 16255.94, 0.08319, 0.07982, 0.08582, 0.0787, 51234.86, 0.08165 
0.08448, 0.08606, 0.08725, 0.07817, 79501.37, 0.08278, 0.08278, 0.08467, 0.08164, 32375.26, 0.08494, 0.0865, 0.0865, 0.08299, 16255.94, 0.08319, 0.07982, 0.08582, 0.0787, 51234.86, 0.08265, 0.07954, 0.08342, 0.07799, 20084.65, 0.07736 
0.08278, 0.08278, 0.08467, 0.08164, 32375.26, 0.08494, 0.0865, 0.0865, 0.08299, 16255.94, 0.08319, 0.07982, 0.08582, 0.0787, 51234.86, 0.08265, 0.07954, 0.08342, 0.07799, 20084.65, 0.0812, 0.07803, 0.08199, 0.07526, 51085.46, 0.07597 
