@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.8184, 0.8204, 0.8435, 0.8112, 809158.3, 0.8105, 0.8092, 0.8255, 0.7981, 871456.43, 0.805, 0.7778, 0.8057, 0.7622, 886400.63, 0.7883, 0.7902, 0.8021, 0.7797, 1032752.82, 0.7966, 0.8105, 0.8218, 0.792, 1009136.99, 0.6539 
0.8105, 0.8092, 0.8255, 0.7981, 871456.43, 0.805, 0.7778, 0.8057, 0.7622, 886400.63, 0.7883, 0.7902, 0.8021, 0.7797, 1032752.82, 0.7966, 0.8105, 0.8218, 0.792, 1009136.99, 0.8053, 0.8119, 0.8567, 0.7875, 1659416.71, 0.6951 
0.805, 0.7778, 0.8057, 0.7622, 886400.63, 0.7883, 0.7902, 0.8021, 0.7797, 1032752.82, 0.7966, 0.8105, 0.8218, 0.792, 1009136.99, 0.8053, 0.8119, 0.8567, 0.7875, 1659416.71, 0.8133, 0.8225, 0.8681, 0.7908, 1366782.33, 0.6925 
0.7883, 0.7902, 0.8021, 0.7797, 1032752.82, 0.7966, 0.8105, 0.8218, 0.792, 1009136.99, 0.8053, 0.8119, 0.8567, 0.7875, 1659416.71, 0.8133, 0.8225, 0.8681, 0.7908, 1366782.33, 0.8286, 0.8279, 0.8426, 0.8173, 1024282.3, 0.6924 
0.7966, 0.8105, 0.8218, 0.792, 1009136.99, 0.8053, 0.8119, 0.8567, 0.7875, 1659416.71, 0.8133, 0.8225, 0.8681, 0.7908, 1366782.33, 0.8286, 0.8279, 0.8426, 0.8173, 1024282.3, 0.8257, 0.8011, 0.8283, 0.7905, 1348953.78, 0.6903 
0.8053, 0.8119, 0.8567, 0.7875, 1659416.71, 0.8133, 0.8225, 0.8681, 0.7908, 1366782.33, 0.8286, 0.8279, 0.8426, 0.8173, 1024282.3, 0.8257, 0.8011, 0.8283, 0.7905, 1348953.78, 0.795, 0.7726, 0.8003, 0.2359, 1455918.67, 0.6919 
0.8133, 0.8225, 0.8681, 0.7908, 1366782.33, 0.8286, 0.8279, 0.8426, 0.8173, 1024282.3, 0.8257, 0.8011, 0.8283, 0.7905, 1348953.78, 0.795, 0.7726, 0.8003, 0.2359, 1455918.67, 0.729, 0.6539, 0.7321, 0.6421, 1016850.11, 0.6811 
0.8286, 0.8279, 0.8426, 0.8173, 1024282.3, 0.8257, 0.8011, 0.8283, 0.7905, 1348953.78, 0.795, 0.7726, 0.8003, 0.2359, 1455918.67, 0.729, 0.6539, 0.7321, 0.6421, 1016850.11, 0.6607, 0.6951, 0.7426, 0.6345, 1499263.73, 0.6618 
0.8257, 0.8011, 0.8283, 0.7905, 1348953.78, 0.795, 0.7726, 0.8003, 0.2359, 1455918.67, 0.729, 0.6539, 0.7321, 0.6421, 1016850.11, 0.6607, 0.6951, 0.7426, 0.6345, 1499263.73, 0.6969, 0.6925, 0.7214, 0.6819, 760225.48, 0.6709 
0.795, 0.7726, 0.8003, 0.2359, 1455918.67, 0.729, 0.6539, 0.7321, 0.6421, 1016850.11, 0.6607, 0.6951, 0.7426, 0.6345, 1499263.73, 0.6969, 0.6925, 0.7214, 0.6819, 760225.48, 0.6937, 0.6924, 0.742, 0.6912, 681430.92, 0.6776 
0.729, 0.6539, 0.7321, 0.6421, 1016850.11, 0.6607, 0.6951, 0.7426, 0.6345, 1499263.73, 0.6969, 0.6925, 0.7214, 0.6819, 760225.48, 0.6937, 0.6924, 0.742, 0.6912, 681430.92, 0.7293, 0.6903, 0.7492, 0.6526, 798880.92, 0.6686 
0.6607, 0.6951, 0.7426, 0.6345, 1499263.73, 0.6969, 0.6925, 0.7214, 0.6819, 760225.48, 0.6937, 0.6924, 0.742, 0.6912, 681430.92, 0.7293, 0.6903, 0.7492, 0.6526, 798880.92, 0.6873, 0.6919, 0.7294, 0.6688, 895297.88, 0.6697 
0.6969, 0.6925, 0.7214, 0.6819, 760225.48, 0.6937, 0.6924, 0.742, 0.6912, 681430.92, 0.7293, 0.6903, 0.7492, 0.6526, 798880.92, 0.6873, 0.6919, 0.7294, 0.6688, 895297.88, 0.691, 0.6811, 0.6976, 0.6745, 870287.29, 0.6574 
0.6937, 0.6924, 0.742, 0.6912, 681430.92, 0.7293, 0.6903, 0.7492, 0.6526, 798880.92, 0.6873, 0.6919, 0.7294, 0.6688, 895297.88, 0.691, 0.6811, 0.6976, 0.6745, 870287.29, 0.6722, 0.6618, 0.6813, 0.6442, 937289.53, 0.7046 
0.7293, 0.6903, 0.7492, 0.6526, 798880.92, 0.6873, 0.6919, 0.7294, 0.6688, 895297.88, 0.691, 0.6811, 0.6976, 0.6745, 870287.29, 0.6722, 0.6618, 0.6813, 0.6442, 937289.53, 0.6599, 0.6709, 0.6922, 0.6469, 837953.76, 0.7051 
0.6873, 0.6919, 0.7294, 0.6688, 895297.88, 0.691, 0.6811, 0.6976, 0.6745, 870287.29, 0.6722, 0.6618, 0.6813, 0.6442, 937289.53, 0.6599, 0.6709, 0.6922, 0.6469, 837953.76, 0.6731, 0.6776, 0.6867, 0.6588, 622115.39, 0.7523 
0.691, 0.6811, 0.6976, 0.6745, 870287.29, 0.6722, 0.6618, 0.6813, 0.6442, 937289.53, 0.6599, 0.6709, 0.6922, 0.6469, 837953.76, 0.6731, 0.6776, 0.6867, 0.6588, 622115.39, 0.6796, 0.6686, 0.6855, 0.6673, 596610.23, 0.7486 
0.6722, 0.6618, 0.6813, 0.6442, 937289.53, 0.6599, 0.6709, 0.6922, 0.6469, 837953.76, 0.6731, 0.6776, 0.6867, 0.6588, 622115.39, 0.6796, 0.6686, 0.6855, 0.6673, 596610.23, 0.6658, 0.6697, 0.6768, 0.6568, 598408.62, 0.7506 
