@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.06964, 0.06859, 0.0703, 0.06819, 924523.29, 0.06786, 0.06721, 0.06839, 0.06669, 726527.86, 0.06687, 0.06505, 0.06713, 0.06479, 829530.71, 0.06593, 0.06738, 0.0685, 0.06567, 887047.17, 0.06792, 0.06852, 0.06878, 0.06719, 874957.02, 0.06017 
0.06786, 0.06721, 0.06839, 0.06669, 726527.86, 0.06687, 0.06505, 0.06713, 0.06479, 829530.71, 0.06593, 0.06738, 0.0685, 0.06567, 887047.17, 0.06792, 0.06852, 0.06878, 0.06719, 874957.02, 0.06807, 0.06768, 0.06867, 0.06702, 1036081.67, 0.06201 
0.06687, 0.06505, 0.06713, 0.06479, 829530.71, 0.06593, 0.06738, 0.0685, 0.06567, 887047.17, 0.06792, 0.06852, 0.06878, 0.06719, 874957.02, 0.06807, 0.06768, 0.06867, 0.06702, 1036081.67, 0.06779, 0.06878, 0.06878, 0.06713, 1196319.79, 0.06242 
0.06593, 0.06738, 0.0685, 0.06567, 887047.17, 0.06792, 0.06852, 0.06878, 0.06719, 874957.02, 0.06807, 0.06768, 0.06867, 0.06702, 1036081.67, 0.06779, 0.06878, 0.06878, 0.06713, 1196319.79, 0.06929, 0.0685, 0.06929, 0.06763, 697489.6, 0.06102 
0.06792, 0.06852, 0.06878, 0.06719, 874957.02, 0.06807, 0.06768, 0.06867, 0.06702, 1036081.67, 0.06779, 0.06878, 0.06878, 0.06713, 1196319.79, 0.06929, 0.0685, 0.06929, 0.06763, 697489.6, 0.06831, 0.06758, 0.06897, 0.06672, 864996.85, 0.06229 
0.06807, 0.06768, 0.06867, 0.06702, 1036081.67, 0.06779, 0.06878, 0.06878, 0.06713, 1196319.79, 0.06929, 0.0685, 0.06929, 0.06763, 697489.6, 0.06831, 0.06758, 0.06897, 0.06672, 864996.85, 0.06706, 0.06667, 0.06739, 0.06588, 623366.37, 0.06181 
0.06779, 0.06878, 0.06878, 0.06713, 1196319.79, 0.06929, 0.0685, 0.06929, 0.06763, 697489.6, 0.06831, 0.06758, 0.06897, 0.06672, 864996.85, 0.06706, 0.06667, 0.06739, 0.06588, 623366.37, 0.0629, 0.06017, 0.06315, 0.05967, 798648.2, 0.0616 
0.06929, 0.0685, 0.06929, 0.06763, 697489.6, 0.06831, 0.06758, 0.06897, 0.06672, 864996.85, 0.06706, 0.06667, 0.06739, 0.06588, 623366.37, 0.0629, 0.06017, 0.06315, 0.05967, 798648.2, 0.06063, 0.06201, 0.06282, 0.06007, 845680.13, 0.06119 
0.06831, 0.06758, 0.06897, 0.06672, 864996.85, 0.06706, 0.06667, 0.06739, 0.06588, 623366.37, 0.0629, 0.06017, 0.06315, 0.05967, 798648.2, 0.06063, 0.06201, 0.06282, 0.06007, 845680.13, 0.06223, 0.06242, 0.06324, 0.0618, 582167.04, 0.06068 
0.06706, 0.06667, 0.06739, 0.06588, 623366.37, 0.0629, 0.06017, 0.06315, 0.05967, 798648.2, 0.06063, 0.06201, 0.06282, 0.06007, 845680.13, 0.06223, 0.06242, 0.06324, 0.0618, 582167.04, 0.06253, 0.06102, 0.06253, 0.06083, 527685.96, 0.06075 
0.0629, 0.06017, 0.06315, 0.05967, 798648.2, 0.06063, 0.06201, 0.06282, 0.06007, 845680.13, 0.06223, 0.06242, 0.06324, 0.0618, 582167.04, 0.06253, 0.06102, 0.06253, 0.06083, 527685.96, 0.06427, 0.06229, 0.06447, 0.06143, 530451.86, 0.06067 
0.06063, 0.06201, 0.06282, 0.06007, 845680.13, 0.06223, 0.06242, 0.06324, 0.0618, 582167.04, 0.06253, 0.06102, 0.06253, 0.06083, 527685.96, 0.06427, 0.06229, 0.06447, 0.06143, 530451.86, 0.06201, 0.06181, 0.06307, 0.06129, 523525.5, 0.0601 
0.06223, 0.06242, 0.06324, 0.0618, 582167.04, 0.06253, 0.06102, 0.06253, 0.06083, 527685.96, 0.06427, 0.06229, 0.06447, 0.06143, 530451.86, 0.06201, 0.06181, 0.06307, 0.06129, 523525.5, 0.06173, 0.0616, 0.06259, 0.06081, 687259.59, 0.05985 
0.06253, 0.06102, 0.06253, 0.06083, 527685.96, 0.06427, 0.06229, 0.06447, 0.06143, 530451.86, 0.06201, 0.06181, 0.06307, 0.06129, 523525.5, 0.06173, 0.0616, 0.06259, 0.06081, 687259.59, 0.0608, 0.06119, 0.06216, 0.06035, 669244.24, 0.05952 
0.06427, 0.06229, 0.06447, 0.06143, 530451.86, 0.06201, 0.06181, 0.06307, 0.06129, 523525.5, 0.06173, 0.0616, 0.06259, 0.06081, 687259.59, 0.0608, 0.06119, 0.06216, 0.06035, 669244.24, 0.06101, 0.06068, 0.06113, 0.06023, 581528.68, 0.05991 
0.06201, 0.06181, 0.06307, 0.06129, 523525.5, 0.06173, 0.0616, 0.06259, 0.06081, 687259.59, 0.0608, 0.06119, 0.06216, 0.06035, 669244.24, 0.06101, 0.06068, 0.06113, 0.06023, 581528.68, 0.06088, 0.06075, 0.06173, 0.05991, 494889.17, 0.06083 
0.06173, 0.0616, 0.06259, 0.06081, 687259.59, 0.0608, 0.06119, 0.06216, 0.06035, 669244.24, 0.06101, 0.06068, 0.06113, 0.06023, 581528.68, 0.06088, 0.06075, 0.06173, 0.05991, 494889.17, 0.06093, 0.06067, 0.06204, 0.06022, 862961.21, 0.05998 
0.0608, 0.06119, 0.06216, 0.06035, 669244.24, 0.06101, 0.06068, 0.06113, 0.06023, 581528.68, 0.06088, 0.06075, 0.06173, 0.05991, 494889.17, 0.06093, 0.06067, 0.06204, 0.06022, 862961.21, 0.06042, 0.0601, 0.06114, 0.05978, 773057.64, 0.06218 
0.06101, 0.06068, 0.06113, 0.06023, 581528.68, 0.06088, 0.06075, 0.06173, 0.05991, 494889.17, 0.06093, 0.06067, 0.06204, 0.06022, 862961.21, 0.06042, 0.0601, 0.06114, 0.05978, 773057.64, 0.06004, 0.05985, 0.0605, 0.05888, 666478.22, 0.06775 
0.06088, 0.06075, 0.06173, 0.05991, 494889.17, 0.06093, 0.06067, 0.06204, 0.06022, 862961.21, 0.06042, 0.0601, 0.06114, 0.05978, 773057.64, 0.06004, 0.05985, 0.0605, 0.05888, 666478.22, 0.05991, 0.05952, 0.06049, 0.05893, 876970.03, 0.06561 
0.06093, 0.06067, 0.06204, 0.06022, 862961.21, 0.06042, 0.0601, 0.06114, 0.05978, 773057.64, 0.06004, 0.05985, 0.0605, 0.05888, 666478.22, 0.05991, 0.05952, 0.06049, 0.05893, 876970.03, 0.05939, 0.05991, 0.0603, 0.05907, 1164516.5, 0.06393 
0.06042, 0.0601, 0.06114, 0.05978, 773057.64, 0.06004, 0.05985, 0.0605, 0.05888, 666478.22, 0.05991, 0.05952, 0.06049, 0.05893, 876970.03, 0.05939, 0.05991, 0.0603, 0.05907, 1164516.5, 0.05986, 0.06083, 0.06173, 0.0596, 965267.16, 0.0642 
0.06004, 0.05985, 0.0605, 0.05888, 666478.22, 0.05991, 0.05952, 0.06049, 0.05893, 876970.03, 0.05939, 0.05991, 0.0603, 0.05907, 1164516.5, 0.05986, 0.06083, 0.06173, 0.0596, 965267.16, 0.06095, 0.05998, 0.06166, 0.05953, 647717.1, 0.06382 
0.05991, 0.05952, 0.06049, 0.05893, 876970.03, 0.05939, 0.05991, 0.0603, 0.05907, 1164516.5, 0.05986, 0.06083, 0.06173, 0.0596, 965267.16, 0.06095, 0.05998, 0.06166, 0.05953, 647717.1, 0.05998, 0.06218, 0.06225, 0.05947, 834126.32, 0.06306 
0.05939, 0.05991, 0.0603, 0.05907, 1164516.5, 0.05986, 0.06083, 0.06173, 0.0596, 965267.16, 0.06095, 0.05998, 0.06166, 0.05953, 647717.1, 0.05998, 0.06218, 0.06225, 0.05947, 834126.32, 0.06068, 0.06775, 0.06926, 0.06068, 3924460.14, 0.06571 
0.05986, 0.06083, 0.06173, 0.0596, 965267.16, 0.06095, 0.05998, 0.06166, 0.05953, 647717.1, 0.05998, 0.06218, 0.06225, 0.05947, 834126.32, 0.06068, 0.06775, 0.06926, 0.06068, 3924460.14, 0.06763, 0.06561, 0.06808, 0.06416, 1380529.83, 0.06453 
0.06095, 0.05998, 0.06166, 0.05953, 647717.1, 0.05998, 0.06218, 0.06225, 0.05947, 834126.32, 0.06068, 0.06775, 0.06926, 0.06068, 3924460.14, 0.06763, 0.06561, 0.06808, 0.06416, 1380529.83, 0.06596, 0.06393, 0.06609, 0.06311, 876366.36, 0.06447 
0.05998, 0.06218, 0.06225, 0.05947, 834126.32, 0.06068, 0.06775, 0.06926, 0.06068, 3924460.14, 0.06763, 0.06561, 0.06808, 0.06416, 1380529.83, 0.06596, 0.06393, 0.06609, 0.06311, 876366.36, 0.06432, 0.0642, 0.06496, 0.06356, 850627.02, 0.07052 
