@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.009339, 0.01113, 0.01212, 0.009273, 10158762.9, 0.01108, 0.01642, 0.01649, 0.01101, 16117038.77, 0.01625, 0.009266, 0.01644, 0.009005, 10923799, 0.009219, 0.01201, 0.01272, 0.009154, 10882385.54, 0.01224, 0.01119, 0.0125, 0.01073, 3123499.28, 0.01 
0.01108, 0.01642, 0.01649, 0.01101, 16117038.77, 0.01625, 0.009266, 0.01644, 0.009005, 10923799, 0.009219, 0.01201, 0.01272, 0.009154, 10882385.54, 0.01224, 0.01119, 0.0125, 0.01073, 3123499.28, 0.01128, 0.01081, 0.01187, 0.01021, 2184324.57, 0.009004 
0.01625, 0.009266, 0.01644, 0.009005, 10923799, 0.009219, 0.01201, 0.01272, 0.009154, 10882385.54, 0.01224, 0.01119, 0.0125, 0.01073, 3123499.28, 0.01128, 0.01081, 0.01187, 0.01021, 2184324.57, 0.01074, 0.01186, 0.01193, 0.01061, 2413757.34, 0.009439 
0.009219, 0.01201, 0.01272, 0.009154, 10882385.54, 0.01224, 0.01119, 0.0125, 0.01073, 3123499.28, 0.01128, 0.01081, 0.01187, 0.01021, 2184324.57, 0.01074, 0.01186, 0.01193, 0.01061, 2413757.34, 0.01188, 0.01102, 0.01188, 0.01089, 1208458.08, 0.009714 
0.01224, 0.01119, 0.0125, 0.01073, 3123499.28, 0.01128, 0.01081, 0.01187, 0.01021, 2184324.57, 0.01074, 0.01186, 0.01193, 0.01061, 2413757.34, 0.01188, 0.01102, 0.01188, 0.01089, 1208458.08, 0.01111, 0.01111, 0.01131, 0.01084, 810105.26, 0.01061 
0.01128, 0.01081, 0.01187, 0.01021, 2184324.57, 0.01074, 0.01186, 0.01193, 0.01061, 2413757.34, 0.01188, 0.01102, 0.01188, 0.01089, 1208458.08, 0.01111, 0.01111, 0.01131, 0.01084, 810105.26, 0.01108, 0.01048, 0.01114, 0.01021, 916372, 0.01078 
0.01074, 0.01186, 0.01193, 0.01061, 2413757.34, 0.01188, 0.01102, 0.01188, 0.01089, 1208458.08, 0.01111, 0.01111, 0.01131, 0.01084, 810105.26, 0.01108, 0.01048, 0.01114, 0.01021, 916372, 0.0104, 0.01, 0.01066, 0.009674, 1042396.76, 0.01053 
0.01188, 0.01102, 0.01188, 0.01089, 1208458.08, 0.01111, 0.01111, 0.01131, 0.01084, 810105.26, 0.01108, 0.01048, 0.01114, 0.01021, 916372, 0.0104, 0.01, 0.01066, 0.009674, 1042396.76, 0.009438, 0.009004, 0.009749, 0.008755, 1178890.19, 0.01348 
0.01111, 0.01111, 0.01131, 0.01084, 810105.26, 0.01108, 0.01048, 0.01114, 0.01021, 916372, 0.0104, 0.01, 0.01066, 0.009674, 1042396.76, 0.009438, 0.009004, 0.009749, 0.008755, 1178890.19, 0.009001, 0.009439, 0.009751, 0.008626, 1094053.44, 0.01291 
0.01108, 0.01048, 0.01114, 0.01021, 916372, 0.0104, 0.01, 0.01066, 0.009674, 1042396.76, 0.009438, 0.009004, 0.009749, 0.008755, 1178890.19, 0.009001, 0.009439, 0.009751, 0.008626, 1094053.44, 0.009464, 0.009714, 0.009965, 0.009401, 612356.08, 0.01216 
