@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1883, 0.1735, 0.2049, 0.1735, 1956.89, 0.1656, 0.1689, 0.1689, 0.1653, 1319.79, 0.164, 0.1532, 0.164, 0.1487, 2358.75, 0.1539, 0.1539, 0.1539, 0.1539, 0, 0.1559, 0.1559, 0.1559, 0.1559, 0, 0.2935 
0.1656, 0.1689, 0.1689, 0.1653, 1319.79, 0.164, 0.1532, 0.164, 0.1487, 2358.75, 0.1539, 0.1539, 0.1539, 0.1539, 0, 0.1559, 0.1559, 0.1559, 0.1559, 0, 0.1743, 0.1582, 0.1743, 0.1463, 1647.53, 0.2777 
0.164, 0.1532, 0.164, 0.1487, 2358.75, 0.1539, 0.1539, 0.1539, 0.1539, 0, 0.1559, 0.1559, 0.1559, 0.1559, 0, 0.1743, 0.1582, 0.1743, 0.1463, 1647.53, 0.1698, 0.1488, 0.1698, 0.1488, 550.82, 0.2703 
0.1539, 0.1539, 0.1539, 0.1539, 0, 0.1559, 0.1559, 0.1559, 0.1559, 0, 0.1743, 0.1582, 0.1743, 0.1463, 1647.53, 0.1698, 0.1488, 0.1698, 0.1488, 550.82, 0.1462, 0.1465, 0.159, 0.1384, 3107.83, 0.2401 
0.1559, 0.1559, 0.1559, 0.1559, 0, 0.1743, 0.1582, 0.1743, 0.1463, 1647.53, 0.1698, 0.1488, 0.1698, 0.1488, 550.82, 0.1462, 0.1465, 0.159, 0.1384, 3107.83, 0.1695, 0.1512, 0.1695, 0.1423, 705.15, 0.2419 
0.1743, 0.1582, 0.1743, 0.1463, 1647.53, 0.1698, 0.1488, 0.1698, 0.1488, 550.82, 0.1462, 0.1465, 0.159, 0.1384, 3107.83, 0.1695, 0.1512, 0.1695, 0.1423, 705.15, 0.1422, 0.1367, 0.1422, 0.1189, 1437.78, 0.2252 
0.1698, 0.1488, 0.1698, 0.1488, 550.82, 0.1462, 0.1465, 0.159, 0.1384, 3107.83, 0.1695, 0.1512, 0.1695, 0.1423, 705.15, 0.1422, 0.1367, 0.1422, 0.1189, 1437.78, 0.1478, 0.2935, 0.3314, 0.1478, 47170.16, 0.2075 
0.1462, 0.1465, 0.159, 0.1384, 3107.83, 0.1695, 0.1512, 0.1695, 0.1423, 705.15, 0.1422, 0.1367, 0.1422, 0.1189, 1437.78, 0.1478, 0.2935, 0.3314, 0.1478, 47170.16, 0.3263, 0.2777, 0.3263, 0.2736, 18726.76, 0.1973 
0.1695, 0.1512, 0.1695, 0.1423, 705.15, 0.1422, 0.1367, 0.1422, 0.1189, 1437.78, 0.1478, 0.2935, 0.3314, 0.1478, 47170.16, 0.3263, 0.2777, 0.3263, 0.2736, 18726.76, 0.2974, 0.2703, 0.2974, 0.2219, 12205.88, 0.1878 
0.1422, 0.1367, 0.1422, 0.1189, 1437.78, 0.1478, 0.2935, 0.3314, 0.1478, 47170.16, 0.3263, 0.2777, 0.3263, 0.2736, 18726.76, 0.2974, 0.2703, 0.2974, 0.2219, 12205.88, 0.2514, 0.2401, 0.2514, 0.2342, 455.23, 0.1791 
