@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.5396, 0.5371, 0.547, 0.5305, 414489.45, 0.5126, 0.5075, 0.5158, 0.5013, 387390.67, 0.4929, 0.4716, 0.4929, 0.4662, 392144.78, 0.4737, 0.4544, 0.4757, 0.4405, 407808.57, 0.4604, 0.461, 0.4675, 0.4503, 371380.03, 0.7532 
0.5126, 0.5075, 0.5158, 0.5013, 387390.67, 0.4929, 0.4716, 0.4929, 0.4662, 392144.78, 0.4737, 0.4544, 0.4757, 0.4405, 407808.57, 0.4604, 0.461, 0.4675, 0.4503, 371380.03, 0.5153, 0.5856, 0.6004, 0.5131, 838616.03, 0.7561 
0.4929, 0.4716, 0.4929, 0.4662, 392144.78, 0.4737, 0.4544, 0.4757, 0.4405, 407808.57, 0.4604, 0.461, 0.4675, 0.4503, 371380.03, 0.5153, 0.5856, 0.6004, 0.5131, 838616.03, 0.6286, 0.7015, 0.7052, 0.6074, 1103457.82, 0.7775 
0.4737, 0.4544, 0.4757, 0.4405, 407808.57, 0.4604, 0.461, 0.4675, 0.4503, 371380.03, 0.5153, 0.5856, 0.6004, 0.5131, 838616.03, 0.6286, 0.7015, 0.7052, 0.6074, 1103457.82, 0.6891, 0.6165, 0.6929, 0.611, 886587.28, 0.6709 
0.4604, 0.461, 0.4675, 0.4503, 371380.03, 0.5153, 0.5856, 0.6004, 0.5131, 838616.03, 0.6286, 0.7015, 0.7052, 0.6074, 1103457.82, 0.6891, 0.6165, 0.6929, 0.611, 886587.28, 0.7133, 0.6766, 0.7282, 0.6648, 828916.18, 0.6442 
0.5153, 0.5856, 0.6004, 0.5131, 838616.03, 0.6286, 0.7015, 0.7052, 0.6074, 1103457.82, 0.6891, 0.6165, 0.6929, 0.611, 886587.28, 0.7133, 0.6766, 0.7282, 0.6648, 828916.18, 0.636, 0.7121, 0.7528, 0.6226, 1145017.64, 0.5621 
0.6286, 0.7015, 0.7052, 0.6074, 1103457.82, 0.6891, 0.6165, 0.6929, 0.611, 886587.28, 0.7133, 0.6766, 0.7282, 0.6648, 828916.18, 0.636, 0.7121, 0.7528, 0.6226, 1145017.64, 0.7702, 0.7532, 0.8373, 0.7395, 847949.26, 0.6349 
0.6891, 0.6165, 0.6929, 0.611, 886587.28, 0.7133, 0.6766, 0.7282, 0.6648, 828916.18, 0.636, 0.7121, 0.7528, 0.6226, 1145017.64, 0.7702, 0.7532, 0.8373, 0.7395, 847949.26, 0.8372, 0.7561, 0.8376, 0.7449, 867490.52, 0.6081 
0.7133, 0.6766, 0.7282, 0.6648, 828916.18, 0.636, 0.7121, 0.7528, 0.6226, 1145017.64, 0.7702, 0.7532, 0.8373, 0.7395, 847949.26, 0.8372, 0.7561, 0.8376, 0.7449, 867490.52, 0.8096, 0.7775, 0.8108, 0.7373, 1033196.53, 0.6269 
0.636, 0.7121, 0.7528, 0.6226, 1145017.64, 0.7702, 0.7532, 0.8373, 0.7395, 847949.26, 0.8372, 0.7561, 0.8376, 0.7449, 867490.52, 0.8096, 0.7775, 0.8108, 0.7373, 1033196.53, 0.7229, 0.6709, 0.7333, 0.6497, 992661.62, 0.5906 
0.7702, 0.7532, 0.8373, 0.7395, 847949.26, 0.8372, 0.7561, 0.8376, 0.7449, 867490.52, 0.8096, 0.7775, 0.8108, 0.7373, 1033196.53, 0.7229, 0.6709, 0.7333, 0.6497, 992661.62, 0.6792, 0.6442, 0.6851, 0.6388, 560594.71, 0.6109 
0.8372, 0.7561, 0.8376, 0.7449, 867490.52, 0.8096, 0.7775, 0.8108, 0.7373, 1033196.53, 0.7229, 0.6709, 0.7333, 0.6497, 992661.62, 0.6792, 0.6442, 0.6851, 0.6388, 560594.71, 0.567, 0.5621, 0.5873, 0.5434, 766326.96, 0.6498 
0.8096, 0.7775, 0.8108, 0.7373, 1033196.53, 0.7229, 0.6709, 0.7333, 0.6497, 992661.62, 0.6792, 0.6442, 0.6851, 0.6388, 560594.71, 0.567, 0.5621, 0.5873, 0.5434, 766326.96, 0.6729, 0.6349, 0.6784, 0.6316, 683602.16, 0.6078 
0.7229, 0.6709, 0.7333, 0.6497, 992661.62, 0.6792, 0.6442, 0.6851, 0.6388, 560594.71, 0.567, 0.5621, 0.5873, 0.5434, 766326.96, 0.6729, 0.6349, 0.6784, 0.6316, 683602.16, 0.6239, 0.6081, 0.6404, 0.5985, 665998.28, 0.6132 
0.6792, 0.6442, 0.6851, 0.6388, 560594.71, 0.567, 0.5621, 0.5873, 0.5434, 766326.96, 0.6729, 0.6349, 0.6784, 0.6316, 683602.16, 0.6239, 0.6081, 0.6404, 0.5985, 665998.28, 0.626, 0.6269, 0.6409, 0.6194, 579339.57, 0.6288 
0.567, 0.5621, 0.5873, 0.5434, 766326.96, 0.6729, 0.6349, 0.6784, 0.6316, 683602.16, 0.6239, 0.6081, 0.6404, 0.5985, 665998.28, 0.626, 0.6269, 0.6409, 0.6194, 579339.57, 0.5922, 0.5906, 0.5968, 0.5787, 407057.14, 0.6585 
0.6729, 0.6349, 0.6784, 0.6316, 683602.16, 0.6239, 0.6081, 0.6404, 0.5985, 665998.28, 0.626, 0.6269, 0.6409, 0.6194, 579339.57, 0.5922, 0.5906, 0.5968, 0.5787, 407057.14, 0.6311, 0.6109, 0.633, 0.6006, 271207.59, 0.6297 
0.6239, 0.6081, 0.6404, 0.5985, 665998.28, 0.626, 0.6269, 0.6409, 0.6194, 579339.57, 0.5922, 0.5906, 0.5968, 0.5787, 407057.14, 0.6311, 0.6109, 0.633, 0.6006, 271207.59, 0.6704, 0.6498, 0.6992, 0.6432, 437357.73, 0.6461 
0.626, 0.6269, 0.6409, 0.6194, 579339.57, 0.5922, 0.5906, 0.5968, 0.5787, 407057.14, 0.6311, 0.6109, 0.633, 0.6006, 271207.59, 0.6704, 0.6498, 0.6992, 0.6432, 437357.73, 0.6202, 0.6078, 0.6257, 0.5993, 427692, 0.7259 
0.5922, 0.5906, 0.5968, 0.5787, 407057.14, 0.6311, 0.6109, 0.633, 0.6006, 271207.59, 0.6704, 0.6498, 0.6992, 0.6432, 437357.73, 0.6202, 0.6078, 0.6257, 0.5993, 427692, 0.6346, 0.6132, 0.641, 0.6098, 475362.46, 0.5955 
0.6311, 0.6109, 0.633, 0.6006, 271207.59, 0.6704, 0.6498, 0.6992, 0.6432, 437357.73, 0.6202, 0.6078, 0.6257, 0.5993, 427692, 0.6346, 0.6132, 0.641, 0.6098, 475362.46, 0.614, 0.6288, 0.6394, 0.5965, 496964.04, 0.6401 
0.6704, 0.6498, 0.6992, 0.6432, 437357.73, 0.6202, 0.6078, 0.6257, 0.5993, 427692, 0.6346, 0.6132, 0.641, 0.6098, 475362.46, 0.614, 0.6288, 0.6394, 0.5965, 496964.04, 0.6384, 0.6585, 0.6687, 0.6319, 536275.43, 0.6174 
0.6202, 0.6078, 0.6257, 0.5993, 427692, 0.6346, 0.6132, 0.641, 0.6098, 475362.46, 0.614, 0.6288, 0.6394, 0.5965, 496964.04, 0.6384, 0.6585, 0.6687, 0.6319, 536275.43, 0.6315, 0.6297, 0.6476, 0.6237, 467211.25, 0.575 
0.6346, 0.6132, 0.641, 0.6098, 475362.46, 0.614, 0.6288, 0.6394, 0.5965, 496964.04, 0.6384, 0.6585, 0.6687, 0.6319, 536275.43, 0.6315, 0.6297, 0.6476, 0.6237, 467211.25, 0.6256, 0.6461, 0.665, 0.623, 563445.03, 0.6129 
0.614, 0.6288, 0.6394, 0.5965, 496964.04, 0.6384, 0.6585, 0.6687, 0.6319, 536275.43, 0.6315, 0.6297, 0.6476, 0.6237, 467211.25, 0.6256, 0.6461, 0.665, 0.623, 563445.03, 0.6464, 0.7259, 0.7392, 0.645, 956027.45, 0.5885 
0.6384, 0.6585, 0.6687, 0.6319, 536275.43, 0.6315, 0.6297, 0.6476, 0.6237, 467211.25, 0.6256, 0.6461, 0.665, 0.623, 563445.03, 0.6464, 0.7259, 0.7392, 0.645, 956027.45, 0.6145, 0.5955, 0.6351, 0.5716, 1529024.11, 0.6238 
0.6315, 0.6297, 0.6476, 0.6237, 467211.25, 0.6256, 0.6461, 0.665, 0.623, 563445.03, 0.6464, 0.7259, 0.7392, 0.645, 956027.45, 0.6145, 0.5955, 0.6351, 0.5716, 1529024.11, 0.5918, 0.6401, 0.6546, 0.5826, 826746.8, 0.626 
0.6256, 0.6461, 0.665, 0.623, 563445.03, 0.6464, 0.7259, 0.7392, 0.645, 956027.45, 0.6145, 0.5955, 0.6351, 0.5716, 1529024.11, 0.5918, 0.6401, 0.6546, 0.5826, 826746.8, 0.6334, 0.6174, 0.6494, 0.6051, 619312.72, 0.606 
0.6464, 0.7259, 0.7392, 0.645, 956027.45, 0.6145, 0.5955, 0.6351, 0.5716, 1529024.11, 0.5918, 0.6401, 0.6546, 0.5826, 826746.8, 0.6334, 0.6174, 0.6494, 0.6051, 619312.72, 0.572, 0.575, 0.5783, 0.5567, 497282.52, 0.6224 
