@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
2.88, 2.77, 2.91, 2.72, 394321.11, 2.75, 2.78, 2.84, 2.73, 379170.15, 2.75, 2.72, 2.77, 2.67, 362875.12, 2.7, 2.65, 2.73, 2.62, 349599.87, 2.7, 2.6, 2.73, 2.49, 406391.34, 2.63 
2.75, 2.78, 2.84, 2.73, 379170.15, 2.75, 2.72, 2.77, 2.67, 362875.12, 2.7, 2.65, 2.73, 2.62, 349599.87, 2.7, 2.6, 2.73, 2.49, 406391.34, 2.63, 2.71, 2.74, 2.61, 355215.74, 2.51 
2.75, 2.72, 2.77, 2.67, 362875.12, 2.7, 2.65, 2.73, 2.62, 349599.87, 2.7, 2.6, 2.73, 2.49, 406391.34, 2.63, 2.71, 2.74, 2.61, 355215.74, 2.69, 2.7, 2.72, 2.69, 385092.74, 2.47 
2.7, 2.65, 2.73, 2.62, 349599.87, 2.7, 2.6, 2.73, 2.49, 406391.34, 2.63, 2.71, 2.74, 2.61, 355215.74, 2.69, 2.7, 2.72, 2.69, 385092.74, 2.7, 2.73, 2.74, 2.64, 371095.75, 2.4 
2.7, 2.6, 2.73, 2.49, 406391.34, 2.63, 2.71, 2.74, 2.61, 355215.74, 2.69, 2.7, 2.72, 2.69, 385092.74, 2.7, 2.73, 2.74, 2.64, 371095.75, 2.75, 2.72, 2.76, 2.52, 646259.24, 2.42 
2.63, 2.71, 2.74, 2.61, 355215.74, 2.69, 2.7, 2.72, 2.69, 385092.74, 2.7, 2.73, 2.74, 2.64, 371095.75, 2.75, 2.72, 2.76, 2.52, 646259.24, 2.71, 2.59, 2.72, 2.55, 399956.45, 2.36 
2.69, 2.7, 2.72, 2.69, 385092.74, 2.7, 2.73, 2.74, 2.64, 371095.75, 2.75, 2.72, 2.76, 2.52, 646259.24, 2.71, 2.59, 2.72, 2.55, 399956.45, 2.57, 2.63, 2.63, 2.57, 405772.5, 2.31 
2.7, 2.73, 2.74, 2.64, 371095.75, 2.75, 2.72, 2.76, 2.52, 646259.24, 2.71, 2.59, 2.72, 2.55, 399956.45, 2.57, 2.63, 2.63, 2.57, 405772.5, 2.48, 2.51, 2.55, 2.32, 385957.25, 2.22 
2.75, 2.72, 2.76, 2.52, 646259.24, 2.71, 2.59, 2.72, 2.55, 399956.45, 2.57, 2.63, 2.63, 2.57, 405772.5, 2.48, 2.51, 2.55, 2.32, 385957.25, 2.53, 2.47, 2.56, 2.37, 366389.06, 2.25 
2.71, 2.59, 2.72, 2.55, 399956.45, 2.57, 2.63, 2.63, 2.57, 405772.5, 2.48, 2.51, 2.55, 2.32, 385957.25, 2.53, 2.47, 2.56, 2.37, 366389.06, 2.48, 2.4, 2.48, 2.35, 325878.72, 2.13 
2.57, 2.63, 2.63, 2.57, 405772.5, 2.48, 2.51, 2.55, 2.32, 385957.25, 2.53, 2.47, 2.56, 2.37, 366389.06, 2.48, 2.4, 2.48, 2.35, 325878.72, 2.4, 2.42, 2.44, 2.39, 303769.8, 2.24 
2.48, 2.51, 2.55, 2.32, 385957.25, 2.53, 2.47, 2.56, 2.37, 366389.06, 2.48, 2.4, 2.48, 2.35, 325878.72, 2.4, 2.42, 2.44, 2.39, 303769.8, 2.55, 2.36, 2.55, 2.2, 556754.42, 2.22 
2.53, 2.47, 2.56, 2.37, 366389.06, 2.48, 2.4, 2.48, 2.35, 325878.72, 2.4, 2.42, 2.44, 2.39, 303769.8, 2.55, 2.36, 2.55, 2.2, 556754.42, 2.35, 2.31, 2.43, 2.19, 335605.6, 2.13 
2.48, 2.4, 2.48, 2.35, 325878.72, 2.4, 2.42, 2.44, 2.39, 303769.8, 2.55, 2.36, 2.55, 2.2, 556754.42, 2.35, 2.31, 2.43, 2.19, 335605.6, 2.31, 2.22, 2.33, 2.11, 213132.21, 2.12 
2.4, 2.42, 2.44, 2.39, 303769.8, 2.55, 2.36, 2.55, 2.2, 556754.42, 2.35, 2.31, 2.43, 2.19, 335605.6, 2.31, 2.22, 2.33, 2.11, 213132.21, 2.19, 2.25, 2.3, 2.16, 192768.98, 2.17 
2.55, 2.36, 2.55, 2.2, 556754.42, 2.35, 2.31, 2.43, 2.19, 335605.6, 2.31, 2.22, 2.33, 2.11, 213132.21, 2.19, 2.25, 2.3, 2.16, 192768.98, 2.24, 2.13, 2.25, 2.06, 191517.4, 2.27 
2.35, 2.31, 2.43, 2.19, 335605.6, 2.31, 2.22, 2.33, 2.11, 213132.21, 2.19, 2.25, 2.3, 2.16, 192768.98, 2.24, 2.13, 2.25, 2.06, 191517.4, 2.14, 2.24, 2.27, 2.12, 168653.05, 2.53 
2.31, 2.22, 2.33, 2.11, 213132.21, 2.19, 2.25, 2.3, 2.16, 192768.98, 2.24, 2.13, 2.25, 2.06, 191517.4, 2.14, 2.24, 2.27, 2.12, 168653.05, 2.24, 2.22, 2.27, 2.2, 137935.64, 2.54 
