@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.6753, 0.6806, 0.7129, 0.6654, 1078106.04, 0.6734, 0.661, 0.6819, 0.6604, 769014.64, 0.6577, 0.6622, 0.7843, 0.6544, 524226.3, 0.6711, 0.6751, 0.6843, 0.6652, 475515.83, 0.6805, 0.6845, 0.6905, 0.6693, 528985.74, 0.5648 
0.6734, 0.661, 0.6819, 0.6604, 769014.64, 0.6577, 0.6622, 0.7843, 0.6544, 524226.3, 0.6711, 0.6751, 0.6843, 0.6652, 475515.83, 0.6805, 0.6845, 0.6905, 0.6693, 528985.74, 0.6801, 0.6709, 0.6827, 0.6649, 410366.03, 0.5716 
0.6577, 0.6622, 0.7843, 0.6544, 524226.3, 0.6711, 0.6751, 0.6843, 0.6652, 475515.83, 0.6805, 0.6845, 0.6905, 0.6693, 528985.74, 0.6801, 0.6709, 0.6827, 0.6649, 410366.03, 0.672, 0.6654, 0.6746, 0.6628, 541844.18, 0.5827 
0.6711, 0.6751, 0.6843, 0.6652, 475515.83, 0.6805, 0.6845, 0.6905, 0.6693, 528985.74, 0.6801, 0.6709, 0.6827, 0.6649, 410366.03, 0.672, 0.6654, 0.6746, 0.6628, 541844.18, 0.6703, 0.6578, 0.671, 0.6528, 424643.13, 0.572 
0.6805, 0.6845, 0.6905, 0.6693, 528985.74, 0.6801, 0.6709, 0.6827, 0.6649, 410366.03, 0.672, 0.6654, 0.6746, 0.6628, 541844.18, 0.6703, 0.6578, 0.671, 0.6528, 424643.13, 0.656, 0.6504, 0.6571, 0.6476, 336814.26, 0.6015 
0.6801, 0.6709, 0.6827, 0.6649, 410366.03, 0.672, 0.6654, 0.6746, 0.6628, 541844.18, 0.6703, 0.6578, 0.671, 0.6528, 424643.13, 0.656, 0.6504, 0.6571, 0.6476, 336814.26, 0.6455, 0.6436, 0.654, 0.6405, 987490.44, 0.5788 
0.672, 0.6654, 0.6746, 0.6628, 541844.18, 0.6703, 0.6578, 0.671, 0.6528, 424643.13, 0.656, 0.6504, 0.6571, 0.6476, 336814.26, 0.6455, 0.6436, 0.654, 0.6405, 987490.44, 0.6072, 0.5648, 0.6107, 0.5641, 746588.77, 0.5875 
0.6703, 0.6578, 0.671, 0.6528, 424643.13, 0.656, 0.6504, 0.6571, 0.6476, 336814.26, 0.6455, 0.6436, 0.654, 0.6405, 987490.44, 0.6072, 0.5648, 0.6107, 0.5641, 746588.77, 0.5686, 0.5716, 0.5795, 0.5574, 511049.75, 0.5649 
0.656, 0.6504, 0.6571, 0.6476, 336814.26, 0.6455, 0.6436, 0.654, 0.6405, 987490.44, 0.6072, 0.5648, 0.6107, 0.5641, 746588.77, 0.5686, 0.5716, 0.5795, 0.5574, 511049.75, 0.5731, 0.5827, 0.608, 0.5692, 588147.84, 0.5531 
0.6455, 0.6436, 0.654, 0.6405, 987490.44, 0.6072, 0.5648, 0.6107, 0.5641, 746588.77, 0.5686, 0.5716, 0.5795, 0.5574, 511049.75, 0.5731, 0.5827, 0.608, 0.5692, 588147.84, 0.5838, 0.572, 0.5926, 0.5717, 269005.29, 0.5673 
0.6072, 0.5648, 0.6107, 0.5641, 746588.77, 0.5686, 0.5716, 0.5795, 0.5574, 511049.75, 0.5731, 0.5827, 0.608, 0.5692, 588147.84, 0.5838, 0.572, 0.5926, 0.5717, 269005.29, 0.6025, 0.6015, 0.6183, 0.594, 402076.62, 0.5565 
0.5686, 0.5716, 0.5795, 0.5574, 511049.75, 0.5731, 0.5827, 0.608, 0.5692, 588147.84, 0.5838, 0.572, 0.5926, 0.5717, 269005.29, 0.6025, 0.6015, 0.6183, 0.594, 402076.62, 0.5989, 0.5788, 0.6006, 0.5596, 743307.47, 0.5729 
0.5731, 0.5827, 0.608, 0.5692, 588147.84, 0.5838, 0.572, 0.5926, 0.5717, 269005.29, 0.6025, 0.6015, 0.6183, 0.594, 402076.62, 0.5989, 0.5788, 0.6006, 0.5596, 743307.47, 0.5781, 0.5875, 0.599, 0.57, 610573.89, 0.5727 
0.5838, 0.572, 0.5926, 0.5717, 269005.29, 0.6025, 0.6015, 0.6183, 0.594, 402076.62, 0.5989, 0.5788, 0.6006, 0.5596, 743307.47, 0.5781, 0.5875, 0.599, 0.57, 610573.89, 0.5798, 0.5649, 0.5809, 0.5613, 272335.76, 0.5715 
0.6025, 0.6015, 0.6183, 0.594, 402076.62, 0.5989, 0.5788, 0.6006, 0.5596, 743307.47, 0.5781, 0.5875, 0.599, 0.57, 610573.89, 0.5798, 0.5649, 0.5809, 0.5613, 272335.76, 0.5635, 0.5531, 0.5657, 0.5395, 366673.8, 0.578 
0.5989, 0.5788, 0.6006, 0.5596, 743307.47, 0.5781, 0.5875, 0.599, 0.57, 610573.89, 0.5798, 0.5649, 0.5809, 0.5613, 272335.76, 0.5635, 0.5531, 0.5657, 0.5395, 366673.8, 0.5549, 0.5673, 0.5734, 0.5485, 657770.59, 0.5797 
0.5781, 0.5875, 0.599, 0.57, 610573.89, 0.5798, 0.5649, 0.5809, 0.5613, 272335.76, 0.5635, 0.5531, 0.5657, 0.5395, 366673.8, 0.5549, 0.5673, 0.5734, 0.5485, 657770.59, 0.569, 0.5565, 0.5751, 0.5559, 591772.77, 0.5817 
0.5798, 0.5649, 0.5809, 0.5613, 272335.76, 0.5635, 0.5531, 0.5657, 0.5395, 366673.8, 0.5549, 0.5673, 0.5734, 0.5485, 657770.59, 0.569, 0.5565, 0.5751, 0.5559, 591772.77, 0.5542, 0.5729, 0.5789, 0.5504, 503391.6, 0.6024 
0.5635, 0.5531, 0.5657, 0.5395, 366673.8, 0.5549, 0.5673, 0.5734, 0.5485, 657770.59, 0.569, 0.5565, 0.5751, 0.5559, 591772.77, 0.5542, 0.5729, 0.5789, 0.5504, 503391.6, 0.5717, 0.5727, 0.5959, 0.5676, 989622.94, 0.5924 
0.5549, 0.5673, 0.5734, 0.5485, 657770.59, 0.569, 0.5565, 0.5751, 0.5559, 591772.77, 0.5542, 0.5729, 0.5789, 0.5504, 503391.6, 0.5717, 0.5727, 0.5959, 0.5676, 989622.94, 0.5733, 0.5715, 0.5801, 0.5669, 516046.93, 0.5894 
0.569, 0.5565, 0.5751, 0.5559, 591772.77, 0.5542, 0.5729, 0.5789, 0.5504, 503391.6, 0.5717, 0.5727, 0.5959, 0.5676, 989622.94, 0.5733, 0.5715, 0.5801, 0.5669, 516046.93, 0.5703, 0.578, 0.6015, 0.5694, 765234.96, 0.5932 
0.5542, 0.5729, 0.5789, 0.5504, 503391.6, 0.5717, 0.5727, 0.5959, 0.5676, 989622.94, 0.5733, 0.5715, 0.5801, 0.5669, 516046.93, 0.5703, 0.578, 0.6015, 0.5694, 765234.96, 0.5775, 0.5797, 0.5926, 0.5691, 1050416.24, 0.5905 
0.5717, 0.5727, 0.5959, 0.5676, 989622.94, 0.5733, 0.5715, 0.5801, 0.5669, 516046.93, 0.5703, 0.578, 0.6015, 0.5694, 765234.96, 0.5775, 0.5797, 0.5926, 0.5691, 1050416.24, 0.5804, 0.5817, 0.5867, 0.578, 708984.91, 0.5852 
0.5733, 0.5715, 0.5801, 0.5669, 516046.93, 0.5703, 0.578, 0.6015, 0.5694, 765234.96, 0.5775, 0.5797, 0.5926, 0.5691, 1050416.24, 0.5804, 0.5817, 0.5867, 0.578, 708984.91, 0.5818, 0.6024, 0.6092, 0.5783, 591585.93, 0.5658 
0.5703, 0.578, 0.6015, 0.5694, 765234.96, 0.5775, 0.5797, 0.5926, 0.5691, 1050416.24, 0.5804, 0.5817, 0.5867, 0.578, 708984.91, 0.5818, 0.6024, 0.6092, 0.5783, 591585.93, 0.5882, 0.5924, 0.617, 0.5683, 834036.34, 0.5621 
0.5775, 0.5797, 0.5926, 0.5691, 1050416.24, 0.5804, 0.5817, 0.5867, 0.578, 708984.91, 0.5818, 0.6024, 0.6092, 0.5783, 591585.93, 0.5882, 0.5924, 0.617, 0.5683, 834036.34, 0.592, 0.5894, 0.5998, 0.5847, 594511.58, 0.5667 
0.5804, 0.5817, 0.5867, 0.578, 708984.91, 0.5818, 0.6024, 0.6092, 0.5783, 591585.93, 0.5882, 0.5924, 0.617, 0.5683, 834036.34, 0.592, 0.5894, 0.5998, 0.5847, 594511.58, 0.5925, 0.5932, 0.5988, 0.5872, 510418.89, 0.5806 
0.5818, 0.6024, 0.6092, 0.5783, 591585.93, 0.5882, 0.5924, 0.617, 0.5683, 834036.34, 0.592, 0.5894, 0.5998, 0.5847, 594511.58, 0.5925, 0.5932, 0.5988, 0.5872, 510418.89, 0.5971, 0.5905, 0.5978, 0.5871, 380229.49, 0.6008 
