@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.5668, 0.5598, 0.5702, 0.2714, 360249.09, 0.5308, 0.5192, 0.5407, 0.5103, 199416.8, 0.5083, 0.4776, 0.5086, 0.4724, 212896.54, 0.4771, 0.4926, 0.4949, 0.4732, 222648.01, 0.4961, 0.4815, 0.5085, 0.4776, 162917.93, 0.6327 
0.5308, 0.5192, 0.5407, 0.5103, 199416.8, 0.5083, 0.4776, 0.5086, 0.4724, 212896.54, 0.4771, 0.4926, 0.4949, 0.4732, 222648.01, 0.4961, 0.4815, 0.5085, 0.4776, 162917.93, 0.5248, 0.5255, 0.5521, 0.5163, 304075.87, 0.9185 
0.5083, 0.4776, 0.5086, 0.4724, 212896.54, 0.4771, 0.4926, 0.4949, 0.4732, 222648.01, 0.4961, 0.4815, 0.5085, 0.4776, 162917.93, 0.5248, 0.5255, 0.5521, 0.5163, 304075.87, 0.5503, 0.5473, 0.5789, 0.5314, 375650.72, 0.9066 
0.4771, 0.4926, 0.4949, 0.4732, 222648.01, 0.4961, 0.4815, 0.5085, 0.4776, 162917.93, 0.5248, 0.5255, 0.5521, 0.5163, 304075.87, 0.5503, 0.5473, 0.5789, 0.5314, 375650.72, 0.5504, 0.5627, 0.5822, 0.547, 432998.12, 0.7777 
0.4961, 0.4815, 0.5085, 0.4776, 162917.93, 0.5248, 0.5255, 0.5521, 0.5163, 304075.87, 0.5503, 0.5473, 0.5789, 0.5314, 375650.72, 0.5504, 0.5627, 0.5822, 0.547, 432998.12, 0.6231, 0.6856, 0.7564, 0.6058, 1283152.06, 0.749 
0.5248, 0.5255, 0.5521, 0.5163, 304075.87, 0.5503, 0.5473, 0.5789, 0.5314, 375650.72, 0.5504, 0.5627, 0.5822, 0.547, 432998.12, 0.6231, 0.6856, 0.7564, 0.6058, 1283152.06, 0.646, 0.6063, 0.6511, 0.6031, 523293.93, 0.6712 
0.5503, 0.5473, 0.5789, 0.5314, 375650.72, 0.5504, 0.5627, 0.5822, 0.547, 432998.12, 0.6231, 0.6856, 0.7564, 0.6058, 1283152.06, 0.646, 0.6063, 0.6511, 0.6031, 523293.93, 0.629, 0.6327, 0.6711, 0.6246, 326939.82, 0.7351 
0.5504, 0.5627, 0.5822, 0.547, 432998.12, 0.6231, 0.6856, 0.7564, 0.6058, 1283152.06, 0.646, 0.6063, 0.6511, 0.6031, 523293.93, 0.629, 0.6327, 0.6711, 0.6246, 326939.82, 0.6268, 0.9185, 0.9566, 0.6196, 3180508.75, 0.8069 
0.6231, 0.6856, 0.7564, 0.6058, 1283152.06, 0.646, 0.6063, 0.6511, 0.6031, 523293.93, 0.629, 0.6327, 0.6711, 0.6246, 326939.82, 0.6268, 0.9185, 0.9566, 0.6196, 3180508.75, 0.9356, 0.9066, 1.012, 0.8441, 4401197.38, 1.037 
0.646, 0.6063, 0.6511, 0.6031, 523293.93, 0.629, 0.6327, 0.6711, 0.6246, 326939.82, 0.6268, 0.9185, 0.9566, 0.6196, 3180508.75, 0.9356, 0.9066, 1.012, 0.8441, 4401197.38, 0.8517, 0.7777, 0.8636, 0.7558, 876097.89, 0.8559 
0.629, 0.6327, 0.6711, 0.6246, 326939.82, 0.6268, 0.9185, 0.9566, 0.6196, 3180508.75, 0.9356, 0.9066, 1.012, 0.8441, 4401197.38, 0.8517, 0.7777, 0.8636, 0.7558, 876097.89, 0.7805, 0.749, 0.8017, 0.7382, 404835.26, 0.8629 
0.6268, 0.9185, 0.9566, 0.6196, 3180508.75, 0.9356, 0.9066, 1.012, 0.8441, 4401197.38, 0.8517, 0.7777, 0.8636, 0.7558, 876097.89, 0.7805, 0.749, 0.8017, 0.7382, 404835.26, 0.7095, 0.6712, 0.7117, 0.6636, 650764.05, 0.8991 
0.9356, 0.9066, 1.012, 0.8441, 4401197.38, 0.8517, 0.7777, 0.8636, 0.7558, 876097.89, 0.7805, 0.749, 0.8017, 0.7382, 404835.26, 0.7095, 0.6712, 0.7117, 0.6636, 650764.05, 0.7268, 0.7351, 0.756, 0.7165, 425611.33, 0.8312 
0.8517, 0.7777, 0.8636, 0.7558, 876097.89, 0.7805, 0.749, 0.8017, 0.7382, 404835.26, 0.7095, 0.6712, 0.7117, 0.6636, 650764.05, 0.7268, 0.7351, 0.756, 0.7165, 425611.33, 0.707, 0.8069, 0.9196, 0.6994, 2354763.38, 0.9216 
0.7805, 0.749, 0.8017, 0.7382, 404835.26, 0.7095, 0.6712, 0.7117, 0.6636, 650764.05, 0.7268, 0.7351, 0.756, 0.7165, 425611.33, 0.707, 0.8069, 0.9196, 0.6994, 2354763.38, 0.8279, 1.037, 1.138, 0.8139, 7911584.13, 0.8956 
0.7095, 0.6712, 0.7117, 0.6636, 650764.05, 0.7268, 0.7351, 0.756, 0.7165, 425611.33, 0.707, 0.8069, 0.9196, 0.6994, 2354763.38, 0.8279, 1.037, 1.138, 0.8139, 7911584.13, 0.9972, 0.8559, 0.9972, 0.851, 1649189.96, 0.9059 
0.7268, 0.7351, 0.756, 0.7165, 425611.33, 0.707, 0.8069, 0.9196, 0.6994, 2354763.38, 0.8279, 1.037, 1.138, 0.8139, 7911584.13, 0.9972, 0.8559, 0.9972, 0.851, 1649189.96, 0.8862, 0.8629, 0.8924, 0.8478, 816452.66, 0.8623 
0.707, 0.8069, 0.9196, 0.6994, 2354763.38, 0.8279, 1.037, 1.138, 0.8139, 7911584.13, 0.9972, 0.8559, 0.9972, 0.851, 1649189.96, 0.8862, 0.8629, 0.8924, 0.8478, 816452.66, 0.8809, 0.8991, 0.9118, 0.8686, 760258.21, 0.8817 
0.8279, 1.037, 1.138, 0.8139, 7911584.13, 0.9972, 0.8559, 0.9972, 0.851, 1649189.96, 0.8862, 0.8629, 0.8924, 0.8478, 816452.66, 0.8809, 0.8991, 0.9118, 0.8686, 760258.21, 0.8707, 0.8312, 0.8715, 0.8205, 806855.38, 0.9028 
0.9972, 0.8559, 0.9972, 0.851, 1649189.96, 0.8862, 0.8629, 0.8924, 0.8478, 816452.66, 0.8809, 0.8991, 0.9118, 0.8686, 760258.21, 0.8707, 0.8312, 0.8715, 0.8205, 806855.38, 0.8395, 0.9216, 0.9375, 0.836, 1149338.01, 0.7501 
0.8862, 0.8629, 0.8924, 0.8478, 816452.66, 0.8809, 0.8991, 0.9118, 0.8686, 760258.21, 0.8707, 0.8312, 0.8715, 0.8205, 806855.38, 0.8395, 0.9216, 0.9375, 0.836, 1149338.01, 0.9172, 0.8956, 1.026, 0.8829, 2781302.02, 0.761 
0.8809, 0.8991, 0.9118, 0.8686, 760258.21, 0.8707, 0.8312, 0.8715, 0.8205, 806855.38, 0.8395, 0.9216, 0.9375, 0.836, 1149338.01, 0.9172, 0.8956, 1.026, 0.8829, 2781302.02, 0.9531, 0.9059, 0.9843, 0.901, 1122050.57, 0.7688 
0.8707, 0.8312, 0.8715, 0.8205, 806855.38, 0.8395, 0.9216, 0.9375, 0.836, 1149338.01, 0.9172, 0.8956, 1.026, 0.8829, 2781302.02, 0.9531, 0.9059, 0.9843, 0.901, 1122050.57, 0.8943, 0.8623, 0.9122, 0.855, 519494.08, 0.7255 
0.8395, 0.9216, 0.9375, 0.836, 1149338.01, 0.9172, 0.8956, 1.026, 0.8829, 2781302.02, 0.9531, 0.9059, 0.9843, 0.901, 1122050.57, 0.8943, 0.8623, 0.9122, 0.855, 519494.08, 0.8603, 0.8817, 0.8861, 0.8482, 510988.64, 0.7823 
0.9172, 0.8956, 1.026, 0.8829, 2781302.02, 0.9531, 0.9059, 0.9843, 0.901, 1122050.57, 0.8943, 0.8623, 0.9122, 0.855, 519494.08, 0.8603, 0.8817, 0.8861, 0.8482, 510988.64, 0.8833, 0.9028, 0.9603, 0.8833, 938187.4, 0.7503 
0.9531, 0.9059, 0.9843, 0.901, 1122050.57, 0.8943, 0.8623, 0.9122, 0.855, 519494.08, 0.8603, 0.8817, 0.8861, 0.8482, 510988.64, 0.8833, 0.9028, 0.9603, 0.8833, 938187.4, 0.818, 0.7501, 0.8184, 0.7424, 726464.92, 0.77 
0.8943, 0.8623, 0.9122, 0.855, 519494.08, 0.8603, 0.8817, 0.8861, 0.8482, 510988.64, 0.8833, 0.9028, 0.9603, 0.8833, 938187.4, 0.818, 0.7501, 0.8184, 0.7424, 726464.92, 0.7504, 0.761, 0.7768, 0.7426, 403782.54, 0.7898 
0.8603, 0.8817, 0.8861, 0.8482, 510988.64, 0.8833, 0.9028, 0.9603, 0.8833, 938187.4, 0.818, 0.7501, 0.8184, 0.7424, 726464.92, 0.7504, 0.761, 0.7768, 0.7426, 403782.54, 0.76, 0.7688, 0.8021, 0.7446, 390749.18, 0.7686 
0.8833, 0.9028, 0.9603, 0.8833, 938187.4, 0.818, 0.7501, 0.8184, 0.7424, 726464.92, 0.7504, 0.761, 0.7768, 0.7426, 403782.54, 0.76, 0.7688, 0.8021, 0.7446, 390749.18, 0.7451, 0.7255, 0.8214, 0.723, 1019388.67, 0.8004 
0.818, 0.7501, 0.8184, 0.7424, 726464.92, 0.7504, 0.761, 0.7768, 0.7426, 403782.54, 0.76, 0.7688, 0.8021, 0.7446, 390749.18, 0.7451, 0.7255, 0.8214, 0.723, 1019388.67, 0.7567, 0.7823, 0.7952, 0.75, 631183.89, 0.7346 
0.7504, 0.761, 0.7768, 0.7426, 403782.54, 0.76, 0.7688, 0.8021, 0.7446, 390749.18, 0.7451, 0.7255, 0.8214, 0.723, 1019388.67, 0.7567, 0.7823, 0.7952, 0.75, 631183.89, 0.7648, 0.7503, 0.7844, 0.7387, 565341.84, 0.7376 
0.76, 0.7688, 0.8021, 0.7446, 390749.18, 0.7451, 0.7255, 0.8214, 0.723, 1019388.67, 0.7567, 0.7823, 0.7952, 0.75, 631183.89, 0.7648, 0.7503, 0.7844, 0.7387, 565341.84, 0.755, 0.77, 0.7831, 0.7536, 352987.15, 0.746 
0.7451, 0.7255, 0.8214, 0.723, 1019388.67, 0.7567, 0.7823, 0.7952, 0.75, 631183.89, 0.7648, 0.7503, 0.7844, 0.7387, 565341.84, 0.755, 0.77, 0.7831, 0.7536, 352987.15, 0.7787, 0.7898, 0.8078, 0.7702, 618638.69, 0.7501 
0.7567, 0.7823, 0.7952, 0.75, 631183.89, 0.7648, 0.7503, 0.7844, 0.7387, 565341.84, 0.755, 0.77, 0.7831, 0.7536, 352987.15, 0.7787, 0.7898, 0.8078, 0.7702, 618638.69, 0.7818, 0.7686, 0.7902, 0.7617, 525784.74, 0.8151 
0.7648, 0.7503, 0.7844, 0.7387, 565341.84, 0.755, 0.77, 0.7831, 0.7536, 352987.15, 0.7787, 0.7898, 0.8078, 0.7702, 618638.69, 0.7818, 0.7686, 0.7902, 0.7617, 525784.74, 0.7859, 0.8004, 0.8325, 0.7799, 544444.81, 0.7728 
0.755, 0.77, 0.7831, 0.7536, 352987.15, 0.7787, 0.7898, 0.8078, 0.7702, 618638.69, 0.7818, 0.7686, 0.7902, 0.7617, 525784.74, 0.7859, 0.8004, 0.8325, 0.7799, 544444.81, 0.7656, 0.7346, 0.7671, 0.7242, 475953.06, 0.7765 
0.7787, 0.7898, 0.8078, 0.7702, 618638.69, 0.7818, 0.7686, 0.7902, 0.7617, 525784.74, 0.7859, 0.8004, 0.8325, 0.7799, 544444.81, 0.7656, 0.7346, 0.7671, 0.7242, 475953.06, 0.7355, 0.7376, 0.7712, 0.7269, 618912.38, 0.7316 
0.7818, 0.7686, 0.7902, 0.7617, 525784.74, 0.7859, 0.8004, 0.8325, 0.7799, 544444.81, 0.7656, 0.7346, 0.7671, 0.7242, 475953.06, 0.7355, 0.7376, 0.7712, 0.7269, 618912.38, 0.7438, 0.746, 0.76, 0.7316, 351082.9, 0.672 
0.7859, 0.8004, 0.8325, 0.7799, 544444.81, 0.7656, 0.7346, 0.7671, 0.7242, 475953.06, 0.7355, 0.7376, 0.7712, 0.7269, 618912.38, 0.7438, 0.746, 0.76, 0.7316, 351082.9, 0.7398, 0.7501, 0.7641, 0.7312, 385182.17, 0.6895 
0.7656, 0.7346, 0.7671, 0.7242, 475953.06, 0.7355, 0.7376, 0.7712, 0.7269, 618912.38, 0.7438, 0.746, 0.76, 0.7316, 351082.9, 0.7398, 0.7501, 0.7641, 0.7312, 385182.17, 0.7557, 0.8151, 0.8914, 0.7532, 1842325.32, 0.6927 
0.7355, 0.7376, 0.7712, 0.7269, 618912.38, 0.7438, 0.746, 0.76, 0.7316, 351082.9, 0.7398, 0.7501, 0.7641, 0.7312, 385182.17, 0.7557, 0.8151, 0.8914, 0.7532, 1842325.32, 0.8115, 0.7728, 0.814, 0.7546, 678210.21, 0.6408 
0.7438, 0.746, 0.76, 0.7316, 351082.9, 0.7398, 0.7501, 0.7641, 0.7312, 385182.17, 0.7557, 0.8151, 0.8914, 0.7532, 1842325.32, 0.8115, 0.7728, 0.814, 0.7546, 678210.21, 0.7758, 0.7765, 0.7848, 0.7617, 297363.63, 0.6591 
0.7398, 0.7501, 0.7641, 0.7312, 385182.17, 0.7557, 0.8151, 0.8914, 0.7532, 1842325.32, 0.8115, 0.7728, 0.814, 0.7546, 678210.21, 0.7758, 0.7765, 0.7848, 0.7617, 297363.63, 0.7697, 0.7316, 0.7772, 0.7251, 423655.86, 0.6744 
0.7557, 0.8151, 0.8914, 0.7532, 1842325.32, 0.8115, 0.7728, 0.814, 0.7546, 678210.21, 0.7758, 0.7765, 0.7848, 0.7617, 297363.63, 0.7697, 0.7316, 0.7772, 0.7251, 423655.86, 0.7086, 0.672, 0.7086, 0.6606, 526241.61, 0.6478 
0.8115, 0.7728, 0.814, 0.7546, 678210.21, 0.7758, 0.7765, 0.7848, 0.7617, 297363.63, 0.7697, 0.7316, 0.7772, 0.7251, 423655.86, 0.7086, 0.672, 0.7086, 0.6606, 526241.61, 0.6652, 0.6895, 0.6966, 0.6573, 189784.79, 0.6537 
0.7758, 0.7765, 0.7848, 0.7617, 297363.63, 0.7697, 0.7316, 0.7772, 0.7251, 423655.86, 0.7086, 0.672, 0.7086, 0.6606, 526241.61, 0.6652, 0.6895, 0.6966, 0.6573, 189784.79, 0.6993, 0.6927, 0.7413, 0.6789, 477766.74, 0.642 
0.7697, 0.7316, 0.7772, 0.7251, 423655.86, 0.7086, 0.672, 0.7086, 0.6606, 526241.61, 0.6652, 0.6895, 0.6966, 0.6573, 189784.79, 0.6993, 0.6927, 0.7413, 0.6789, 477766.74, 0.6861, 0.6408, 0.6927, 0.635, 357022.42, 0.6226 
0.7086, 0.672, 0.7086, 0.6606, 526241.61, 0.6652, 0.6895, 0.6966, 0.6573, 189784.79, 0.6993, 0.6927, 0.7413, 0.6789, 477766.74, 0.6861, 0.6408, 0.6927, 0.635, 357022.42, 0.6459, 0.6591, 0.6833, 0.6286, 394476.17, 0.6437 
0.6652, 0.6895, 0.6966, 0.6573, 189784.79, 0.6993, 0.6927, 0.7413, 0.6789, 477766.74, 0.6861, 0.6408, 0.6927, 0.635, 357022.42, 0.6459, 0.6591, 0.6833, 0.6286, 394476.17, 0.6681, 0.6744, 0.7088, 0.6582, 266210.24, 0.6925 
0.6993, 0.6927, 0.7413, 0.6789, 477766.74, 0.6861, 0.6408, 0.6927, 0.635, 357022.42, 0.6459, 0.6591, 0.6833, 0.6286, 394476.17, 0.6681, 0.6744, 0.7088, 0.6582, 266210.24, 0.663, 0.6478, 0.6861, 0.6434, 168078.82, 0.7071 
0.6861, 0.6408, 0.6927, 0.635, 357022.42, 0.6459, 0.6591, 0.6833, 0.6286, 394476.17, 0.6681, 0.6744, 0.7088, 0.6582, 266210.24, 0.663, 0.6478, 0.6861, 0.6434, 168078.82, 0.6444, 0.6537, 0.6687, 0.6399, 259441.68, 0.7315 
0.6459, 0.6591, 0.6833, 0.6286, 394476.17, 0.6681, 0.6744, 0.7088, 0.6582, 266210.24, 0.663, 0.6478, 0.6861, 0.6434, 168078.82, 0.6444, 0.6537, 0.6687, 0.6399, 259441.68, 0.6568, 0.642, 0.6702, 0.6382, 304654.03, 0.7197 
0.6681, 0.6744, 0.7088, 0.6582, 266210.24, 0.663, 0.6478, 0.6861, 0.6434, 168078.82, 0.6444, 0.6537, 0.6687, 0.6399, 259441.68, 0.6568, 0.642, 0.6702, 0.6382, 304654.03, 0.6321, 0.6226, 0.6379, 0.6077, 436755.47, 0.7199 
0.663, 0.6478, 0.6861, 0.6434, 168078.82, 0.6444, 0.6537, 0.6687, 0.6399, 259441.68, 0.6568, 0.642, 0.6702, 0.6382, 304654.03, 0.6321, 0.6226, 0.6379, 0.6077, 436755.47, 0.619, 0.6437, 0.6649, 0.6113, 302059.3, 0.7183 
