@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1204, 0.1291, 0.1322, 0.12, 252155.14, 0.1224, 0.1308, 0.1342, 0.1221, 576004.45, 0.128, 0.1277, 0.1323, 0.1215, 207569.29, 0.1276, 0.1368, 0.1423, 0.1269, 358303.45, 0.1377, 0.1359, 0.1396, 0.1333, 130329, 0.1506 
0.1224, 0.1308, 0.1342, 0.1221, 576004.45, 0.128, 0.1277, 0.1323, 0.1215, 207569.29, 0.1276, 0.1368, 0.1423, 0.1269, 358303.45, 0.1377, 0.1359, 0.1396, 0.1333, 130329, 0.1481, 0.1466, 0.1517, 0.145, 187754.53, 0.1506 
0.128, 0.1277, 0.1323, 0.1215, 207569.29, 0.1276, 0.1368, 0.1423, 0.1269, 358303.45, 0.1377, 0.1359, 0.1396, 0.1333, 130329, 0.1481, 0.1466, 0.1517, 0.145, 187754.53, 0.1536, 0.1501, 0.1709, 0.1462, 332716.08, 0.1512 
0.1276, 0.1368, 0.1423, 0.1269, 358303.45, 0.1377, 0.1359, 0.1396, 0.1333, 130329, 0.1481, 0.1466, 0.1517, 0.145, 187754.53, 0.1536, 0.1501, 0.1709, 0.1462, 332716.08, 0.151, 0.1486, 0.1516, 0.1442, 343915.44, 0.1521 
0.1377, 0.1359, 0.1396, 0.1333, 130329, 0.1481, 0.1466, 0.1517, 0.145, 187754.53, 0.1536, 0.1501, 0.1709, 0.1462, 332716.08, 0.151, 0.1486, 0.1516, 0.1442, 343915.44, 0.1646, 0.1553, 0.1653, 0.1534, 301481.77, 0.1626 
0.1481, 0.1466, 0.1517, 0.145, 187754.53, 0.1536, 0.1501, 0.1709, 0.1462, 332716.08, 0.151, 0.1486, 0.1516, 0.1442, 343915.44, 0.1646, 0.1553, 0.1653, 0.1534, 301481.77, 0.1464, 0.1423, 0.1476, 0.1381, 232463.04, 0.142 
0.1536, 0.1501, 0.1709, 0.1462, 332716.08, 0.151, 0.1486, 0.1516, 0.1442, 343915.44, 0.1646, 0.1553, 0.1653, 0.1534, 301481.77, 0.1464, 0.1423, 0.1476, 0.1381, 232463.04, 0.1476, 0.1506, 0.1557, 0.1476, 171811.46, 0.153 
0.151, 0.1486, 0.1516, 0.1442, 343915.44, 0.1646, 0.1553, 0.1653, 0.1534, 301481.77, 0.1464, 0.1423, 0.1476, 0.1381, 232463.04, 0.1476, 0.1506, 0.1557, 0.1476, 171811.46, 0.1492, 0.1506, 0.1519, 0.1446, 144141.09, 0.1443 
0.1646, 0.1553, 0.1653, 0.1534, 301481.77, 0.1464, 0.1423, 0.1476, 0.1381, 232463.04, 0.1476, 0.1506, 0.1557, 0.1476, 171811.46, 0.1492, 0.1506, 0.1519, 0.1446, 144141.09, 0.1534, 0.1512, 0.1563, 0.1474, 264733.73, 0.1481 
0.1464, 0.1423, 0.1476, 0.1381, 232463.04, 0.1476, 0.1506, 0.1557, 0.1476, 171811.46, 0.1492, 0.1506, 0.1519, 0.1446, 144141.09, 0.1534, 0.1512, 0.1563, 0.1474, 264733.73, 0.142, 0.1521, 0.1528, 0.1354, 352700.13, 0.1382 
0.1476, 0.1506, 0.1557, 0.1476, 171811.46, 0.1492, 0.1506, 0.1519, 0.1446, 144141.09, 0.1534, 0.1512, 0.1563, 0.1474, 264733.73, 0.142, 0.1521, 0.1528, 0.1354, 352700.13, 0.1527, 0.1626, 0.181, 0.1512, 1079550.71, 0.1454 
0.1492, 0.1506, 0.1519, 0.1446, 144141.09, 0.1534, 0.1512, 0.1563, 0.1474, 264733.73, 0.142, 0.1521, 0.1528, 0.1354, 352700.13, 0.1527, 0.1626, 0.181, 0.1512, 1079550.71, 0.154, 0.142, 0.154, 0.1397, 188268.64, 0.1477 
0.1534, 0.1512, 0.1563, 0.1474, 264733.73, 0.142, 0.1521, 0.1528, 0.1354, 352700.13, 0.1527, 0.1626, 0.181, 0.1512, 1079550.71, 0.154, 0.142, 0.154, 0.1397, 188268.64, 0.1537, 0.153, 0.1558, 0.1486, 243500.68, 0.1401 
0.142, 0.1521, 0.1528, 0.1354, 352700.13, 0.1527, 0.1626, 0.181, 0.1512, 1079550.71, 0.154, 0.142, 0.154, 0.1397, 188268.64, 0.1537, 0.153, 0.1558, 0.1486, 243500.68, 0.1472, 0.1443, 0.1491, 0.1387, 126207.61, 0.1413 
0.1527, 0.1626, 0.181, 0.1512, 1079550.71, 0.154, 0.142, 0.154, 0.1397, 188268.64, 0.1537, 0.153, 0.1558, 0.1486, 243500.68, 0.1472, 0.1443, 0.1491, 0.1387, 126207.61, 0.1481, 0.1481, 0.1519, 0.1462, 197593.6, 0.1397 
0.154, 0.142, 0.154, 0.1397, 188268.64, 0.1537, 0.153, 0.1558, 0.1486, 243500.68, 0.1472, 0.1443, 0.1491, 0.1387, 126207.61, 0.1481, 0.1481, 0.1519, 0.1462, 197593.6, 0.1424, 0.1382, 0.1463, 0.1361, 235649.51, 0.144 
0.1537, 0.153, 0.1558, 0.1486, 243500.68, 0.1472, 0.1443, 0.1491, 0.1387, 126207.61, 0.1481, 0.1481, 0.1519, 0.1462, 197593.6, 0.1424, 0.1382, 0.1463, 0.1361, 235649.51, 0.1431, 0.1454, 0.148, 0.1407, 147323, 0.1393 
