@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1656, 0.1638, 0.1659, 0.1631, 1359926.66, 0.1621, 0.1633, 0.166, 0.159, 1938430.38, 0.1624, 0.1596, 0.1626, 0.1568, 1442657.94, 0.1617, 0.1619, 0.1636, 0.1606, 1270811.4, 0.1632, 0.1642, 0.1649, 0.1603, 1306776.8, 0.1554 
0.1621, 0.1633, 0.166, 0.159, 1938430.38, 0.1624, 0.1596, 0.1626, 0.1568, 1442657.94, 0.1617, 0.1619, 0.1636, 0.1606, 1270811.4, 0.1632, 0.1642, 0.1649, 0.1603, 1306776.8, 0.1631, 0.1611, 0.1641, 0.1605, 1171217.61, 0.1616 
0.1624, 0.1596, 0.1626, 0.1568, 1442657.94, 0.1617, 0.1619, 0.1636, 0.1606, 1270811.4, 0.1632, 0.1642, 0.1649, 0.1603, 1306776.8, 0.1631, 0.1611, 0.1641, 0.1605, 1171217.61, 0.1613, 0.1663, 0.1669, 0.1602, 1324168.39, 0.1646 
0.1617, 0.1619, 0.1636, 0.1606, 1270811.4, 0.1632, 0.1642, 0.1649, 0.1603, 1306776.8, 0.1631, 0.1611, 0.1641, 0.1605, 1171217.61, 0.1613, 0.1663, 0.1669, 0.1602, 1324168.39, 0.1676, 0.17, 0.1743, 0.1669, 2145714.67, 0.1635 
0.1632, 0.1642, 0.1649, 0.1603, 1306776.8, 0.1631, 0.1611, 0.1641, 0.1605, 1171217.61, 0.1613, 0.1663, 0.1669, 0.1602, 1324168.39, 0.1676, 0.17, 0.1743, 0.1669, 2145714.67, 0.1696, 0.1813, 0.1858, 0.1694, 2844849.49, 0.1695 
0.1631, 0.1611, 0.1641, 0.1605, 1171217.61, 0.1613, 0.1663, 0.1669, 0.1602, 1324168.39, 0.1676, 0.17, 0.1743, 0.1669, 2145714.67, 0.1696, 0.1813, 0.1858, 0.1694, 2844849.49, 0.1799, 0.1755, 0.1804, 0.1706, 2449616.9, 0.1713 
0.1613, 0.1663, 0.1669, 0.1602, 1324168.39, 0.1676, 0.17, 0.1743, 0.1669, 2145714.67, 0.1696, 0.1813, 0.1858, 0.1694, 2844849.49, 0.1799, 0.1755, 0.1804, 0.1706, 2449616.9, 0.1655, 0.1554, 0.1878, 0.1551, 6658427.7, 0.1804 
0.1676, 0.17, 0.1743, 0.1669, 2145714.67, 0.1696, 0.1813, 0.1858, 0.1694, 2844849.49, 0.1799, 0.1755, 0.1804, 0.1706, 2449616.9, 0.1655, 0.1554, 0.1878, 0.1551, 6658427.7, 0.1564, 0.1616, 0.1639, 0.1557, 2428797.42, 0.1801 
0.1696, 0.1813, 0.1858, 0.1694, 2844849.49, 0.1799, 0.1755, 0.1804, 0.1706, 2449616.9, 0.1655, 0.1554, 0.1878, 0.1551, 6658427.7, 0.1564, 0.1616, 0.1639, 0.1557, 2428797.42, 0.162, 0.1646, 0.171, 0.1601, 2064497.46, 0.1852 
0.1799, 0.1755, 0.1804, 0.1706, 2449616.9, 0.1655, 0.1554, 0.1878, 0.1551, 6658427.7, 0.1564, 0.1616, 0.1639, 0.1557, 2428797.42, 0.162, 0.1646, 0.171, 0.1601, 2064497.46, 0.1649, 0.1635, 0.1662, 0.163, 1506121.81, 0.1857 
