@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.224, 0.2217, 0.226, 0.2189, 148480.05, 0.2211, 0.219, 0.2233, 0.2169, 95635.65, 0.2179, 0.2175, 0.219, 0.2143, 128141.29, 0.205, 0.2183, 0.2244, 0.2039, 521101.59, 0.2198, 0.2203, 0.2257, 0.2187, 92914.98, 0.2191 
0.2211, 0.219, 0.2233, 0.2169, 95635.65, 0.2179, 0.2175, 0.219, 0.2143, 128141.29, 0.205, 0.2183, 0.2244, 0.2039, 521101.59, 0.2198, 0.2203, 0.2257, 0.2187, 92914.98, 0.2209, 0.2197, 0.2244, 0.2169, 62578.22, 0.2242 
0.2179, 0.2175, 0.219, 0.2143, 128141.29, 0.205, 0.2183, 0.2244, 0.2039, 521101.59, 0.2198, 0.2203, 0.2257, 0.2187, 92914.98, 0.2209, 0.2197, 0.2244, 0.2169, 62578.22, 0.2203, 0.2222, 0.2268, 0.219, 60090.91, 0.2194 
0.205, 0.2183, 0.2244, 0.2039, 521101.59, 0.2198, 0.2203, 0.2257, 0.2187, 92914.98, 0.2209, 0.2197, 0.2244, 0.2169, 62578.22, 0.2203, 0.2222, 0.2268, 0.219, 60090.91, 0.2341, 0.2237, 0.2368, 0.1976, 187341.52, 0.2232 
0.2198, 0.2203, 0.2257, 0.2187, 92914.98, 0.2209, 0.2197, 0.2244, 0.2169, 62578.22, 0.2203, 0.2222, 0.2268, 0.219, 60090.91, 0.2341, 0.2237, 0.2368, 0.1976, 187341.52, 0.2227, 0.2247, 0.2269, 0.2197, 73992.22, 0.2228 
0.2209, 0.2197, 0.2244, 0.2169, 62578.22, 0.2203, 0.2222, 0.2268, 0.219, 60090.91, 0.2341, 0.2237, 0.2368, 0.1976, 187341.52, 0.2227, 0.2247, 0.2269, 0.2197, 73992.22, 0.2247, 0.2209, 0.2266, 0.2199, 37474.47, 0.2188 
0.2203, 0.2222, 0.2268, 0.219, 60090.91, 0.2341, 0.2237, 0.2368, 0.1976, 187341.52, 0.2227, 0.2247, 0.2269, 0.2197, 73992.22, 0.2247, 0.2209, 0.2266, 0.2199, 37474.47, 0.2183, 0.2191, 0.2217, 0.2163, 88369.5, 0.2247 
0.2341, 0.2237, 0.2368, 0.1976, 187341.52, 0.2227, 0.2247, 0.2269, 0.2197, 73992.22, 0.2247, 0.2209, 0.2266, 0.2199, 37474.47, 0.2183, 0.2191, 0.2217, 0.2163, 88369.5, 0.2186, 0.2242, 0.2266, 0.2173, 167102.2, 0.2206 
0.2227, 0.2247, 0.2269, 0.2197, 73992.22, 0.2247, 0.2209, 0.2266, 0.2199, 37474.47, 0.2183, 0.2191, 0.2217, 0.2163, 88369.5, 0.2186, 0.2242, 0.2266, 0.2173, 167102.2, 0.2251, 0.2194, 0.2269, 0.217, 93365.79, 0.2191 
0.2247, 0.2209, 0.2266, 0.2199, 37474.47, 0.2183, 0.2191, 0.2217, 0.2163, 88369.5, 0.2186, 0.2242, 0.2266, 0.2173, 167102.2, 0.2251, 0.2194, 0.2269, 0.217, 93365.79, 0.2207, 0.2232, 0.2268, 0.2181, 63119.97, 0.219 
0.2183, 0.2191, 0.2217, 0.2163, 88369.5, 0.2186, 0.2242, 0.2266, 0.2173, 167102.2, 0.2251, 0.2194, 0.2269, 0.217, 93365.79, 0.2207, 0.2232, 0.2268, 0.2181, 63119.97, 0.2223, 0.2228, 0.2262, 0.2204, 93257.28, 0.2193 
0.2186, 0.2242, 0.2266, 0.2173, 167102.2, 0.2251, 0.2194, 0.2269, 0.217, 93365.79, 0.2207, 0.2232, 0.2268, 0.2181, 63119.97, 0.2223, 0.2228, 0.2262, 0.2204, 93257.28, 0.2223, 0.2188, 0.2232, 0.2139, 105229.54, 0.2133 
0.2251, 0.2194, 0.2269, 0.217, 93365.79, 0.2207, 0.2232, 0.2268, 0.2181, 63119.97, 0.2223, 0.2228, 0.2262, 0.2204, 93257.28, 0.2223, 0.2188, 0.2232, 0.2139, 105229.54, 0.219, 0.2247, 0.2267, 0.2179, 151579.71, 0.2146 
0.2207, 0.2232, 0.2268, 0.2181, 63119.97, 0.2223, 0.2228, 0.2262, 0.2204, 93257.28, 0.2223, 0.2188, 0.2232, 0.2139, 105229.54, 0.219, 0.2247, 0.2267, 0.2179, 151579.71, 0.2239, 0.2206, 0.2285, 0.2199, 141166.15, 0.2151 
0.2223, 0.2228, 0.2262, 0.2204, 93257.28, 0.2223, 0.2188, 0.2232, 0.2139, 105229.54, 0.219, 0.2247, 0.2267, 0.2179, 151579.71, 0.2239, 0.2206, 0.2285, 0.2199, 141166.15, 0.2206, 0.2191, 0.2226, 0.2178, 52436.38, 0.217 
0.2223, 0.2188, 0.2232, 0.2139, 105229.54, 0.219, 0.2247, 0.2267, 0.2179, 151579.71, 0.2239, 0.2206, 0.2285, 0.2199, 141166.15, 0.2206, 0.2191, 0.2226, 0.2178, 52436.38, 0.2195, 0.219, 0.2224, 0.2148, 39612.67, 0.2126 
0.219, 0.2247, 0.2267, 0.2179, 151579.71, 0.2239, 0.2206, 0.2285, 0.2199, 141166.15, 0.2206, 0.2191, 0.2226, 0.2178, 52436.38, 0.2195, 0.219, 0.2224, 0.2148, 39612.67, 0.22, 0.2193, 0.2213, 0.2166, 42639.53, 0.2119 
0.2239, 0.2206, 0.2285, 0.2199, 141166.15, 0.2206, 0.2191, 0.2226, 0.2178, 52436.38, 0.2195, 0.219, 0.2224, 0.2148, 39612.67, 0.22, 0.2193, 0.2213, 0.2166, 42639.53, 0.2146, 0.2133, 0.2155, 0.2109, 154067.85, 0.217 
0.2206, 0.2191, 0.2226, 0.2178, 52436.38, 0.2195, 0.219, 0.2224, 0.2148, 39612.67, 0.22, 0.2193, 0.2213, 0.2166, 42639.53, 0.2146, 0.2133, 0.2155, 0.2109, 154067.85, 0.2134, 0.2146, 0.2318, 0.2123, 68729.45, 0.215 
0.2195, 0.219, 0.2224, 0.2148, 39612.67, 0.22, 0.2193, 0.2213, 0.2166, 42639.53, 0.2146, 0.2133, 0.2155, 0.2109, 154067.85, 0.2134, 0.2146, 0.2318, 0.2123, 68729.45, 0.216, 0.2151, 0.2165, 0.2113, 68099.52, 0.2116 
0.22, 0.2193, 0.2213, 0.2166, 42639.53, 0.2146, 0.2133, 0.2155, 0.2109, 154067.85, 0.2134, 0.2146, 0.2318, 0.2123, 68729.45, 0.216, 0.2151, 0.2165, 0.2113, 68099.52, 0.217, 0.217, 0.2186, 0.2151, 81337.76, 0.2163 
0.2146, 0.2133, 0.2155, 0.2109, 154067.85, 0.2134, 0.2146, 0.2318, 0.2123, 68729.45, 0.216, 0.2151, 0.2165, 0.2113, 68099.52, 0.217, 0.217, 0.2186, 0.2151, 81337.76, 0.2175, 0.2126, 0.2222, 0.2119, 92960.01, 0.2163 
0.2134, 0.2146, 0.2318, 0.2123, 68729.45, 0.216, 0.2151, 0.2165, 0.2113, 68099.52, 0.217, 0.217, 0.2186, 0.2151, 81337.76, 0.2175, 0.2126, 0.2222, 0.2119, 92960.01, 0.2121, 0.2119, 0.2155, 0.2097, 78136.97, 0.2223 
0.216, 0.2151, 0.2165, 0.2113, 68099.52, 0.217, 0.217, 0.2186, 0.2151, 81337.76, 0.2175, 0.2126, 0.2222, 0.2119, 92960.01, 0.2121, 0.2119, 0.2155, 0.2097, 78136.97, 0.2149, 0.217, 0.2212, 0.2135, 213985.17, 0.2222 
0.217, 0.217, 0.2186, 0.2151, 81337.76, 0.2175, 0.2126, 0.2222, 0.2119, 92960.01, 0.2121, 0.2119, 0.2155, 0.2097, 78136.97, 0.2149, 0.217, 0.2212, 0.2135, 213985.17, 0.2159, 0.215, 0.2207, 0.2088, 239366, 0.2274 
0.2175, 0.2126, 0.2222, 0.2119, 92960.01, 0.2121, 0.2119, 0.2155, 0.2097, 78136.97, 0.2149, 0.217, 0.2212, 0.2135, 213985.17, 0.2159, 0.215, 0.2207, 0.2088, 239366, 0.2165, 0.2116, 0.2186, 0.2103, 187869.15, 0.2219 
0.2121, 0.2119, 0.2155, 0.2097, 78136.97, 0.2149, 0.217, 0.2212, 0.2135, 213985.17, 0.2159, 0.215, 0.2207, 0.2088, 239366, 0.2165, 0.2116, 0.2186, 0.2103, 187869.15, 0.2132, 0.2163, 0.2215, 0.2103, 218052.24, 0.2223 
0.2149, 0.217, 0.2212, 0.2135, 213985.17, 0.2159, 0.215, 0.2207, 0.2088, 239366, 0.2165, 0.2116, 0.2186, 0.2103, 187869.15, 0.2132, 0.2163, 0.2215, 0.2103, 218052.24, 0.2135, 0.2163, 0.2196, 0.2094, 339723.13, 0.2135 
0.2159, 0.215, 0.2207, 0.2088, 239366, 0.2165, 0.2116, 0.2186, 0.2103, 187869.15, 0.2132, 0.2163, 0.2215, 0.2103, 218052.24, 0.2135, 0.2163, 0.2196, 0.2094, 339723.13, 0.214, 0.2223, 0.2235, 0.212, 412849.72, 0.2165 
0.2165, 0.2116, 0.2186, 0.2103, 187869.15, 0.2132, 0.2163, 0.2215, 0.2103, 218052.24, 0.2135, 0.2163, 0.2196, 0.2094, 339723.13, 0.214, 0.2223, 0.2235, 0.212, 412849.72, 0.223, 0.2222, 0.231, 0.2173, 526772.64, 0.2176 
0.2132, 0.2163, 0.2215, 0.2103, 218052.24, 0.2135, 0.2163, 0.2196, 0.2094, 339723.13, 0.214, 0.2223, 0.2235, 0.212, 412849.72, 0.223, 0.2222, 0.231, 0.2173, 526772.64, 0.222, 0.2274, 0.2347, 0.2204, 292900.91, 0.217 
0.2135, 0.2163, 0.2196, 0.2094, 339723.13, 0.214, 0.2223, 0.2235, 0.212, 412849.72, 0.223, 0.2222, 0.231, 0.2173, 526772.64, 0.222, 0.2274, 0.2347, 0.2204, 292900.91, 0.2263, 0.2219, 0.2268, 0.219, 283278.03, 0.2207 
0.214, 0.2223, 0.2235, 0.212, 412849.72, 0.223, 0.2222, 0.231, 0.2173, 526772.64, 0.222, 0.2274, 0.2347, 0.2204, 292900.91, 0.2263, 0.2219, 0.2268, 0.219, 283278.03, 0.2206, 0.2223, 0.2266, 0.2187, 264508.31, 0.2069 
0.223, 0.2222, 0.231, 0.2173, 526772.64, 0.222, 0.2274, 0.2347, 0.2204, 292900.91, 0.2263, 0.2219, 0.2268, 0.219, 283278.03, 0.2206, 0.2223, 0.2266, 0.2187, 264508.31, 0.2013, 0.2135, 0.2167, 0.1954, 406481.5, 0.2085 
0.222, 0.2274, 0.2347, 0.2204, 292900.91, 0.2263, 0.2219, 0.2268, 0.219, 283278.03, 0.2206, 0.2223, 0.2266, 0.2187, 264508.31, 0.2013, 0.2135, 0.2167, 0.1954, 406481.5, 0.21, 0.2165, 0.2226, 0.2044, 409468.4, 0.2134 
0.2263, 0.2219, 0.2268, 0.219, 283278.03, 0.2206, 0.2223, 0.2266, 0.2187, 264508.31, 0.2013, 0.2135, 0.2167, 0.1954, 406481.5, 0.21, 0.2165, 0.2226, 0.2044, 409468.4, 0.2152, 0.2176, 0.2265, 0.2073, 351263.14, 0.2062 
0.2206, 0.2223, 0.2266, 0.2187, 264508.31, 0.2013, 0.2135, 0.2167, 0.1954, 406481.5, 0.21, 0.2165, 0.2226, 0.2044, 409468.4, 0.2152, 0.2176, 0.2265, 0.2073, 351263.14, 0.2169, 0.217, 0.2259, 0.2145, 143364.1, 0.2038 
0.2013, 0.2135, 0.2167, 0.1954, 406481.5, 0.21, 0.2165, 0.2226, 0.2044, 409468.4, 0.2152, 0.2176, 0.2265, 0.2073, 351263.14, 0.2169, 0.217, 0.2259, 0.2145, 143364.1, 0.2188, 0.2207, 0.2276, 0.2118, 127436.76, 0.1922 
0.21, 0.2165, 0.2226, 0.2044, 409468.4, 0.2152, 0.2176, 0.2265, 0.2073, 351263.14, 0.2169, 0.217, 0.2259, 0.2145, 143364.1, 0.2188, 0.2207, 0.2276, 0.2118, 127436.76, 0.1891, 0.2069, 0.2076, 0.1809, 285288.29, 0.1998 
0.2152, 0.2176, 0.2265, 0.2073, 351263.14, 0.2169, 0.217, 0.2259, 0.2145, 143364.1, 0.2188, 0.2207, 0.2276, 0.2118, 127436.76, 0.1891, 0.2069, 0.2076, 0.1809, 285288.29, 0.1912, 0.2085, 0.2119, 0.1719, 948894.77, 0.2022 
0.2169, 0.217, 0.2259, 0.2145, 143364.1, 0.2188, 0.2207, 0.2276, 0.2118, 127436.76, 0.1891, 0.2069, 0.2076, 0.1809, 285288.29, 0.1912, 0.2085, 0.2119, 0.1719, 948894.77, 0.2156, 0.2134, 0.2191, 0.2095, 230751.76, 0.2055 
0.2188, 0.2207, 0.2276, 0.2118, 127436.76, 0.1891, 0.2069, 0.2076, 0.1809, 285288.29, 0.1912, 0.2085, 0.2119, 0.1719, 948894.77, 0.2156, 0.2134, 0.2191, 0.2095, 230751.76, 0.2008, 0.2062, 0.2067, 0.182, 163618.87, 0.2221 
0.1891, 0.2069, 0.2076, 0.1809, 285288.29, 0.1912, 0.2085, 0.2119, 0.1719, 948894.77, 0.2156, 0.2134, 0.2191, 0.2095, 230751.76, 0.2008, 0.2062, 0.2067, 0.182, 163618.87, 0.2073, 0.2038, 0.2172, 0.2033, 157761.34, 0.2162 
0.1912, 0.2085, 0.2119, 0.1719, 948894.77, 0.2156, 0.2134, 0.2191, 0.2095, 230751.76, 0.2008, 0.2062, 0.2067, 0.182, 163618.87, 0.2073, 0.2038, 0.2172, 0.2033, 157761.34, 0.1808, 0.1922, 0.1932, 0.1804, 300944.83, 0.2219 
0.2156, 0.2134, 0.2191, 0.2095, 230751.76, 0.2008, 0.2062, 0.2067, 0.182, 163618.87, 0.2073, 0.2038, 0.2172, 0.2033, 157761.34, 0.1808, 0.1922, 0.1932, 0.1804, 300944.83, 0.1998, 0.1998, 0.2224, 0.192, 912374.29, 0.217 
