@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1809, 0.1809, 0.1809, 0.1809, 0, 0.1727, 1.952, 1.961, 0.1727, 2906.53, 1.896, 2.139, 2.139, 1.896, 2831.39, 2.149, 2.233, 2.233, 2.149, 1624.8, 2.263, 2.263, 2.263, 2.22, 1226.07, 3.598 
0.1727, 1.952, 1.961, 0.1727, 2906.53, 1.896, 2.139, 2.139, 1.896, 2831.39, 2.149, 2.233, 2.233, 2.149, 1624.8, 2.263, 2.263, 2.263, 2.22, 1226.07, 2.529, 2.577, 2.577, 2.481, 1502.96, 3.986 
1.896, 2.139, 2.139, 1.896, 2831.39, 2.149, 2.233, 2.233, 2.149, 1624.8, 2.263, 2.263, 2.263, 2.22, 1226.07, 2.529, 2.577, 2.577, 2.481, 1502.96, 2.766, 2.663, 2.766, 2.561, 2137.75, 4.311 
2.149, 2.233, 2.233, 2.149, 1624.8, 2.263, 2.263, 2.263, 2.22, 1226.07, 2.529, 2.577, 2.577, 2.481, 1502.96, 2.766, 2.663, 2.766, 2.561, 2137.75, 2.616, 2.677, 2.677, 2.606, 898.72, 4.008 
2.263, 2.263, 2.263, 2.22, 1226.07, 2.529, 2.577, 2.577, 2.481, 1502.96, 2.766, 2.663, 2.766, 2.561, 2137.75, 2.616, 2.677, 2.677, 2.606, 898.72, 3.097, 3.551, 3.609, 3.097, 3089.37, 4.058 
2.529, 2.577, 2.577, 2.481, 1502.96, 2.766, 2.663, 2.766, 2.561, 2137.75, 2.616, 2.677, 2.677, 2.606, 898.72, 3.097, 3.551, 3.609, 3.097, 3089.37, 3.338, 3.338, 3.393, 3.327, 2187.66, 3.572 
2.766, 2.663, 2.766, 2.561, 2137.75, 2.616, 2.677, 2.677, 2.606, 898.72, 3.097, 3.551, 3.609, 3.097, 3089.37, 3.338, 3.338, 3.393, 3.327, 2187.66, 3.61, 3.598, 3.61, 3.586, 1565.13, 4.276 
2.616, 2.677, 2.677, 2.606, 898.72, 3.097, 3.551, 3.609, 3.097, 3089.37, 3.338, 3.338, 3.393, 3.327, 2187.66, 3.61, 3.598, 3.61, 3.586, 1565.13, 3.999, 3.986, 3.999, 3.986, 665.66, 4.201 
3.097, 3.551, 3.609, 3.097, 3089.37, 3.338, 3.338, 3.393, 3.327, 2187.66, 3.61, 3.598, 3.61, 3.586, 1565.13, 3.999, 3.986, 3.999, 3.986, 665.66, 4.268, 4.311, 4.311, 4.268, 732.87, 4.325 
3.338, 3.338, 3.393, 3.327, 2187.66, 3.61, 3.598, 3.61, 3.586, 1565.13, 3.999, 3.986, 3.999, 3.986, 665.66, 4.268, 4.311, 4.311, 4.268, 732.87, 4.008, 4.008, 4.008, 3.969, 881.76, 4.085 
3.61, 3.598, 3.61, 3.586, 1565.13, 3.999, 3.986, 3.999, 3.986, 665.66, 4.268, 4.311, 4.311, 4.268, 732.87, 4.008, 4.008, 4.008, 3.969, 881.76, 4.058, 4.058, 4.058, 4.045, 1891.03, 4.365 
3.999, 3.986, 3.999, 3.986, 665.66, 4.268, 4.311, 4.311, 4.268, 732.87, 4.008, 4.008, 4.008, 3.969, 881.76, 4.058, 4.058, 4.058, 4.045, 1891.03, 3.572, 3.572, 3.572, 3.572, 0, 4.791 
4.268, 4.311, 4.311, 4.268, 732.87, 4.008, 4.008, 4.008, 3.969, 881.76, 4.058, 4.058, 4.058, 4.045, 1891.03, 3.572, 3.572, 3.572, 3.572, 0, 4.276, 4.276, 4.276, 4.276, 0, 4.573 
4.008, 4.008, 4.008, 3.969, 881.76, 4.058, 4.058, 4.058, 4.045, 1891.03, 3.572, 3.572, 3.572, 3.572, 0, 4.276, 4.276, 4.276, 4.276, 0, 4.201, 4.201, 4.201, 4.201, 0, 4.775 
4.058, 4.058, 4.058, 4.045, 1891.03, 3.572, 3.572, 3.572, 3.572, 0, 4.276, 4.276, 4.276, 4.276, 0, 4.201, 4.201, 4.201, 4.201, 0, 4.325, 4.325, 4.325, 4.325, 0, 4.781 
3.572, 3.572, 3.572, 3.572, 0, 4.276, 4.276, 4.276, 4.276, 0, 4.201, 4.201, 4.201, 4.201, 0, 4.325, 4.325, 4.325, 4.325, 0, 4.085, 4.085, 4.085, 4.085, 0, 4.853 
4.276, 4.276, 4.276, 4.276, 0, 4.201, 4.201, 4.201, 4.201, 0, 4.325, 4.325, 4.325, 4.325, 0, 4.085, 4.085, 4.085, 4.085, 0, 4.365, 4.365, 4.365, 4.365, 0, 4.654 
4.201, 4.201, 4.201, 4.201, 0, 4.325, 4.325, 4.325, 4.325, 0, 4.085, 4.085, 4.085, 4.085, 0, 4.365, 4.365, 4.365, 4.365, 0, 4.791, 4.791, 4.791, 4.791, 0, 4.624 
4.325, 4.325, 4.325, 4.325, 0, 4.085, 4.085, 4.085, 4.085, 0, 4.365, 4.365, 4.365, 4.365, 0, 4.791, 4.791, 4.791, 4.791, 0, 4.573, 4.573, 4.573, 4.573, 0, 4.626 
4.085, 4.085, 4.085, 4.085, 0, 4.365, 4.365, 4.365, 4.365, 0, 4.791, 4.791, 4.791, 4.791, 0, 4.573, 4.573, 4.573, 4.573, 0, 4.775, 4.775, 4.775, 4.775, 0, 3.916 
4.365, 4.365, 4.365, 4.365, 0, 4.791, 4.791, 4.791, 4.791, 0, 4.573, 4.573, 4.573, 4.573, 0, 4.775, 4.775, 4.775, 4.775, 0, 4.781, 4.781, 4.781, 4.781, 0, 3.891 
4.791, 4.791, 4.791, 4.791, 0, 4.573, 4.573, 4.573, 4.573, 0, 4.775, 4.775, 4.775, 4.775, 0, 4.781, 4.781, 4.781, 4.781, 0, 4.853, 4.853, 4.853, 4.853, 0, 3.85 
4.573, 4.573, 4.573, 4.573, 0, 4.775, 4.775, 4.775, 4.775, 0, 4.781, 4.781, 4.781, 4.781, 0, 4.853, 4.853, 4.853, 4.853, 0, 4.654, 4.654, 4.654, 4.654, 0, 3.567 
4.775, 4.775, 4.775, 4.775, 0, 4.781, 4.781, 4.781, 4.781, 0, 4.853, 4.853, 4.853, 4.853, 0, 4.654, 4.654, 4.654, 4.654, 0, 4.624, 4.624, 4.624, 4.624, 0, 3.97 
4.781, 4.781, 4.781, 4.781, 0, 4.853, 4.853, 4.853, 4.853, 0, 4.654, 4.654, 4.654, 4.654, 0, 4.624, 4.624, 4.624, 4.624, 0, 4.626, 4.626, 4.626, 4.626, 0, 3.709 
4.853, 4.853, 4.853, 4.853, 0, 4.654, 4.654, 4.654, 4.654, 0, 4.624, 4.624, 4.624, 4.624, 0, 4.626, 4.626, 4.626, 4.626, 0, 3.916, 3.916, 3.916, 3.916, 0, 3.767 
4.654, 4.654, 4.654, 4.654, 0, 4.624, 4.624, 4.624, 4.624, 0, 4.626, 4.626, 4.626, 4.626, 0, 3.916, 3.916, 3.916, 3.916, 0, 3.891, 3.891, 3.891, 3.891, 0, 3.786 
4.624, 4.624, 4.624, 4.624, 0, 4.626, 4.626, 4.626, 4.626, 0, 3.916, 3.916, 3.916, 3.916, 0, 3.891, 3.891, 3.891, 3.891, 0, 3.85, 3.85, 3.85, 3.85, 0, 3.689 
4.626, 4.626, 4.626, 4.626, 0, 3.916, 3.916, 3.916, 3.916, 0, 3.891, 3.891, 3.891, 3.891, 0, 3.85, 3.85, 3.85, 3.85, 0, 3.567, 3.567, 3.567, 3.567, 0, 3.82 
3.916, 3.916, 3.916, 3.916, 0, 3.891, 3.891, 3.891, 3.891, 0, 3.85, 3.85, 3.85, 3.85, 0, 3.567, 3.567, 3.567, 3.567, 0, 3.97, 3.97, 3.97, 3.97, 0, 3.623 
3.891, 3.891, 3.891, 3.891, 0, 3.85, 3.85, 3.85, 3.85, 0, 3.567, 3.567, 3.567, 3.567, 0, 3.97, 3.97, 3.97, 3.97, 0, 3.709, 3.709, 3.709, 3.709, 0, 3.572 
3.85, 3.85, 3.85, 3.85, 0, 3.567, 3.567, 3.567, 3.567, 0, 3.97, 3.97, 3.97, 3.97, 0, 3.709, 3.709, 3.709, 3.709, 0, 3.767, 3.767, 3.767, 3.767, 0, 3.645 
3.567, 3.567, 3.567, 3.567, 0, 3.97, 3.97, 3.97, 3.97, 0, 3.709, 3.709, 3.709, 3.709, 0, 3.767, 3.767, 3.767, 3.767, 0, 3.786, 3.786, 3.786, 3.786, 0, 3.598 
3.97, 3.97, 3.97, 3.97, 0, 3.709, 3.709, 3.709, 3.709, 0, 3.767, 3.767, 3.767, 3.767, 0, 3.786, 3.786, 3.786, 3.786, 0, 3.689, 3.689, 3.689, 3.689, 0, 3.602 
3.709, 3.709, 3.709, 3.709, 0, 3.767, 3.767, 3.767, 3.767, 0, 3.786, 3.786, 3.786, 3.786, 0, 3.689, 3.689, 3.689, 3.689, 0, 3.82, 3.82, 3.82, 3.82, 0, 3.547 
3.767, 3.767, 3.767, 3.767, 0, 3.786, 3.786, 3.786, 3.786, 0, 3.689, 3.689, 3.689, 3.689, 0, 3.82, 3.82, 3.82, 3.82, 0, 3.623, 3.623, 3.623, 3.623, 0, 3.56 
3.786, 3.786, 3.786, 3.786, 0, 3.689, 3.689, 3.689, 3.689, 0, 3.82, 3.82, 3.82, 3.82, 0, 3.623, 3.623, 3.623, 3.623, 0, 3.572, 3.572, 3.572, 3.572, 0, 3.435 
3.689, 3.689, 3.689, 3.689, 0, 3.82, 3.82, 3.82, 3.82, 0, 3.623, 3.623, 3.623, 3.623, 0, 3.572, 3.572, 3.572, 3.572, 0, 3.645, 3.645, 3.645, 3.645, 0, 3.255 
3.82, 3.82, 3.82, 3.82, 0, 3.623, 3.623, 3.623, 3.623, 0, 3.572, 3.572, 3.572, 3.572, 0, 3.645, 3.645, 3.645, 3.645, 0, 3.598, 3.598, 3.598, 3.598, 0, 3.205 
3.623, 3.623, 3.623, 3.623, 0, 3.572, 3.572, 3.572, 3.572, 0, 3.645, 3.645, 3.645, 3.645, 0, 3.598, 3.598, 3.598, 3.598, 0, 3.602, 3.602, 3.602, 3.602, 0, 3.337 
3.572, 3.572, 3.572, 3.572, 0, 3.645, 3.645, 3.645, 3.645, 0, 3.598, 3.598, 3.598, 3.598, 0, 3.602, 3.602, 3.602, 3.602, 0, 3.547, 3.547, 3.547, 3.547, 0, 3.271 
3.645, 3.645, 3.645, 3.645, 0, 3.598, 3.598, 3.598, 3.598, 0, 3.602, 3.602, 3.602, 3.602, 0, 3.547, 3.547, 3.547, 3.547, 0, 3.56, 3.56, 3.56, 3.56, 0, 3.275 
3.598, 3.598, 3.598, 3.598, 0, 3.602, 3.602, 3.602, 3.602, 0, 3.547, 3.547, 3.547, 3.547, 0, 3.56, 3.56, 3.56, 3.56, 0, 3.435, 3.435, 3.435, 3.435, 0, 3.397 
3.602, 3.602, 3.602, 3.602, 0, 3.547, 3.547, 3.547, 3.547, 0, 3.56, 3.56, 3.56, 3.56, 0, 3.435, 3.435, 3.435, 3.435, 0, 3.255, 3.255, 3.255, 3.255, 0, 3.281 
3.547, 3.547, 3.547, 3.547, 0, 3.56, 3.56, 3.56, 3.56, 0, 3.435, 3.435, 3.435, 3.435, 0, 3.255, 3.255, 3.255, 3.255, 0, 3.205, 3.205, 3.205, 3.205, 0, 3.271 
3.56, 3.56, 3.56, 3.56, 0, 3.435, 3.435, 3.435, 3.435, 0, 3.255, 3.255, 3.255, 3.255, 0, 3.205, 3.205, 3.205, 3.205, 0, 3.337, 3.337, 3.337, 3.337, 0, 3.272 
3.435, 3.435, 3.435, 3.435, 0, 3.255, 3.255, 3.255, 3.255, 0, 3.205, 3.205, 3.205, 3.205, 0, 3.337, 3.337, 3.337, 3.337, 0, 3.271, 3.271, 3.271, 3.271, 0, 3.198 
3.255, 3.255, 3.255, 3.255, 0, 3.205, 3.205, 3.205, 3.205, 0, 3.337, 3.337, 3.337, 3.337, 0, 3.271, 3.271, 3.271, 3.271, 0, 3.275, 3.275, 3.275, 3.275, 0, 3.192 
3.205, 3.205, 3.205, 3.205, 0, 3.337, 3.337, 3.337, 3.337, 0, 3.271, 3.271, 3.271, 3.271, 0, 3.275, 3.275, 3.275, 3.275, 0, 3.397, 3.397, 3.397, 3.397, 0, 3.656 
