@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.05559, 0.05992, 0.06198, 0.0546, 4562560.42, 0.05975, 0.06088, 0.06154, 0.05929, 3884141.33, 0.06041, 0.06423, 0.06423, 0.06002, 4285230.52, 0.0606, 0.05576, 0.06085, 0.05303, 4562311.03, 0.05651, 0.0602, 0.06126, 0.05563, 5725995.9, 0.06573 
0.05975, 0.06088, 0.06154, 0.05929, 3884141.33, 0.06041, 0.06423, 0.06423, 0.06002, 4285230.52, 0.0606, 0.05576, 0.06085, 0.05303, 4562311.03, 0.05651, 0.0602, 0.06126, 0.05563, 5725995.9, 0.06035, 0.06737, 0.06963, 0.05954, 6083072.99, 0.06592 
0.06041, 0.06423, 0.06423, 0.06002, 4285230.52, 0.0606, 0.05576, 0.06085, 0.05303, 4562311.03, 0.05651, 0.0602, 0.06126, 0.05563, 5725995.9, 0.06035, 0.06737, 0.06963, 0.05954, 6083072.99, 0.06749, 0.06491, 0.06874, 0.0624, 4486686.17, 0.05958 
0.0606, 0.05576, 0.06085, 0.05303, 4562311.03, 0.05651, 0.0602, 0.06126, 0.05563, 5725995.9, 0.06035, 0.06737, 0.06963, 0.05954, 6083072.99, 0.06749, 0.06491, 0.06874, 0.0624, 4486686.17, 0.06837, 0.06672, 0.07075, 0.06017, 3723303.21, 0.05533 
0.05651, 0.0602, 0.06126, 0.05563, 5725995.9, 0.06035, 0.06737, 0.06963, 0.05954, 6083072.99, 0.06749, 0.06491, 0.06874, 0.0624, 4486686.17, 0.06837, 0.06672, 0.07075, 0.06017, 3723303.21, 0.06642, 0.06925, 0.0709, 0.06609, 3137796.11, 0.05459 
0.06035, 0.06737, 0.06963, 0.05954, 6083072.99, 0.06749, 0.06491, 0.06874, 0.0624, 4486686.17, 0.06837, 0.06672, 0.07075, 0.06017, 3723303.21, 0.06642, 0.06925, 0.0709, 0.06609, 3137796.11, 0.06916, 0.06884, 0.07265, 0.06719, 4861756.09, 0.05836 
0.06749, 0.06491, 0.06874, 0.0624, 4486686.17, 0.06837, 0.06672, 0.07075, 0.06017, 3723303.21, 0.06642, 0.06925, 0.0709, 0.06609, 3137796.11, 0.06916, 0.06884, 0.07265, 0.06719, 4861756.09, 0.06787, 0.06573, 0.06833, 0.06346, 3787892.56, 0.05563 
0.06837, 0.06672, 0.07075, 0.06017, 3723303.21, 0.06642, 0.06925, 0.0709, 0.06609, 3137796.11, 0.06916, 0.06884, 0.07265, 0.06719, 4861756.09, 0.06787, 0.06573, 0.06833, 0.06346, 3787892.56, 0.06566, 0.06592, 0.06909, 0.06359, 4879493.97, 0.05371 
0.06642, 0.06925, 0.0709, 0.06609, 3137796.11, 0.06916, 0.06884, 0.07265, 0.06719, 4861756.09, 0.06787, 0.06573, 0.06833, 0.06346, 3787892.56, 0.06566, 0.06592, 0.06909, 0.06359, 4879493.97, 0.06614, 0.05958, 0.06659, 0.05783, 9458260.56, 0.04979 
0.06916, 0.06884, 0.07265, 0.06719, 4861756.09, 0.06787, 0.06573, 0.06833, 0.06346, 3787892.56, 0.06566, 0.06592, 0.06909, 0.06359, 4879493.97, 0.06614, 0.05958, 0.06659, 0.05783, 9458260.56, 0.05976, 0.05533, 0.06074, 0.05494, 7183411.48, 0.05066 
0.06787, 0.06573, 0.06833, 0.06346, 3787892.56, 0.06566, 0.06592, 0.06909, 0.06359, 4879493.97, 0.06614, 0.05958, 0.06659, 0.05783, 9458260.56, 0.05976, 0.05533, 0.06074, 0.05494, 7183411.48, 0.05511, 0.05459, 0.05965, 0.05277, 7609425.22, 0.05267 
0.06566, 0.06592, 0.06909, 0.06359, 4879493.97, 0.06614, 0.05958, 0.06659, 0.05783, 9458260.56, 0.05976, 0.05533, 0.06074, 0.05494, 7183411.48, 0.05511, 0.05459, 0.05965, 0.05277, 7609425.22, 0.05448, 0.05836, 0.05985, 0.0537, 9263714.78, 0.04754 
0.06614, 0.05958, 0.06659, 0.05783, 9458260.56, 0.05976, 0.05533, 0.06074, 0.05494, 7183411.48, 0.05511, 0.05459, 0.05965, 0.05277, 7609425.22, 0.05448, 0.05836, 0.05985, 0.0537, 9263714.78, 0.05842, 0.05563, 0.06269, 0.05544, 6385468.67, 0.04864 
