@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
1.6, 1.65, 1.8, 1.58, 29879.27, 1.65, 1.83, 2.01, 1.63, 48704.6, 1.83, 1.69, 1.84, 1.69, 33806.99, 1.69, 1.74, 1.82, 1.65, 21873.22, 1.74, 1.76, 1.79, 1.7, 17053.96, 2.41 
1.65, 1.83, 2.01, 1.63, 48704.6, 1.83, 1.69, 1.84, 1.69, 33806.99, 1.69, 1.74, 1.82, 1.65, 21873.22, 1.74, 1.76, 1.79, 1.7, 17053.96, 1.76, 2.07, 2.24, 1.67, 108729.52, 2.82 
1.83, 1.69, 1.84, 1.69, 33806.99, 1.69, 1.74, 1.82, 1.65, 21873.22, 1.74, 1.76, 1.79, 1.7, 17053.96, 1.76, 2.07, 2.24, 1.67, 108729.52, 2.07, 2.11, 2.18, 1.95, 169422, 2.69 
1.69, 1.74, 1.82, 1.65, 21873.22, 1.74, 1.76, 1.79, 1.7, 17053.96, 1.76, 2.07, 2.24, 1.67, 108729.52, 2.07, 2.11, 2.18, 1.95, 169422, 2.11, 2.21, 2.52, 2.11, 135263.12, 2.45 
1.74, 1.76, 1.79, 1.7, 17053.96, 1.76, 2.07, 2.24, 1.67, 108729.52, 2.07, 2.11, 2.18, 1.95, 169422, 2.11, 2.21, 2.52, 2.11, 135263.12, 2.21, 2.45, 2.5, 2.19, 122468.73, 2.44 
1.76, 2.07, 2.24, 1.67, 108729.52, 2.07, 2.11, 2.18, 1.95, 169422, 2.11, 2.21, 2.52, 2.11, 135263.12, 2.21, 2.45, 2.5, 2.19, 122468.73, 2.45, 2.27, 2.5, 2.25, 92151.92, 2.16 
2.07, 2.11, 2.18, 1.95, 169422, 2.11, 2.21, 2.52, 2.11, 135263.12, 2.21, 2.45, 2.5, 2.19, 122468.73, 2.45, 2.27, 2.5, 2.25, 92151.92, 2.27, 2.41, 2.44, 2.19, 45901.84, 2.37 
2.11, 2.21, 2.52, 2.11, 135263.12, 2.21, 2.45, 2.5, 2.19, 122468.73, 2.45, 2.27, 2.5, 2.25, 92151.92, 2.27, 2.41, 2.44, 2.19, 45901.84, 2.41, 2.82, 2.91, 2.36, 139074.05, 2.32 
2.21, 2.45, 2.5, 2.19, 122468.73, 2.45, 2.27, 2.5, 2.25, 92151.92, 2.27, 2.41, 2.44, 2.19, 45901.84, 2.41, 2.82, 2.91, 2.36, 139074.05, 2.82, 2.69, 3.04, 2.69, 147056.46, 2.37 
2.45, 2.27, 2.5, 2.25, 92151.92, 2.27, 2.41, 2.44, 2.19, 45901.84, 2.41, 2.82, 2.91, 2.36, 139074.05, 2.82, 2.69, 3.04, 2.69, 147056.46, 2.69, 2.45, 2.69, 2.31, 111675.89, 2.19 
2.27, 2.41, 2.44, 2.19, 45901.84, 2.41, 2.82, 2.91, 2.36, 139074.05, 2.82, 2.69, 3.04, 2.69, 147056.46, 2.69, 2.45, 2.69, 2.31, 111675.89, 2.45, 2.44, 2.99, 2.33, 35741.43, 2.32 
2.41, 2.82, 2.91, 2.36, 139074.05, 2.82, 2.69, 3.04, 2.69, 147056.46, 2.69, 2.45, 2.69, 2.31, 111675.89, 2.45, 2.44, 2.99, 2.33, 35741.43, 2.44, 2.16, 2.51, 2.08, 111029.73, 2.41 
2.82, 2.69, 3.04, 2.69, 147056.46, 2.69, 2.45, 2.69, 2.31, 111675.89, 2.45, 2.44, 2.99, 2.33, 35741.43, 2.44, 2.16, 2.51, 2.08, 111029.73, 2.16, 2.37, 2.53, 2.04, 85091.79, 2.26 
2.69, 2.45, 2.69, 2.31, 111675.89, 2.45, 2.44, 2.99, 2.33, 35741.43, 2.44, 2.16, 2.51, 2.08, 111029.73, 2.16, 2.37, 2.53, 2.04, 85091.79, 2.37, 2.32, 2.46, 2.28, 92651.04, 2.23 
2.45, 2.44, 2.99, 2.33, 35741.43, 2.44, 2.16, 2.51, 2.08, 111029.73, 2.16, 2.37, 2.53, 2.04, 85091.79, 2.37, 2.32, 2.46, 2.28, 92651.04, 2.32, 2.37, 2.39, 2.19, 67820.85, 2.29 
2.44, 2.16, 2.51, 2.08, 111029.73, 2.16, 2.37, 2.53, 2.04, 85091.79, 2.37, 2.32, 2.46, 2.28, 92651.04, 2.32, 2.37, 2.39, 2.19, 67820.85, 2.37, 2.19, 2.37, 2.13, 60471.41, 2.39 
2.16, 2.37, 2.53, 2.04, 85091.79, 2.37, 2.32, 2.46, 2.28, 92651.04, 2.32, 2.37, 2.39, 2.19, 67820.85, 2.37, 2.19, 2.37, 2.13, 60471.41, 2.19, 2.32, 2.33, 2.1, 30799.66, 2.33 
2.37, 2.32, 2.46, 2.28, 92651.04, 2.32, 2.37, 2.39, 2.19, 67820.85, 2.37, 2.19, 2.37, 2.13, 60471.41, 2.19, 2.32, 2.33, 2.1, 30799.66, 2.32, 2.41, 2.41, 2.22, 57780.46, 2.34 
2.32, 2.37, 2.39, 2.19, 67820.85, 2.37, 2.19, 2.37, 2.13, 60471.41, 2.19, 2.32, 2.33, 2.1, 30799.66, 2.32, 2.41, 2.41, 2.22, 57780.46, 2.41, 2.26, 2.42, 2.19, 51797.57, 2.47 
2.37, 2.19, 2.37, 2.13, 60471.41, 2.19, 2.32, 2.33, 2.1, 30799.66, 2.32, 2.41, 2.41, 2.22, 57780.46, 2.41, 2.26, 2.42, 2.19, 51797.57, 2.26, 2.23, 2.33, 2.19, 46040.56, 2.12 
2.19, 2.32, 2.33, 2.1, 30799.66, 2.32, 2.41, 2.41, 2.22, 57780.46, 2.41, 2.26, 2.42, 2.19, 51797.57, 2.26, 2.23, 2.33, 2.19, 46040.56, 2.23, 2.29, 2.35, 2.23, 59734.2, 2.17 
2.32, 2.41, 2.41, 2.22, 57780.46, 2.41, 2.26, 2.42, 2.19, 51797.57, 2.26, 2.23, 2.33, 2.19, 46040.56, 2.23, 2.29, 2.35, 2.23, 59734.2, 2.29, 2.39, 2.44, 2.26, 44302.77, 2.23 
2.41, 2.26, 2.42, 2.19, 51797.57, 2.26, 2.23, 2.33, 2.19, 46040.56, 2.23, 2.29, 2.35, 2.23, 59734.2, 2.29, 2.39, 2.44, 2.26, 44302.77, 2.39, 2.33, 2.41, 2.24, 113873.31, 2.03 
2.26, 2.23, 2.33, 2.19, 46040.56, 2.23, 2.29, 2.35, 2.23, 59734.2, 2.29, 2.39, 2.44, 2.26, 44302.77, 2.39, 2.33, 2.41, 2.24, 113873.31, 2.33, 2.34, 2.41, 2.24, 37277.35, 2.17 
2.23, 2.29, 2.35, 2.23, 59734.2, 2.29, 2.39, 2.44, 2.26, 44302.77, 2.39, 2.33, 2.41, 2.24, 113873.31, 2.33, 2.34, 2.41, 2.24, 37277.35, 2.34, 2.47, 2.54, 2.31, 133162.05, 2.11 
2.29, 2.39, 2.44, 2.26, 44302.77, 2.39, 2.33, 2.41, 2.24, 113873.31, 2.33, 2.34, 2.41, 2.24, 37277.35, 2.34, 2.47, 2.54, 2.31, 133162.05, 2.47, 2.12, 2.64, 2.09, 218180.08, 2.1 
2.39, 2.33, 2.41, 2.24, 113873.31, 2.33, 2.34, 2.41, 2.24, 37277.35, 2.34, 2.47, 2.54, 2.31, 133162.05, 2.47, 2.12, 2.64, 2.09, 218180.08, 2.12, 2.17, 2.2, 2.05, 74334.67, 2.1 
2.33, 2.34, 2.41, 2.24, 37277.35, 2.34, 2.47, 2.54, 2.31, 133162.05, 2.47, 2.12, 2.64, 2.09, 218180.08, 2.12, 2.17, 2.2, 2.05, 74334.67, 2.17, 2.23, 2.43, 2.05, 117317.48, 2.09 
2.34, 2.47, 2.54, 2.31, 133162.05, 2.47, 2.12, 2.64, 2.09, 218180.08, 2.12, 2.17, 2.2, 2.05, 74334.67, 2.17, 2.23, 2.43, 2.05, 117317.48, 2.23, 2.03, 2.31, 2.02, 69945.88, 2.14 
2.47, 2.12, 2.64, 2.09, 218180.08, 2.12, 2.17, 2.2, 2.05, 74334.67, 2.17, 2.23, 2.43, 2.05, 117317.48, 2.23, 2.03, 2.31, 2.02, 69945.88, 2.03, 2.17, 2.22, 2.03, 67617.81, 2.04 
2.12, 2.17, 2.2, 2.05, 74334.67, 2.17, 2.23, 2.43, 2.05, 117317.48, 2.23, 2.03, 2.31, 2.02, 69945.88, 2.03, 2.17, 2.22, 2.03, 67617.81, 2.17, 2.11, 2.21, 2.06, 40373.1, 2.02 
2.17, 2.23, 2.43, 2.05, 117317.48, 2.23, 2.03, 2.31, 2.02, 69945.88, 2.03, 2.17, 2.22, 2.03, 67617.81, 2.17, 2.11, 2.21, 2.06, 40373.1, 2.11, 2.1, 2.17, 2.07, 38892.84, 2.08 
2.23, 2.03, 2.31, 2.02, 69945.88, 2.03, 2.17, 2.22, 2.03, 67617.81, 2.17, 2.11, 2.21, 2.06, 40373.1, 2.11, 2.1, 2.17, 2.07, 38892.84, 2.1, 2.1, 2.12, 2.07, 18952.34, 2.05 
2.03, 2.17, 2.22, 2.03, 67617.81, 2.17, 2.11, 2.21, 2.06, 40373.1, 2.11, 2.1, 2.17, 2.07, 38892.84, 2.1, 2.1, 2.12, 2.07, 18952.34, 2.1, 2.09, 2.14, 2.06, 11171.11, 2.05 
2.17, 2.11, 2.21, 2.06, 40373.1, 2.11, 2.1, 2.17, 2.07, 38892.84, 2.1, 2.1, 2.12, 2.07, 18952.34, 2.1, 2.09, 2.14, 2.06, 11171.11, 2.09, 2.14, 2.18, 2.07, 45778.25, 2.05 
2.11, 2.1, 2.17, 2.07, 38892.84, 2.1, 2.1, 2.12, 2.07, 18952.34, 2.1, 2.09, 2.14, 2.06, 11171.11, 2.09, 2.14, 2.18, 2.07, 45778.25, 2.14, 2.04, 2.2, 1.98, 73947.76, 2.05 
2.1, 2.1, 2.12, 2.07, 18952.34, 2.1, 2.09, 2.14, 2.06, 11171.11, 2.09, 2.14, 2.18, 2.07, 45778.25, 2.14, 2.04, 2.2, 1.98, 73947.76, 2.04, 2.02, 2.07, 2, 87160.86, 1.98 
2.1, 2.09, 2.14, 2.06, 11171.11, 2.09, 2.14, 2.18, 2.07, 45778.25, 2.14, 2.04, 2.2, 1.98, 73947.76, 2.04, 2.02, 2.07, 2, 87160.86, 2.02, 2.08, 2.12, 1.97, 41905.57, 1.87 
2.09, 2.14, 2.18, 2.07, 45778.25, 2.14, 2.04, 2.2, 1.98, 73947.76, 2.04, 2.02, 2.07, 2, 87160.86, 2.02, 2.08, 2.12, 1.97, 41905.57, 2.08, 2.05, 2.13, 2.02, 36215.6, 1.83 
2.14, 2.04, 2.2, 1.98, 73947.76, 2.04, 2.02, 2.07, 2, 87160.86, 2.02, 2.08, 2.12, 1.97, 41905.57, 2.08, 2.05, 2.13, 2.02, 36215.6, 2.05, 2.05, 2.1, 2.02, 21391.42, 1.92 
2.04, 2.02, 2.07, 2, 87160.86, 2.02, 2.08, 2.12, 1.97, 41905.57, 2.08, 2.05, 2.13, 2.02, 36215.6, 2.05, 2.05, 2.1, 2.02, 21391.42, 2.05, 2.05, 2.09, 2.04, 4232.43, 1.87 
2.02, 2.08, 2.12, 1.97, 41905.57, 2.08, 2.05, 2.13, 2.02, 36215.6, 2.05, 2.05, 2.1, 2.02, 21391.42, 2.05, 2.05, 2.09, 2.04, 4232.43, 2.05, 2.05, 2.13, 2.05, 25872.74, 1.87 
2.08, 2.05, 2.13, 2.02, 36215.6, 2.05, 2.05, 2.1, 2.02, 21391.42, 2.05, 2.05, 2.09, 2.04, 4232.43, 2.05, 2.05, 2.13, 2.05, 25872.74, 2.05, 1.98, 2.09, 1.97, 26948.02, 1.88 
2.05, 2.05, 2.1, 2.02, 21391.42, 2.05, 2.05, 2.09, 2.04, 4232.43, 2.05, 2.05, 2.13, 2.05, 25872.74, 2.05, 1.98, 2.09, 1.97, 26948.02, 1.98, 1.87, 1.98, 1.8, 51099.14, 1.8 
2.05, 2.05, 2.09, 2.04, 4232.43, 2.05, 2.05, 2.13, 2.05, 25872.74, 2.05, 1.98, 2.09, 1.97, 26948.02, 1.98, 1.87, 1.98, 1.8, 51099.14, 1.87, 1.83, 1.9, 1.78, 18651.74, 1.84 
2.05, 2.05, 2.13, 2.05, 25872.74, 2.05, 1.98, 2.09, 1.97, 26948.02, 1.98, 1.87, 1.98, 1.8, 51099.14, 1.87, 1.83, 1.9, 1.78, 18651.74, 1.83, 1.92, 1.92, 1.79, 48398.76, 1.83 
2.05, 1.98, 2.09, 1.97, 26948.02, 1.98, 1.87, 1.98, 1.8, 51099.14, 1.87, 1.83, 1.9, 1.78, 18651.74, 1.83, 1.92, 1.92, 1.79, 48398.76, 1.92, 1.87, 1.96, 1.81, 12038.68, 1.73 
1.98, 1.87, 1.98, 1.8, 51099.14, 1.87, 1.83, 1.9, 1.78, 18651.74, 1.83, 1.92, 1.92, 1.79, 48398.76, 1.92, 1.87, 1.96, 1.81, 12038.68, 1.87, 1.87, 1.89, 1.78, 33480.77, 1.74 
