@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1244, 0.1372, 0.1512, 0.1219, 48708.71, 0.1358, 0.1427, 0.1456, 0.1343, 37598.09, 0.142, 0.1372, 0.1433, 0.1341, 20920.22, 0.1386, 0.134, 0.145, 0.1292, 1017575.77, 0.135, 0.1319, 0.1388, 0.1308, 3580258.47, 0.1292 
0.1358, 0.1427, 0.1456, 0.1343, 37598.09, 0.142, 0.1372, 0.1433, 0.1341, 20920.22, 0.1386, 0.134, 0.145, 0.1292, 1017575.77, 0.135, 0.1319, 0.1388, 0.1308, 3580258.47, 0.1311, 0.1345, 0.135, 0.1253, 2717730.63, 0.1435 
0.142, 0.1372, 0.1433, 0.1341, 20920.22, 0.1386, 0.134, 0.145, 0.1292, 1017575.77, 0.135, 0.1319, 0.1388, 0.1308, 3580258.47, 0.1311, 0.1345, 0.135, 0.1253, 2717730.63, 0.1348, 0.1258, 0.1349, 0.1232, 2200274.19, 0.1395 
0.1386, 0.134, 0.145, 0.1292, 1017575.77, 0.135, 0.1319, 0.1388, 0.1308, 3580258.47, 0.1311, 0.1345, 0.135, 0.1253, 2717730.63, 0.1348, 0.1258, 0.1349, 0.1232, 2200274.19, 0.1268, 0.1323, 0.1354, 0.1255, 3475554.79, 0.1347 
0.135, 0.1319, 0.1388, 0.1308, 3580258.47, 0.1311, 0.1345, 0.135, 0.1253, 2717730.63, 0.1348, 0.1258, 0.1349, 0.1232, 2200274.19, 0.1268, 0.1323, 0.1354, 0.1255, 3475554.79, 0.1319, 0.1291, 0.1367, 0.1253, 2116098.31, 0.1266 
0.1311, 0.1345, 0.135, 0.1253, 2717730.63, 0.1348, 0.1258, 0.1349, 0.1232, 2200274.19, 0.1268, 0.1323, 0.1354, 0.1255, 3475554.79, 0.1319, 0.1291, 0.1367, 0.1253, 2116098.31, 0.1281, 0.1434, 0.1461, 0.1252, 3414508.5, 0.1296 
0.1348, 0.1258, 0.1349, 0.1232, 2200274.19, 0.1268, 0.1323, 0.1354, 0.1255, 3475554.79, 0.1319, 0.1291, 0.1367, 0.1253, 2116098.31, 0.1281, 0.1434, 0.1461, 0.1252, 3414508.5, 0.1353, 0.1292, 0.1354, 0.1241, 2083750.68, 0.1352 
0.1268, 0.1323, 0.1354, 0.1255, 3475554.79, 0.1319, 0.1291, 0.1367, 0.1253, 2116098.31, 0.1281, 0.1434, 0.1461, 0.1252, 3414508.5, 0.1353, 0.1292, 0.1354, 0.1241, 2083750.68, 0.1301, 0.1435, 0.1519, 0.1291, 1763905.12, 0.1488 
0.1319, 0.1291, 0.1367, 0.1253, 2116098.31, 0.1281, 0.1434, 0.1461, 0.1252, 3414508.5, 0.1353, 0.1292, 0.1354, 0.1241, 2083750.68, 0.1301, 0.1435, 0.1519, 0.1291, 1763905.12, 0.144, 0.1395, 0.1507, 0.1374, 2383099.22, 0.148 
0.1281, 0.1434, 0.1461, 0.1252, 3414508.5, 0.1353, 0.1292, 0.1354, 0.1241, 2083750.68, 0.1301, 0.1435, 0.1519, 0.1291, 1763905.12, 0.144, 0.1395, 0.1507, 0.1374, 2383099.22, 0.1397, 0.1347, 0.1433, 0.1301, 2064765.59, 0.1616 
