@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
13.61, 13.53, 14.44, 13.25, 61206.38, 13.53, 13.37, 13.94, 13.14, 46250.18, 13.37, 13.19, 13.94, 13.19, 49927.37, 13.18, 12.87, 13.27, 12.6, 45950.42, 12.87, 12.97, 13.21, 12.84, 26272.14, 13.52 
13.53, 13.37, 13.94, 13.14, 46250.18, 13.37, 13.19, 13.94, 13.19, 49927.37, 13.18, 12.87, 13.27, 12.6, 45950.42, 12.87, 12.97, 13.21, 12.84, 26272.14, 12.97, 12.88, 13.72, 12.54, 37282.49, 11.67 
13.37, 13.19, 13.94, 13.19, 49927.37, 13.18, 12.87, 13.27, 12.6, 45950.42, 12.87, 12.97, 13.21, 12.84, 26272.14, 12.97, 12.88, 13.72, 12.54, 37282.49, 12.88, 12.74, 13.13, 12.5, 21431.63, 11.7 
13.18, 12.87, 13.27, 12.6, 45950.42, 12.87, 12.97, 13.21, 12.84, 26272.14, 12.97, 12.88, 13.72, 12.54, 37282.49, 12.88, 12.74, 13.13, 12.5, 21431.63, 12.74, 12.86, 12.86, 12.53, 12832.95, 12.22 
12.87, 12.97, 13.21, 12.84, 26272.14, 12.97, 12.88, 13.72, 12.54, 37282.49, 12.88, 12.74, 13.13, 12.5, 21431.63, 12.74, 12.86, 12.86, 12.53, 12832.95, 12.86, 13.37, 13.39, 12.61, 38616.33, 12.04 
12.97, 12.88, 13.72, 12.54, 37282.49, 12.88, 12.74, 13.13, 12.5, 21431.63, 12.74, 12.86, 12.86, 12.53, 12832.95, 12.86, 13.37, 13.39, 12.61, 38616.33, 13.37, 13.14, 13.37, 12.88, 31645.76, 12.52 
12.88, 12.74, 13.13, 12.5, 21431.63, 12.74, 12.86, 12.86, 12.53, 12832.95, 12.86, 13.37, 13.39, 12.61, 38616.33, 13.37, 13.14, 13.37, 12.88, 31645.76, 13.14, 13.52, 13.73, 12.91, 42684.16, 12.58 
12.74, 12.86, 12.86, 12.53, 12832.95, 12.86, 13.37, 13.39, 12.61, 38616.33, 13.37, 13.14, 13.37, 12.88, 31645.76, 13.14, 13.52, 13.73, 12.91, 42684.16, 13.52, 11.67, 13.52, 11.63, 66607.52, 12.75 
12.86, 13.37, 13.39, 12.61, 38616.33, 13.37, 13.14, 13.37, 12.88, 31645.76, 13.14, 13.52, 13.73, 12.91, 42684.16, 13.52, 11.67, 13.52, 11.63, 66607.52, 11.67, 11.7, 12.28, 10.28, 53523.67, 12.93 
13.37, 13.14, 13.37, 12.88, 31645.76, 13.14, 13.52, 13.73, 12.91, 42684.16, 13.52, 11.67, 13.52, 11.63, 66607.52, 11.67, 11.7, 12.28, 10.28, 53523.67, 11.7, 12.22, 13.38, 11.7, 38484.94, 12.37 
13.14, 13.52, 13.73, 12.91, 42684.16, 13.52, 11.67, 13.52, 11.63, 66607.52, 11.67, 11.7, 12.28, 10.28, 53523.67, 11.7, 12.22, 13.38, 11.7, 38484.94, 12.22, 12.04, 12.66, 9.8, 15092.34, 12.58 
13.52, 11.67, 13.52, 11.63, 66607.52, 11.67, 11.7, 12.28, 10.28, 53523.67, 11.7, 12.22, 13.38, 11.7, 38484.94, 12.22, 12.04, 12.66, 9.8, 15092.34, 12.04, 12.52, 13.41, 11.75, 73384.87, 13.08 
11.67, 11.7, 12.28, 10.28, 53523.67, 11.7, 12.22, 13.38, 11.7, 38484.94, 12.22, 12.04, 12.66, 9.8, 15092.34, 12.04, 12.52, 13.41, 11.75, 73384.87, 12.52, 12.58, 13, 12.03, 22096.09, 13.12 
11.7, 12.22, 13.38, 11.7, 38484.94, 12.22, 12.04, 12.66, 9.8, 15092.34, 12.04, 12.52, 13.41, 11.75, 73384.87, 12.52, 12.58, 13, 12.03, 22096.09, 12.58, 12.75, 13.13, 12.3, 16644.74, 13.78 
12.22, 12.04, 12.66, 9.8, 15092.34, 12.04, 12.52, 13.41, 11.75, 73384.87, 12.52, 12.58, 13, 12.03, 22096.09, 12.58, 12.75, 13.13, 12.3, 16644.74, 12.75, 12.93, 13.23, 12.42, 8701.68, 14.39 
12.04, 12.52, 13.41, 11.75, 73384.87, 12.52, 12.58, 13, 12.03, 22096.09, 12.58, 12.75, 13.13, 12.3, 16644.74, 12.75, 12.93, 13.23, 12.42, 8701.68, 12.93, 12.37, 12.93, 12.3, 70411.46, 13.73 
12.52, 12.58, 13, 12.03, 22096.09, 12.58, 12.75, 13.13, 12.3, 16644.74, 12.75, 12.93, 13.23, 12.42, 8701.68, 12.93, 12.37, 12.93, 12.3, 70411.46, 12.37, 12.58, 12.82, 12.21, 14275.54, 13.85 
12.58, 12.75, 13.13, 12.3, 16644.74, 12.75, 12.93, 13.23, 12.42, 8701.68, 12.93, 12.37, 12.93, 12.3, 70411.46, 12.37, 12.58, 12.82, 12.21, 14275.54, 12.58, 13.08, 13.6, 12.26, 31490.37, 14.12 
12.75, 12.93, 13.23, 12.42, 8701.68, 12.93, 12.37, 12.93, 12.3, 70411.46, 12.37, 12.58, 12.82, 12.21, 14275.54, 12.58, 13.08, 13.6, 12.26, 31490.37, 13.08, 13.12, 13.4, 12.91, 17832.86, 14.84 
12.93, 12.37, 12.93, 12.3, 70411.46, 12.37, 12.58, 12.82, 12.21, 14275.54, 12.58, 13.08, 13.6, 12.26, 31490.37, 13.08, 13.12, 13.4, 12.91, 17832.86, 13.12, 13.78, 13.8, 13.01, 34383.2, 14.33 
12.37, 12.58, 12.82, 12.21, 14275.54, 12.58, 13.08, 13.6, 12.26, 31490.37, 13.08, 13.12, 13.4, 12.91, 17832.86, 13.12, 13.78, 13.8, 13.01, 34383.2, 13.78, 14.39, 15.21, 13.53, 174002.95, 14.56 
12.58, 13.08, 13.6, 12.26, 31490.37, 13.08, 13.12, 13.4, 12.91, 17832.86, 13.12, 13.78, 13.8, 13.01, 34383.2, 13.78, 14.39, 15.21, 13.53, 174002.95, 14.39, 13.73, 14.39, 13.55, 50617.32, 14.27 
13.08, 13.12, 13.4, 12.91, 17832.86, 13.12, 13.78, 13.8, 13.01, 34383.2, 13.78, 14.39, 15.21, 13.53, 174002.95, 14.39, 13.73, 14.39, 13.55, 50617.32, 13.73, 13.85, 13.97, 13.28, 29027.92, 14.5 
13.12, 13.78, 13.8, 13.01, 34383.2, 13.78, 14.39, 15.21, 13.53, 174002.95, 14.39, 13.73, 14.39, 13.55, 50617.32, 13.73, 13.85, 13.97, 13.28, 29027.92, 13.85, 14.12, 14.9, 13.37, 50186.83, 14.51 
13.78, 14.39, 15.21, 13.53, 174002.95, 14.39, 13.73, 14.39, 13.55, 50617.32, 13.73, 13.85, 13.97, 13.28, 29027.92, 13.85, 14.12, 14.9, 13.37, 50186.83, 14.05, 14.84, 15.2, 13.97, 56337.78, 15.2 
14.39, 13.73, 14.39, 13.55, 50617.32, 13.73, 13.85, 13.97, 13.28, 29027.92, 13.85, 14.12, 14.9, 13.37, 50186.83, 14.05, 14.84, 15.2, 13.97, 56337.78, 14.84, 14.33, 15.11, 13.94, 60003.57, 14.66 
13.73, 13.85, 13.97, 13.28, 29027.92, 13.85, 14.12, 14.9, 13.37, 50186.83, 14.05, 14.84, 15.2, 13.97, 56337.78, 14.84, 14.33, 15.11, 13.94, 60003.57, 14.33, 14.56, 14.56, 14.11, 15026.16, 14.51 
13.85, 14.12, 14.9, 13.37, 50186.83, 14.05, 14.84, 15.2, 13.97, 56337.78, 14.84, 14.33, 15.11, 13.94, 60003.57, 14.33, 14.56, 14.56, 14.11, 15026.16, 14.56, 14.27, 14.65, 13.81, 44898.35, 14.71 
14.05, 14.84, 15.2, 13.97, 56337.78, 14.84, 14.33, 15.11, 13.94, 60003.57, 14.33, 14.56, 14.56, 14.11, 15026.16, 14.56, 14.27, 14.65, 13.81, 44898.35, 14.27, 14.5, 14.5, 14.1, 16241.48, 14.89 
14.84, 14.33, 15.11, 13.94, 60003.57, 14.33, 14.56, 14.56, 14.11, 15026.16, 14.56, 14.27, 14.65, 13.81, 44898.35, 14.27, 14.5, 14.5, 14.1, 16241.48, 14.5, 14.51, 14.83, 14.35, 9686.56, 14.68 
14.33, 14.56, 14.56, 14.11, 15026.16, 14.56, 14.27, 14.65, 13.81, 44898.35, 14.27, 14.5, 14.5, 14.1, 16241.48, 14.5, 14.51, 14.83, 14.35, 9686.56, 14.51, 15.2, 15.57, 14.51, 28357.33, 14.55 
14.56, 14.27, 14.65, 13.81, 44898.35, 14.27, 14.5, 14.5, 14.1, 16241.48, 14.5, 14.51, 14.83, 14.35, 9686.56, 14.51, 15.2, 15.57, 14.51, 28357.33, 15.2, 14.66, 15.24, 14.42, 37812.86, 14.93 
14.27, 14.5, 14.5, 14.1, 16241.48, 14.5, 14.51, 14.83, 14.35, 9686.56, 14.51, 15.2, 15.57, 14.51, 28357.33, 15.2, 14.66, 15.24, 14.42, 37812.86, 14.66, 14.51, 14.86, 14.42, 13504.23, 13.7 
14.5, 14.51, 14.83, 14.35, 9686.56, 14.51, 15.2, 15.57, 14.51, 28357.33, 15.2, 14.66, 15.24, 14.42, 37812.86, 14.66, 14.51, 14.86, 14.42, 13504.23, 14.51, 14.71, 14.89, 14.34, 12317.73, 13.22 
