@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.04305, 0.04683, 0.04961, 0.04252, 1555798.64, 0.04663, 0.04504, 0.04689, 0.04452, 407846.47, 0.04457, 0.0462, 0.04829, 0.0445, 546309.92, 0.04597, 0.04519, 0.04668, 0.04447, 391882.44, 0.0458, 0.04645, 0.04665, 0.04455, 360193.54, 0.0464 
0.04663, 0.04504, 0.04689, 0.04452, 407846.47, 0.04457, 0.0462, 0.04829, 0.0445, 546309.92, 0.04597, 0.04519, 0.04668, 0.04447, 391882.44, 0.0458, 0.04645, 0.04665, 0.04455, 360193.54, 0.04683, 0.04703, 0.04815, 0.04656, 431759.98, 0.04359 
0.04457, 0.0462, 0.04829, 0.0445, 546309.92, 0.04597, 0.04519, 0.04668, 0.04447, 391882.44, 0.0458, 0.04645, 0.04665, 0.04455, 360193.54, 0.04683, 0.04703, 0.04815, 0.04656, 431759.98, 0.04672, 0.04587, 0.04738, 0.04534, 282669.36, 0.04263 
0.04597, 0.04519, 0.04668, 0.04447, 391882.44, 0.0458, 0.04645, 0.04665, 0.04455, 360193.54, 0.04683, 0.04703, 0.04815, 0.04656, 431759.98, 0.04672, 0.04587, 0.04738, 0.04534, 282669.36, 0.04594, 0.04561, 0.04654, 0.04495, 179004.37, 0.04525 
0.0458, 0.04645, 0.04665, 0.04455, 360193.54, 0.04683, 0.04703, 0.04815, 0.04656, 431759.98, 0.04672, 0.04587, 0.04738, 0.04534, 282669.36, 0.04594, 0.04561, 0.04654, 0.04495, 179004.37, 0.04589, 0.04622, 0.04688, 0.04502, 351229.14, 0.05349 
0.04683, 0.04703, 0.04815, 0.04656, 431759.98, 0.04672, 0.04587, 0.04738, 0.04534, 282669.36, 0.04594, 0.04561, 0.04654, 0.04495, 179004.37, 0.04589, 0.04622, 0.04688, 0.04502, 351229.14, 0.04609, 0.04609, 0.04669, 0.0435, 461757.05, 0.05482 
0.04672, 0.04587, 0.04738, 0.04534, 282669.36, 0.04594, 0.04561, 0.04654, 0.04495, 179004.37, 0.04589, 0.04622, 0.04688, 0.04502, 351229.14, 0.04609, 0.04609, 0.04669, 0.0435, 461757.05, 0.04574, 0.0464, 0.04844, 0.04409, 902234.37, 0.05971 
0.04594, 0.04561, 0.04654, 0.04495, 179004.37, 0.04589, 0.04622, 0.04688, 0.04502, 351229.14, 0.04609, 0.04609, 0.04669, 0.0435, 461757.05, 0.04574, 0.0464, 0.04844, 0.04409, 902234.37, 0.04378, 0.04359, 0.04862, 0.03782, 2301958.89, 0.05812 
0.04589, 0.04622, 0.04688, 0.04502, 351229.14, 0.04609, 0.04609, 0.04669, 0.0435, 461757.05, 0.04574, 0.0464, 0.04844, 0.04409, 902234.37, 0.04378, 0.04359, 0.04862, 0.03782, 2301958.89, 0.04388, 0.04263, 0.05119, 0.04219, 2251954.57, 0.06067 
0.04609, 0.04609, 0.04669, 0.0435, 461757.05, 0.04574, 0.0464, 0.04844, 0.04409, 902234.37, 0.04378, 0.04359, 0.04862, 0.03782, 2301958.89, 0.04388, 0.04263, 0.05119, 0.04219, 2251954.57, 0.04274, 0.04525, 0.04657, 0.04237, 490844.61, 0.06857 
