@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.3919, 0.3968, 0.4144, 0.3909, 527397.02, 0.3972, 0.3983, 0.403, 0.3938, 390027.01, 0.3941, 0.4035, 0.4088, 0.3926, 286801.09, 0.4014, 0.3935, 0.4075, 0.3894, 421127.17, 0.3988, 0.3995, 0.4096, 0.3966, 261371.03, 0.4322 
0.3972, 0.3983, 0.403, 0.3938, 390027.01, 0.3941, 0.4035, 0.4088, 0.3926, 286801.09, 0.4014, 0.3935, 0.4075, 0.3894, 421127.17, 0.3988, 0.3995, 0.4096, 0.3966, 261371.03, 0.4035, 0.3911, 0.4043, 0.3852, 427054.5, 0.3484 
0.3941, 0.4035, 0.4088, 0.3926, 286801.09, 0.4014, 0.3935, 0.4075, 0.3894, 421127.17, 0.3988, 0.3995, 0.4096, 0.3966, 261371.03, 0.4035, 0.3911, 0.4043, 0.3852, 427054.5, 0.3886, 0.404, 0.4069, 0.3857, 474489.9, 0.3791 
0.4014, 0.3935, 0.4075, 0.3894, 421127.17, 0.3988, 0.3995, 0.4096, 0.3966, 261371.03, 0.4035, 0.3911, 0.4043, 0.3852, 427054.5, 0.3886, 0.404, 0.4069, 0.3857, 474489.9, 0.4048, 0.4, 0.408, 0.3938, 328370.42, 0.4149 
0.3988, 0.3995, 0.4096, 0.3966, 261371.03, 0.4035, 0.3911, 0.4043, 0.3852, 427054.5, 0.3886, 0.404, 0.4069, 0.3857, 474489.9, 0.4048, 0.4, 0.408, 0.3938, 328370.42, 0.403, 0.4247, 0.4313, 0.3961, 625441.46, 0.3904 
0.4035, 0.3911, 0.4043, 0.3852, 427054.5, 0.3886, 0.404, 0.4069, 0.3857, 474489.9, 0.4048, 0.4, 0.408, 0.3938, 328370.42, 0.403, 0.4247, 0.4313, 0.3961, 625441.46, 0.4236, 0.4258, 0.4403, 0.4169, 497165.65, 0.4102 
0.3886, 0.404, 0.4069, 0.3857, 474489.9, 0.4048, 0.4, 0.408, 0.3938, 328370.42, 0.403, 0.4247, 0.4313, 0.3961, 625441.46, 0.4236, 0.4258, 0.4403, 0.4169, 497165.65, 0.4226, 0.4322, 0.4368, 0.4091, 485529.02, 0.4194 
0.4048, 0.4, 0.408, 0.3938, 328370.42, 0.403, 0.4247, 0.4313, 0.3961, 625441.46, 0.4236, 0.4258, 0.4403, 0.4169, 497165.65, 0.4226, 0.4322, 0.4368, 0.4091, 485529.02, 0.4078, 0.3484, 0.4078, 0.3469, 759896.13, 0.4383 
0.403, 0.4247, 0.4313, 0.3961, 625441.46, 0.4236, 0.4258, 0.4403, 0.4169, 497165.65, 0.4226, 0.4322, 0.4368, 0.4091, 485529.02, 0.4078, 0.3484, 0.4078, 0.3469, 759896.13, 0.3479, 0.3791, 0.3908, 0.3398, 621363.67, 0.4301 
0.4236, 0.4258, 0.4403, 0.4169, 497165.65, 0.4226, 0.4322, 0.4368, 0.4091, 485529.02, 0.4078, 0.3484, 0.4078, 0.3469, 759896.13, 0.3479, 0.3791, 0.3908, 0.3398, 621363.67, 0.38, 0.4149, 0.4402, 0.38, 1367626.41, 0.4323 
0.4226, 0.4322, 0.4368, 0.4091, 485529.02, 0.4078, 0.3484, 0.4078, 0.3469, 759896.13, 0.3479, 0.3791, 0.3908, 0.3398, 621363.67, 0.38, 0.4149, 0.4402, 0.38, 1367626.41, 0.4156, 0.3904, 0.4446, 0.3844, 711342.81, 0.4588 
0.4078, 0.3484, 0.4078, 0.3469, 759896.13, 0.3479, 0.3791, 0.3908, 0.3398, 621363.67, 0.38, 0.4149, 0.4402, 0.38, 1367626.41, 0.4156, 0.3904, 0.4446, 0.3844, 711342.81, 0.4112, 0.4102, 0.4359, 0.3802, 779041.67, 0.472 
0.3479, 0.3791, 0.3908, 0.3398, 621363.67, 0.38, 0.4149, 0.4402, 0.38, 1367626.41, 0.4156, 0.3904, 0.4446, 0.3844, 711342.81, 0.4112, 0.4102, 0.4359, 0.3802, 779041.67, 0.4083, 0.4194, 0.4322, 0.4058, 387885.59, 0.4651 
