@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.01471, 0.01576, 0.01642, 0.01451, 309952.65, 0.0156, 0.01494, 0.0171, 0.01403, 511647.68, 0.01487, 0.01545, 0.01617, 0.01461, 174746.13, 0.01566, 0.01619, 0.01665, 0.01527, 189050.65, 0.01632, 0.01599, 0.01638, 0.01579, 156471.86, 0.01919 
0.0156, 0.01494, 0.0171, 0.01403, 511647.68, 0.01487, 0.01545, 0.01617, 0.01461, 174746.13, 0.01566, 0.01619, 0.01665, 0.01527, 189050.65, 0.01632, 0.01599, 0.01638, 0.01579, 156471.86, 0.01588, 0.01634, 0.01641, 0.01575, 119906.84, 0.01963 
0.01487, 0.01545, 0.01617, 0.01461, 174746.13, 0.01566, 0.01619, 0.01665, 0.01527, 189050.65, 0.01632, 0.01599, 0.01638, 0.01579, 156471.86, 0.01588, 0.01634, 0.01641, 0.01575, 119906.84, 0.01637, 0.01545, 0.0165, 0.01531, 126705.34, 0.0193 
0.01566, 0.01619, 0.01665, 0.01527, 189050.65, 0.01632, 0.01599, 0.01638, 0.01579, 156471.86, 0.01588, 0.01634, 0.01641, 0.01575, 119906.84, 0.01637, 0.01545, 0.0165, 0.01531, 126705.34, 0.01556, 0.01556, 0.01596, 0.0153, 120714.52, 0.01783 
0.01632, 0.01599, 0.01638, 0.01579, 156471.86, 0.01588, 0.01634, 0.01641, 0.01575, 119906.84, 0.01637, 0.01545, 0.0165, 0.01531, 126705.34, 0.01556, 0.01556, 0.01596, 0.0153, 120714.52, 0.01552, 0.01532, 0.01598, 0.01505, 139383.32, 0.01838 
0.01588, 0.01634, 0.01641, 0.01575, 119906.84, 0.01637, 0.01545, 0.0165, 0.01531, 126705.34, 0.01556, 0.01556, 0.01596, 0.0153, 120714.52, 0.01552, 0.01532, 0.01598, 0.01505, 139383.32, 0.0152, 0.01507, 0.01579, 0.01468, 124059.75, 0.02271 
0.01637, 0.01545, 0.0165, 0.01531, 126705.34, 0.01556, 0.01556, 0.01596, 0.0153, 120714.52, 0.01552, 0.01532, 0.01598, 0.01505, 139383.32, 0.0152, 0.01507, 0.01579, 0.01468, 124059.75, 0.01422, 0.01919, 0.02465, 0.01366, 3920096.18, 0.02781 
0.01556, 0.01556, 0.01596, 0.0153, 120714.52, 0.01552, 0.01532, 0.01598, 0.01505, 139383.32, 0.0152, 0.01507, 0.01579, 0.01468, 124059.75, 0.01422, 0.01919, 0.02465, 0.01366, 3920096.18, 0.01925, 0.01963, 0.02288, 0.01663, 2607810.89, 0.02978 
0.01552, 0.01532, 0.01598, 0.01505, 139383.32, 0.0152, 0.01507, 0.01579, 0.01468, 124059.75, 0.01422, 0.01919, 0.02465, 0.01366, 3920096.18, 0.01925, 0.01963, 0.02288, 0.01663, 2607810.89, 0.01968, 0.0193, 0.02068, 0.01843, 774666.47, 0.02801 
0.0152, 0.01507, 0.01579, 0.01468, 124059.75, 0.01422, 0.01919, 0.02465, 0.01366, 3920096.18, 0.01925, 0.01963, 0.02288, 0.01663, 2607810.89, 0.01968, 0.0193, 0.02068, 0.01843, 774666.47, 0.01908, 0.01783, 0.01996, 0.01733, 353880.3, 0.03083 
0.01422, 0.01919, 0.02465, 0.01366, 3920096.18, 0.01925, 0.01963, 0.02288, 0.01663, 2607810.89, 0.01968, 0.0193, 0.02068, 0.01843, 774666.47, 0.01908, 0.01783, 0.01996, 0.01733, 353880.3, 0.01878, 0.01838, 0.0199, 0.01739, 320152.37, 0.04186 
0.01925, 0.01963, 0.02288, 0.01663, 2607810.89, 0.01968, 0.0193, 0.02068, 0.01843, 774666.47, 0.01908, 0.01783, 0.01996, 0.01733, 353880.3, 0.01878, 0.01838, 0.0199, 0.01739, 320152.37, 0.0183, 0.02271, 0.02271, 0.0183, 4769563.5, 0.05874 
0.01968, 0.0193, 0.02068, 0.01843, 774666.47, 0.01908, 0.01783, 0.01996, 0.01733, 353880.3, 0.01878, 0.01838, 0.0199, 0.01739, 320152.37, 0.0183, 0.02271, 0.02271, 0.0183, 4769563.5, 0.02275, 0.02781, 0.0311, 0.02235, 30591130.55, 0.046 
0.01908, 0.01783, 0.01996, 0.01733, 353880.3, 0.01878, 0.01838, 0.0199, 0.01739, 320152.37, 0.0183, 0.02271, 0.02271, 0.0183, 4769563.5, 0.02275, 0.02781, 0.0311, 0.02235, 30591130.55, 0.02751, 0.02978, 0.03426, 0.02712, 35817360.84, 0.05071 
0.01878, 0.01838, 0.0199, 0.01739, 320152.37, 0.0183, 0.02271, 0.02271, 0.0183, 4769563.5, 0.02275, 0.02781, 0.0311, 0.02235, 30591130.55, 0.02751, 0.02978, 0.03426, 0.02712, 35817360.84, 0.02969, 0.02801, 0.03196, 0.02762, 10170218.53, 0.05293 
0.0183, 0.02271, 0.02271, 0.0183, 4769563.5, 0.02275, 0.02781, 0.0311, 0.02235, 30591130.55, 0.02751, 0.02978, 0.03426, 0.02712, 35817360.84, 0.02969, 0.02801, 0.03196, 0.02762, 10170218.53, 0.0281, 0.03083, 0.0318, 0.027, 7902233.04, 0.05295 
0.02275, 0.02781, 0.0311, 0.02235, 30591130.55, 0.02751, 0.02978, 0.03426, 0.02712, 35817360.84, 0.02969, 0.02801, 0.03196, 0.02762, 10170218.53, 0.0281, 0.03083, 0.0318, 0.027, 7902233.04, 0.03092, 0.04186, 0.04648, 0.03092, 48816516.23, 0.05131 
0.02751, 0.02978, 0.03426, 0.02712, 35817360.84, 0.02969, 0.02801, 0.03196, 0.02762, 10170218.53, 0.0281, 0.03083, 0.0318, 0.027, 7902233.04, 0.03092, 0.04186, 0.04648, 0.03092, 48816516.23, 0.04169, 0.05874, 0.06749, 0.04123, 158913948.24, 0.04963 
0.02969, 0.02801, 0.03196, 0.02762, 10170218.53, 0.0281, 0.03083, 0.0318, 0.027, 7902233.04, 0.03092, 0.04186, 0.04648, 0.03092, 48816516.23, 0.04169, 0.05874, 0.06749, 0.04123, 158913948.24, 0.05862, 0.046, 0.06095, 0.04542, 55178276.09, 0.04641 
0.0281, 0.03083, 0.0318, 0.027, 7902233.04, 0.03092, 0.04186, 0.04648, 0.03092, 48816516.23, 0.04169, 0.05874, 0.06749, 0.04123, 158913948.24, 0.05862, 0.046, 0.06095, 0.04542, 55178276.09, 0.04618, 0.05071, 0.05855, 0.04307, 81409611.44, 0.04145 
0.03092, 0.04186, 0.04648, 0.03092, 48816516.23, 0.04169, 0.05874, 0.06749, 0.04123, 158913948.24, 0.05862, 0.046, 0.06095, 0.04542, 55178276.09, 0.04618, 0.05071, 0.05855, 0.04307, 81409611.44, 0.05054, 0.05293, 0.05655, 0.05009, 47081179.95, 0.04104 
0.04169, 0.05874, 0.06749, 0.04123, 158913948.24, 0.05862, 0.046, 0.06095, 0.04542, 55178276.09, 0.04618, 0.05071, 0.05855, 0.04307, 81409611.44, 0.05054, 0.05293, 0.05655, 0.05009, 47081179.95, 0.05288, 0.05295, 0.05553, 0.05192, 19759420.18, 0.04799 
0.05862, 0.046, 0.06095, 0.04542, 55178276.09, 0.04618, 0.05071, 0.05855, 0.04307, 81409611.44, 0.05054, 0.05293, 0.05655, 0.05009, 47081179.95, 0.05288, 0.05295, 0.05553, 0.05192, 19759420.18, 0.05306, 0.05131, 0.05448, 0.04542, 30339153.51, 0.04783 
0.04618, 0.05071, 0.05855, 0.04307, 81409611.44, 0.05054, 0.05293, 0.05655, 0.05009, 47081179.95, 0.05288, 0.05295, 0.05553, 0.05192, 19759420.18, 0.05306, 0.05131, 0.05448, 0.04542, 30339153.51, 0.05131, 0.04963, 0.05261, 0.04756, 16741156.9, 0.04897 
0.05054, 0.05293, 0.05655, 0.05009, 47081179.95, 0.05288, 0.05295, 0.05553, 0.05192, 19759420.18, 0.05306, 0.05131, 0.05448, 0.04542, 30339153.51, 0.05131, 0.04963, 0.05261, 0.04756, 16741156.9, 0.04843, 0.04641, 0.04862, 0.04445, 8116063.47, 0.04637 
0.05288, 0.05295, 0.05553, 0.05192, 19759420.18, 0.05306, 0.05131, 0.05448, 0.04542, 30339153.51, 0.05131, 0.04963, 0.05261, 0.04756, 16741156.9, 0.04843, 0.04641, 0.04862, 0.04445, 8116063.47, 0.04637, 0.04145, 0.04694, 0.03867, 13159757.77, 0.04278 
0.05306, 0.05131, 0.05448, 0.04542, 30339153.51, 0.05131, 0.04963, 0.05261, 0.04756, 16741156.9, 0.04843, 0.04641, 0.04862, 0.04445, 8116063.47, 0.04637, 0.04145, 0.04694, 0.03867, 13159757.77, 0.04161, 0.04104, 0.04605, 0.03926, 13376301.93, 0.04277 
