@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.5427, 0.5232, 0.5641, 0.51, 44832.67, 0.5232, 0.5249, 0.548, 0.501, 53366.16, 0.5249, 0.5126, 0.5328, 0.5, 29465.13, 0.5126, 0.5185, 0.538, 0.504, 16769.62, 0.5185, 0.5259, 0.5339, 0.5115, 12888.03, 0.44 
0.5232, 0.5249, 0.548, 0.501, 53366.16, 0.5249, 0.5126, 0.5328, 0.5, 29465.13, 0.5126, 0.5185, 0.538, 0.504, 16769.62, 0.5185, 0.5259, 0.5339, 0.5115, 12888.03, 0.5259, 0.5138, 0.5368, 0.5137, 14466.64, 0.445 
0.5249, 0.5126, 0.5328, 0.5, 29465.13, 0.5126, 0.5185, 0.538, 0.504, 16769.62, 0.5185, 0.5259, 0.5339, 0.5115, 12888.03, 0.5259, 0.5138, 0.5368, 0.5137, 14466.64, 0.5138, 0.5175, 0.519, 0.504, 28543.54, 0.4481 
0.5126, 0.5185, 0.538, 0.504, 16769.62, 0.5185, 0.5259, 0.5339, 0.5115, 12888.03, 0.5259, 0.5138, 0.5368, 0.5137, 14466.64, 0.5138, 0.5175, 0.519, 0.504, 28543.54, 0.5175, 0.545, 0.55, 0.5053, 38135.59, 0.4608 
0.5185, 0.5259, 0.5339, 0.5115, 12888.03, 0.5259, 0.5138, 0.5368, 0.5137, 14466.64, 0.5138, 0.5175, 0.519, 0.504, 28543.54, 0.5175, 0.545, 0.55, 0.5053, 38135.59, 0.545, 0.5305, 0.545, 0.5261, 27285.61, 0.48 
0.5259, 0.5138, 0.5368, 0.5137, 14466.64, 0.5138, 0.5175, 0.519, 0.504, 28543.54, 0.5175, 0.545, 0.55, 0.5053, 38135.59, 0.545, 0.5305, 0.545, 0.5261, 27285.61, 0.5305, 0.518, 0.5353, 0.5154, 19080.49, 0.4695 
0.5138, 0.5175, 0.519, 0.504, 28543.54, 0.5175, 0.545, 0.55, 0.5053, 38135.59, 0.545, 0.5305, 0.545, 0.5261, 27285.61, 0.5305, 0.518, 0.5353, 0.5154, 19080.49, 0.518, 0.44, 0.518, 0.404, 198211.78, 0.48 
0.5175, 0.545, 0.55, 0.5053, 38135.59, 0.545, 0.5305, 0.545, 0.5261, 27285.61, 0.5305, 0.518, 0.5353, 0.5154, 19080.49, 0.518, 0.44, 0.518, 0.404, 198211.78, 0.44, 0.445, 0.4581, 0.4325, 23379.86, 0.4712 
0.545, 0.5305, 0.545, 0.5261, 27285.61, 0.5305, 0.518, 0.5353, 0.5154, 19080.49, 0.518, 0.44, 0.518, 0.404, 198211.78, 0.44, 0.445, 0.4581, 0.4325, 23379.86, 0.445, 0.4481, 0.4818, 0.435, 37353.51, 0.4713 
0.5305, 0.518, 0.5353, 0.5154, 19080.49, 0.518, 0.44, 0.518, 0.404, 198211.78, 0.44, 0.445, 0.4581, 0.4325, 23379.86, 0.445, 0.4481, 0.4818, 0.435, 37353.51, 0.4481, 0.4608, 0.474, 0.4423, 23077.25, 0.4689 
