@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.007515, 0.007648, 0.007714, 0.007315, 6437349.08, 0.007627, 0.007361, 0.007627, 0.007295, 3926123.35, 0.007305, 0.007108, 0.007305, 0.006976, 5186572.46, 0.006706, 0.006023, 0.006706, 0.005961, 7176382.94, 0.006063, 0.006063, 0.006188, 0.005938, 4267437.12, 0.006424 
0.007627, 0.007361, 0.007627, 0.007295, 3926123.35, 0.007305, 0.007108, 0.007305, 0.006976, 5186572.46, 0.006706, 0.006023, 0.006706, 0.005961, 7176382.94, 0.006063, 0.006063, 0.006188, 0.005938, 4267437.12, 0.006142, 0.00633, 0.006455, 0.006079, 3715098.53, 0.006599 
0.007305, 0.007108, 0.007305, 0.006976, 5186572.46, 0.006706, 0.006023, 0.006706, 0.005961, 7176382.94, 0.006063, 0.006063, 0.006188, 0.005938, 4267437.12, 0.006142, 0.00633, 0.006455, 0.006079, 3715098.53, 0.006341, 0.006341, 0.006592, 0.006215, 3215230.66, 0.00701 
0.006706, 0.006023, 0.006706, 0.005961, 7176382.94, 0.006063, 0.006063, 0.006188, 0.005938, 4267437.12, 0.006142, 0.00633, 0.006455, 0.006079, 3715098.53, 0.006341, 0.006341, 0.006592, 0.006215, 3215230.66, 0.006678, 0.00648, 0.006745, 0.006216, 4410293.52, 0.007031 
0.006063, 0.006063, 0.006188, 0.005938, 4267437.12, 0.006142, 0.00633, 0.006455, 0.006079, 3715098.53, 0.006341, 0.006341, 0.006592, 0.006215, 3215230.66, 0.006678, 0.00648, 0.006745, 0.006216, 4410293.52, 0.006451, 0.006649, 0.006846, 0.006386, 3403361.37, 0.006937 
0.006142, 0.00633, 0.006455, 0.006079, 3715098.53, 0.006341, 0.006341, 0.006592, 0.006215, 3215230.66, 0.006678, 0.00648, 0.006745, 0.006216, 4410293.52, 0.006451, 0.006649, 0.006846, 0.006386, 3403361.37, 0.00664, 0.006575, 0.006772, 0.006509, 2943688.41, 0.007247 
0.006341, 0.006341, 0.006592, 0.006215, 3215230.66, 0.006678, 0.00648, 0.006745, 0.006216, 4410293.52, 0.006451, 0.006649, 0.006846, 0.006386, 3403361.37, 0.00664, 0.006575, 0.006772, 0.006509, 2943688.41, 0.006489, 0.006424, 0.006618, 0.006359, 2837981.4, 0.007318 
0.006678, 0.00648, 0.006745, 0.006216, 4410293.52, 0.006451, 0.006649, 0.006846, 0.006386, 3403361.37, 0.00664, 0.006575, 0.006772, 0.006509, 2943688.41, 0.006489, 0.006424, 0.006618, 0.006359, 2837981.4, 0.006405, 0.006599, 0.006728, 0.006275, 3108325.92, 0.007238 
0.006451, 0.006649, 0.006846, 0.006386, 3403361.37, 0.00664, 0.006575, 0.006772, 0.006509, 2943688.41, 0.006489, 0.006424, 0.006618, 0.006359, 2837981.4, 0.006405, 0.006599, 0.006728, 0.006275, 3108325.92, 0.00662, 0.00701, 0.00701, 0.006491, 4578606.39, 0.007297 
0.00664, 0.006575, 0.006772, 0.006509, 2943688.41, 0.006489, 0.006424, 0.006618, 0.006359, 2837981.4, 0.006405, 0.006599, 0.006728, 0.006275, 3108325.92, 0.00662, 0.00701, 0.00701, 0.006491, 4578606.39, 0.007031, 0.007031, 0.007291, 0.0069, 5324702.56, 0.007182 
0.006489, 0.006424, 0.006618, 0.006359, 2837981.4, 0.006405, 0.006599, 0.006728, 0.006275, 3108325.92, 0.00662, 0.00701, 0.00701, 0.006491, 4578606.39, 0.007031, 0.007031, 0.007291, 0.0069, 5324702.56, 0.007002, 0.006937, 0.007067, 0.006678, 3576415.91, 0.007118 
0.006405, 0.006599, 0.006728, 0.006275, 3108325.92, 0.00662, 0.00701, 0.00701, 0.006491, 4578606.39, 0.007031, 0.007031, 0.007291, 0.0069, 5324702.56, 0.007002, 0.006937, 0.007067, 0.006678, 3576415.91, 0.006923, 0.007247, 0.007505, 0.006729, 9281300.27, 0.006819 
0.00662, 0.00701, 0.00701, 0.006491, 4578606.39, 0.007031, 0.007031, 0.007291, 0.0069, 5324702.56, 0.007002, 0.006937, 0.007067, 0.006678, 3576415.91, 0.006923, 0.007247, 0.007505, 0.006729, 9281300.27, 0.007253, 0.007318, 0.007577, 0.007189, 6580525.29, 0.006751 
0.007031, 0.007031, 0.007291, 0.0069, 5324702.56, 0.007002, 0.006937, 0.007067, 0.006678, 3576415.91, 0.006923, 0.007247, 0.007505, 0.006729, 9281300.27, 0.007253, 0.007318, 0.007577, 0.007189, 6580525.29, 0.007303, 0.007238, 0.007691, 0.007174, 6475261.02, 0.006533 
0.007002, 0.006937, 0.007067, 0.006678, 3576415.91, 0.006923, 0.007247, 0.007505, 0.006729, 9281300.27, 0.007253, 0.007318, 0.007577, 0.007189, 6580525.29, 0.007303, 0.007238, 0.007691, 0.007174, 6475261.02, 0.007232, 0.007297, 0.007361, 0.007103, 3331560.79, 0.006573 
0.006923, 0.007247, 0.007505, 0.006729, 9281300.27, 0.007253, 0.007318, 0.007577, 0.007189, 6580525.29, 0.007303, 0.007238, 0.007691, 0.007174, 6475261.02, 0.007232, 0.007297, 0.007361, 0.007103, 3331560.79, 0.007311, 0.007182, 0.007311, 0.007052, 2520589.15, 0.006523 
0.007253, 0.007318, 0.007577, 0.007189, 6580525.29, 0.007303, 0.007238, 0.007691, 0.007174, 6475261.02, 0.007232, 0.007297, 0.007361, 0.007103, 3331560.79, 0.007311, 0.007182, 0.007311, 0.007052, 2520589.15, 0.007183, 0.007118, 0.007247, 0.006794, 4545597.36, 0.00644 
0.007303, 0.007238, 0.007691, 0.007174, 6475261.02, 0.007232, 0.007297, 0.007361, 0.007103, 3331560.79, 0.007311, 0.007182, 0.007311, 0.007052, 2520589.15, 0.007183, 0.007118, 0.007247, 0.006794, 4545597.36, 0.006945, 0.006819, 0.007261, 0.006566, 6123747.39, 0.006402 
