@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
11.86, 11.86, 11.86, 11.86, 0, 11.74, 11.74, 11.74, 11.74, 0, 11.68, 11.68, 11.68, 11.68, 0, 11.84, 11.84, 11.84, 11.84, 0, 11.93, 11.93, 11.93, 11.93, 0, 11.17 
11.74, 11.74, 11.74, 11.74, 0, 11.68, 11.68, 11.68, 11.68, 0, 11.84, 11.84, 11.84, 11.84, 0, 11.93, 11.93, 11.93, 11.93, 0, 11.86, 11.86, 11.86, 11.86, 0, 11.25 
11.68, 11.68, 11.68, 11.68, 0, 11.84, 11.84, 11.84, 11.84, 0, 11.93, 11.93, 11.93, 11.93, 0, 11.86, 11.86, 11.86, 11.86, 0, 11.88, 11.88, 11.88, 11.88, 0, 11.27 
11.84, 11.84, 11.84, 11.84, 0, 11.93, 11.93, 11.93, 11.93, 0, 11.86, 11.86, 11.86, 11.86, 0, 11.88, 11.88, 11.88, 11.88, 0, 11.96, 11.96, 11.96, 11.96, 0, 11.29 
11.93, 11.93, 11.93, 11.93, 0, 11.86, 11.86, 11.86, 11.86, 0, 11.88, 11.88, 11.88, 11.88, 0, 11.96, 11.96, 11.96, 11.96, 0, 11.93, 11.93, 11.93, 11.93, 0, 11.9 
11.86, 11.86, 11.86, 11.86, 0, 11.88, 11.88, 11.88, 11.88, 0, 11.96, 11.96, 11.96, 11.96, 0, 11.93, 11.93, 11.93, 11.93, 0, 11.84, 11.84, 11.84, 11.84, 0, 11.84 
11.88, 11.88, 11.88, 11.88, 0, 11.96, 11.96, 11.96, 11.96, 0, 11.93, 11.93, 11.93, 11.93, 0, 11.84, 11.84, 11.84, 11.84, 0, 11.17, 11.17, 11.17, 11.17, 0, 11.83 
11.96, 11.96, 11.96, 11.96, 0, 11.93, 11.93, 11.93, 11.93, 0, 11.84, 11.84, 11.84, 11.84, 0, 11.17, 11.17, 11.17, 11.17, 0, 11.25, 11.25, 11.25, 11.25, 0, 11.67 
11.93, 11.93, 11.93, 11.93, 0, 11.84, 11.84, 11.84, 11.84, 0, 11.17, 11.17, 11.17, 11.17, 0, 11.25, 11.25, 11.25, 11.25, 0, 11.27, 11.27, 11.27, 11.27, 0, 11.64 
11.84, 11.84, 11.84, 11.84, 0, 11.17, 11.17, 11.17, 11.17, 0, 11.25, 11.25, 11.25, 11.25, 0, 11.27, 11.27, 11.27, 11.27, 0, 11.29, 11.29, 11.29, 11.29, 0, 11.68 
11.17, 11.17, 11.17, 11.17, 0, 11.25, 11.25, 11.25, 11.25, 0, 11.27, 11.27, 11.27, 11.27, 0, 11.29, 11.29, 11.29, 11.29, 0, 11.9, 11.9, 11.9, 11.9, 0, 11.71 
11.25, 11.25, 11.25, 11.25, 0, 11.27, 11.27, 11.27, 11.27, 0, 11.29, 11.29, 11.29, 11.29, 0, 11.9, 11.9, 11.9, 11.9, 0, 11.84, 11.84, 11.84, 11.84, 0, 11.66 
11.27, 11.27, 11.27, 11.27, 0, 11.29, 11.29, 11.29, 11.29, 0, 11.9, 11.9, 11.9, 11.9, 0, 11.84, 11.84, 11.84, 11.84, 0, 11.83, 11.83, 11.83, 11.83, 0, 11.64 
11.29, 11.29, 11.29, 11.29, 0, 11.9, 11.9, 11.9, 11.9, 0, 11.84, 11.84, 11.84, 11.84, 0, 11.83, 11.83, 11.83, 11.83, 0, 11.67, 11.67, 11.67, 11.67, 0, 11.65 
11.9, 11.9, 11.9, 11.9, 0, 11.84, 11.84, 11.84, 11.84, 0, 11.83, 11.83, 11.83, 11.83, 0, 11.67, 11.67, 11.67, 11.67, 0, 11.64, 11.64, 11.64, 11.64, 0, 11.63 
11.84, 11.84, 11.84, 11.84, 0, 11.83, 11.83, 11.83, 11.83, 0, 11.67, 11.67, 11.67, 11.67, 0, 11.64, 11.64, 11.64, 11.64, 0, 11.68, 11.68, 11.68, 11.68, 0, 11.62 
11.83, 11.83, 11.83, 11.83, 0, 11.67, 11.67, 11.67, 11.67, 0, 11.64, 11.64, 11.64, 11.64, 0, 11.68, 11.68, 11.68, 11.68, 0, 11.71, 11.71, 11.71, 11.71, 0, 11.64 
11.67, 11.67, 11.67, 11.67, 0, 11.64, 11.64, 11.64, 11.64, 0, 11.68, 11.68, 11.68, 11.68, 0, 11.71, 11.71, 11.71, 11.71, 0, 11.66, 11.66, 11.66, 11.66, 0, 11.64 
11.64, 11.64, 11.64, 11.64, 0, 11.68, 11.68, 11.68, 11.68, 0, 11.71, 11.71, 11.71, 11.71, 0, 11.66, 11.66, 11.66, 11.66, 0, 11.64, 11.64, 11.64, 11.64, 0, 11.36 
11.68, 11.68, 11.68, 11.68, 0, 11.71, 11.71, 11.71, 11.71, 0, 11.66, 11.66, 11.66, 11.66, 0, 11.64, 11.64, 11.64, 11.64, 0, 11.65, 11.65, 11.65, 11.65, 0, 11.35 
11.71, 11.71, 11.71, 11.71, 0, 11.66, 11.66, 11.66, 11.66, 0, 11.64, 11.64, 11.64, 11.64, 0, 11.65, 11.65, 11.65, 11.65, 0, 11.63, 11.63, 11.63, 11.63, 0, 11.41 
11.66, 11.66, 11.66, 11.66, 0, 11.64, 11.64, 11.64, 11.64, 0, 11.65, 11.65, 11.65, 11.65, 0, 11.63, 11.63, 11.63, 11.63, 0, 11.62, 11.62, 11.62, 11.62, 0, 11.48 
11.64, 11.64, 11.64, 11.64, 0, 11.65, 11.65, 11.65, 11.65, 0, 11.63, 11.63, 11.63, 11.63, 0, 11.62, 11.62, 11.62, 11.62, 0, 11.64, 11.64, 11.64, 11.64, 0, 11.5 
11.65, 11.65, 11.65, 11.65, 0, 11.63, 11.63, 11.63, 11.63, 0, 11.62, 11.62, 11.62, 11.62, 0, 11.64, 11.64, 11.64, 11.64, 0, 11.64, 11.64, 11.64, 11.64, 0, 11.47 
11.63, 11.63, 11.63, 11.63, 0, 11.62, 11.62, 11.62, 11.62, 0, 11.64, 11.64, 11.64, 11.64, 0, 11.64, 11.64, 11.64, 11.64, 0, 11.36, 11.36, 11.36, 11.36, 0, 11.63 
