@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.02328, 0.02261, 0.02394, 0.02195, 49839.24, 0.02255, 0.02321, 0.02321, 0.02188, 135232.87, 0.02303, 0.02172, 0.02303, 0.02172, 56425.1, 0.02049, 0.02111, 0.02298, 0.02049, 37037.76, 0.02125, 0.02125, 0.0225, 0.02063, 71990.11, 0.02076 
0.02255, 0.02321, 0.02321, 0.02188, 135232.87, 0.02303, 0.02172, 0.02303, 0.02172, 56425.1, 0.02049, 0.02111, 0.02298, 0.02049, 37037.76, 0.02125, 0.02125, 0.0225, 0.02063, 71990.11, 0.02131, 0.02131, 0.02194, 0.02068, 64162.28, 0.02135 
0.02303, 0.02172, 0.02303, 0.02172, 56425.1, 0.02049, 0.02111, 0.02298, 0.02049, 37037.76, 0.02125, 0.02125, 0.0225, 0.02063, 71990.11, 0.02131, 0.02131, 0.02194, 0.02068, 64162.28, 0.02134, 0.02134, 0.02197, 0.02134, 13718.23, 0.02207 
0.02049, 0.02111, 0.02298, 0.02049, 37037.76, 0.02125, 0.02125, 0.0225, 0.02063, 71990.11, 0.02131, 0.02131, 0.02194, 0.02068, 64162.28, 0.02134, 0.02134, 0.02197, 0.02134, 13718.23, 0.02248, 0.02248, 0.02314, 0.02182, 29216.43, 0.02148 
0.02125, 0.02125, 0.0225, 0.02063, 71990.11, 0.02131, 0.02131, 0.02194, 0.02068, 64162.28, 0.02134, 0.02134, 0.02197, 0.02134, 13718.23, 0.02248, 0.02248, 0.02314, 0.02182, 29216.43, 0.02238, 0.02238, 0.02304, 0.02172, 22974.49, 0.0201 
0.02131, 0.02131, 0.02194, 0.02068, 64162.28, 0.02134, 0.02134, 0.02197, 0.02134, 13718.23, 0.02248, 0.02248, 0.02314, 0.02182, 29216.43, 0.02238, 0.02238, 0.02304, 0.02172, 22974.49, 0.02235, 0.02104, 0.02235, 0.02104, 31743.86, 0.01941 
0.02134, 0.02134, 0.02197, 0.02134, 13718.23, 0.02248, 0.02248, 0.02314, 0.02182, 29216.43, 0.02238, 0.02238, 0.02304, 0.02172, 22974.49, 0.02235, 0.02104, 0.02235, 0.02104, 31743.86, 0.02076, 0.02076, 0.02141, 0.02012, 107382.95, 0.02072 
0.02248, 0.02248, 0.02314, 0.02182, 29216.43, 0.02238, 0.02238, 0.02304, 0.02172, 22974.49, 0.02235, 0.02104, 0.02235, 0.02104, 31743.86, 0.02076, 0.02076, 0.02141, 0.02012, 107382.95, 0.0207, 0.02135, 0.02135, 0.02005, 43837.88, 0.01939 
0.02238, 0.02238, 0.02304, 0.02172, 22974.49, 0.02235, 0.02104, 0.02235, 0.02104, 31743.86, 0.02076, 0.02076, 0.02141, 0.02012, 107382.95, 0.0207, 0.02135, 0.02135, 0.02005, 43837.88, 0.02142, 0.02207, 0.02272, 0.02077, 47830.55, 0.01808 
0.02235, 0.02104, 0.02235, 0.02104, 31743.86, 0.02076, 0.02076, 0.02141, 0.02012, 107382.95, 0.0207, 0.02135, 0.02135, 0.02005, 43837.88, 0.02142, 0.02207, 0.02272, 0.02077, 47830.55, 0.02213, 0.02148, 0.02233, 0.02083, 9429.06, 0.01876 
0.02076, 0.02076, 0.02141, 0.02012, 107382.95, 0.0207, 0.02135, 0.02135, 0.02005, 43837.88, 0.02142, 0.02207, 0.02272, 0.02077, 47830.55, 0.02213, 0.02148, 0.02233, 0.02083, 9429.06, 0.02139, 0.0201, 0.02204, 0.0201, 54191.77, 0.01941 
0.0207, 0.02135, 0.02135, 0.02005, 43837.88, 0.02142, 0.02207, 0.02272, 0.02077, 47830.55, 0.02213, 0.02148, 0.02233, 0.02083, 9429.06, 0.02139, 0.0201, 0.02204, 0.0201, 54191.77, 0.02006, 0.01941, 0.0207, 0.01876, 42519.52, 0.01894 
0.02142, 0.02207, 0.02272, 0.02077, 47830.55, 0.02213, 0.02148, 0.02233, 0.02083, 9429.06, 0.02139, 0.0201, 0.02204, 0.0201, 54191.77, 0.02006, 0.01941, 0.0207, 0.01876, 42519.52, 0.01943, 0.02072, 0.02396, 0.01878, 99201.56, 0.01767 
0.02213, 0.02148, 0.02233, 0.02083, 9429.06, 0.02139, 0.0201, 0.02204, 0.0201, 54191.77, 0.02006, 0.01941, 0.0207, 0.01876, 42519.52, 0.01943, 0.02072, 0.02396, 0.01878, 99201.56, 0.02068, 0.01939, 0.02133, 0.0168, 89053.01, 0.01649 
0.02139, 0.0201, 0.02204, 0.0201, 54191.77, 0.02006, 0.01941, 0.0207, 0.01876, 42519.52, 0.01943, 0.02072, 0.02396, 0.01878, 99201.56, 0.02068, 0.01939, 0.02133, 0.0168, 89053.01, 0.01937, 0.01808, 0.02066, 0.01808, 124646.75, 0.01595 
0.02006, 0.01941, 0.0207, 0.01876, 42519.52, 0.01943, 0.02072, 0.02396, 0.01878, 99201.56, 0.02068, 0.01939, 0.02133, 0.0168, 89053.01, 0.01937, 0.01808, 0.02066, 0.01808, 124646.75, 0.01812, 0.01876, 0.01941, 0.01812, 110374.45, 0.01535 
0.01943, 0.02072, 0.02396, 0.01878, 99201.56, 0.02068, 0.01939, 0.02133, 0.0168, 89053.01, 0.01937, 0.01808, 0.02066, 0.01808, 124646.75, 0.01812, 0.01876, 0.01941, 0.01812, 110374.45, 0.01877, 0.01941, 0.02006, 0.01812, 49206.73, 0.01594 
0.02068, 0.01939, 0.02133, 0.0168, 89053.01, 0.01937, 0.01808, 0.02066, 0.01808, 124646.75, 0.01812, 0.01876, 0.01941, 0.01812, 110374.45, 0.01877, 0.01941, 0.02006, 0.01812, 49206.73, 0.01831, 0.01894, 0.01894, 0.01768, 34599.65, 0.01617 
0.01937, 0.01808, 0.02066, 0.01808, 124646.75, 0.01812, 0.01876, 0.01941, 0.01812, 110374.45, 0.01877, 0.01941, 0.02006, 0.01812, 49206.73, 0.01831, 0.01894, 0.01894, 0.01768, 34599.65, 0.01893, 0.01767, 0.01905, 0.01767, 108228.58, 0.01608 
0.01812, 0.01876, 0.01941, 0.01812, 110374.45, 0.01877, 0.01941, 0.02006, 0.01812, 49206.73, 0.01831, 0.01894, 0.01894, 0.01768, 34599.65, 0.01893, 0.01767, 0.01905, 0.01767, 108228.58, 0.01776, 0.01649, 0.01903, 0.01586, 93303.95, 0.01814 
