@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.01464, 0.01467, 0.01495, 0.0146, 335826.15, 0.01391, 0.01415, 0.01421, 0.01372, 467262.7, 0.01385, 0.01346, 0.01388, 0.01333, 358078.03, 0.01345, 0.01396, 0.01429, 0.01335, 381752.01, 0.01406, 0.01416, 0.01524, 0.01403, 680271.99, 0.01837 
0.01391, 0.01415, 0.01421, 0.01372, 467262.7, 0.01385, 0.01346, 0.01388, 0.01333, 358078.03, 0.01345, 0.01396, 0.01429, 0.01335, 381752.01, 0.01406, 0.01416, 0.01524, 0.01403, 680271.99, 0.01543, 0.01547, 0.01561, 0.01526, 371575.65, 0.02012 
0.01385, 0.01346, 0.01388, 0.01333, 358078.03, 0.01345, 0.01396, 0.01429, 0.01335, 381752.01, 0.01406, 0.01416, 0.01524, 0.01403, 680271.99, 0.01543, 0.01547, 0.01561, 0.01526, 371575.65, 0.0162, 0.01616, 0.01646, 0.01587, 446936.86, 0.02 
0.01345, 0.01396, 0.01429, 0.01335, 381752.01, 0.01406, 0.01416, 0.01524, 0.01403, 680271.99, 0.01543, 0.01547, 0.01561, 0.01526, 371575.65, 0.0162, 0.01616, 0.01646, 0.01587, 446936.86, 0.01625, 0.01607, 0.01689, 0.01607, 570004.29, 0.01818 
0.01406, 0.01416, 0.01524, 0.01403, 680271.99, 0.01543, 0.01547, 0.01561, 0.01526, 371575.65, 0.0162, 0.01616, 0.01646, 0.01587, 446936.86, 0.01625, 0.01607, 0.01689, 0.01607, 570004.29, 0.01779, 0.01816, 0.01829, 0.01725, 769700.58, 0.01794 
0.01543, 0.01547, 0.01561, 0.01526, 371575.65, 0.0162, 0.01616, 0.01646, 0.01587, 446936.86, 0.01625, 0.01607, 0.01689, 0.01607, 570004.29, 0.01779, 0.01816, 0.01829, 0.01725, 769700.58, 0.01712, 0.01774, 0.01899, 0.01673, 1156210.67, 0.01663 
0.0162, 0.01616, 0.01646, 0.01587, 446936.86, 0.01625, 0.01607, 0.01689, 0.01607, 570004.29, 0.01779, 0.01816, 0.01829, 0.01725, 769700.58, 0.01712, 0.01774, 0.01899, 0.01673, 1156210.67, 0.01841, 0.01837, 0.01873, 0.01796, 887787.37, 0.01848 
0.01625, 0.01607, 0.01689, 0.01607, 570004.29, 0.01779, 0.01816, 0.01829, 0.01725, 769700.58, 0.01712, 0.01774, 0.01899, 0.01673, 1156210.67, 0.01841, 0.01837, 0.01873, 0.01796, 887787.37, 0.01819, 0.02012, 0.02144, 0.01815, 1949270.11, 0.01769 
0.01779, 0.01816, 0.01829, 0.01725, 769700.58, 0.01712, 0.01774, 0.01899, 0.01673, 1156210.67, 0.01841, 0.01837, 0.01873, 0.01796, 887787.37, 0.01819, 0.02012, 0.02144, 0.01815, 1949270.11, 0.02049, 0.02, 0.02114, 0.0198, 907820.65, 0.0182 
0.01712, 0.01774, 0.01899, 0.01673, 1156210.67, 0.01841, 0.01837, 0.01873, 0.01796, 887787.37, 0.01819, 0.02012, 0.02144, 0.01815, 1949270.11, 0.02049, 0.02, 0.02114, 0.0198, 907820.65, 0.01879, 0.01818, 0.01879, 0.01741, 506782.06, 0.01716 
0.01841, 0.01837, 0.01873, 0.01796, 887787.37, 0.01819, 0.02012, 0.02144, 0.01815, 1949270.11, 0.02049, 0.02, 0.02114, 0.0198, 907820.65, 0.01879, 0.01818, 0.01879, 0.01741, 506782.06, 0.01824, 0.01794, 0.01836, 0.01743, 518770.07, 0.01797 
0.01819, 0.02012, 0.02144, 0.01815, 1949270.11, 0.02049, 0.02, 0.02114, 0.0198, 907820.65, 0.01879, 0.01818, 0.01879, 0.01741, 506782.06, 0.01824, 0.01794, 0.01836, 0.01743, 518770.07, 0.01699, 0.01663, 0.01706, 0.01652, 307165.11, 0.0185 
0.02049, 0.02, 0.02114, 0.0198, 907820.65, 0.01879, 0.01818, 0.01879, 0.01741, 506782.06, 0.01824, 0.01794, 0.01836, 0.01743, 518770.07, 0.01699, 0.01663, 0.01706, 0.01652, 307165.11, 0.018, 0.01848, 0.01927, 0.01741, 717051.57, 0.01791 
0.01879, 0.01818, 0.01879, 0.01741, 506782.06, 0.01824, 0.01794, 0.01836, 0.01743, 518770.07, 0.01699, 0.01663, 0.01706, 0.01652, 307165.11, 0.018, 0.01848, 0.01927, 0.01741, 717051.57, 0.01777, 0.01769, 0.01811, 0.01743, 477216.86, 0.01809 
0.01824, 0.01794, 0.01836, 0.01743, 518770.07, 0.01699, 0.01663, 0.01706, 0.01652, 307165.11, 0.018, 0.01848, 0.01927, 0.01741, 717051.57, 0.01777, 0.01769, 0.01811, 0.01743, 477216.86, 0.01816, 0.0182, 0.01878, 0.01804, 546626.15, 0.01912 
0.01699, 0.01663, 0.01706, 0.01652, 307165.11, 0.018, 0.01848, 0.01927, 0.01741, 717051.57, 0.01777, 0.01769, 0.01811, 0.01743, 477216.86, 0.01816, 0.0182, 0.01878, 0.01804, 546626.15, 0.0175, 0.01716, 0.01761, 0.01716, 382776.07, 0.01982 
0.018, 0.01848, 0.01927, 0.01741, 717051.57, 0.01777, 0.01769, 0.01811, 0.01743, 477216.86, 0.01816, 0.0182, 0.01878, 0.01804, 546626.15, 0.0175, 0.01716, 0.01761, 0.01716, 382776.07, 0.01777, 0.01797, 0.01816, 0.01777, 694009.01, 0.01932 
0.01777, 0.01769, 0.01811, 0.01743, 477216.86, 0.01816, 0.0182, 0.01878, 0.01804, 546626.15, 0.0175, 0.01716, 0.01761, 0.01716, 382776.07, 0.01777, 0.01797, 0.01816, 0.01777, 694009.01, 0.01834, 0.0185, 0.01866, 0.01794, 293845.57, 0.0194 
0.01816, 0.0182, 0.01878, 0.01804, 546626.15, 0.0175, 0.01716, 0.01761, 0.01716, 382776.07, 0.01777, 0.01797, 0.01816, 0.01777, 694009.01, 0.01834, 0.0185, 0.01866, 0.01794, 293845.57, 0.01791, 0.01791, 0.01811, 0.01753, 677224.92, 0.02077 
0.0175, 0.01716, 0.01761, 0.01716, 382776.07, 0.01777, 0.01797, 0.01816, 0.01777, 694009.01, 0.01834, 0.0185, 0.01866, 0.01794, 293845.57, 0.01791, 0.01791, 0.01811, 0.01753, 677224.92, 0.01809, 0.01809, 0.0184, 0.01786, 1726036.23, 0.02164 
0.01777, 0.01797, 0.01816, 0.01777, 694009.01, 0.01834, 0.0185, 0.01866, 0.01794, 293845.57, 0.01791, 0.01791, 0.01811, 0.01753, 677224.92, 0.01809, 0.01809, 0.0184, 0.01786, 1726036.23, 0.018, 0.01912, 0.02016, 0.01797, 1779909.61, 0.02069 
