@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.2431, 0.2437, 0.2485, 0.2377, 337216.51, 0.2311, 0.2317, 0.2349, 0.2281, 182046.56, 0.2268, 0.227, 0.2296, 0.2253, 226288.76, 0.2268, 0.217, 0.2333, 0.2146, 443672.95, 0.2185, 0.2141, 0.2235, 0.2141, 238681.62, 0.3329 
0.2311, 0.2317, 0.2349, 0.2281, 182046.56, 0.2268, 0.227, 0.2296, 0.2253, 226288.76, 0.2268, 0.217, 0.2333, 0.2146, 443672.95, 0.2185, 0.2141, 0.2235, 0.2141, 238681.62, 0.2334, 0.236, 0.2407, 0.2334, 514242.81, 0.3207 
0.2268, 0.227, 0.2296, 0.2253, 226288.76, 0.2268, 0.217, 0.2333, 0.2146, 443672.95, 0.2185, 0.2141, 0.2235, 0.2141, 238681.62, 0.2334, 0.236, 0.2407, 0.2334, 514242.81, 0.2471, 0.2554, 0.2559, 0.2471, 500473.75, 0.3151 
0.2268, 0.217, 0.2333, 0.2146, 443672.95, 0.2185, 0.2141, 0.2235, 0.2141, 238681.62, 0.2334, 0.236, 0.2407, 0.2334, 514242.81, 0.2471, 0.2554, 0.2559, 0.2471, 500473.75, 0.2568, 0.2629, 0.2702, 0.2551, 1055195.41, 0.2807 
0.2185, 0.2141, 0.2235, 0.2141, 238681.62, 0.2334, 0.236, 0.2407, 0.2334, 514242.81, 0.2471, 0.2554, 0.2559, 0.2471, 500473.75, 0.2568, 0.2629, 0.2702, 0.2551, 1055195.41, 0.2911, 0.2939, 0.2981, 0.2775, 852717.3, 0.286 
0.2334, 0.236, 0.2407, 0.2334, 514242.81, 0.2471, 0.2554, 0.2559, 0.2471, 500473.75, 0.2568, 0.2629, 0.2702, 0.2551, 1055195.41, 0.2911, 0.2939, 0.2981, 0.2775, 852717.3, 0.2769, 0.2799, 0.2916, 0.2648, 956371.71, 0.2504 
0.2471, 0.2554, 0.2559, 0.2471, 500473.75, 0.2568, 0.2629, 0.2702, 0.2551, 1055195.41, 0.2911, 0.2939, 0.2981, 0.2775, 852717.3, 0.2769, 0.2799, 0.2916, 0.2648, 956371.71, 0.2904, 0.3329, 0.3556, 0.2904, 3497899, 0.2786 
0.2568, 0.2629, 0.2702, 0.2551, 1055195.41, 0.2911, 0.2939, 0.2981, 0.2775, 852717.3, 0.2769, 0.2799, 0.2916, 0.2648, 956371.71, 0.2904, 0.3329, 0.3556, 0.2904, 3497899, 0.3298, 0.3207, 0.3328, 0.3131, 1662813.95, 0.2675 
0.2911, 0.2939, 0.2981, 0.2775, 852717.3, 0.2769, 0.2799, 0.2916, 0.2648, 956371.71, 0.2904, 0.3329, 0.3556, 0.2904, 3497899, 0.3298, 0.3207, 0.3328, 0.3131, 1662813.95, 0.3266, 0.3151, 0.3279, 0.3125, 1250062.26, 0.2775 
0.2769, 0.2799, 0.2916, 0.2648, 956371.71, 0.2904, 0.3329, 0.3556, 0.2904, 3497899, 0.3298, 0.3207, 0.3328, 0.3131, 1662813.95, 0.3266, 0.3151, 0.3279, 0.3125, 1250062.26, 0.296, 0.2807, 0.2984, 0.2738, 628468.97, 0.2615 
0.2904, 0.3329, 0.3556, 0.2904, 3497899, 0.3298, 0.3207, 0.3328, 0.3131, 1662813.95, 0.3266, 0.3151, 0.3279, 0.3125, 1250062.26, 0.296, 0.2807, 0.2984, 0.2738, 628468.97, 0.2817, 0.286, 0.289, 0.278, 639348.82, 0.2786 
0.3298, 0.3207, 0.3328, 0.3131, 1662813.95, 0.3266, 0.3151, 0.3279, 0.3125, 1250062.26, 0.296, 0.2807, 0.2984, 0.2738, 628468.97, 0.2817, 0.286, 0.289, 0.278, 639348.82, 0.2709, 0.2504, 0.2727, 0.2495, 426935.1, 0.2909 
0.3266, 0.3151, 0.3279, 0.3125, 1250062.26, 0.296, 0.2807, 0.2984, 0.2738, 628468.97, 0.2817, 0.286, 0.289, 0.278, 639348.82, 0.2709, 0.2504, 0.2727, 0.2495, 426935.1, 0.2711, 0.2786, 0.2822, 0.2702, 445425.39, 0.2816 
0.296, 0.2807, 0.2984, 0.2738, 628468.97, 0.2817, 0.286, 0.289, 0.278, 639348.82, 0.2709, 0.2504, 0.2727, 0.2495, 426935.1, 0.2711, 0.2786, 0.2822, 0.2702, 445425.39, 0.268, 0.2675, 0.2736, 0.264, 432848.86, 0.283 
0.2817, 0.286, 0.289, 0.278, 639348.82, 0.2709, 0.2504, 0.2727, 0.2495, 426935.1, 0.2711, 0.2786, 0.2822, 0.2702, 445425.39, 0.268, 0.2675, 0.2736, 0.264, 432848.86, 0.2744, 0.2775, 0.285, 0.2732, 404016.6, 0.2818 
0.2709, 0.2504, 0.2727, 0.2495, 426935.1, 0.2711, 0.2786, 0.2822, 0.2702, 445425.39, 0.268, 0.2675, 0.2736, 0.264, 432848.86, 0.2744, 0.2775, 0.285, 0.2732, 404016.6, 0.2669, 0.2615, 0.2698, 0.2615, 493446.25, 0.2985 
0.2711, 0.2786, 0.2822, 0.2702, 445425.39, 0.268, 0.2675, 0.2736, 0.264, 432848.86, 0.2744, 0.2775, 0.285, 0.2732, 404016.6, 0.2669, 0.2615, 0.2698, 0.2615, 493446.25, 0.2708, 0.2786, 0.2841, 0.2706, 484164.23, 0.3056 
0.268, 0.2675, 0.2736, 0.264, 432848.86, 0.2744, 0.2775, 0.285, 0.2732, 404016.6, 0.2669, 0.2615, 0.2698, 0.2615, 493446.25, 0.2708, 0.2786, 0.2841, 0.2706, 484164.23, 0.2844, 0.2909, 0.2983, 0.2817, 659816.3, 0.3077 
0.2744, 0.2775, 0.285, 0.2732, 404016.6, 0.2669, 0.2615, 0.2698, 0.2615, 493446.25, 0.2708, 0.2786, 0.2841, 0.2706, 484164.23, 0.2844, 0.2909, 0.2983, 0.2817, 659816.3, 0.2817, 0.2816, 0.2863, 0.2786, 467727.06, 0.32 
0.2669, 0.2615, 0.2698, 0.2615, 493446.25, 0.2708, 0.2786, 0.2841, 0.2706, 484164.23, 0.2844, 0.2909, 0.2983, 0.2817, 659816.3, 0.2817, 0.2816, 0.2863, 0.2786, 467727.06, 0.2844, 0.283, 0.2875, 0.2808, 355608.76, 0.2644 
0.2708, 0.2786, 0.2841, 0.2706, 484164.23, 0.2844, 0.2909, 0.2983, 0.2817, 659816.3, 0.2817, 0.2816, 0.2863, 0.2786, 467727.06, 0.2844, 0.283, 0.2875, 0.2808, 355608.76, 0.2816, 0.2818, 0.2857, 0.2787, 384037.24, 0.2619 
0.2844, 0.2909, 0.2983, 0.2817, 659816.3, 0.2817, 0.2816, 0.2863, 0.2786, 467727.06, 0.2844, 0.283, 0.2875, 0.2808, 355608.76, 0.2816, 0.2818, 0.2857, 0.2787, 384037.24, 0.2999, 0.2985, 0.3034, 0.2957, 443839.08, 0.2714 
0.2817, 0.2816, 0.2863, 0.2786, 467727.06, 0.2844, 0.283, 0.2875, 0.2808, 355608.76, 0.2816, 0.2818, 0.2857, 0.2787, 384037.24, 0.2999, 0.2985, 0.3034, 0.2957, 443839.08, 0.2947, 0.3056, 0.3066, 0.2911, 782167, 0.2515 
0.2844, 0.283, 0.2875, 0.2808, 355608.76, 0.2816, 0.2818, 0.2857, 0.2787, 384037.24, 0.2999, 0.2985, 0.3034, 0.2957, 443839.08, 0.2947, 0.3056, 0.3066, 0.2911, 782167, 0.3048, 0.3077, 0.3256, 0.3026, 1709233.59, 0.2667 
0.2816, 0.2818, 0.2857, 0.2787, 384037.24, 0.2999, 0.2985, 0.3034, 0.2957, 443839.08, 0.2947, 0.3056, 0.3066, 0.2911, 782167, 0.3048, 0.3077, 0.3256, 0.3026, 1709233.59, 0.3083, 0.32, 0.321, 0.3083, 710057.96, 0.2662 
0.2999, 0.2985, 0.3034, 0.2957, 443839.08, 0.2947, 0.3056, 0.3066, 0.2911, 782167, 0.3048, 0.3077, 0.3256, 0.3026, 1709233.59, 0.3083, 0.32, 0.321, 0.3083, 710057.96, 0.2899, 0.2644, 0.2947, 0.258, 1055688.62, 0.3116 
