@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.2685, 0.2687, 0.2706, 0.266, 389236.48, 0.2658, 0.2687, 0.2711, 0.2652, 401654.89, 0.2672, 0.2522, 0.2676, 0.2448, 764618.59, 0.2556, 0.2562, 0.2586, 0.2548, 361524.38, 0.2582, 0.2737, 0.28, 0.2573, 992730.89, 0.2811 
0.2658, 0.2687, 0.2711, 0.2652, 401654.89, 0.2672, 0.2522, 0.2676, 0.2448, 764618.59, 0.2556, 0.2562, 0.2586, 0.2548, 361524.38, 0.2582, 0.2737, 0.28, 0.2573, 992730.89, 0.2719, 0.2627, 0.2745, 0.2612, 363228.48, 0.2824 
0.2672, 0.2522, 0.2676, 0.2448, 764618.59, 0.2556, 0.2562, 0.2586, 0.2548, 361524.38, 0.2582, 0.2737, 0.28, 0.2573, 992730.89, 0.2719, 0.2627, 0.2745, 0.2612, 363228.48, 0.2632, 0.2649, 0.2663, 0.2603, 408819.83, 0.3367 
0.2556, 0.2562, 0.2586, 0.2548, 361524.38, 0.2582, 0.2737, 0.28, 0.2573, 992730.89, 0.2719, 0.2627, 0.2745, 0.2612, 363228.48, 0.2632, 0.2649, 0.2663, 0.2603, 408819.83, 0.2669, 0.2835, 0.2857, 0.2663, 596076.25, 0.3141 
0.2582, 0.2737, 0.28, 0.2573, 992730.89, 0.2719, 0.2627, 0.2745, 0.2612, 363228.48, 0.2632, 0.2649, 0.2663, 0.2603, 408819.83, 0.2669, 0.2835, 0.2857, 0.2663, 596076.25, 0.2827, 0.2779, 0.2915, 0.2759, 596269.32, 0.3785 
0.2719, 0.2627, 0.2745, 0.2612, 363228.48, 0.2632, 0.2649, 0.2663, 0.2603, 408819.83, 0.2669, 0.2835, 0.2857, 0.2663, 596076.25, 0.2827, 0.2779, 0.2915, 0.2759, 596269.32, 0.2758, 0.29, 0.3017, 0.2734, 970339.79, 0.3617 
0.2632, 0.2649, 0.2663, 0.2603, 408819.83, 0.2669, 0.2835, 0.2857, 0.2663, 596076.25, 0.2827, 0.2779, 0.2915, 0.2759, 596269.32, 0.2758, 0.29, 0.3017, 0.2734, 970339.79, 0.2737, 0.2811, 0.3808, 0.2728, 8719338.05, 0.3534 
0.2669, 0.2835, 0.2857, 0.2663, 596076.25, 0.2827, 0.2779, 0.2915, 0.2759, 596269.32, 0.2758, 0.29, 0.3017, 0.2734, 970339.79, 0.2737, 0.2811, 0.3808, 0.2728, 8719338.05, 0.2839, 0.2824, 0.2996, 0.2813, 1510494.69, 0.3307 
0.2827, 0.2779, 0.2915, 0.2759, 596269.32, 0.2758, 0.29, 0.3017, 0.2734, 970339.79, 0.2737, 0.2811, 0.3808, 0.2728, 8719338.05, 0.2839, 0.2824, 0.2996, 0.2813, 1510494.69, 0.2831, 0.3367, 0.3574, 0.2809, 2346937.15, 0.3292 
0.2758, 0.29, 0.3017, 0.2734, 970339.79, 0.2737, 0.2811, 0.3808, 0.2728, 8719338.05, 0.2839, 0.2824, 0.2996, 0.2813, 1510494.69, 0.2831, 0.3367, 0.3574, 0.2809, 2346937.15, 0.3372, 0.3141, 0.3571, 0.3116, 1613101.13, 0.3415 
