@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.00828, 0.008147, 0.008412, 0.008015, 621010.68, 0.008112, 0.008178, 0.008244, 0.008046, 454999.58, 0.008092, 0.008287, 0.008353, 0.008026, 466138.49, 0.008245, 0.007921, 0.008245, 0.007791, 676729.22, 0.008027, 0.008159, 0.008356, 0.007962, 585802.89, 0.008687 
0.008112, 0.008178, 0.008244, 0.008046, 454999.58, 0.008092, 0.008287, 0.008353, 0.008026, 466138.49, 0.008245, 0.007921, 0.008245, 0.007791, 676729.22, 0.008027, 0.008159, 0.008356, 0.007962, 585802.89, 0.008225, 0.008623, 0.008888, 0.008158, 1685420.66, 0.007327 
0.008092, 0.008287, 0.008353, 0.008026, 466138.49, 0.008245, 0.007921, 0.008245, 0.007791, 676729.22, 0.008027, 0.008159, 0.008356, 0.007962, 585802.89, 0.008225, 0.008623, 0.008888, 0.008158, 1685420.66, 0.008567, 0.008896, 0.009358, 0.008567, 1762213.99, 0.007376 
0.008245, 0.007921, 0.008245, 0.007791, 676729.22, 0.008027, 0.008159, 0.008356, 0.007962, 585802.89, 0.008225, 0.008623, 0.008888, 0.008158, 1685420.66, 0.008567, 0.008896, 0.009358, 0.008567, 1762213.99, 0.008912, 0.009044, 0.009308, 0.008648, 930807.25, 0.007583 
0.008027, 0.008159, 0.008356, 0.007962, 585802.89, 0.008225, 0.008623, 0.008888, 0.008158, 1685420.66, 0.008567, 0.008896, 0.009358, 0.008567, 1762213.99, 0.008912, 0.009044, 0.009308, 0.008648, 930807.25, 0.009111, 0.008978, 0.009111, 0.008845, 449008.37, 0.007533 
0.008225, 0.008623, 0.008888, 0.008158, 1685420.66, 0.008567, 0.008896, 0.009358, 0.008567, 1762213.99, 0.008912, 0.009044, 0.009308, 0.008648, 930807.25, 0.009111, 0.008978, 0.009111, 0.008845, 449008.37, 0.008953, 0.008688, 0.009019, 0.008356, 934679.75, 0.007736 
0.008567, 0.008896, 0.009358, 0.008567, 1762213.99, 0.008912, 0.009044, 0.009308, 0.008648, 930807.25, 0.009111, 0.008978, 0.009111, 0.008845, 449008.37, 0.008953, 0.008688, 0.009019, 0.008356, 934679.75, 0.008621, 0.008687, 0.008753, 0.008292, 602126.87, 0.007965 
0.008912, 0.009044, 0.009308, 0.008648, 930807.25, 0.009111, 0.008978, 0.009111, 0.008845, 449008.37, 0.008953, 0.008688, 0.009019, 0.008356, 934679.75, 0.008621, 0.008687, 0.008753, 0.008292, 602126.87, 0.008197, 0.007327, 0.008383, 0.007203, 786671.78, 0.007955 
0.009111, 0.008978, 0.009111, 0.008845, 449008.37, 0.008953, 0.008688, 0.009019, 0.008356, 934679.75, 0.008621, 0.008687, 0.008753, 0.008292, 602126.87, 0.008197, 0.007327, 0.008383, 0.007203, 786671.78, 0.007376, 0.007376, 0.007564, 0.007188, 332430.06, 0.007722 
0.008953, 0.008688, 0.009019, 0.008356, 934679.75, 0.008621, 0.008687, 0.008753, 0.008292, 602126.87, 0.008197, 0.007327, 0.008383, 0.007203, 786671.78, 0.007376, 0.007376, 0.007564, 0.007188, 332430.06, 0.007395, 0.007583, 0.007834, 0.007333, 653983.92, 0.007634 
0.008621, 0.008687, 0.008753, 0.008292, 602126.87, 0.008197, 0.007327, 0.008383, 0.007203, 786671.78, 0.007376, 0.007376, 0.007564, 0.007188, 332430.06, 0.007395, 0.007583, 0.007834, 0.007333, 653983.92, 0.007596, 0.007533, 0.007784, 0.00747, 493942.29, 0.008048 
0.008197, 0.007327, 0.008383, 0.007203, 786671.78, 0.007376, 0.007376, 0.007564, 0.007188, 332430.06, 0.007395, 0.007583, 0.007834, 0.007333, 653983.92, 0.007596, 0.007533, 0.007784, 0.00747, 493942.29, 0.007803, 0.007736, 0.008133, 0.00734, 1137230.37, 0.008463 
0.007376, 0.007376, 0.007564, 0.007188, 332430.06, 0.007395, 0.007583, 0.007834, 0.007333, 653983.92, 0.007596, 0.007533, 0.007784, 0.00747, 493942.29, 0.007803, 0.007736, 0.008133, 0.00734, 1137230.37, 0.007702, 0.007965, 0.008097, 0.007702, 412524.73, 0.008299 
0.007395, 0.007583, 0.007834, 0.007333, 653983.92, 0.007596, 0.007533, 0.007784, 0.00747, 493942.29, 0.007803, 0.007736, 0.008133, 0.00734, 1137230.37, 0.007702, 0.007965, 0.008097, 0.007702, 412524.73, 0.007955, 0.007955, 0.008021, 0.007692, 417187.4, 0.008605 
0.007596, 0.007533, 0.007784, 0.00747, 493942.29, 0.007803, 0.007736, 0.008133, 0.00734, 1137230.37, 0.007702, 0.007965, 0.008097, 0.007702, 412524.73, 0.007955, 0.007955, 0.008021, 0.007692, 417187.4, 0.007851, 0.007722, 0.008046, 0.007657, 636887.63, 0.009585 
0.007803, 0.007736, 0.008133, 0.00734, 1137230.37, 0.007702, 0.007965, 0.008097, 0.007702, 412524.73, 0.007955, 0.007955, 0.008021, 0.007692, 417187.4, 0.007851, 0.007722, 0.008046, 0.007657, 636887.63, 0.007698, 0.007634, 0.007828, 0.007504, 386487.64, 0.009371 
0.007702, 0.007965, 0.008097, 0.007702, 412524.73, 0.007955, 0.007955, 0.008021, 0.007692, 417187.4, 0.007851, 0.007722, 0.008046, 0.007657, 636887.63, 0.007698, 0.007634, 0.007828, 0.007504, 386487.64, 0.007659, 0.008048, 0.008178, 0.007529, 882674.02, 0.009686 
0.007955, 0.007955, 0.008021, 0.007692, 417187.4, 0.007851, 0.007722, 0.008046, 0.007657, 636887.63, 0.007698, 0.007634, 0.007828, 0.007504, 386487.64, 0.007659, 0.008048, 0.008178, 0.007529, 882674.02, 0.008072, 0.008463, 0.009049, 0.008007, 2862463.83, 0.008929 
0.007851, 0.007722, 0.008046, 0.007657, 636887.63, 0.007698, 0.007634, 0.007828, 0.007504, 386487.64, 0.007659, 0.008048, 0.008178, 0.007529, 882674.02, 0.008072, 0.008463, 0.009049, 0.008007, 2862463.83, 0.008428, 0.008299, 0.008688, 0.008169, 707044.22, 0.009318 
0.007698, 0.007634, 0.007828, 0.007504, 386487.64, 0.007659, 0.008048, 0.008178, 0.007529, 882674.02, 0.008072, 0.008463, 0.009049, 0.008007, 2862463.83, 0.008428, 0.008299, 0.008688, 0.008169, 707044.22, 0.008282, 0.008605, 0.008864, 0.008152, 1277930.57, 0.009408 
0.007659, 0.008048, 0.008178, 0.007529, 882674.02, 0.008072, 0.008463, 0.009049, 0.008007, 2862463.83, 0.008428, 0.008299, 0.008688, 0.008169, 707044.22, 0.008282, 0.008605, 0.008864, 0.008152, 1277930.57, 0.008613, 0.009585, 0.01049, 0.008354, 8107611.8, 0.01009 
0.008072, 0.008463, 0.009049, 0.008007, 2862463.83, 0.008428, 0.008299, 0.008688, 0.008169, 707044.22, 0.008282, 0.008605, 0.008864, 0.008152, 1277930.57, 0.008613, 0.009585, 0.01049, 0.008354, 8107611.8, 0.009565, 0.009371, 0.01053, 0.009177, 9664878.09, 0.009958 
