@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.6525, 0.6612, 0.695, 0.6469, 704572.63, 0.627, 0.5896, 0.6333, 0.5853, 792846.99, 0.5772, 0.5614, 0.5821, 0.54, 1173285.28, 0.5608, 0.6171, 0.6378, 0.5583, 1050072.39, 0.6215, 0.6312, 0.6709, 0.611, 1889068.44, 1.441 
0.627, 0.5896, 0.6333, 0.5853, 792846.99, 0.5772, 0.5614, 0.5821, 0.54, 1173285.28, 0.5608, 0.6171, 0.6378, 0.5583, 1050072.39, 0.6215, 0.6312, 0.6709, 0.611, 1889068.44, 0.688, 0.7192, 0.7309, 0.6593, 1204633.58, 1.459 
0.5772, 0.5614, 0.5821, 0.54, 1173285.28, 0.5608, 0.6171, 0.6378, 0.5583, 1050072.39, 0.6215, 0.6312, 0.6709, 0.611, 1889068.44, 0.688, 0.7192, 0.7309, 0.6593, 1204633.58, 0.7532, 0.9252, 0.9342, 0.7209, 4967218.15, 1.662 
0.5608, 0.6171, 0.6378, 0.5583, 1050072.39, 0.6215, 0.6312, 0.6709, 0.611, 1889068.44, 0.688, 0.7192, 0.7309, 0.6593, 1204633.58, 0.7532, 0.9252, 0.9342, 0.7209, 4967218.15, 0.9304, 1.083, 1.28, 0.9046, 21139602.6, 1.438 
0.6215, 0.6312, 0.6709, 0.611, 1889068.44, 0.688, 0.7192, 0.7309, 0.6593, 1204633.58, 0.7532, 0.9252, 0.9342, 0.7209, 4967218.15, 0.9304, 1.083, 1.28, 0.9046, 21139602.6, 1.2, 1.501, 1.639, 1.129, 35385535.84, 1.349 
0.688, 0.7192, 0.7309, 0.6593, 1204633.58, 0.7532, 0.9252, 0.9342, 0.7209, 4967218.15, 0.9304, 1.083, 1.28, 0.9046, 21139602.6, 1.2, 1.501, 1.639, 1.129, 35385535.84, 1.414, 1.243, 1.471, 1.175, 13067186.49, 1.278 
0.7532, 0.9252, 0.9342, 0.7209, 4967218.15, 0.9304, 1.083, 1.28, 0.9046, 21139602.6, 1.2, 1.501, 1.639, 1.129, 35385535.84, 1.414, 1.243, 1.471, 1.175, 13067186.49, 1.289, 1.441, 1.488, 1.257, 13040948.48, 1.352 
0.9304, 1.083, 1.28, 0.9046, 21139602.6, 1.2, 1.501, 1.639, 1.129, 35385535.84, 1.414, 1.243, 1.471, 1.175, 13067186.49, 1.289, 1.441, 1.488, 1.257, 13040948.48, 1.428, 1.459, 1.493, 1.343, 6611122.39, 1.216 
1.2, 1.501, 1.639, 1.129, 35385535.84, 1.414, 1.243, 1.471, 1.175, 13067186.49, 1.289, 1.441, 1.488, 1.257, 13040948.48, 1.428, 1.459, 1.493, 1.343, 6611122.39, 1.486, 1.662, 1.719, 1.39, 15046851.4, 1.215 
1.414, 1.243, 1.471, 1.175, 13067186.49, 1.289, 1.441, 1.488, 1.257, 13040948.48, 1.428, 1.459, 1.493, 1.343, 6611122.39, 1.486, 1.662, 1.719, 1.39, 15046851.4, 1.562, 1.438, 1.567, 1.332, 8550103.6, 1.074 
1.289, 1.441, 1.488, 1.257, 13040948.48, 1.428, 1.459, 1.493, 1.343, 6611122.39, 1.486, 1.662, 1.719, 1.39, 15046851.4, 1.562, 1.438, 1.567, 1.332, 8550103.6, 1.443, 1.349, 1.495, 1.283, 5716252.48, 1.172 
1.428, 1.459, 1.493, 1.343, 6611122.39, 1.486, 1.662, 1.719, 1.39, 15046851.4, 1.562, 1.438, 1.567, 1.332, 8550103.6, 1.443, 1.349, 1.495, 1.283, 5716252.48, 1.278, 1.278, 1.369, 1.206, 6517516.67, 1.174 
1.486, 1.662, 1.719, 1.39, 15046851.4, 1.562, 1.438, 1.567, 1.332, 8550103.6, 1.443, 1.349, 1.495, 1.283, 5716252.48, 1.278, 1.278, 1.369, 1.206, 6517516.67, 1.384, 1.352, 1.404, 1.227, 6157814.83, 1.112 
1.562, 1.438, 1.567, 1.332, 8550103.6, 1.443, 1.349, 1.495, 1.283, 5716252.48, 1.278, 1.278, 1.369, 1.206, 6517516.67, 1.384, 1.352, 1.404, 1.227, 6157814.83, 1.3, 1.216, 1.31, 1.193, 3856329.96, 1.089 
1.443, 1.349, 1.495, 1.283, 5716252.48, 1.278, 1.278, 1.369, 1.206, 6517516.67, 1.384, 1.352, 1.404, 1.227, 6157814.83, 1.3, 1.216, 1.31, 1.193, 3856329.96, 1.248, 1.215, 1.287, 1.183, 2792048.36, 1.083 
1.278, 1.278, 1.369, 1.206, 6517516.67, 1.384, 1.352, 1.404, 1.227, 6157814.83, 1.3, 1.216, 1.31, 1.193, 3856329.96, 1.248, 1.215, 1.287, 1.183, 2792048.36, 1.168, 1.074, 1.168, 1.053, 3054691.74, 1.111 
1.384, 1.352, 1.404, 1.227, 6157814.83, 1.3, 1.216, 1.31, 1.193, 3856329.96, 1.248, 1.215, 1.287, 1.183, 2792048.36, 1.168, 1.074, 1.168, 1.053, 3054691.74, 1.112, 1.172, 1.215, 1.099, 3262916.98, 1.124 
1.3, 1.216, 1.31, 1.193, 3856329.96, 1.248, 1.215, 1.287, 1.183, 2792048.36, 1.168, 1.074, 1.168, 1.053, 3054691.74, 1.112, 1.172, 1.215, 1.099, 3262916.98, 1.197, 1.174, 1.257, 1.163, 3289147.6, 1.154 
1.248, 1.215, 1.287, 1.183, 2792048.36, 1.168, 1.074, 1.168, 1.053, 3054691.74, 1.112, 1.172, 1.215, 1.099, 3262916.98, 1.197, 1.174, 1.257, 1.163, 3289147.6, 1.137, 1.112, 1.139, 1.082, 1898776.06, 1.131 
1.168, 1.074, 1.168, 1.053, 3054691.74, 1.112, 1.172, 1.215, 1.099, 3262916.98, 1.197, 1.174, 1.257, 1.163, 3289147.6, 1.137, 1.112, 1.139, 1.082, 1898776.06, 1.123, 1.089, 1.128, 1.047, 2465327.49, 0.9167 
1.112, 1.172, 1.215, 1.099, 3262916.98, 1.197, 1.174, 1.257, 1.163, 3289147.6, 1.137, 1.112, 1.139, 1.082, 1898776.06, 1.123, 1.089, 1.128, 1.047, 2465327.49, 1.084, 1.083, 1.143, 1.058, 2519766.94, 0.9074 
1.197, 1.174, 1.257, 1.163, 3289147.6, 1.137, 1.112, 1.139, 1.082, 1898776.06, 1.123, 1.089, 1.128, 1.047, 2465327.49, 1.084, 1.083, 1.143, 1.058, 2519766.94, 1.152, 1.111, 1.173, 1.109, 1607336.65, 0.8923 
1.137, 1.112, 1.139, 1.082, 1898776.06, 1.123, 1.089, 1.128, 1.047, 2465327.49, 1.084, 1.083, 1.143, 1.058, 2519766.94, 1.152, 1.111, 1.173, 1.109, 1607336.65, 1.097, 1.124, 1.135, 1.074, 1781781.17, 0.8239 
1.123, 1.089, 1.128, 1.047, 2465327.49, 1.084, 1.083, 1.143, 1.058, 2519766.94, 1.152, 1.111, 1.173, 1.109, 1607336.65, 1.097, 1.124, 1.135, 1.074, 1781781.17, 1.122, 1.154, 1.163, 1.085, 2713132.4, 0.916 
1.084, 1.083, 1.143, 1.058, 2519766.94, 1.152, 1.111, 1.173, 1.109, 1607336.65, 1.097, 1.124, 1.135, 1.074, 1781781.17, 1.122, 1.154, 1.163, 1.085, 2713132.4, 1.157, 1.131, 1.184, 1.128, 2023488.47, 1.022 
1.152, 1.111, 1.173, 1.109, 1607336.65, 1.097, 1.124, 1.135, 1.074, 1781781.17, 1.122, 1.154, 1.163, 1.085, 2713132.4, 1.157, 1.131, 1.184, 1.128, 2023488.47, 1.025, 0.9167, 1.04, 0.9119, 3659570.97, 1.12 
1.097, 1.124, 1.135, 1.074, 1781781.17, 1.122, 1.154, 1.163, 1.085, 2713132.4, 1.157, 1.131, 1.184, 1.128, 2023488.47, 1.025, 0.9167, 1.04, 0.9119, 3659570.97, 0.9169, 0.9074, 0.9525, 0.8971, 1500463.39, 1.069 
1.122, 1.154, 1.163, 1.085, 2713132.4, 1.157, 1.131, 1.184, 1.128, 2023488.47, 1.025, 0.9167, 1.04, 0.9119, 3659570.97, 0.9169, 0.9074, 0.9525, 0.8971, 1500463.39, 0.9062, 0.8923, 0.9154, 0.8871, 1728163.35, 0.9915 
