@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.2003, 0.2002, 0.2003, 0.1835, 7516.88, 0.1986, 0.182, 0.1987, 0.182, 23464.81, 0.1802, 0.1554, 0.1959, 0.1554, 5366.47, 0.131, 0.1708, 110101.4, 0.131, 14810.79, 0.1764, 0.1802, 0.1873, 0.1341, 6598.43, 0.2124 
0.1986, 0.182, 0.1987, 0.182, 23464.81, 0.1802, 0.1554, 0.1959, 0.1554, 5366.47, 0.131, 0.1708, 110101.4, 0.131, 14810.79, 0.1764, 0.1802, 0.1873, 0.1341, 6598.43, 0.1834, 0.1909, 0.1909, 0.1695, 8447.52, 0.2128 
0.1802, 0.1554, 0.1959, 0.1554, 5366.47, 0.131, 0.1708, 110101.4, 0.131, 14810.79, 0.1764, 0.1802, 0.1873, 0.1341, 6598.43, 0.1834, 0.1909, 0.1909, 0.1695, 8447.52, 0.1866, 0.1813, 0.1866, 0.1696, 3307.03, 0.2379 
0.131, 0.1708, 110101.4, 0.131, 14810.79, 0.1764, 0.1802, 0.1873, 0.1341, 6598.43, 0.1834, 0.1909, 0.1909, 0.1695, 8447.52, 0.1866, 0.1813, 0.1866, 0.1696, 3307.03, 0.196, 0.1982, 0.1982, 0.1178, 33255.36, 0.2334 
0.1764, 0.1802, 0.1873, 0.1341, 6598.43, 0.1834, 0.1909, 0.1909, 0.1695, 8447.52, 0.1866, 0.1813, 0.1866, 0.1696, 3307.03, 0.196, 0.1982, 0.1982, 0.1178, 33255.36, 0.1976, 0.2144, 0.2226, 0.1945, 13577.5, 0.2319 
0.1834, 0.1909, 0.1909, 0.1695, 8447.52, 0.1866, 0.1813, 0.1866, 0.1696, 3307.03, 0.196, 0.1982, 0.1982, 0.1178, 33255.36, 0.1976, 0.2144, 0.2226, 0.1945, 13577.5, 0.2118, 0.192, 0.2192, 0.1787, 17232.18, 0.209 
0.1866, 0.1813, 0.1866, 0.1696, 3307.03, 0.196, 0.1982, 0.1982, 0.1178, 33255.36, 0.1976, 0.2144, 0.2226, 0.1945, 13577.5, 0.2118, 0.192, 0.2192, 0.1787, 17232.18, 0.2124, 0.2124, 0.2124, 0.1883, 9274.69, 0.2056 
0.196, 0.1982, 0.1982, 0.1178, 33255.36, 0.1976, 0.2144, 0.2226, 0.1945, 13577.5, 0.2118, 0.192, 0.2192, 0.1787, 17232.18, 0.2124, 0.2124, 0.2124, 0.1883, 9274.69, 0.2029, 0.2128, 0.2128, 0.2029, 6118.53, 0.2065 
0.1976, 0.2144, 0.2226, 0.1945, 13577.5, 0.2118, 0.192, 0.2192, 0.1787, 17232.18, 0.2124, 0.2124, 0.2124, 0.1883, 9274.69, 0.2029, 0.2128, 0.2128, 0.2029, 6118.53, 0.2151, 0.2379, 0.2461, 0.2051, 4253.83, 0.1932 
0.2118, 0.192, 0.2192, 0.1787, 17232.18, 0.2124, 0.2124, 0.2124, 0.1883, 9274.69, 0.2029, 0.2128, 0.2128, 0.2029, 6118.53, 0.2151, 0.2379, 0.2461, 0.2051, 4253.83, 0.2375, 0.2334, 0.3774, 0.1571, 16739.58, 0.2231 
