@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.0313, 0.0313, 0.03182, 0.03102, 135618.08, 0.02968, 0.0352, 0.03897, 0.02862, 828457.73, 0.03446, 0.04556, 0.04669, 0.03423, 7373765.18, 0.04551, 0.04374, 0.0513, 0.04306, 3248945.21, 0.04405, 0.04294, 0.04561, 0.04118, 1076022.79, 0.04826 
0.02968, 0.0352, 0.03897, 0.02862, 828457.73, 0.03446, 0.04556, 0.04669, 0.03423, 7373765.18, 0.04551, 0.04374, 0.0513, 0.04306, 3248945.21, 0.04405, 0.04294, 0.04561, 0.04118, 1076022.79, 0.0468, 0.04843, 0.05546, 0.04606, 1948997.26, 0.04737 
0.03446, 0.04556, 0.04669, 0.03423, 7373765.18, 0.04551, 0.04374, 0.0513, 0.04306, 3248945.21, 0.04405, 0.04294, 0.04561, 0.04118, 1076022.79, 0.0468, 0.04843, 0.05546, 0.04606, 1948997.26, 0.05072, 0.04775, 0.0508, 0.04682, 806804.36, 0.04898 
0.04551, 0.04374, 0.0513, 0.04306, 3248945.21, 0.04405, 0.04294, 0.04561, 0.04118, 1076022.79, 0.0468, 0.04843, 0.05546, 0.04606, 1948997.26, 0.05072, 0.04775, 0.0508, 0.04682, 806804.36, 0.04801, 0.04465, 0.04899, 0.04458, 468264.68, 0.04418 
0.04405, 0.04294, 0.04561, 0.04118, 1076022.79, 0.0468, 0.04843, 0.05546, 0.04606, 1948997.26, 0.05072, 0.04775, 0.0508, 0.04682, 806804.36, 0.04801, 0.04465, 0.04899, 0.04458, 468264.68, 0.04945, 0.04853, 0.05176, 0.04738, 386593.14, 0.04511 
0.0468, 0.04843, 0.05546, 0.04606, 1948997.26, 0.05072, 0.04775, 0.0508, 0.04682, 806804.36, 0.04801, 0.04465, 0.04899, 0.04458, 468264.68, 0.04945, 0.04853, 0.05176, 0.04738, 386593.14, 0.04573, 0.04792, 0.05154, 0.04449, 534882.11, 0.04299 
0.05072, 0.04775, 0.0508, 0.04682, 806804.36, 0.04801, 0.04465, 0.04899, 0.04458, 468264.68, 0.04945, 0.04853, 0.05176, 0.04738, 386593.14, 0.04573, 0.04792, 0.05154, 0.04449, 534882.11, 0.04972, 0.04826, 0.05004, 0.04725, 364338.06, 0.04765 
0.04801, 0.04465, 0.04899, 0.04458, 468264.68, 0.04945, 0.04853, 0.05176, 0.04738, 386593.14, 0.04573, 0.04792, 0.05154, 0.04449, 534882.11, 0.04972, 0.04826, 0.05004, 0.04725, 364338.06, 0.04781, 0.04737, 0.04969, 0.04649, 251019.62, 0.04849 
0.04945, 0.04853, 0.05176, 0.04738, 386593.14, 0.04573, 0.04792, 0.05154, 0.04449, 534882.11, 0.04972, 0.04826, 0.05004, 0.04725, 364338.06, 0.04781, 0.04737, 0.04969, 0.04649, 251019.62, 0.04825, 0.04898, 0.05045, 0.04776, 253874.08, 0.05069 
0.04573, 0.04792, 0.05154, 0.04449, 534882.11, 0.04972, 0.04826, 0.05004, 0.04725, 364338.06, 0.04781, 0.04737, 0.04969, 0.04649, 251019.62, 0.04825, 0.04898, 0.05045, 0.04776, 253874.08, 0.04602, 0.04418, 0.04609, 0.04276, 314846.96, 0.04568 
0.04972, 0.04826, 0.05004, 0.04725, 364338.06, 0.04781, 0.04737, 0.04969, 0.04649, 251019.62, 0.04825, 0.04898, 0.05045, 0.04776, 253874.08, 0.04602, 0.04418, 0.04609, 0.04276, 314846.96, 0.04434, 0.04511, 0.04542, 0.04338, 186959.07, 0.0478 
0.04781, 0.04737, 0.04969, 0.04649, 251019.62, 0.04825, 0.04898, 0.05045, 0.04776, 253874.08, 0.04602, 0.04418, 0.04609, 0.04276, 314846.96, 0.04434, 0.04511, 0.04542, 0.04338, 186959.07, 0.04273, 0.04299, 0.04649, 0.04127, 506273.11, 0.04749 
0.04825, 0.04898, 0.05045, 0.04776, 253874.08, 0.04602, 0.04418, 0.04609, 0.04276, 314846.96, 0.04434, 0.04511, 0.04542, 0.04338, 186959.07, 0.04273, 0.04299, 0.04649, 0.04127, 506273.11, 0.04655, 0.04765, 0.05018, 0.04643, 414809.09, 0.04826 
0.04602, 0.04418, 0.04609, 0.04276, 314846.96, 0.04434, 0.04511, 0.04542, 0.04338, 186959.07, 0.04273, 0.04299, 0.04649, 0.04127, 506273.11, 0.04655, 0.04765, 0.05018, 0.04643, 414809.09, 0.04583, 0.04849, 0.0554, 0.04519, 806227.23, 0.04839 
