@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.03032, 0.03247, 0.03472, 0.02887, 19262.48, 0.03221, 0.03228, 0.03228, 0.02741, 3784.97, 0.03196, 0.03142, 0.03196, 0.03073, 1377.29, 0.02648, 0.02851, 0.0287, 0.02591, 11142.03, 0.02943, 0.02859, 0.02953, 0.02757, 429.5, 0.02863 
0.03221, 0.03228, 0.03228, 0.02741, 3784.97, 0.03196, 0.03142, 0.03196, 0.03073, 1377.29, 0.02648, 0.02851, 0.0287, 0.02591, 11142.03, 0.02943, 0.02859, 0.02953, 0.02757, 429.5, 0.0291, 0.02992, 0.03014, 0.02876, 2942.57, 0.02846 
0.03196, 0.03142, 0.03196, 0.03073, 1377.29, 0.02648, 0.02851, 0.0287, 0.02591, 11142.03, 0.02943, 0.02859, 0.02953, 0.02757, 429.5, 0.0291, 0.02992, 0.03014, 0.02876, 2942.57, 0.02925, 0.02925, 0.02925, 0.02861, 6130.98, 0.02851 
0.02648, 0.02851, 0.0287, 0.02591, 11142.03, 0.02943, 0.02859, 0.02953, 0.02757, 429.5, 0.0291, 0.02992, 0.03014, 0.02876, 2942.57, 0.02925, 0.02925, 0.02925, 0.02861, 6130.98, 0.03162, 0.02932, 0.03162, 0.02433, 15995.93, 0.03072 
0.02943, 0.02859, 0.02953, 0.02757, 429.5, 0.0291, 0.02992, 0.03014, 0.02876, 2942.57, 0.02925, 0.02925, 0.02925, 0.02861, 6130.98, 0.03162, 0.02932, 0.03162, 0.02433, 15995.93, 0.02924, 0.02943, 0.03, 0.02884, 1596.46, 0.03005 
0.0291, 0.02992, 0.03014, 0.02876, 2942.57, 0.02925, 0.02925, 0.02925, 0.02861, 6130.98, 0.03162, 0.02932, 0.03162, 0.02433, 15995.93, 0.02924, 0.02943, 0.03, 0.02884, 1596.46, 0.02906, 0.02906, 0.02923, 0.02809, 3311.26, 0.02984 
0.02925, 0.02925, 0.02925, 0.02861, 6130.98, 0.03162, 0.02932, 0.03162, 0.02433, 15995.93, 0.02924, 0.02943, 0.03, 0.02884, 1596.46, 0.02906, 0.02906, 0.02923, 0.02809, 3311.26, 0.02835, 0.02863, 0.03054, 0.02756, 2546.48, 0.02845 
0.03162, 0.02932, 0.03162, 0.02433, 15995.93, 0.02924, 0.02943, 0.03, 0.02884, 1596.46, 0.02906, 0.02906, 0.02923, 0.02809, 3311.26, 0.02835, 0.02863, 0.03054, 0.02756, 2546.48, 0.02868, 0.02846, 0.02891, 0.02753, 3291.93, 0.02775 
0.02924, 0.02943, 0.03, 0.02884, 1596.46, 0.02906, 0.02906, 0.02923, 0.02809, 3311.26, 0.02835, 0.02863, 0.03054, 0.02756, 2546.48, 0.02868, 0.02846, 0.02891, 0.02753, 3291.93, 0.02877, 0.02851, 0.02877, 0.02744, 5104.22, 0.02926 
0.02906, 0.02906, 0.02923, 0.02809, 3311.26, 0.02835, 0.02863, 0.03054, 0.02756, 2546.48, 0.02868, 0.02846, 0.02891, 0.02753, 3291.93, 0.02877, 0.02851, 0.02877, 0.02744, 5104.22, 0.02846, 0.03072, 0.03072, 0.02732, 11811.85, 0.02894 
