@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.08798, 0.09015, 0.09358, 0.08752, 588261.14, 0.0892, 0.09312, 0.09449, 0.08888, 674324.39, 0.09213, 0.09128, 0.09264, 0.08823, 332843.19, 0.09251, 0.09876, 0.09909, 0.09113, 733362.45, 0.09982, 0.09704, 0.1029, 0.09465, 808791.3, 0.07979 
0.0892, 0.09312, 0.09449, 0.08888, 674324.39, 0.09213, 0.09128, 0.09264, 0.08823, 332843.19, 0.09251, 0.09876, 0.09909, 0.09113, 733362.45, 0.09982, 0.09704, 0.1029, 0.09465, 808791.3, 0.09641, 0.09351, 0.097, 0.09325, 314031.91, 0.08251 
0.09213, 0.09128, 0.09264, 0.08823, 332843.19, 0.09251, 0.09876, 0.09909, 0.09113, 733362.45, 0.09982, 0.09704, 0.1029, 0.09465, 808791.3, 0.09641, 0.09351, 0.097, 0.09325, 314031.91, 0.09367, 0.09644, 0.09783, 0.09281, 555164.92, 0.08386 
0.09251, 0.09876, 0.09909, 0.09113, 733362.45, 0.09982, 0.09704, 0.1029, 0.09465, 808791.3, 0.09641, 0.09351, 0.097, 0.09325, 314031.91, 0.09367, 0.09644, 0.09783, 0.09281, 555164.92, 0.09716, 0.09689, 0.1017, 0.09596, 566834.68, 0.09046 
0.09982, 0.09704, 0.1029, 0.09465, 808791.3, 0.09641, 0.09351, 0.097, 0.09325, 314031.91, 0.09367, 0.09644, 0.09783, 0.09281, 555164.92, 0.09716, 0.09689, 0.1017, 0.09596, 566834.68, 0.09663, 0.09716, 0.09735, 0.09556, 310288.26, 0.09039 
0.09641, 0.09351, 0.097, 0.09325, 314031.91, 0.09367, 0.09644, 0.09783, 0.09281, 555164.92, 0.09716, 0.09689, 0.1017, 0.09596, 566834.68, 0.09663, 0.09716, 0.09735, 0.09556, 310288.26, 0.09641, 0.09845, 0.1009, 0.09391, 719842.68, 0.09025 
0.09367, 0.09644, 0.09783, 0.09281, 555164.92, 0.09716, 0.09689, 0.1017, 0.09596, 566834.68, 0.09663, 0.09716, 0.09735, 0.09556, 310288.26, 0.09641, 0.09845, 0.1009, 0.09391, 719842.68, 0.09246, 0.07979, 0.09314, 0.07861, 786842.01, 0.09053 
0.09716, 0.09689, 0.1017, 0.09596, 566834.68, 0.09663, 0.09716, 0.09735, 0.09556, 310288.26, 0.09641, 0.09845, 0.1009, 0.09391, 719842.68, 0.09246, 0.07979, 0.09314, 0.07861, 786842.01, 0.08032, 0.08251, 0.08364, 0.07976, 237957.87, 0.08656 
0.09663, 0.09716, 0.09735, 0.09556, 310288.26, 0.09641, 0.09845, 0.1009, 0.09391, 719842.68, 0.09246, 0.07979, 0.09314, 0.07861, 786842.01, 0.08032, 0.08251, 0.08364, 0.07976, 237957.87, 0.08273, 0.08386, 0.08856, 0.08248, 333373.66, 0.08721 
0.09641, 0.09845, 0.1009, 0.09391, 719842.68, 0.09246, 0.07979, 0.09314, 0.07861, 786842.01, 0.08032, 0.08251, 0.08364, 0.07976, 237957.87, 0.08273, 0.08386, 0.08856, 0.08248, 333373.66, 0.08368, 0.09046, 0.09235, 0.08274, 1183862.57, 0.08957 
