@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
2.52, 2.52, 2.52, 2.52, 0, 2.5, 2.5, 2.5, 2.5, 0, 2.48, 2.48, 2.48, 2.48, 0, 2.09, 2.09, 2.09, 2.09, 0, 2.16, 2.16, 2.16, 2.16, 0, 2.23 
2.5, 2.5, 2.5, 2.5, 0, 2.48, 2.48, 2.48, 2.48, 0, 2.09, 2.09, 2.09, 2.09, 0, 2.16, 2.16, 2.16, 2.16, 0, 2.19, 2.19, 2.19, 2.19, 0, 2.23 
2.48, 2.48, 2.48, 2.48, 0, 2.09, 2.09, 2.09, 2.09, 0, 2.16, 2.16, 2.16, 2.16, 0, 2.19, 2.19, 2.19, 2.19, 0, 2.14, 2.14, 2.14, 2.14, 0, 2.26 
2.09, 2.09, 2.09, 2.09, 0, 2.16, 2.16, 2.16, 2.16, 0, 2.19, 2.19, 2.19, 2.19, 0, 2.14, 2.14, 2.14, 2.14, 0, 2.32, 2.32, 2.32, 2.32, 0, 2.25 
2.16, 2.16, 2.16, 2.16, 0, 2.19, 2.19, 2.19, 2.19, 0, 2.14, 2.14, 2.14, 2.14, 0, 2.32, 2.32, 2.32, 2.32, 0, 2.31, 2.31, 2.31, 2.31, 0, 2.24 
2.19, 2.19, 2.19, 2.19, 0, 2.14, 2.14, 2.14, 2.14, 0, 2.32, 2.32, 2.32, 2.32, 0, 2.31, 2.31, 2.31, 2.31, 0, 2.28, 2.28, 2.28, 2.28, 0, 2.24 
2.14, 2.14, 2.14, 2.14, 0, 2.32, 2.32, 2.32, 2.32, 0, 2.31, 2.31, 2.31, 2.31, 0, 2.28, 2.28, 2.28, 2.28, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.23 
2.32, 2.32, 2.32, 2.32, 0, 2.31, 2.31, 2.31, 2.31, 0, 2.28, 2.28, 2.28, 2.28, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.21 
2.31, 2.31, 2.31, 2.31, 0, 2.28, 2.28, 2.28, 2.28, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.26, 2.26, 2.26, 2.26, 0, 2.24 
2.28, 2.28, 2.28, 2.28, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.26, 2.26, 2.26, 2.26, 0, 2.25, 2.25, 2.25, 2.25, 0, 2.23 
2.23, 2.23, 2.23, 2.23, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.26, 2.26, 2.26, 2.26, 0, 2.25, 2.25, 2.25, 2.25, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.24 
2.23, 2.23, 2.23, 2.23, 0, 2.26, 2.26, 2.26, 2.26, 0, 2.25, 2.25, 2.25, 2.25, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.15 
2.26, 2.26, 2.26, 2.26, 0, 2.25, 2.25, 2.25, 2.25, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.16 
2.25, 2.25, 2.25, 2.25, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.21, 2.21, 2.21, 2.21, 0, 2.18 
2.24, 2.24, 2.24, 2.24, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.21, 2.21, 2.21, 2.21, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.19 
2.24, 2.24, 2.24, 2.24, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.21, 2.21, 2.21, 2.21, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.21 
2.23, 2.23, 2.23, 2.23, 0, 2.21, 2.21, 2.21, 2.21, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.19 
2.21, 2.21, 2.21, 2.21, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.15, 2.15, 2.15, 2.15, 0, 2.32 
2.24, 2.24, 2.24, 2.24, 0, 2.23, 2.23, 2.23, 2.23, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.15, 2.15, 2.15, 2.15, 0, 2.16, 2.16, 2.16, 2.16, 0, 2.31 
2.23, 2.23, 2.23, 2.23, 0, 2.24, 2.24, 2.24, 2.24, 0, 2.15, 2.15, 2.15, 2.15, 0, 2.16, 2.16, 2.16, 2.16, 0, 2.18, 2.18, 2.18, 2.18, 0, 2.42 
2.24, 2.24, 2.24, 2.24, 0, 2.15, 2.15, 2.15, 2.15, 0, 2.16, 2.16, 2.16, 2.16, 0, 2.18, 2.18, 2.18, 2.18, 0, 2.19, 2.19, 2.19, 2.19, 0, 2.4 
2.15, 2.15, 2.15, 2.15, 0, 2.16, 2.16, 2.16, 2.16, 0, 2.18, 2.18, 2.18, 2.18, 0, 2.19, 2.19, 2.19, 2.19, 0, 2.21, 2.21, 2.21, 2.21, 0, 2.32 
2.16, 2.16, 2.16, 2.16, 0, 2.18, 2.18, 2.18, 2.18, 0, 2.19, 2.19, 2.19, 2.19, 0, 2.21, 2.21, 2.21, 2.21, 0, 2.19, 2.19, 2.19, 2.19, 0, 2.3 
2.18, 2.18, 2.18, 2.18, 0, 2.19, 2.19, 2.19, 2.19, 0, 2.21, 2.21, 2.21, 2.21, 0, 2.19, 2.19, 2.19, 2.19, 0, 2.32, 2.32, 2.32, 2.32, 0, 2.33 
2.19, 2.19, 2.19, 2.19, 0, 2.21, 2.21, 2.21, 2.21, 0, 2.19, 2.19, 2.19, 2.19, 0, 2.32, 2.32, 2.32, 2.32, 0, 2.31, 2.31, 2.31, 2.31, 0, 2.33 
2.21, 2.21, 2.21, 2.21, 0, 2.19, 2.19, 2.19, 2.19, 0, 2.32, 2.32, 2.32, 2.32, 0, 2.31, 2.31, 2.31, 2.31, 0, 2.42, 2.42, 2.42, 2.42, 0, 2.32 
2.19, 2.19, 2.19, 2.19, 0, 2.32, 2.32, 2.32, 2.32, 0, 2.31, 2.31, 2.31, 2.31, 0, 2.42, 2.42, 2.42, 2.42, 0, 2.4, 2.4, 2.4, 2.4, 0, 2.27 
2.32, 2.32, 2.32, 2.32, 0, 2.31, 2.31, 2.31, 2.31, 0, 2.42, 2.42, 2.42, 2.42, 0, 2.4, 2.4, 2.4, 2.4, 0, 2.32, 2.32, 2.32, 2.32, 0, 2.01 
2.31, 2.31, 2.31, 2.31, 0, 2.42, 2.42, 2.42, 2.42, 0, 2.4, 2.4, 2.4, 2.4, 0, 2.32, 2.32, 2.32, 2.32, 0, 2.3, 2.3, 2.3, 2.3, 0, 2 
2.42, 2.42, 2.42, 2.42, 0, 2.4, 2.4, 2.4, 2.4, 0, 2.32, 2.32, 2.32, 2.32, 0, 2.3, 2.3, 2.3, 2.3, 0, 2.33, 2.33, 2.33, 2.33, 0, 1.92 
2.4, 2.4, 2.4, 2.4, 0, 2.32, 2.32, 2.32, 2.32, 0, 2.3, 2.3, 2.3, 2.3, 0, 2.33, 2.33, 2.33, 2.33, 0, 2.33, 2.33, 2.33, 2.33, 0, 1.92 
2.32, 2.32, 2.32, 2.32, 0, 2.3, 2.3, 2.3, 2.3, 0, 2.33, 2.33, 2.33, 2.33, 0, 2.33, 2.33, 2.33, 2.33, 0, 2.32, 2.32, 2.32, 2.32, 0, 1.95 
2.3, 2.3, 2.3, 2.3, 0, 2.33, 2.33, 2.33, 2.33, 0, 2.33, 2.33, 2.33, 2.33, 0, 2.32, 2.32, 2.32, 2.32, 0, 2.27, 2.27, 2.27, 2.27, 0, 1.63 
2.33, 2.33, 2.33, 2.33, 0, 2.33, 2.33, 2.33, 2.33, 0, 2.32, 2.32, 2.32, 2.32, 0, 2.27, 2.27, 2.27, 2.27, 0, 2.01, 2.01, 2.01, 2.01, 0, 1.44 
2.33, 2.33, 2.33, 2.33, 0, 2.32, 2.32, 2.32, 2.32, 0, 2.27, 2.27, 2.27, 2.27, 0, 2.01, 2.01, 2.01, 2.01, 0, 2, 2, 2, 2, 0, 1.5 
2.32, 2.32, 2.32, 2.32, 0, 2.27, 2.27, 2.27, 2.27, 0, 2.01, 2.01, 2.01, 2.01, 0, 2, 2, 2, 2, 0, 1.92, 1.92, 1.92, 1.92, 0, 1.37 
2.27, 2.27, 2.27, 2.27, 0, 2.01, 2.01, 2.01, 2.01, 0, 2, 2, 2, 2, 0, 1.92, 1.92, 1.92, 1.92, 0, 1.92, 1.92, 1.92, 1.92, 0, 1.36 
2.01, 2.01, 2.01, 2.01, 0, 2, 2, 2, 2, 0, 1.92, 1.92, 1.92, 1.92, 0, 1.92, 1.92, 1.92, 1.92, 0, 1.95, 1.95, 1.95, 1.95, 0, 1.24 
2, 2, 2, 2, 0, 1.92, 1.92, 1.92, 1.92, 0, 1.92, 1.92, 1.92, 1.92, 0, 1.95, 1.95, 1.95, 1.95, 0, 1.63, 1.63, 1.63, 1.63, 0, 1.28 
1.92, 1.92, 1.92, 1.92, 0, 1.92, 1.92, 1.92, 1.92, 0, 1.95, 1.95, 1.95, 1.95, 0, 1.63, 1.63, 1.63, 1.63, 0, 1.44, 1.44, 1.44, 1.44, 0, 1.2 
1.92, 1.92, 1.92, 1.92, 0, 1.95, 1.95, 1.95, 1.95, 0, 1.63, 1.63, 1.63, 1.63, 0, 1.44, 1.44, 1.44, 1.44, 0, 1.5, 1.5, 1.5, 1.5, 0, 1.21 
1.95, 1.95, 1.95, 1.95, 0, 1.63, 1.63, 1.63, 1.63, 0, 1.44, 1.44, 1.44, 1.44, 0, 1.5, 1.5, 1.5, 1.5, 0, 1.37, 1.37, 1.37, 1.37, 0, 1.35 
1.63, 1.63, 1.63, 1.63, 0, 1.44, 1.44, 1.44, 1.44, 0, 1.5, 1.5, 1.5, 1.5, 0, 1.37, 1.37, 1.37, 1.37, 0, 1.36, 1.36, 1.36, 1.36, 0, 1.29 
1.44, 1.44, 1.44, 1.44, 0, 1.5, 1.5, 1.5, 1.5, 0, 1.37, 1.37, 1.37, 1.37, 0, 1.36, 1.36, 1.36, 1.36, 0, 1.24, 1.24, 1.24, 1.24, 0, 1.24 
1.5, 1.5, 1.5, 1.5, 0, 1.37, 1.37, 1.37, 1.37, 0, 1.36, 1.36, 1.36, 1.36, 0, 1.24, 1.24, 1.24, 1.24, 0, 1.28, 1.28, 1.28, 1.28, 0, 1.3 
1.37, 1.37, 1.37, 1.37, 0, 1.36, 1.36, 1.36, 1.36, 0, 1.24, 1.24, 1.24, 1.24, 0, 1.28, 1.28, 1.28, 1.28, 0, 1.2, 1.2, 1.2, 1.2, 0, 1.28 
1.36, 1.36, 1.36, 1.36, 0, 1.24, 1.24, 1.24, 1.24, 0, 1.28, 1.28, 1.28, 1.28, 0, 1.2, 1.2, 1.2, 1.2, 0, 1.21, 1.21, 1.21, 1.21, 0, 1.19 
1.24, 1.24, 1.24, 1.24, 0, 1.28, 1.28, 1.28, 1.28, 0, 1.2, 1.2, 1.2, 1.2, 0, 1.21, 1.21, 1.21, 1.21, 0, 1.35, 1.35, 1.35, 1.35, 0, 1.21 
1.28, 1.28, 1.28, 1.28, 0, 1.2, 1.2, 1.2, 1.2, 0, 1.21, 1.21, 1.21, 1.21, 0, 1.35, 1.35, 1.35, 1.35, 0, 1.29, 1.29, 1.29, 1.29, 0, 26.92 
1.2, 1.2, 1.2, 1.2, 0, 1.21, 1.21, 1.21, 1.21, 0, 1.35, 1.35, 1.35, 1.35, 0, 1.29, 1.29, 1.29, 1.29, 0, 1.24, 1.24, 1.24, 1.24, 0, 23.96 
1.21, 1.21, 1.21, 1.21, 0, 1.35, 1.35, 1.35, 1.35, 0, 1.29, 1.29, 1.29, 1.29, 0, 1.24, 1.24, 1.24, 1.24, 0, 1.3, 1.3, 1.3, 1.3, 0, 24.81 
1.35, 1.35, 1.35, 1.35, 0, 1.29, 1.29, 1.29, 1.29, 0, 1.24, 1.24, 1.24, 1.24, 0, 1.3, 1.3, 1.3, 1.3, 0, 1.28, 1.28, 1.28, 1.28, 0, 24.23 
1.29, 1.29, 1.29, 1.29, 0, 1.24, 1.24, 1.24, 1.24, 0, 1.3, 1.3, 1.3, 1.3, 0, 1.28, 1.28, 1.28, 1.28, 0, 1.19, 1.19, 1.19, 1.19, 0, 25.02 
1.24, 1.24, 1.24, 1.24, 0, 1.3, 1.3, 1.3, 1.3, 0, 1.28, 1.28, 1.28, 1.28, 0, 1.19, 1.19, 1.19, 1.19, 0, 1.21, 1.21, 1.21, 1.21, 0, 24.04 
1.3, 1.3, 1.3, 1.3, 0, 1.28, 1.28, 1.28, 1.28, 0, 1.19, 1.19, 1.19, 1.19, 0, 1.21, 1.21, 1.21, 1.21, 0, 1.12, 26.92, 35.55, 1.12, 233.13, 23.33 
1.28, 1.28, 1.28, 1.28, 0, 1.19, 1.19, 1.19, 1.19, 0, 1.21, 1.21, 1.21, 1.21, 0, 1.12, 26.92, 35.55, 1.12, 233.13, 23.96, 23.96, 23.96, 23.96, 0, 23.99 
1.19, 1.19, 1.19, 1.19, 0, 1.21, 1.21, 1.21, 1.21, 0, 1.12, 26.92, 35.55, 1.12, 233.13, 23.96, 23.96, 23.96, 23.96, 0, 24.81, 24.81, 24.81, 24.81, 0, 22.89 
1.21, 1.21, 1.21, 1.21, 0, 1.12, 26.92, 35.55, 1.12, 233.13, 23.96, 23.96, 23.96, 23.96, 0, 24.81, 24.81, 24.81, 24.81, 0, 24.23, 24.23, 24.23, 24.23, 0, 22.23 
1.12, 26.92, 35.55, 1.12, 233.13, 23.96, 23.96, 23.96, 23.96, 0, 24.81, 24.81, 24.81, 24.81, 0, 24.23, 24.23, 24.23, 24.23, 0, 25.02, 25.02, 25.02, 25.02, 0, 22.33 
23.96, 23.96, 23.96, 23.96, 0, 24.81, 24.81, 24.81, 24.81, 0, 24.23, 24.23, 24.23, 24.23, 0, 25.02, 25.02, 25.02, 25.02, 0, 24.04, 24.04, 24.04, 24.04, 0, 22.63 
24.81, 24.81, 24.81, 24.81, 0, 24.23, 24.23, 24.23, 24.23, 0, 25.02, 25.02, 25.02, 25.02, 0, 24.04, 24.04, 24.04, 24.04, 0, 23.33, 23.33, 23.33, 23.33, 0, 25.29 
24.23, 24.23, 24.23, 24.23, 0, 25.02, 25.02, 25.02, 25.02, 0, 24.04, 24.04, 24.04, 24.04, 0, 23.33, 23.33, 23.33, 23.33, 0, 23.99, 23.99, 23.99, 23.99, 0, 27.15 
25.02, 25.02, 25.02, 25.02, 0, 24.04, 24.04, 24.04, 24.04, 0, 23.33, 23.33, 23.33, 23.33, 0, 23.99, 23.99, 23.99, 23.99, 0, 22.89, 22.89, 22.89, 22.89, 0, 26.67 
24.04, 24.04, 24.04, 24.04, 0, 23.33, 23.33, 23.33, 23.33, 0, 23.99, 23.99, 23.99, 23.99, 0, 22.89, 22.89, 22.89, 22.89, 0, 22.23, 22.23, 22.23, 22.23, 0, 30.85 
23.33, 23.33, 23.33, 23.33, 0, 23.99, 23.99, 23.99, 23.99, 0, 22.89, 22.89, 22.89, 22.89, 0, 22.23, 22.23, 22.23, 22.23, 0, 22.33, 22.33, 22.33, 22.33, 0, 29 
23.99, 23.99, 23.99, 23.99, 0, 22.89, 22.89, 22.89, 22.89, 0, 22.23, 22.23, 22.23, 22.23, 0, 22.33, 22.33, 22.33, 22.33, 0, 22.63, 22.63, 22.63, 22.63, 0, 31.37 
22.89, 22.89, 22.89, 22.89, 0, 22.23, 22.23, 22.23, 22.23, 0, 22.33, 22.33, 22.33, 22.33, 0, 22.63, 22.63, 22.63, 22.63, 0, 25.29, 25.29, 25.29, 25.29, 0, 34.86 
22.23, 22.23, 22.23, 22.23, 0, 22.33, 22.33, 22.33, 22.33, 0, 22.63, 22.63, 22.63, 22.63, 0, 25.29, 25.29, 25.29, 25.29, 0, 27.15, 27.15, 27.15, 27.15, 0, 37.33 
22.33, 22.33, 22.33, 22.33, 0, 22.63, 22.63, 22.63, 22.63, 0, 25.29, 25.29, 25.29, 25.29, 0, 27.15, 27.15, 27.15, 27.15, 0, 26.67, 26.67, 26.67, 26.67, 0, 34.71 
