@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1802, 0.1687, 0.1822, 0.1641, 16977.87, 0.16, 0.1697, 0.1817, 0.1556, 21243.2, 0.1661, 0.1704, 0.1779, 0.157, 32908.51, 0.1703, 0.1726, 0.1751, 0.1689, 7346.4, 0.1738, 0.1822, 0.1855, 0.1738, 14879.19, 0.2811 
0.16, 0.1697, 0.1817, 0.1556, 21243.2, 0.1661, 0.1704, 0.1779, 0.157, 32908.51, 0.1703, 0.1726, 0.1751, 0.1689, 7346.4, 0.1738, 0.1822, 0.1855, 0.1738, 14879.19, 0.1986, 0.1972, 0.2022, 0.1916, 32488.82, 0.3072 
0.1661, 0.1704, 0.1779, 0.157, 32908.51, 0.1703, 0.1726, 0.1751, 0.1689, 7346.4, 0.1738, 0.1822, 0.1855, 0.1738, 14879.19, 0.1986, 0.1972, 0.2022, 0.1916, 32488.82, 0.2065, 0.1994, 0.2065, 0.1878, 18149.35, 0.3261 
0.1703, 0.1726, 0.1751, 0.1689, 7346.4, 0.1738, 0.1822, 0.1855, 0.1738, 14879.19, 0.1986, 0.1972, 0.2022, 0.1916, 32488.82, 0.2065, 0.1994, 0.2065, 0.1878, 18149.35, 0.2005, 0.2281, 0.2363, 0.1776, 56288.72, 0.3071 
0.1738, 0.1822, 0.1855, 0.1738, 14879.19, 0.1986, 0.1972, 0.2022, 0.1916, 32488.82, 0.2065, 0.1994, 0.2065, 0.1878, 18149.35, 0.2005, 0.2281, 0.2363, 0.1776, 56288.72, 0.2526, 0.2737, 0.2834, 0.2462, 33458.81, 0.299 
0.1986, 0.1972, 0.2022, 0.1916, 32488.82, 0.2065, 0.1994, 0.2065, 0.1878, 18149.35, 0.2005, 0.2281, 0.2363, 0.1776, 56288.72, 0.2526, 0.2737, 0.2834, 0.2462, 33458.81, 0.2579, 0.2577, 0.2669, 0.2354, 13858.4, 0.2682 
0.2065, 0.1994, 0.2065, 0.1878, 18149.35, 0.2005, 0.2281, 0.2363, 0.1776, 56288.72, 0.2526, 0.2737, 0.2834, 0.2462, 33458.81, 0.2579, 0.2577, 0.2669, 0.2354, 13858.4, 0.2673, 0.2811, 0.2871, 0.2631, 17207.75, 0.3183 
0.2005, 0.2281, 0.2363, 0.1776, 56288.72, 0.2526, 0.2737, 0.2834, 0.2462, 33458.81, 0.2579, 0.2577, 0.2669, 0.2354, 13858.4, 0.2673, 0.2811, 0.2871, 0.2631, 17207.75, 0.2785, 0.3072, 0.3166, 0.2785, 26454.34, 0.3112 
0.2526, 0.2737, 0.2834, 0.2462, 33458.81, 0.2579, 0.2577, 0.2669, 0.2354, 13858.4, 0.2673, 0.2811, 0.2871, 0.2631, 17207.75, 0.2785, 0.3072, 0.3166, 0.2785, 26454.34, 0.3129, 0.3261, 0.338, 0.3115, 25677.39, 0.3003 
0.2579, 0.2577, 0.2669, 0.2354, 13858.4, 0.2673, 0.2811, 0.2871, 0.2631, 17207.75, 0.2785, 0.3072, 0.3166, 0.2785, 26454.34, 0.3129, 0.3261, 0.338, 0.3115, 25677.39, 0.3063, 0.3071, 0.3123, 0.2719, 22127.84, 0.2878 
