@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
1.46, 1.13, 1.82, 1.06, 1039.74, 1.12, 1.33, 1.33, 1.12, 26.07, 1.32, 1.32, 1.32, 1.32, 0, 1.31, 0.844, 1.31, 0.844, 3.38, 0.8554, 0.9876, 1.78, 0.8554, 4.94, 0.9878 
1.12, 1.33, 1.33, 1.12, 26.07, 1.32, 1.32, 1.32, 1.32, 0, 1.31, 0.844, 1.31, 0.844, 3.38, 0.8554, 0.9876, 1.78, 0.8554, 4.94, 0.9956, 0.9956, 0.9956, 0.9956, 0, 1.02 
1.32, 1.32, 1.32, 1.32, 0, 1.31, 0.844, 1.31, 0.844, 3.38, 0.8554, 0.9876, 1.78, 0.8554, 4.94, 0.9956, 0.9956, 0.9956, 0.9956, 0, 0.9891, 0.9891, 0.9891, 0.9891, 0, 1.03 
1.31, 0.844, 1.31, 0.844, 3.38, 0.8554, 0.9876, 1.78, 0.8554, 4.94, 0.9956, 0.9956, 0.9956, 0.9956, 0, 0.9891, 0.9891, 0.9891, 0.9891, 0, 0.9908, 0.9908, 0.9908, 0.9908, 0, 1.25 
0.8554, 0.9876, 1.78, 0.8554, 4.94, 0.9956, 0.9956, 0.9956, 0.9956, 0, 0.9891, 0.9891, 0.9891, 0.9891, 0, 0.9908, 0.9908, 0.9908, 0.9908, 0, 0.9982, 0.9982, 0.9982, 0.9982, 0, 1.26 
0.9956, 0.9956, 0.9956, 0.9956, 0, 0.9891, 0.9891, 0.9891, 0.9891, 0, 0.9908, 0.9908, 0.9908, 0.9908, 0, 0.9982, 0.9982, 0.9982, 0.9982, 0, 0.9954, 0.9954, 0.9954, 0.9954, 0, 1.32 
0.9891, 0.9891, 0.9891, 0.9891, 0, 0.9908, 0.9908, 0.9908, 0.9908, 0, 0.9982, 0.9982, 0.9982, 0.9982, 0, 0.9954, 0.9954, 0.9954, 0.9954, 0, 0.9878, 0.9878, 0.9878, 0.9878, 0, 1.32 
0.9908, 0.9908, 0.9908, 0.9908, 0, 0.9982, 0.9982, 0.9982, 0.9982, 0, 0.9954, 0.9954, 0.9954, 0.9954, 0, 0.9878, 0.9878, 0.9878, 0.9878, 0, 0.932, 1.02, 1.02, 0.9314, 349.85, 1.31 
0.9982, 0.9982, 0.9982, 0.9982, 0, 0.9954, 0.9954, 0.9954, 0.9954, 0, 0.9878, 0.9878, 0.9878, 0.9878, 0, 0.932, 1.02, 1.02, 0.9314, 349.85, 1.03, 1.03, 1.03, 1.03, 91.93, 1.07 
0.9954, 0.9954, 0.9954, 0.9954, 0, 0.9878, 0.9878, 0.9878, 0.9878, 0, 0.932, 1.02, 1.02, 0.9314, 349.85, 1.03, 1.03, 1.03, 1.03, 91.93, 1.03, 1.25, 1.25, 1.03, 33.05, 1.07 
0.9878, 0.9878, 0.9878, 0.9878, 0, 0.932, 1.02, 1.02, 0.9314, 349.85, 1.03, 1.03, 1.03, 1.03, 91.93, 1.03, 1.25, 1.25, 1.03, 33.05, 1.26, 1.26, 1.26, 1.26, 0, 1.07 
0.932, 1.02, 1.02, 0.9314, 349.85, 1.03, 1.03, 1.03, 1.03, 91.93, 1.03, 1.25, 1.25, 1.03, 33.05, 1.26, 1.26, 1.26, 1.26, 0, 1.32, 1.32, 1.32, 1.32, 0, 1.07 
1.03, 1.03, 1.03, 1.03, 91.93, 1.03, 1.25, 1.25, 1.03, 33.05, 1.26, 1.26, 1.26, 1.26, 0, 1.32, 1.32, 1.32, 1.32, 0, 1.32, 1.32, 1.32, 1.32, 0, 1.07 
1.03, 1.25, 1.25, 1.03, 33.05, 1.26, 1.26, 1.26, 1.26, 0, 1.32, 1.32, 1.32, 1.32, 0, 1.32, 1.32, 1.32, 1.32, 0, 1.31, 1.31, 1.31, 1.31, 0, 1.07 
1.26, 1.26, 1.26, 1.26, 0, 1.32, 1.32, 1.32, 1.32, 0, 1.32, 1.32, 1.32, 1.32, 0, 1.31, 1.31, 1.31, 1.31, 0, 1.3, 1.07, 1.3, 1.07, 53.5, 1.07 
1.32, 1.32, 1.32, 1.32, 0, 1.32, 1.32, 1.32, 1.32, 0, 1.31, 1.31, 1.31, 1.31, 0, 1.3, 1.07, 1.3, 1.07, 53.5, 1.07, 1.07, 1.07, 1.07, 0, 1.29 
1.32, 1.32, 1.32, 1.32, 0, 1.31, 1.31, 1.31, 1.31, 0, 1.3, 1.07, 1.3, 1.07, 53.5, 1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 0.8401 
1.31, 1.31, 1.31, 1.31, 0, 1.3, 1.07, 1.3, 1.07, 53.5, 1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 0.8418 
1.3, 1.07, 1.3, 1.07, 53.5, 1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 0.8418 
1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 0.8214 
1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.75, 1.07, 875.44, 0.8208 
1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.75, 1.07, 875.44, 1.07, 1.29, 1.29, 1.07, 91.91, 0.8252 
1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.75, 1.07, 875.44, 1.07, 1.29, 1.29, 1.07, 91.91, 1.29, 0.8401, 1.29, 0.8401, 549.51, 0.9891 
1.07, 1.07, 1.07, 1.07, 0, 1.07, 1.07, 1.75, 1.07, 875.44, 1.07, 1.29, 1.29, 1.07, 91.91, 1.29, 0.8401, 1.29, 0.8401, 549.51, 0.8418, 0.8418, 0.8418, 0.8418, 0, 1.28 
1.07, 1.07, 1.75, 1.07, 875.44, 1.07, 1.29, 1.29, 1.07, 91.91, 1.29, 0.8401, 1.29, 0.8401, 549.51, 0.8418, 0.8418, 0.8418, 0.8418, 0, 0.8418, 0.8418, 0.8418, 0.8418, 0, 1.72 
1.07, 1.29, 1.29, 1.07, 91.91, 1.29, 0.8401, 1.29, 0.8401, 549.51, 0.8418, 0.8418, 0.8418, 0.8418, 0, 0.8418, 0.8418, 0.8418, 0.8418, 0, 0.8214, 0.8214, 0.8214, 0.8214, 0, 1.75 
1.29, 0.8401, 1.29, 0.8401, 549.51, 0.8418, 0.8418, 0.8418, 0.8418, 0, 0.8418, 0.8418, 0.8418, 0.8418, 0, 0.8214, 0.8214, 0.8214, 0.8214, 0, 0.8208, 0.8208, 0.8208, 0.8208, 0, 1.74 
