@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.2143, 0.2344, 0.259, 0.2141, 9261992.64, 0.2223, 0.2171, 0.2362, 0.2055, 8298445.92, 0.2125, 0.2201, 0.2296, 0.2104, 8041742.38, 0.2199, 0.2236, 0.2358, 0.2167, 7955460.6, 0.2252, 0.2254, 0.2319, 0.2183, 7960013.88, 0.2727 
0.2223, 0.2171, 0.2362, 0.2055, 8298445.92, 0.2125, 0.2201, 0.2296, 0.2104, 8041742.38, 0.2199, 0.2236, 0.2358, 0.2167, 7955460.6, 0.2252, 0.2254, 0.2319, 0.2183, 7960013.88, 0.2457, 0.2409, 0.2574, 0.2342, 8968255.38, 0.2926 
0.2125, 0.2201, 0.2296, 0.2104, 8041742.38, 0.2199, 0.2236, 0.2358, 0.2167, 7955460.6, 0.2252, 0.2254, 0.2319, 0.2183, 7960013.88, 0.2457, 0.2409, 0.2574, 0.2342, 8968255.38, 0.2523, 0.2516, 0.2601, 0.2458, 9064144.88, 0.2867 
0.2199, 0.2236, 0.2358, 0.2167, 7955460.6, 0.2252, 0.2254, 0.2319, 0.2183, 7960013.88, 0.2457, 0.2409, 0.2574, 0.2342, 8968255.38, 0.2523, 0.2516, 0.2601, 0.2458, 9064144.88, 0.253, 0.2439, 0.2707, 0.2431, 9560864.4, 0.2455 
0.2252, 0.2254, 0.2319, 0.2183, 7960013.88, 0.2457, 0.2409, 0.2574, 0.2342, 8968255.38, 0.2523, 0.2516, 0.2601, 0.2458, 9064144.88, 0.253, 0.2439, 0.2707, 0.2431, 9560864.4, 0.2701, 0.2841, 0.2902, 0.2636, 12078825.83, 0.2515 
0.2457, 0.2409, 0.2574, 0.2342, 8968255.38, 0.2523, 0.2516, 0.2601, 0.2458, 9064144.88, 0.253, 0.2439, 0.2707, 0.2431, 9560864.4, 0.2701, 0.2841, 0.2902, 0.2636, 12078825.83, 0.2677, 0.2622, 0.2824, 0.2512, 10929482.41, 0.2214 
0.2523, 0.2516, 0.2601, 0.2458, 9064144.88, 0.253, 0.2439, 0.2707, 0.2431, 9560864.4, 0.2701, 0.2841, 0.2902, 0.2636, 12078825.83, 0.2677, 0.2622, 0.2824, 0.2512, 10929482.41, 0.272, 0.2727, 0.2832, 0.2676, 10812781.49, 0.2517 
0.253, 0.2439, 0.2707, 0.2431, 9560864.4, 0.2701, 0.2841, 0.2902, 0.2636, 12078825.83, 0.2677, 0.2622, 0.2824, 0.2512, 10929482.41, 0.272, 0.2727, 0.2832, 0.2676, 10812781.49, 0.2702, 0.2926, 0.2964, 0.2661, 12106151.74, 0.2477 
0.2701, 0.2841, 0.2902, 0.2636, 12078825.83, 0.2677, 0.2622, 0.2824, 0.2512, 10929482.41, 0.272, 0.2727, 0.2832, 0.2676, 10812781.49, 0.2702, 0.2926, 0.2964, 0.2661, 12106151.74, 0.298, 0.2867, 0.3045, 0.2743, 11837857.64, 0.2576 
0.2677, 0.2622, 0.2824, 0.2512, 10929482.41, 0.272, 0.2727, 0.2832, 0.2676, 10812781.49, 0.2702, 0.2926, 0.2964, 0.2661, 12106151.74, 0.298, 0.2867, 0.3045, 0.2743, 11837857.64, 0.2694, 0.2455, 0.2736, 0.2378, 9959141.65, 0.2628 
0.272, 0.2727, 0.2832, 0.2676, 10812781.49, 0.2702, 0.2926, 0.2964, 0.2661, 12106151.74, 0.298, 0.2867, 0.3045, 0.2743, 11837857.64, 0.2694, 0.2455, 0.2736, 0.2378, 9959141.65, 0.2464, 0.2515, 0.2594, 0.2414, 9581147.73, 0.2573 
0.2702, 0.2926, 0.2964, 0.2661, 12106151.74, 0.298, 0.2867, 0.3045, 0.2743, 11837857.64, 0.2694, 0.2455, 0.2736, 0.2378, 9959141.65, 0.2464, 0.2515, 0.2594, 0.2414, 9581147.73, 0.2383, 0.2214, 0.2406, 0.22, 8257330.13, 0.2704 
0.298, 0.2867, 0.3045, 0.2743, 11837857.64, 0.2694, 0.2455, 0.2736, 0.2378, 9959141.65, 0.2464, 0.2515, 0.2594, 0.2414, 9581147.73, 0.2383, 0.2214, 0.2406, 0.22, 8257330.13, 0.2397, 0.2517, 0.2573, 0.2368, 9377832.05, 0.2598 
0.2694, 0.2455, 0.2736, 0.2378, 9959141.65, 0.2464, 0.2515, 0.2594, 0.2414, 9581147.73, 0.2383, 0.2214, 0.2406, 0.22, 8257330.13, 0.2397, 0.2517, 0.2573, 0.2368, 9377832.05, 0.2421, 0.2477, 0.2518, 0.2314, 9145336.94, 0.2686 
0.2464, 0.2515, 0.2594, 0.2414, 9581147.73, 0.2383, 0.2214, 0.2406, 0.22, 8257330.13, 0.2397, 0.2517, 0.2573, 0.2368, 9377832.05, 0.2421, 0.2477, 0.2518, 0.2314, 9145336.94, 0.2541, 0.2576, 0.2883, 0.2409, 9816463.19, 0.2672 
0.2383, 0.2214, 0.2406, 0.22, 8257330.13, 0.2397, 0.2517, 0.2573, 0.2368, 9377832.05, 0.2421, 0.2477, 0.2518, 0.2314, 9145336.94, 0.2541, 0.2576, 0.2883, 0.2409, 9816463.19, 0.2478, 0.2628, 0.2812, 0.2447, 10230132.28, 0.2767 
0.2397, 0.2517, 0.2573, 0.2368, 9377832.05, 0.2421, 0.2477, 0.2518, 0.2314, 9145336.94, 0.2541, 0.2576, 0.2883, 0.2409, 9816463.19, 0.2478, 0.2628, 0.2812, 0.2447, 10230132.28, 0.2722, 0.2573, 0.2757, 0.2561, 9582109.77, 0.2707 
0.2421, 0.2477, 0.2518, 0.2314, 9145336.94, 0.2541, 0.2576, 0.2883, 0.2409, 9816463.19, 0.2478, 0.2628, 0.2812, 0.2447, 10230132.28, 0.2722, 0.2573, 0.2757, 0.2561, 9582109.77, 0.2627, 0.2704, 0.274, 0.2623, 9617508.89, 0.2667 
0.2541, 0.2576, 0.2883, 0.2409, 9816463.19, 0.2478, 0.2628, 0.2812, 0.2447, 10230132.28, 0.2722, 0.2573, 0.2757, 0.2561, 9582109.77, 0.2627, 0.2704, 0.274, 0.2623, 9617508.89, 0.2619, 0.2598, 0.28, 0.2537, 8286370.21, 0.2668 
