@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.01352, 0.01362, 0.01416, 0.01325, 179092.19, 0.01362, 0.01342, 0.0139, 0.01319, 105483.76, 0.01342, 0.01306, 0.0136, 0.01267, 231564.5, 0.01306, 0.01297, 0.01352, 0.01275, 66218.32, 0.01297, 0.01322, 0.01362, 0.01293, 135696.92, 0.02141 
0.01362, 0.01342, 0.0139, 0.01319, 105483.76, 0.01342, 0.01306, 0.0136, 0.01267, 231564.5, 0.01306, 0.01297, 0.01352, 0.01275, 66218.32, 0.01297, 0.01322, 0.01362, 0.01293, 135696.92, 0.01322, 0.01452, 0.01505, 0.01321, 270971.53, 0.02134 
0.01342, 0.01306, 0.0136, 0.01267, 231564.5, 0.01306, 0.01297, 0.01352, 0.01275, 66218.32, 0.01297, 0.01322, 0.01362, 0.01293, 135696.92, 0.01322, 0.01452, 0.01505, 0.01321, 270971.53, 0.01452, 0.01515, 0.01515, 0.01414, 186922.69, 0.02127 
0.01306, 0.01297, 0.01352, 0.01275, 66218.32, 0.01297, 0.01322, 0.01362, 0.01293, 135696.92, 0.01322, 0.01452, 0.01505, 0.01321, 270971.53, 0.01452, 0.01515, 0.01515, 0.01414, 186922.69, 0.01515, 0.0159, 0.01802, 0.01505, 631743.59, 0.02056 
0.01297, 0.01322, 0.01362, 0.01293, 135696.92, 0.01322, 0.01452, 0.01505, 0.01321, 270971.53, 0.01452, 0.01515, 0.01515, 0.01414, 186922.69, 0.01515, 0.0159, 0.01802, 0.01505, 631743.59, 0.0159, 0.01768, 0.0179, 0.01552, 413634.12, 0.02072 
0.01322, 0.01452, 0.01505, 0.01321, 270971.53, 0.01452, 0.01515, 0.01515, 0.01414, 186922.69, 0.01515, 0.0159, 0.01802, 0.01505, 631743.59, 0.0159, 0.01768, 0.0179, 0.01552, 413634.12, 0.01768, 0.0204, 0.02302, 0.01732, 1222948.51, 0.01882 
0.01452, 0.01515, 0.01515, 0.01414, 186922.69, 0.01515, 0.0159, 0.01802, 0.01505, 631743.59, 0.0159, 0.01768, 0.0179, 0.01552, 413634.12, 0.01768, 0.0204, 0.02302, 0.01732, 1222948.51, 0.0204, 0.02141, 0.0219, 0.01895, 471255.18, 0.02119 
0.01515, 0.0159, 0.01802, 0.01505, 631743.59, 0.0159, 0.01768, 0.0179, 0.01552, 413634.12, 0.01768, 0.0204, 0.02302, 0.01732, 1222948.51, 0.0204, 0.02141, 0.0219, 0.01895, 471255.18, 0.02141, 0.02134, 0.02264, 0.02061, 378630.94, 0.02033 
0.0159, 0.01768, 0.0179, 0.01552, 413634.12, 0.01768, 0.0204, 0.02302, 0.01732, 1222948.51, 0.0204, 0.02141, 0.0219, 0.01895, 471255.18, 0.02141, 0.02134, 0.02264, 0.02061, 378630.94, 0.02134, 0.02127, 0.02417, 0.02068, 640784.96, 0.02055 
0.01768, 0.0204, 0.02302, 0.01732, 1222948.51, 0.0204, 0.02141, 0.0219, 0.01895, 471255.18, 0.02141, 0.02134, 0.02264, 0.02061, 378630.94, 0.02134, 0.02127, 0.02417, 0.02068, 640784.96, 0.02127, 0.02056, 0.02135, 0.01891, 290964.13, 0.0192 
