@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.0001325, 0.0001325, 0.0001987, 6.624e-05, 942.94, 0.0001319, 0.0001319, 0.0001319, 6.595e-05, 2.72, 0.0001305, 0.0001305, 0.0001305, 6.525e-05, 36.23, 0.0001298, 0.0001948, 0.0001948, 6.492e-05, 136.98, 0.0001974, 0.0001316, 0.0001974, 0.0001316, 206.98, 0.0001974 
0.0001319, 0.0001319, 0.0001319, 6.595e-05, 2.72, 0.0001305, 0.0001305, 0.0001305, 6.525e-05, 36.23, 0.0001298, 0.0001948, 0.0001948, 6.492e-05, 136.98, 0.0001974, 0.0001316, 0.0001974, 0.0001316, 206.98, 0.0001327, 0.0001327, 0.000199, 0.0001327, 173.78, 0.0001242 
0.0001305, 0.0001305, 0.0001305, 6.525e-05, 36.23, 0.0001298, 0.0001948, 0.0001948, 6.492e-05, 136.98, 0.0001974, 0.0001316, 0.0001974, 0.0001316, 206.98, 0.0001327, 0.0001327, 0.000199, 0.0001327, 173.78, 0.0001318, 0.0001318, 0.0001977, 0.0001318, 52.84, 0.000125 
0.0001298, 0.0001948, 0.0001948, 6.492e-05, 136.98, 0.0001974, 0.0001316, 0.0001974, 0.0001316, 206.98, 0.0001327, 0.0001327, 0.000199, 0.0001327, 173.78, 0.0001318, 0.0001318, 0.0001977, 0.0001318, 52.84, 0.000198, 0.000198, 0.000198, 0.000132, 50.29, 0.0001253 
0.0001974, 0.0001316, 0.0001974, 0.0001316, 206.98, 0.0001327, 0.0001327, 0.000199, 0.0001327, 173.78, 0.0001318, 0.0001318, 0.0001977, 0.0001318, 52.84, 0.000198, 0.000198, 0.000198, 0.000132, 50.29, 0.0001995, 0.000133, 0.0001995, 0.000133, 153.21, 0.0001256 
0.0001327, 0.0001327, 0.000199, 0.0001327, 173.78, 0.0001318, 0.0001318, 0.0001977, 0.0001318, 52.84, 0.000198, 0.000198, 0.000198, 0.000132, 50.29, 0.0001995, 0.000133, 0.0001995, 0.000133, 153.21, 0.0001326, 0.0001326, 0.0001326, 0.0001326, 191.57, 0.0001322 
0.0001318, 0.0001318, 0.0001977, 0.0001318, 52.84, 0.000198, 0.000198, 0.000198, 0.000132, 50.29, 0.0001995, 0.000133, 0.0001995, 0.000133, 153.21, 0.0001326, 0.0001326, 0.0001326, 0.0001326, 191.57, 0.0001316, 0.0001974, 0.0001974, 0.0001316, 856.58, 0.0001975 
0.000198, 0.000198, 0.000198, 0.000132, 50.29, 0.0001995, 0.000133, 0.0001995, 0.000133, 153.21, 0.0001326, 0.0001326, 0.0001326, 0.0001326, 191.57, 0.0001316, 0.0001974, 0.0001974, 0.0001316, 856.58, 0.0001863, 0.0001242, 0.0001863, 0.0001242, 379.1, 0.0001315 
0.0001995, 0.000133, 0.0001995, 0.000133, 153.21, 0.0001326, 0.0001326, 0.0001326, 0.0001326, 191.57, 0.0001316, 0.0001974, 0.0001974, 0.0001316, 856.58, 0.0001863, 0.0001242, 0.0001863, 0.0001242, 379.1, 0.000125, 0.000125, 0.000125, 0.000125, 41.39, 0.0001298 
0.0001326, 0.0001326, 0.0001326, 0.0001326, 191.57, 0.0001316, 0.0001974, 0.0001974, 0.0001316, 856.58, 0.0001863, 0.0001242, 0.0001863, 0.0001242, 379.1, 0.000125, 0.000125, 0.000125, 0.000125, 41.39, 0.0001253, 0.0001253, 0.0001253, 0.0001253, 37.59, 0.0001941 
