@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
1.01, 1.01, 1.03, 0.9794, 393463.44, 1.01, 0.9902, 1.02, 0.9771, 303742.54, 1.02, 0.9998, 1.03, 0.9771, 526459.76, 0.9892, 0.9973, 1.02, 0.9849, 419878.91, 0.9709, 0.9977, 1.02, 0.959, 403876.67, 0.986 
1.01, 0.9902, 1.02, 0.9771, 303742.54, 1.02, 0.9998, 1.03, 0.9771, 526459.76, 0.9892, 0.9973, 1.02, 0.9849, 419878.91, 0.9709, 0.9977, 1.02, 0.959, 403876.67, 1.01, 0.9969, 1.01, 0.9889, 258675.16, 0.9959 
1.02, 0.9998, 1.03, 0.9771, 526459.76, 0.9892, 0.9973, 1.02, 0.9849, 419878.91, 0.9709, 0.9977, 1.02, 0.959, 403876.67, 1.01, 0.9969, 1.01, 0.9889, 258675.16, 0.998, 1, 1.01, 0.9808, 259550.03, 0.9915 
0.9892, 0.9973, 1.02, 0.9849, 419878.91, 0.9709, 0.9977, 1.02, 0.959, 403876.67, 1.01, 0.9969, 1.01, 0.9889, 258675.16, 0.998, 1, 1.01, 0.9808, 259550.03, 0.9793, 0.9953, 1.01, 0.9706, 519367.02, 1.02 
0.9709, 0.9977, 1.02, 0.959, 403876.67, 1.01, 0.9969, 1.01, 0.9889, 258675.16, 0.998, 1, 1.01, 0.9808, 259550.03, 0.9793, 0.9953, 1.01, 0.9706, 519367.02, 1.02, 1.01, 1.02, 1, 252523.58, 0.9857 
1.01, 0.9969, 1.01, 0.9889, 258675.16, 0.998, 1, 1.01, 0.9808, 259550.03, 0.9793, 0.9953, 1.01, 0.9706, 519367.02, 1.02, 1.01, 1.02, 1, 252523.58, 1, 0.9923, 1, 0.9807, 347420.74, 1.01 
0.998, 1, 1.01, 0.9808, 259550.03, 0.9793, 0.9953, 1.01, 0.9706, 519367.02, 1.02, 1.01, 1.02, 1, 252523.58, 1, 0.9923, 1, 0.9807, 347420.74, 1.17, 0.986, 1.17, 0.9707, 1370242.05, 1.03 
0.9793, 0.9953, 1.01, 0.9706, 519367.02, 1.02, 1.01, 1.02, 1, 252523.58, 1, 0.9923, 1, 0.9807, 347420.74, 1.17, 0.986, 1.17, 0.9707, 1370242.05, 0.9647, 0.9959, 1.02, 0.9576, 620009.48, 0.9805 
1.02, 1.01, 1.02, 1, 252523.58, 1, 0.9923, 1, 0.9807, 347420.74, 1.17, 0.986, 1.17, 0.9707, 1370242.05, 0.9647, 0.9959, 1.02, 0.9576, 620009.48, 0.9742, 0.9915, 0.9994, 0.9714, 249748.66, 1.01 
1, 0.9923, 1, 0.9807, 347420.74, 1.17, 0.986, 1.17, 0.9707, 1370242.05, 0.9647, 0.9959, 1.02, 0.9576, 620009.48, 0.9742, 0.9915, 0.9994, 0.9714, 249748.66, 1.05, 1.02, 1.06, 1.01, 353417.24, 1.01 
1.17, 0.986, 1.17, 0.9707, 1370242.05, 0.9647, 0.9959, 1.02, 0.9576, 620009.48, 0.9742, 0.9915, 0.9994, 0.9714, 249748.66, 1.05, 1.02, 1.06, 1.01, 353417.24, 0.9118, 0.9857, 1.08, 0.9019, 1621367.71, 1.01 
0.9647, 0.9959, 1.02, 0.9576, 620009.48, 0.9742, 0.9915, 0.9994, 0.9714, 249748.66, 1.05, 1.02, 1.06, 1.01, 353417.24, 0.9118, 0.9857, 1.08, 0.9019, 1621367.71, 1.01, 1.01, 1.03, 0.9953, 392393.36, 1.01 
